shape_id,subject_class,subject_uri,property,property_uri,object_class,object_uri,total_entities,participating_entities,occurrence_count,coverage_ratio,coverage_percent,shape_pattern
shape_000037,owl:ObjectProperty,http://www.w3.org/2002/07/owl#ObjectProperty,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,rdfs:Resource,http://www.w3.org/2000/01/rdf-schema#Resource,7,7,7,1.0,100.0,owl:ObjectProperty -> rdf:type -> rdfs:Resource
shape_000035,bio2rdf:id_vocabulary:Resource,http://bio2rdf.org/id_vocabulary:Resource,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,owl:Class,http://www.w3.org/2002/07/owl#Class,3,3,3,1.0,100.0,bio2rdf:id_vocabulary:Resource -> rdf:type -> owl:Class
shape_000033,owl:Class,http://www.w3.org/2002/07/owl#Class,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,owl:Class,http://www.w3.org/2002/07/owl#Class,620,620,620,1.0,100.0,owl:Class -> rdf:type -> owl:Class
shape_000015,bio2rdf:id_vocabulary:Resource,http://bio2rdf.org/id_vocabulary:Resource,rdfs:isDefinedBy,http://www.w3.org/2000/01/rdf-schema#isDefinedBy,owl:Ontology,http://www.w3.org/2002/07/owl#Ontology,3,3,3,1.0,100.0,bio2rdf:id_vocabulary:Resource -> rdfs:isDefinedBy -> owl:Ontology
shape_000016,owl:DeprecatedClass,http://www.w3.org/2002/07/owl#DeprecatedClass,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,rdfs:Resource,http://www.w3.org/2000/01/rdf-schema#Resource,5,5,5,1.0,100.0,owl:DeprecatedClass -> rdf:type -> rdfs:Resource
shape_000017,owl:DeprecatedClass,http://www.w3.org/2002/07/owl#DeprecatedClass,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,owl:Class,http://www.w3.org/2002/07/owl#Class,5,5,5,1.0,100.0,owl:DeprecatedClass -> rdf:type -> owl:Class
shape_000011,owl:DeprecatedClass,http://www.w3.org/2002/07/owl#DeprecatedClass,rdfs:isDefinedBy,http://www.w3.org/2000/01/rdf-schema#isDefinedBy,owl:Ontology,http://www.w3.org/2002/07/owl#Ontology,5,5,5,1.0,100.0,owl:DeprecatedClass -> rdfs:isDefinedBy -> owl:Ontology
shape_000026,owl:DatatypeProperty,http://www.w3.org/2002/07/owl#DatatypeProperty,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,rdfs:Resource,http://www.w3.org/2000/01/rdf-schema#Resource,27,27,27,1.0,100.0,owl:DatatypeProperty -> rdf:type -> rdfs:Resource
shape_000007,owl:Class,http://www.w3.org/2002/07/owl#Class,rdfs:isDefinedBy,http://www.w3.org/2000/01/rdf-schema#isDefinedBy,owl:Ontology,http://www.w3.org/2002/07/owl#Ontology,620,617,617,0.9952,99.52,owl:Class -> rdfs:isDefinedBy -> owl:Ontology
shape_000000,bio2rdf:eco_vocabulary:Resource,http://bio2rdf.org/eco_vocabulary:Resource,rdfs:isDefinedBy,http://www.w3.org/2000/01/rdf-schema#isDefinedBy,owl:Ontology,http://www.w3.org/2002/07/owl#Ontology,621,614,614,0.9887,98.87,bio2rdf:eco_vocabulary:Resource -> rdfs:isDefinedBy -> owl:Ontology
