shape_id,subject_class,subject_uri,property,property_uri,object_class,object_uri,total_entities,participating_entities,occurrence_count,coverage_ratio,coverage_percent,shape_pattern
shape_000004,owl:DatatypeProperty,http://www.w3.org/2002/07/owl#DatatypeProperty,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,rdfs:Resource,http://www.w3.org/2000/01/rdf-schema#Resource,19,19,19,1.0,100.0,owl:DatatypeProperty -> rdf:type -> rdfs:Resource
shape_000006,rdf:Property,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,rdfs:Resource,http://www.w3.org/2000/01/rdf-schema#Resource,1,1,1,1.0,100.0,rdf:Property -> rdf:type -> rdfs:Resource
shape_000007,bio2rdf:hgnc_vocabulary:Approved-Gene-Symbol,http://bio2rdf.org/hgnc_vocabulary:Approved-Gene-Symbol,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,owl:Class,http://www.w3.org/2002/07/owl#Class,43700,43700,43700,1.0,100.0,bio2rdf:hgnc_vocabulary:Approved-Gene-Symbol -> rdf:type -> owl:Class
shape_000008,bio2rdf:hgnc_vocabulary:Approved-Gene-Symbol,http://bio2rdf.org/hgnc_vocabulary:Approved-Gene-Symbol,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,bio2rdf:hgnc_vocabulary:Resource,http://bio2rdf.org/hgnc_vocabulary:Resource,43700,43700,43700,1.0,100.0,bio2rdf:hgnc_vocabulary:Approved-Gene-Symbol -> rdf:type -> bio2rdf:hgnc_vocabulary:Resource
shape_000014,bio2rdf:hgnc.symbol_vocabulary:Resource,http://bio2rdf.org/hgnc.symbol_vocabulary:Resource,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,bio2rdf:hgnc_vocabulary:Resource,http://bio2rdf.org/hgnc_vocabulary:Resource,56811,56811,56811,1.0,100.0,bio2rdf:hgnc.symbol_vocabulary:Resource -> rdf:type -> bio2rdf:hgnc_vocabulary:Resource
shape_000022,bio2rdf:hgnc_vocabulary:Gene-Symbol,http://bio2rdf.org/hgnc_vocabulary:Gene-Symbol,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,owl:Class,http://www.w3.org/2002/07/owl#Class,43744,43744,43744,1.0,100.0,bio2rdf:hgnc_vocabulary:Gene-Symbol -> rdf:type -> owl:Class
shape_000015,bio2rdf:hgnc.symbol_vocabulary:Resource,http://bio2rdf.org/hgnc.symbol_vocabulary:Resource,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,owl:Class,http://www.w3.org/2002/07/owl#Class,56811,56811,56811,1.0,100.0,bio2rdf:hgnc.symbol_vocabulary:Resource -> rdf:type -> owl:Class
shape_000025,owl:Class,http://www.w3.org/2002/07/owl#Class,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,rdfs:Resource,http://www.w3.org/2000/01/rdf-schema#Resource,7,7,7,1.0,100.0,owl:Class -> rdf:type -> rdfs:Resource
shape_000021,bio2rdf:hgnc_vocabulary:Gene-Symbol,http://bio2rdf.org/hgnc_vocabulary:Gene-Symbol,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,bio2rdf:hgnc_vocabulary:Resource,http://bio2rdf.org/hgnc_vocabulary:Resource,43744,43744,43744,1.0,100.0,bio2rdf:hgnc_vocabulary:Gene-Symbol -> rdf:type -> bio2rdf:hgnc_vocabulary:Resource
shape_000030,bio2rdf:hgnc_vocabulary:Previous-Symbol,http://bio2rdf.org/hgnc_vocabulary:Previous-Symbol,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,bio2rdf:hgnc_vocabulary:Resource,http://bio2rdf.org/hgnc_vocabulary:Resource,13111,13111,13111,1.0,100.0,bio2rdf:hgnc_vocabulary:Previous-Symbol -> rdf:type -> bio2rdf:hgnc_vocabulary:Resource
shape_000028,owl:ObjectProperty,http://www.w3.org/2002/07/owl#ObjectProperty,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,rdfs:Resource,http://www.w3.org/2000/01/rdf-schema#Resource,17,17,17,1.0,100.0,owl:ObjectProperty -> rdf:type -> rdfs:Resource
shape_000163,dcterms:Dataset,http://purl.org/dc/terms/Dataset,dcat:distribution,http://www.w3.org/ns/dcat#distribution,dcat:Distribution,http://www.w3.org/ns/dcat#Distribution,1,1,1,1.0,100.0,dcterms:Dataset -> dcat:distribution -> dcat:Distribution
shape_000169,bio2rdf:hgnc_vocabulary:Gene-Symbol,http://bio2rdf.org/hgnc_vocabulary:Gene-Symbol,bio2rdf:hgnc_vocabulary:has-approved-symbol,http://bio2rdf.org/hgnc_vocabulary:has-approved-symbol,bio2rdf:hgnc.symbol_vocabulary:Resource,http://bio2rdf.org/hgnc.symbol_vocabulary:Resource,43744,43744,43744,1.0,100.0,bio2rdf:hgnc_vocabulary:Gene-Symbol -> bio2rdf:hgnc_vocabulary:has-approved-symbol -> bio2rdf:hgnc.symbol_vocabulary:Resource
shape_000173,bio2rdf:hgnc_vocabulary:Gene-Symbol,http://bio2rdf.org/hgnc_vocabulary:Gene-Symbol,bio2rdf:hgnc_vocabulary:status,http://bio2rdf.org/hgnc_vocabulary:status,bio2rdf:hgnc_vocabulary:Resource,http://bio2rdf.org/hgnc_vocabulary:Resource,43744,43744,43744,1.0,100.0,bio2rdf:hgnc_vocabulary:Gene-Symbol -> bio2rdf:hgnc_vocabulary:status -> bio2rdf:hgnc_vocabulary:Resource
shape_000031,bio2rdf:hgnc_vocabulary:Previous-Symbol,http://bio2rdf.org/hgnc_vocabulary:Previous-Symbol,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,owl:Class,http://www.w3.org/2002/07/owl#Class,13111,13111,13111,1.0,100.0,bio2rdf:hgnc_vocabulary:Previous-Symbol -> rdf:type -> owl:Class
shape_000130,bio2rdf:hgnc_vocabulary:Approved-Gene-Symbol,http://bio2rdf.org/hgnc_vocabulary:Approved-Gene-Symbol,bio2rdf:hgnc_vocabulary:is-approved-symbol-of,http://bio2rdf.org/hgnc_vocabulary:is-approved-symbol-of,bio2rdf:hgnc_vocabulary:Gene-Symbol,http://bio2rdf.org/hgnc_vocabulary:Gene-Symbol,43700,43700,43700,1.0,100.0,bio2rdf:hgnc_vocabulary:Approved-Gene-Symbol -> bio2rdf:hgnc_vocabulary:is-approved-symbol-of -> bio2rdf:hgnc_vocabulary:Gene-Symbol
shape_000131,bio2rdf:hgnc_vocabulary:Approved-Gene-Symbol,http://bio2rdf.org/hgnc_vocabulary:Approved-Gene-Symbol,bio2rdf:hgnc_vocabulary:is-approved-symbol-of,http://bio2rdf.org/hgnc_vocabulary:is-approved-symbol-of,bio2rdf:hgnc_vocabulary:Resource,http://bio2rdf.org/hgnc_vocabulary:Resource,43700,43700,43700,1.0,100.0,bio2rdf:hgnc_vocabulary:Approved-Gene-Symbol -> bio2rdf:hgnc_vocabulary:is-approved-symbol-of -> bio2rdf:hgnc_vocabulary:Resource
shape_000172,bio2rdf:hgnc_vocabulary:Gene-Symbol,http://bio2rdf.org/hgnc_vocabulary:Gene-Symbol,bio2rdf:hgnc_vocabulary:status,http://bio2rdf.org/hgnc_vocabulary:status,owl:Class,http://www.w3.org/2002/07/owl#Class,43744,43744,43744,1.0,100.0,bio2rdf:hgnc_vocabulary:Gene-Symbol -> bio2rdf:hgnc_vocabulary:status -> owl:Class
