shape_id,subject_class,subject_uri,property,property_uri,object_class,object_uri,total_entities,participating_entities,occurrence_count,coverage_ratio,coverage_percent,shape_pattern
shape_000000,owl:DeprecatedClass,http://www.w3.org/2002/07/owl#DeprecatedClass,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,owl:Class,http://www.w3.org/2002/07/owl#Class,99,99,99,1.0,100.0,owl:DeprecatedClass -> rdf:type -> owl:Class
shape_000002,owl:DeprecatedClass,http://www.w3.org/2002/07/owl#DeprecatedClass,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,rdfs:Resource,http://www.w3.org/2000/01/rdf-schema#Resource,99,99,99,1.0,100.0,owl:DeprecatedClass -> rdf:type -> rdfs:Resource
shape_000021,owl:DatatypeProperty,http://www.w3.org/2002/07/owl#DatatypeProperty,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,rdfs:Resource,http://www.w3.org/2000/01/rdf-schema#Resource,29,29,29,1.0,100.0,owl:DatatypeProperty -> rdf:type -> rdfs:Resource
shape_000026,owl:Class,http://www.w3.org/2002/07/owl#Class,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,owl:Class,http://www.w3.org/2002/07/owl#Class,11503,11503,11503,1.0,100.0,owl:Class -> rdf:type -> owl:Class
shape_000027,owl:ObjectProperty,http://www.w3.org/2002/07/owl#ObjectProperty,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,rdfs:Resource,http://www.w3.org/2000/01/rdf-schema#Resource,20,20,20,1.0,100.0,owl:ObjectProperty -> rdf:type -> rdfs:Resource
shape_000055,owl:DeprecatedClass,http://www.w3.org/2002/07/owl#DeprecatedClass,rdfs:isDefinedBy,http://www.w3.org/2000/01/rdf-schema#isDefinedBy,owl:Ontology,http://www.w3.org/2002/07/owl#Ontology,99,99,99,1.0,100.0,owl:DeprecatedClass -> rdfs:isDefinedBy -> owl:Ontology
shape_000051,owl:Class,http://www.w3.org/2002/07/owl#Class,rdfs:isDefinedBy,http://www.w3.org/2000/01/rdf-schema#isDefinedBy,owl:Ontology,http://www.w3.org/2002/07/owl#Ontology,11503,11502,11502,0.9999,99.99,owl:Class -> rdfs:isDefinedBy -> owl:Ontology
shape_000090,owl:Class,http://www.w3.org/2002/07/owl#Class,rdfs:subClassOf,http://www.w3.org/2000/01/rdf-schema#subClassOf,owl:Class,http://www.w3.org/2002/07/owl#Class,11503,11402,11402,0.9912,99.12,owl:Class -> rdfs:subClassOf -> owl:Class
shape_000087,owl:Class,http://www.w3.org/2002/07/owl#Class,rdfs:subClassOf,http://www.w3.org/2000/01/rdf-schema#subClassOf,bio2rdf:hp_vocabulary:Resource,http://bio2rdf.org/hp_vocabulary:Resource,11503,11402,11402,0.9912,99.12,owl:Class -> rdfs:subClassOf -> bio2rdf:hp_vocabulary:Resource
shape_000005,bio2rdf:obo_vocabulary:Resource,http://bio2rdf.org/obo_vocabulary:Resource,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,rdfs:Resource,http://www.w3.org/2000/01/rdf-schema#Resource,45,44,44,0.9778,97.78,bio2rdf:obo_vocabulary:Resource -> rdf:type -> rdfs:Resource
