shape_id,subject_class,subject_uri,property,property_uri,object_class,object_uri,total_entities,participating_entities,occurrence_count,coverage_ratio,coverage_percent,shape_pattern
shape_000000,rdfs:Resource,http://www.w3.org/2000/01/rdf-schema#Resource,resource:is-member-of,http://semanticscience.org/resource/is-member-of,bio2rdf:lsr_vocabulary:Resource,http://bio2rdf.org/lsr_vocabulary:Resource,7,7,7,1.0,100.0,rdfs:Resource -> resource:is-member-of -> bio2rdf:lsr_vocabulary:Resource
shape_000001,rdfs:Resource,http://www.w3.org/2000/01/rdf-schema#Resource,resource:is-member-of,http://semanticscience.org/resource/is-member-of,bio2rdf:lsr_vocabulary:Dataset,http://bio2rdf.org/lsr_vocabulary:Dataset,7,7,7,1.0,100.0,rdfs:Resource -> resource:is-member-of -> bio2rdf:lsr_vocabulary:Dataset
shape_000002,rdfs:Resource,http://www.w3.org/2000/01/rdf-schema#Resource,resource:is-member-of,http://semanticscience.org/resource/is-member-of,dctypes:Dataset,http://purl.org/dc/dcmitype/Dataset,7,7,7,1.0,100.0,rdfs:Resource -> resource:is-member-of -> dctypes:Dataset
shape_000007,dctypes:Dataset,http://purl.org/dc/dcmitype/Dataset,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,bio2rdf:lsr_vocabulary:Resource,http://bio2rdf.org/lsr_vocabulary:Resource,2175,2175,2175,1.0,100.0,dctypes:Dataset -> rdf:type -> bio2rdf:lsr_vocabulary:Resource
shape_000014,bio2rdf:datahub_vocabulary:Resource,http://bio2rdf.org/datahub_vocabulary:Resource,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,owl:Class,http://www.w3.org/2002/07/owl#Class,2,2,2,1.0,100.0,bio2rdf:datahub_vocabulary:Resource -> rdf:type -> owl:Class
shape_000011,bio2rdf:lsr_vocabulary:Resource,http://bio2rdf.org/lsr_vocabulary:Resource,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,owl:Class,http://www.w3.org/2002/07/owl#Class,2923,2923,2923,1.0,100.0,bio2rdf:lsr_vocabulary:Resource -> rdf:type -> owl:Class
shape_000009,dctypes:Dataset,http://purl.org/dc/dcmitype/Dataset,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,rdfs:Resource,http://www.w3.org/2000/01/rdf-schema#Resource,2175,2175,2175,1.0,100.0,dctypes:Dataset -> rdf:type -> rdfs:Resource
shape_000008,dctypes:Dataset,http://purl.org/dc/dcmitype/Dataset,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,owl:Class,http://www.w3.org/2002/07/owl#Class,2175,2175,2175,1.0,100.0,dctypes:Dataset -> rdf:type -> owl:Class
shape_000078,dcterms:Dataset,http://purl.org/dc/terms/Dataset,dcat:distribution,http://www.w3.org/ns/dcat#distribution,dcat:Distribution,http://www.w3.org/ns/dcat#Distribution,2,2,2,1.0,100.0,dcterms:Dataset -> dcat:distribution -> dcat:Distribution
shape_000058,bio2rdf:lsr_vocabulary:Dataset,http://bio2rdf.org/lsr_vocabulary:Dataset,resource:has-member,http://semanticscience.org/resource/has-member,owl:Class,http://www.w3.org/2002/07/owl#Class,2175,2175,2175,1.0,100.0,bio2rdf:lsr_vocabulary:Dataset -> resource:has-member -> owl:Class
shape_000057,dctypes:Dataset,http://purl.org/dc/dcmitype/Dataset,resource:has-member,http://semanticscience.org/resource/has-member,owl:Class,http://www.w3.org/2002/07/owl#Class,2175,2175,2175,1.0,100.0,dctypes:Dataset -> resource:has-member -> owl:Class
shape_000031,owl:Class,http://www.w3.org/2002/07/owl#Class,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,rdfs:Resource,http://www.w3.org/2000/01/rdf-schema#Resource,2176,2176,2176,1.0,100.0,owl:Class -> rdf:type -> rdfs:Resource
shape_000018,bio2rdf:bioportal_vocabulary:Resource,http://bio2rdf.org/bioportal_vocabulary:Resource,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,owl:Class,http://www.w3.org/2002/07/owl#Class,357,357,357,1.0,100.0,bio2rdf:bioportal_vocabulary:Resource -> rdf:type -> owl:Class
