shape_id,subject_class,subject_uri,property,property_uri,object_class,object_uri,total_entities,participating_entities,occurrence_count,coverage_ratio,coverage_percent,shape_pattern
shape_000008,bio2rdf:mgi_vocabulary:Other-Genome-Feature,http://bio2rdf.org/mgi_vocabulary:Other-Genome-Feature,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,owl:Class,http://www.w3.org/2002/07/owl#Class,150,150,150,1.0,100.0,bio2rdf:mgi_vocabulary:Other-Genome-Feature -> rdf:type -> owl:Class
shape_000009,bio2rdf:mgi_vocabulary:Marker,http://bio2rdf.org/mgi_vocabulary:Marker,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,bio2rdf:mgi_vocabulary:Resource,http://bio2rdf.org/mgi_vocabulary:Resource,10539,10539,10539,1.0,100.0,bio2rdf:mgi_vocabulary:Marker -> rdf:type -> bio2rdf:mgi_vocabulary:Resource
shape_000011,bio2rdf:mgi_vocabulary:Marker,http://bio2rdf.org/mgi_vocabulary:Marker,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,owl:Class,http://www.w3.org/2002/07/owl#Class,10539,10539,10539,1.0,100.0,bio2rdf:mgi_vocabulary:Marker -> rdf:type -> owl:Class
shape_000006,bio2rdf:mgi_vocabulary:Other-Genome-Feature,http://bio2rdf.org/mgi_vocabulary:Other-Genome-Feature,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,bio2rdf:mgi_vocabulary:Resource,http://bio2rdf.org/mgi_vocabulary:Resource,150,150,150,1.0,100.0,bio2rdf:mgi_vocabulary:Other-Genome-Feature -> rdf:type -> bio2rdf:mgi_vocabulary:Resource
shape_000017,bio2rdf:mgi_vocabulary:Allele,http://bio2rdf.org/mgi_vocabulary:Allele,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,bio2rdf:mgi_vocabulary:Resource,http://bio2rdf.org/mgi_vocabulary:Resource,44258,44258,44258,1.0,100.0,bio2rdf:mgi_vocabulary:Allele -> rdf:type -> bio2rdf:mgi_vocabulary:Resource
shape_000018,bio2rdf:mgi_vocabulary:Allele,http://bio2rdf.org/mgi_vocabulary:Allele,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,owl:Class,http://www.w3.org/2002/07/owl#Class,44258,44258,44258,1.0,100.0,bio2rdf:mgi_vocabulary:Allele -> rdf:type -> owl:Class
shape_000022,owl:DatatypeProperty,http://www.w3.org/2002/07/owl#DatatypeProperty,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,rdfs:Resource,http://www.w3.org/2000/01/rdf-schema#Resource,16,16,16,1.0,100.0,owl:DatatypeProperty -> rdf:type -> rdfs:Resource
shape_000027,bio2rdf:mgi_vocabulary:Gene,http://bio2rdf.org/mgi_vocabulary:Gene,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,bio2rdf:mgi_vocabulary:Resource,http://bio2rdf.org/mgi_vocabulary:Resource,40319,40319,40319,1.0,100.0,bio2rdf:mgi_vocabulary:Gene -> rdf:type -> bio2rdf:mgi_vocabulary:Resource
shape_000014,Cluster:Region,http://bio2rdf.org/mgi_vocabulary:Complex/Cluster/Region,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,bio2rdf:mgi_vocabulary:Resource,http://bio2rdf.org/mgi_vocabulary:Resource,45,45,45,1.0,100.0,Cluster:Region -> rdf:type -> bio2rdf:mgi_vocabulary:Resource
shape_000015,Cluster:Region,http://bio2rdf.org/mgi_vocabulary:Complex/Cluster/Region,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,owl:Class,http://www.w3.org/2002/07/owl#Class,45,45,45,1.0,100.0,Cluster:Region -> rdf:type -> owl:Class
