shape_id,subject_class,subject_uri,property,property_uri,object_class,object_uri,total_entities,participating_entities,occurrence_count,coverage_ratio,coverage_percent,shape_pattern
shape_000035,bao:0000179,http://www.bioassayontology.org/bao#BAO_0000179,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,owl:Class,http://www.w3.org/2002/07/owl#Class,15842,15842,15842,1.0,100.0,bao:0000179 -> rdf:type -> owl:Class
shape_000036,obi:0000272,http://purl.obolibrary.org/obo/OBI_0000272,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,owl:Class,http://www.w3.org/2002/07/owl#Class,8120,8120,8120,1.0,100.0,obi:0000272 -> rdf:type -> owl:Class
shape_000037,cheminf:000515,http://semanticscience.org/resource/CHEMINF_000515,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,owl:Class,http://www.w3.org/2002/07/owl#Class,2320,2320,2320,1.0,100.0,cheminf:000515 -> rdf:type -> owl:Class
shape_000038,npo:274,http://purl.bioontology.org/ontology/npo#NPO_274,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,owl:Class,http://www.w3.org/2002/07/owl#Class,1160,1160,1160,1.0,100.0,npo:274 -> rdf:type -> owl:Class
shape_000040,aopo:MolecularInitiatingEvent,http://aopkb.org/aop_ontology#MolecularInitiatingEvent,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,owl:Class,http://www.w3.org/2002/07/owl#Class,7,7,7,1.0,100.0,aopo:MolecularInitiatingEvent -> rdf:type -> owl:Class
shape_000039,npo:1812,http://purl.bioontology.org/ontology/npo#NPO_1812,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,owl:Class,http://www.w3.org/2002/07/owl#Class,2320,2320,2320,1.0,100.0,npo:1812 -> rdf:type -> owl:Class
shape_000041,chebi:59999,http://purl.obolibrary.org/obo/CHEBI_59999,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,owl:Class,http://www.w3.org/2002/07/owl#Class,1160,1160,1160,1.0,100.0,chebi:59999 -> rdf:type -> owl:Class
shape_000033,npo:1914,http://purl.bioontology.org/ontology/npo#NPO_1914,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,owl:Class,http://www.w3.org/2002/07/owl#Class,2320,2320,2320,1.0,100.0,npo:1914 -> rdf:type -> owl:Class
shape_000029,envo:01000216,http://purl.obolibrary.org/obo/ENVO_01000216,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,owl:Class,http://www.w3.org/2002/07/owl#Class,1,1,1,1.0,100.0,envo:01000216 -> rdf:type -> owl:Class
shape_000028,pato:0001334,http://purl.obolibrary.org/obo/PATO_0001334,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,owl:Class,http://www.w3.org/2002/07/owl#Class,4640,4640,4640,1.0,100.0,pato:0001334 -> rdf:type -> owl:Class
shape_000027,bao:0000015,http://www.bioassayontology.org/bao#BAO_0000015,bao:0000207,http://www.bioassayontology.org/bao#BAO_0000207,bao:0000035,http://www.bioassayontology.org/bao#BAO_0000035,8120,8120,8120,1.0,100.0,bao:0000015 -> bao:0000207 -> bao:0000035
shape_000026,bao:0000015,http://www.bioassayontology.org/bao#BAO_0000015,bao:0000209,http://www.bioassayontology.org/bao#BAO_0000209,bao:0000040,http://www.bioassayontology.org/bao#BAO_0000040,8120,8120,8120,1.0,100.0,bao:0000015 -> bao:0000209 -> bao:0000040
shape_000031,bao:0000015,http://www.bioassayontology.org/bao#BAO_0000015,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,owl:Class,http://www.w3.org/2002/07/owl#Class,8120,8120,8120,1.0,100.0,bao:0000015 -> rdf:type -> owl:Class
shape_000032,aopo:AdverseOutcome,http://aopkb.org/aop_ontology#AdverseOutcome,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,owl:Class,http://www.w3.org/2002/07/owl#Class,1,1,1,1.0,100.0,aopo:AdverseOutcome -> rdf:type -> owl:Class
shape_000030,pato:0000117,http://purl.obolibrary.org/obo/PATO_0000117,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,owl:Class,http://www.w3.org/2002/07/owl#Class,2320,2320,2320,1.0,100.0,pato:0000117 -> rdf:type -> owl:Class
shape_000048,bao:0000040,http://www.bioassayontology.org/bao#BAO_0000040,bao:0000208,http://www.bioassayontology.org/bao#BAO_0000208,bao:0000179,http://www.bioassayontology.org/bao#BAO_0000179,8120,8120,8120,1.0,100.0,bao:0000040 -> bao:0000208 -> bao:0000179
shape_000088,bao:0000015,http://www.bioassayontology.org/bao#BAO_0000015,bao:0002846,http://www.bioassayontology.org/bao#BAO_0002846,obi:0000272,http://purl.obolibrary.org/obo/OBI_0000272,8120,8120,8120,1.0,100.0,bao:0000015 -> bao:0002846 -> obi:0000272
shape_000103,chebi:59999,http://purl.obolibrary.org/obo/CHEBI_59999,bfo:0000056,http://purl.obolibrary.org/obo/BFO_0000056,bao:0000040,http://www.bioassayontology.org/bao#BAO_0000040,1160,1160,1160,1.0,100.0,chebi:59999 -> bfo:0000056 -> bao:0000040
shape_000077,chebi:59999,http://purl.obolibrary.org/obo/CHEBI_59999,dcterms:source,http://purl.org/dc/terms/source,wikidata:Q13442814,http://www.wikidata.org/entity/Q13442814,1160,1160,1160,1.0,100.0,chebi:59999 -> dcterms:source -> wikidata:Q13442814
shape_000052,owl:Axiom,http://www.w3.org/2002/07/owl#Axiom,owl:annotatedSource,http://www.w3.org/2002/07/owl#annotatedSource,owl:Class,http://www.w3.org/2002/07/owl#Class,539062,538728,538728,0.9994,99.94,owl:Axiom -> owl:annotatedSource -> owl:Class
shape_000104,owl:Restriction,http://www.w3.org/2002/07/owl#Restriction,owl:onProperty,http://www.w3.org/2002/07/owl#onProperty,owl:ObjectProperty,http://www.w3.org/2002/07/owl#ObjectProperty,90721,90610,90610,0.9988,99.88,owl:Restriction -> owl:onProperty -> owl:ObjectProperty
shape_000130,owl:Axiom,http://www.w3.org/2002/07/owl#Axiom,owl:annotatedProperty,http://www.w3.org/2002/07/owl#annotatedProperty,owl:AnnotationProperty,http://www.w3.org/2002/07/owl#AnnotationProperty,539062,538230,538230,0.9985,99.85,owl:Axiom -> owl:annotatedProperty -> owl:AnnotationProperty
shape_000114,owl:Restriction,http://www.w3.org/2002/07/owl#Restriction,owl:someValuesFrom,http://www.w3.org/2002/07/owl#someValuesFrom,owl:Class,http://www.w3.org/2002/07/owl#Class,90721,90483,90483,0.9974,99.74,owl:Restriction -> owl:someValuesFrom -> owl:Class
shape_000008,owl:Class,http://www.w3.org/2002/07/owl#Class,rdfs:subClassOf,http://www.w3.org/2000/01/rdf-schema#subClassOf,owl:Class,http://www.w3.org/2002/07/owl#Class,194235,174708,174708,0.8995,89.95,owl:Class -> rdfs:subClassOf -> owl:Class
shape_000122,chebi:59999,http://purl.obolibrary.org/obo/CHEBI_59999,dcterms:type,http://purl.org/dc/terms/type,owl:Class,http://www.w3.org/2002/07/owl#Class,1160,1037,1037,0.894,89.4,chebi:59999 -> dcterms:type -> owl:Class
shape_000018,pato:0000117,http://purl.obolibrary.org/obo/PATO_0000117,resource:has-unit,http://semanticscience.org/resource/has-unit,owl:Class,http://www.w3.org/2002/07/owl#Class,2320,2073,2073,0.8935,89.35,pato:0000117 -> resource:has-unit -> owl:Class
shape_000017,pato:0000117,http://purl.obolibrary.org/obo/PATO_0000117,resource:has-unit,http://semanticscience.org/resource/has-unit,owl:NamedIndividual,http://www.w3.org/2002/07/owl#NamedIndividual,2320,2073,2073,0.8935,89.35,pato:0000117 -> resource:has-unit -> owl:NamedIndividual
shape_000015,npo:1914,http://purl.bioontology.org/ontology/npo#NPO_1914,resource:has-unit,http://semanticscience.org/resource/has-unit,owl:NamedIndividual,http://www.w3.org/2002/07/owl#NamedIndividual,2320,1971,1971,0.8496,84.96,npo:1914 -> resource:has-unit -> owl:NamedIndividual
shape_000016,npo:1914,http://purl.bioontology.org/ontology/npo#NPO_1914,resource:has-unit,http://semanticscience.org/resource/has-unit,owl:Class,http://www.w3.org/2002/07/owl#Class,2320,1971,1971,0.8496,84.96,npo:1914 -> resource:has-unit -> owl:Class
shape_000078,owl:Class,http://www.w3.org/2002/07/owl#Class,oboinowl:inSubset,http://www.geneontology.org/formats/oboInOwl#inSubset,owl:AnnotationProperty,http://www.w3.org/2002/07/owl#AnnotationProperty,194235,161842,161842,0.8332,83.32,owl:Class -> oboinowl:inSubset -> owl:AnnotationProperty
shape_000021,npo:1812,http://purl.bioontology.org/ontology/npo#NPO_1812,resource:has-unit,http://semanticscience.org/resource/has-unit,owl:NamedIndividual,http://www.w3.org/2002/07/owl#NamedIndividual,2320,1793,1793,0.7728,77.28,npo:1812 -> resource:has-unit -> owl:NamedIndividual
shape_000022,npo:1812,http://purl.bioontology.org/ontology/npo#NPO_1812,resource:has-unit,http://semanticscience.org/resource/has-unit,owl:Class,http://www.w3.org/2002/07/owl#Class,2320,1793,1793,0.7728,77.28,npo:1812 -> resource:has-unit -> owl:Class
shape_000101,owl:ObjectProperty,http://www.w3.org/2002/07/owl#ObjectProperty,rdfs:subPropertyOf,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,owl:ObjectProperty,http://www.w3.org/2002/07/owl#ObjectProperty,86,64,64,0.7442,74.42,owl:ObjectProperty -> rdfs:subPropertyOf -> owl:ObjectProperty
shape_000100,owl:TransitiveProperty,http://www.w3.org/2002/07/owl#TransitiveProperty,rdfs:subPropertyOf,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,owl:ObjectProperty,http://www.w3.org/2002/07/owl#ObjectProperty,6,4,4,0.6667,66.67,owl:TransitiveProperty -> rdfs:subPropertyOf -> owl:ObjectProperty
shape_000023,pato:0001334,http://purl.obolibrary.org/obo/PATO_0001334,resource:has-unit,http://semanticscience.org/resource/has-unit,owl:NamedIndividual,http://www.w3.org/2002/07/owl#NamedIndividual,4640,2517,2517,0.5425,54.25,pato:0001334 -> resource:has-unit -> owl:NamedIndividual
shape_000024,pato:0001334,http://purl.obolibrary.org/obo/PATO_0001334,resource:has-unit,http://semanticscience.org/resource/has-unit,owl:Class,http://www.w3.org/2002/07/owl#Class,4640,2517,2517,0.5425,54.25,pato:0001334 -> resource:has-unit -> owl:Class
shape_000020,bao:0000179,http://www.bioassayontology.org/bao#BAO_0000179,resource:has-unit,http://semanticscience.org/resource/has-unit,owl:Class,http://www.w3.org/2002/07/owl#Class,15842,8354,8354,0.5273,52.73,bao:0000179 -> resource:has-unit -> owl:Class
shape_000019,bao:0000179,http://www.bioassayontology.org/bao#BAO_0000179,resource:has-unit,http://semanticscience.org/resource/has-unit,owl:NamedIndividual,http://www.w3.org/2002/07/owl#NamedIndividual,15842,8354,8354,0.5273,52.73,bao:0000179 -> resource:has-unit -> owl:NamedIndividual
shape_000063,pato:0001334,http://purl.obolibrary.org/obo/PATO_0001334,bao:0095000,http://www.bioassayontology.org/bao#BAO_0095000,pato:0001334,http://purl.obolibrary.org/obo/PATO_0001334,4640,2320,2320,0.5,50.0,pato:0001334 -> bao:0095000 -> pato:0001334
shape_000064,pato:0001334,http://purl.obolibrary.org/obo/PATO_0001334,bao:0095000,http://www.bioassayontology.org/bao#BAO_0095000,bao:0000179,http://www.bioassayontology.org/bao#BAO_0000179,4640,2320,2320,0.5,50.0,pato:0001334 -> bao:0095000 -> bao:0000179
shape_000061,pato:0000117,http://purl.obolibrary.org/obo/PATO_0000117,bao:0095000,http://www.bioassayontology.org/bao#BAO_0095000,bao:0000179,http://www.bioassayontology.org/bao#BAO_0000179,2320,1160,1160,0.5,50.0,pato:0000117 -> bao:0095000 -> bao:0000179
shape_000062,pato:0000117,http://purl.obolibrary.org/obo/PATO_0000117,bao:0095000,http://www.bioassayontology.org/bao#BAO_0095000,pato:0000117,http://purl.obolibrary.org/obo/PATO_0000117,2320,1160,1160,0.5,50.0,pato:0000117 -> bao:0095000 -> pato:0000117
shape_000065,npo:1812,http://purl.bioontology.org/ontology/npo#NPO_1812,bao:0095000,http://www.bioassayontology.org/bao#BAO_0095000,npo:1812,http://purl.bioontology.org/ontology/npo#NPO_1812,2320,1160,1160,0.5,50.0,npo:1812 -> bao:0095000 -> npo:1812
shape_000066,npo:1812,http://purl.bioontology.org/ontology/npo#NPO_1812,bao:0095000,http://www.bioassayontology.org/bao#BAO_0095000,bao:0000179,http://www.bioassayontology.org/bao#BAO_0000179,2320,1160,1160,0.5,50.0,npo:1812 -> bao:0095000 -> bao:0000179
shape_000069,cheminf:000515,http://semanticscience.org/resource/CHEMINF_000515,bao:0095000,http://www.bioassayontology.org/bao#BAO_0095000,cheminf:000515,http://semanticscience.org/resource/CHEMINF_000515,2320,1160,1160,0.5,50.0,cheminf:000515 -> bao:0095000 -> cheminf:000515
shape_000070,cheminf:000515,http://semanticscience.org/resource/CHEMINF_000515,bao:0095000,http://www.bioassayontology.org/bao#BAO_0095000,bao:0000179,http://www.bioassayontology.org/bao#BAO_0000179,2320,1160,1160,0.5,50.0,cheminf:000515 -> bao:0095000 -> bao:0000179
shape_000068,npo:1914,http://purl.bioontology.org/ontology/npo#NPO_1914,bao:0095000,http://www.bioassayontology.org/bao#BAO_0095000,bao:0000179,http://www.bioassayontology.org/bao#BAO_0000179,2320,1160,1160,0.5,50.0,npo:1914 -> bao:0095000 -> bao:0000179
shape_000067,npo:1914,http://purl.bioontology.org/ontology/npo#NPO_1914,bao:0095000,http://www.bioassayontology.org/bao#BAO_0095000,npo:1914,http://purl.bioontology.org/ontology/npo#NPO_1914,2320,1160,1160,0.5,50.0,npo:1914 -> bao:0095000 -> npo:1914
shape_000060,bao:0000179,http://www.bioassayontology.org/bao#BAO_0000179,bao:0095000,http://www.bioassayontology.org/bao#BAO_0095000,bao:0000179,http://www.bioassayontology.org/bao#BAO_0000179,15842,6960,6960,0.4393,43.93,bao:0000179 -> bao:0095000 -> bao:0000179
shape_000010,owl:NamedIndividual,http://www.w3.org/2002/07/owl#NamedIndividual,rdfs:subClassOf,http://www.w3.org/2000/01/rdf-schema#subClassOf,owl:Class,http://www.w3.org/2002/07/owl#Class,668,261,261,0.3907,39.07,owl:NamedIndividual -> rdfs:subClassOf -> owl:Class
shape_000097,owl:DatatypeProperty,http://www.w3.org/2002/07/owl#DatatypeProperty,rdfs:range,http://www.w3.org/2000/01/rdf-schema#range,rdfs:Datatype,http://www.w3.org/2000/01/rdf-schema#Datatype,18,7,7,0.3889,38.89,owl:DatatypeProperty -> rdfs:range -> rdfs:Datatype
shape_000084,owl:NamedIndividual,http://www.w3.org/2002/07/owl#NamedIndividual,iao:0000114,http://purl.obolibrary.org/obo/IAO_0000114,owl:NamedIndividual,http://www.w3.org/2002/07/owl#NamedIndividual,668,230,230,0.3443,34.43,owl:NamedIndividual -> iao:0000114 -> owl:NamedIndividual
