shape_id,subject_class,subject_uri,property,property_uri,object_class,object_uri,total_entities,participating_entities,occurrence_count,coverage_ratio,coverage_percent,shape_pattern
shape_000058,skos:Concept,http://www.w3.org/2004/02/skos/core#Concept,skos:inScheme,http://www.w3.org/2004/02/skos/core#inScheme,vocabulary:Concept,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Concept,6047,6025,6025,0.9964,99.64,skos:Concept -> skos:inScheme -> vocabulary:Concept
shape_000057,skos:Concept,http://www.w3.org/2004/02/skos/core#Concept,skos:inScheme,http://www.w3.org/2004/02/skos/core#inScheme,skos:ConceptScheme,http://www.w3.org/2004/02/skos/core#ConceptScheme,6047,6025,6025,0.9964,99.64,skos:Concept -> skos:inScheme -> skos:ConceptScheme
shape_000070,vocabulary:Concept,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Concept,skos:inScheme,http://www.w3.org/2004/02/skos/core#inScheme,vocabulary:Concept,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Concept,6049,6025,6025,0.996,99.6,vocabulary:Concept -> skos:inScheme -> vocabulary:Concept
shape_000069,vocabulary:Concept,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Concept,skos:inScheme,http://www.w3.org/2004/02/skos/core#inScheme,skos:ConceptScheme,http://www.w3.org/2004/02/skos/core#ConceptScheme,6049,6025,6025,0.996,99.6,vocabulary:Concept -> skos:inScheme -> skos:ConceptScheme
shape_000040,skos:Concept,http://www.w3.org/2004/02/skos/core#Concept,skos:broader,http://www.w3.org/2004/02/skos/core#broader,vocabulary:Concept,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Concept,6047,5994,5994,0.9912,99.12,skos:Concept -> skos:broader -> vocabulary:Concept
shape_000038,skos:Concept,http://www.w3.org/2004/02/skos/core#Concept,skos:broader,http://www.w3.org/2004/02/skos/core#broader,skos:Concept,http://www.w3.org/2004/02/skos/core#Concept,6047,5994,5994,0.9912,99.12,skos:Concept -> skos:broader -> skos:Concept
shape_000052,vocabulary:Concept,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Concept,skos:broader,http://www.w3.org/2004/02/skos/core#broader,vocabulary:Concept,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Concept,6049,5994,5994,0.9909,99.09,vocabulary:Concept -> skos:broader -> vocabulary:Concept
shape_000050,vocabulary:Concept,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Concept,skos:broader,http://www.w3.org/2004/02/skos/core#broader,skos:Concept,http://www.w3.org/2004/02/skos/core#Concept,6049,5994,5994,0.9909,99.09,vocabulary:Concept -> skos:broader -> skos:Concept
shape_000007,skos:ConceptScheme,http://www.w3.org/2004/02/skos/core#ConceptScheme,pav:importedFrom,http://purl.org/pav/importedFrom,owl:Class,http://www.w3.org/2002/07/owl#Class,2,0,0,0.0,0.0,skos:ConceptScheme -> pav:importedFrom -> owl:Class
shape_000006,skos:ConceptScheme,http://www.w3.org/2004/02/skos/core#ConceptScheme,pav:importedFrom,http://purl.org/pav/importedFrom,dcterms:Dataset,http://purl.org/dc/terms/Dataset,2,0,0,0.0,0.0,skos:ConceptScheme -> pav:importedFrom -> dcterms:Dataset
shape_000005,skos:Concept,http://www.w3.org/2004/02/skos/core#Concept,pav:importedFrom,http://purl.org/pav/importedFrom,vocabulary:Source,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Source,6047,0,0,0.0,0.0,skos:Concept -> pav:importedFrom -> vocabulary:Source
shape_000004,skos:Concept,http://www.w3.org/2004/02/skos/core#Concept,pav:importedFrom,http://purl.org/pav/importedFrom,vocabulary:Concept,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Concept,6047,0,0,0.0,0.0,skos:Concept -> pav:importedFrom -> vocabulary:Concept
shape_000003,skos:Concept,http://www.w3.org/2004/02/skos/core#Concept,pav:importedFrom,http://purl.org/pav/importedFrom,skos:ConceptScheme,http://www.w3.org/2004/02/skos/core#ConceptScheme,6047,0,0,0.0,0.0,skos:Concept -> pav:importedFrom -> skos:ConceptScheme
shape_000002,skos:Concept,http://www.w3.org/2004/02/skos/core#Concept,pav:importedFrom,http://purl.org/pav/importedFrom,skos:Concept,http://www.w3.org/2004/02/skos/core#Concept,6047,0,0,0.0,0.0,skos:Concept -> pav:importedFrom -> skos:Concept
shape_000001,skos:Concept,http://www.w3.org/2004/02/skos/core#Concept,pav:importedFrom,http://purl.org/pav/importedFrom,owl:Class,http://www.w3.org/2002/07/owl#Class,6047,0,0,0.0,0.0,skos:Concept -> pav:importedFrom -> owl:Class
shape_000000,skos:Concept,http://www.w3.org/2004/02/skos/core#Concept,pav:importedFrom,http://purl.org/pav/importedFrom,dcterms:Dataset,http://purl.org/dc/terms/Dataset,6047,0,0,0.0,0.0,skos:Concept -> pav:importedFrom -> dcterms:Dataset
shape_000016,vocabulary:Concept,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Concept,pav:importedFrom,http://purl.org/pav/importedFrom,vocabulary:Concept,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Concept,6049,0,0,0.0,0.0,vocabulary:Concept -> pav:importedFrom -> vocabulary:Concept
shape_000008,skos:ConceptScheme,http://www.w3.org/2004/02/skos/core#ConceptScheme,pav:importedFrom,http://purl.org/pav/importedFrom,skos:Concept,http://www.w3.org/2004/02/skos/core#Concept,2,0,0,0.0,0.0,skos:ConceptScheme -> pav:importedFrom -> skos:Concept
shape_000010,skos:ConceptScheme,http://www.w3.org/2004/02/skos/core#ConceptScheme,pav:importedFrom,http://purl.org/pav/importedFrom,vocabulary:Concept,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Concept,2,0,0,0.0,0.0,skos:ConceptScheme -> pav:importedFrom -> vocabulary:Concept
shape_000009,skos:ConceptScheme,http://www.w3.org/2004/02/skos/core#ConceptScheme,pav:importedFrom,http://purl.org/pav/importedFrom,skos:ConceptScheme,http://www.w3.org/2004/02/skos/core#ConceptScheme,2,0,0,0.0,0.0,skos:ConceptScheme -> pav:importedFrom -> skos:ConceptScheme
