shape_id,subject_class,subject_uri,property,property_uri,object_class,object_uri,total_entities,participating_entities,occurrence_count,coverage_ratio,coverage_percent,shape_pattern
shape_000299,bio2rdf:wormbase_vocabulary:Negative-Gene-Phenotype-Association,http://bio2rdf.org/wormbase_vocabulary:Negative-Gene-Phenotype-Association,bio2rdf:wormbase_vocabulary:phenotype,http://bio2rdf.org/wormbase_vocabulary:phenotype,bio2rdf:wbphenotype_vocabulary:Resource,http://bio2rdf.org/wbphenotype_vocabulary:Resource,324749,324749,324749,1.0,100.0,bio2rdf:wormbase_vocabulary:Negative-Gene-Phenotype-Association -> bio2rdf:wormbase_vocabulary:phenotype -> bio2rdf:wbphenotype_vocabulary:Resource
shape_000298,bio2rdf:wormbase_vocabulary:Gene-Phenotype-Association,http://bio2rdf.org/wormbase_vocabulary:Gene-Phenotype-Association,bio2rdf:wormbase_vocabulary:phenotype,http://bio2rdf.org/wormbase_vocabulary:phenotype,bio2rdf:wbphenotype_vocabulary:Resource,http://bio2rdf.org/wbphenotype_vocabulary:Resource,96075,96075,96075,1.0,100.0,bio2rdf:wormbase_vocabulary:Gene-Phenotype-Association -> bio2rdf:wormbase_vocabulary:phenotype -> bio2rdf:wbphenotype_vocabulary:Resource
shape_000273,bio2rdf:wormbase_vocabulary:Gene-GO-Association,http://bio2rdf.org/wormbase_vocabulary:Gene-GO-Association,bio2rdf:wormbase_vocabulary:x-go,http://bio2rdf.org/wormbase_vocabulary:x-go,bio2rdf:go_vocabulary:Resource,http://bio2rdf.org/go_vocabulary:Resource,273163,273163,273163,1.0,100.0,bio2rdf:wormbase_vocabulary:Gene-GO-Association -> bio2rdf:wormbase_vocabulary:x-go -> bio2rdf:go_vocabulary:Resource
shape_000268,bio2rdf:wormbase_vocabulary:Gene-GO-Association,http://bio2rdf.org/wormbase_vocabulary:Gene-GO-Association,bio2rdf:wormbase_vocabulary:x-taxonomy,http://bio2rdf.org/wormbase_vocabulary:x-taxonomy,bio2rdf:taxonomy_vocabulary:Resource,http://bio2rdf.org/taxonomy_vocabulary:Resource,273163,273163,273163,1.0,100.0,bio2rdf:wormbase_vocabulary:Gene-GO-Association -> bio2rdf:wormbase_vocabulary:x-taxonomy -> bio2rdf:taxonomy_vocabulary:Resource
shape_000033,bio2rdf:wormbase_vocabulary:RNAi,http://bio2rdf.org/wormbase_vocabulary:RNAi,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,bio2rdf:wormbase_vocabulary:Resource,http://bio2rdf.org/wormbase_vocabulary:Resource,99307,99307,99307,1.0,100.0,bio2rdf:wormbase_vocabulary:RNAi -> rdf:type -> bio2rdf:wormbase_vocabulary:Resource
shape_000031,bio2rdf:wormbase_vocabulary:Complete_mutual_suppression-Genetic-Interaction,http://bio2rdf.org/wormbase_vocabulary:Complete_mutual_suppression-Genetic-Interaction,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,owl:Class,http://www.w3.org/2002/07/owl#Class,1,1,1,1.0,100.0,bio2rdf:wormbase_vocabulary:Complete_mutual_suppression-Genetic-Interaction -> rdf:type -> owl:Class
shape_000030,bio2rdf:wormbase_vocabulary:Complete_mutual_suppression-Genetic-Interaction,http://bio2rdf.org/wormbase_vocabulary:Complete_mutual_suppression-Genetic-Interaction,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,bio2rdf:wormbase_vocabulary:Resource,http://bio2rdf.org/wormbase_vocabulary:Resource,1,1,1,1.0,100.0,bio2rdf:wormbase_vocabulary:Complete_mutual_suppression-Genetic-Interaction -> rdf:type -> bio2rdf:wormbase_vocabulary:Resource
shape_000026,owl:DatatypeProperty,http://www.w3.org/2002/07/owl#DatatypeProperty,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,rdfs:Resource,http://www.w3.org/2000/01/rdf-schema#Resource,9,9,9,1.0,100.0,owl:DatatypeProperty -> rdf:type -> rdfs:Resource
shape_000025,bio2rdf:wormbase_vocabulary:Gene-GO-Association,http://bio2rdf.org/wormbase_vocabulary:Gene-GO-Association,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,owl:Class,http://www.w3.org/2002/07/owl#Class,273163,273163,273163,1.0,100.0,bio2rdf:wormbase_vocabulary:Gene-GO-Association -> rdf:type -> owl:Class
shape_000024,bio2rdf:wormbase_vocabulary:Gene-GO-Association,http://bio2rdf.org/wormbase_vocabulary:Gene-GO-Association,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,bio2rdf:wormbase_vocabulary:Resource,http://bio2rdf.org/wormbase_vocabulary:Resource,273163,273163,273163,1.0,100.0,bio2rdf:wormbase_vocabulary:Gene-GO-Association -> rdf:type -> bio2rdf:wormbase_vocabulary:Resource
