shape_id,subject_class,subject_uri,property,property_uri,object_class,object_uri,total_entities,occurrence_count,coverage_ratio,coverage_percent,shape_pattern,participating_entities
shape_000530,owl:Class,http://www.w3.org/2002/07/owl#Class,rdfs:label,http://www.w3.org/2000/01/rdf-schema#label,Literal,Literal,2,2,1.0,100.0,owl:Class -> rdfs:label -> Literal,2.0
shape_000531,owl:DatatypeProperty,http://www.w3.org/2002/07/owl#DatatypeProperty,rdfs:label,http://www.w3.org/2000/01/rdf-schema#label,Literal,Literal,47,47,1.0,100.0,owl:DatatypeProperty -> rdfs:label -> Literal,47.0
shape_000579,bibo:Journal,http://purl.org/ontology/bibo/Journal,bibo:title,http://purl.org/ontology/bibo/title,Literal,Literal,0,0,0.0,0.0,bibo:Journal -> bibo:title -> Literal,
shape_000580,bibo:Journal,http://purl.org/ontology/bibo/Journal,dcterms:publisher,http://purl.org/dc/terms/publisher,Literal,Literal,0,0,0.0,0.0,bibo:Journal -> dcterms:publisher -> Literal,
shape_000581,bibo:Journal,http://purl.org/ontology/bibo/Journal,uniprot.core:shortCoden,http://purl.uniprot.org/core/shortCoden,Literal,Literal,0,0,0.0,0.0,bibo:Journal -> uniprot.core:shortCoden -> Literal,
shape_000582,uniprot.core:Cellular_Component,http://purl.uniprot.org/core/Cellular_Component,uniprot.core:alias,http://purl.uniprot.org/core/alias,Literal,Literal,0,0,0.0,0.0,uniprot.core:Cellular_Component -> uniprot.core:alias -> Literal,
shape_000583,uniprot.core:Topology,http://purl.uniprot.org/core/Topology,uniprot.core:alias,http://purl.uniprot.org/core/alias,Literal,Literal,0,0,0.0,0.0,uniprot.core:Topology -> uniprot.core:alias -> Literal,
shape_000584,uniprot.core:Orientation,http://purl.uniprot.org/core/Orientation,uniprot.core:alias,http://purl.uniprot.org/core/alias,Resource,Resource,0,0,0.0,0.0,uniprot.core:Orientation -> uniprot.core:alias -> Resource,
shape_000585,uniprot.core:Reference_Proteome,http://purl.uniprot.org/core/Reference_Proteome,dcterms:modified,http://purl.org/dc/terms/modified,Literal,Literal,0,0,0.0,0.0,uniprot.core:Reference_Proteome -> dcterms:modified -> Literal,
shape_000586,uniprot.core:Representative_Proteome,http://purl.uniprot.org/core/Representative_Proteome,dcterms:modified,http://purl.org/dc/terms/modified,Literal,Literal,0,0,0.0,0.0,uniprot.core:Representative_Proteome -> dcterms:modified -> Literal,
shape_000587,uniprot.core:Proteome,http://purl.uniprot.org/core/Proteome,dcterms:modified,http://purl.org/dc/terms/modified,Resource,Resource,0,0,0.0,0.0,uniprot.core:Proteome -> dcterms:modified -> Resource,
shape_000588,foaf:Image,http://xmlns.com/foaf/0.1/Image,uniprot.core:height,http://purl.uniprot.org/core/height,Literal,Literal,0,0,0.0,0.0,foaf:Image -> uniprot.core:height -> Literal,
shape_000589,rdf:Statement,http://www.w3.org/1999/02/22-rdf-syntax-ns#Statement,rdf:predicate,http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate,Resource,Resource,0,0,0.0,0.0,rdf:Statement -> rdf:predicate -> Resource,
shape_000578,bibo:Journal,http://purl.org/ontology/bibo/Journal,bibo:shortTitle,http://purl.org/ontology/bibo/shortTitle,Literal,Literal,0,0,0.0,0.0,bibo:Journal -> bibo:shortTitle -> Literal,
shape_000591,rdf:Statement,http://www.w3.org/1999/02/22-rdf-syntax-ns#Statement,uniprot.core:attribution,http://purl.uniprot.org/core/attribution,Resource,Resource,0,0,0.0,0.0,rdf:Statement -> uniprot.core:attribution -> Resource,
shape_000592,uniprot.core:Citation_Statement,http://purl.uniprot.org/core/Citation_Statement,uniprot.core:attribution,http://purl.uniprot.org/core/attribution,Resource,Resource,0,0,0.0,0.0,uniprot.core:Citation_Statement -> uniprot.core:attribution -> Resource,
shape_000593,uniprot.core:Protein,http://purl.uniprot.org/core/Protein,uniprot.core:attribution,http://purl.uniprot.org/core/attribution,Resource,Resource,0,0,0.0,0.0,uniprot.core:Protein -> uniprot.core:attribution -> Resource,
shape_000594,rdf:Statement,http://www.w3.org/1999/02/22-rdf-syntax-ns#Statement,uniprot.core:scope,http://purl.uniprot.org/core/scope,Resource,Resource,0,0,0.0,0.0,rdf:Statement -> uniprot.core:scope -> Resource,
