shape_id,subject_class,subject_uri,property,property_uri,object_class,object_uri,total_entities,participating_entities,occurrence_count,coverage_ratio,coverage_percent,shape_pattern
shape_000031,aopo:KeyEvent,http://aopkb.org/aop_ontology#KeyEvent,dc:identifier,http://purl.org/dc/elements/1.1/identifier,aopo:KeyEvent,http://aopkb.org/aop_ontology#KeyEvent,1561,1561,1561,1.0,100.0,aopo:KeyEvent -> dc:identifier -> aopo:KeyEvent
shape_000051,ncbitaxon:131567,http://purl.bioontology.org/ontology/NCBITAXON/131567,dc:identifier,http://purl.org/dc/elements/1.1/identifier,ncbitaxon:131567,http://purl.bioontology.org/ontology/NCBITAXON/131567,176,176,176,1.0,100.0,ncbitaxon:131567 -> dc:identifier -> ncbitaxon:131567
shape_000053,aopo:AdverseOutcomePathway,http://aopkb.org/aop_ontology#AdverseOutcomePathway,foaf:page,http://xmlns.com/foaf/0.1/page,aopo:AdverseOutcomePathway,http://aopkb.org/aop_ontology#AdverseOutcomePathway,567,567,567,1.0,100.0,aopo:AdverseOutcomePathway -> foaf:page -> aopo:AdverseOutcomePathway
shape_000052,aopo:KeyEventRelationship,http://aopkb.org/aop_ontology#KeyEventRelationship,foaf:page,http://xmlns.com/foaf/0.1/page,aopo:KeyEventRelationship,http://aopkb.org/aop_ontology#KeyEventRelationship,2267,2267,2267,1.0,100.0,aopo:KeyEventRelationship -> foaf:page -> aopo:KeyEventRelationship
shape_000054,aopo:KeyEvent,http://aopkb.org/aop_ontology#KeyEvent,foaf:page,http://xmlns.com/foaf/0.1/page,aopo:KeyEvent,http://aopkb.org/aop_ontology#KeyEvent,1561,1561,1561,1.0,100.0,aopo:KeyEvent -> foaf:page -> aopo:KeyEvent
shape_000055,ncit:C54571,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C54571,foaf:page,http://xmlns.com/foaf/0.1/page,ncit:C54571,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C54571,734,734,734,1.0,100.0,ncit:C54571 -> foaf:page -> ncit:C54571
shape_000047,cheminf:000000,http://semanticscience.org/resource/CHEMINF_000000,dc:identifier,http://purl.org/dc/elements/1.1/identifier,cheminf:000446,http://semanticscience.org/resource/CHEMINF_000446,410,410,410,1.0,100.0,cheminf:000000 -> dc:identifier -> cheminf:000446
shape_000097,aopo:KeyEventRelationship,http://aopkb.org/aop_ontology#KeyEventRelationship,aopo:has_upstream_key_event,http://aopkb.org/aop_ontology#has_upstream_key_event,aopo:KeyEvent,http://aopkb.org/aop_ontology#KeyEvent,2267,2267,2267,1.0,100.0,aopo:KeyEventRelationship -> aopo:has_upstream_key_event -> aopo:KeyEvent
shape_000068,cheminf:000446,http://semanticscience.org/resource/CHEMINF_000446,dcterms:isPartOf,http://purl.org/dc/terms/isPartOf,ncit:C54571,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C54571,410,410,410,1.0,100.0,cheminf:000446 -> dcterms:isPartOf -> ncit:C54571
shape_000082,aopo:KeyEventRelationship,http://aopkb.org/aop_ontology#KeyEventRelationship,rdfs:seeAlso,http://www.w3.org/2000/01/rdf-schema#seeAlso,aopo:KeyEventRelationship,http://aopkb.org/aop_ontology#KeyEventRelationship,2267,2267,2267,1.0,100.0,aopo:KeyEventRelationship -> rdfs:seeAlso -> aopo:KeyEventRelationship
