prefix,iri,as_subject,as_object,subject_pattern,object_pattern
ensembl,https://identifiers.org/ensembl/ENSG00000088298,0,4,,edam.data:2298 -> skos:exactMatch -> edam.data:1033
ensembl,https://identifiers.org/ensembl/ENSG00000065154,0,2,,edam.data:2298 -> skos:exactMatch -> edam.data:1033
ensembl,https://identifiers.org/ensembl/ENSG00000112425,0,4,,edam.data:2298 -> skos:exactMatch -> edam.data:1033
ensembl,https://identifiers.org/ensembl/ENSG00000175084,0,4,,edam.data:2298 -> skos:exactMatch -> edam.data:1033
ensembl,https://identifiers.org/ensembl/ENSG00000149452,0,4,,edam.data:2298 -> skos:exactMatch -> edam.data:1033
ensembl,https://identifiers.org/ensembl/ENSG00000139687,0,4,,edam.data:2298 -> skos:exactMatch -> edam.data:1033
ensembl,https://identifiers.org/ensembl/ENSG00000214456,0,4,,edam.data:2298 -> skos:exactMatch -> edam.data:1033
ensembl,https://identifiers.org/ensembl/ENSG00000153563,0,4,,edam.data:2298 -> skos:exactMatch -> edam.data:1033
ensembl,https://identifiers.org/ensembl/ENSG00000163606,0,4,,edam.data:2298 -> skos:exactMatch -> edam.data:1033
ensembl,https://identifiers.org/ensembl/ENSG00000141627,0,4,,edam.data:2298 -> skos:exactMatch -> edam.data:1033
ensembl,https://identifiers.org/ensembl/ENSG00000102076,0,4,,edam.data:2298 -> skos:exactMatch -> edam.data:1033
ensembl,https://identifiers.org/ensembl/ENSG00000124429,0,2,,edam.data:2298 -> skos:exactMatch -> edam.data:1033
ensembl,https://identifiers.org/ensembl/ENSG00000100294,0,4,,edam.data:2298 -> skos:exactMatch -> edam.data:1033
ensembl,https://identifiers.org/ensembl/ENSG00000137752,0,4,,edam.data:2298 -> skos:exactMatch -> edam.data:1033
ensembl,https://identifiers.org/ensembl/ENSG00000248098,0,4,,edam.data:2298 -> skos:exactMatch -> edam.data:1033
ensembl,https://identifiers.org/ensembl/ENSG00000173546,0,4,,edam.data:2298 -> skos:exactMatch -> edam.data:1033
ensembl,https://identifiers.org/ensembl/ENSG00000173660,0,2,,edam.data:2298 -> skos:exactMatch -> edam.data:1033
ensembl,https://identifiers.org/ensembl/ENSG00000176697,0,4,,edam.data:2298 -> skos:exactMatch -> edam.data:1033
ensembl,https://identifiers.org/ensembl/ENSG00000108700,0,4,,edam.data:2298 -> skos:exactMatch -> edam.data:1033
ensembl,https://identifiers.org/ensembl/ENSG00000142186,0,4,,edam.data:2298 -> skos:exactMatch -> edam.data:1033
ensembl,https://identifiers.org/ensembl/ENSG00000083807,0,4,,edam.data:2298 -> skos:exactMatch -> edam.data:1033
ensembl,https://identifiers.org/ensembl/ENSG00000250722,0,4,,edam.data:2298 -> skos:exactMatch -> edam.data:1033
ensembl,https://identifiers.org/ensembl/ENSG00000140459,0,4,,edam.data:2298 -> skos:exactMatch -> edam.data:1033
ensembl,https://identifiers.org/ensembl/ENSG00000087116,0,4,,edam.data:2298 -> skos:exactMatch -> edam.data:1033
ensembl,https://identifiers.org/ensembl/ENSG00000129465,0,4,,edam.data:2298 -> skos:exactMatch -> edam.data:1033
ensembl,https://identifiers.org/ensembl/ENSG00000118971,0,4,,edam.data:2298 -> skos:exactMatch -> edam.data:1033
ensembl,https://identifiers.org/ensembl/ENSG00000187486,0,4,,edam.data:2298 -> skos:exactMatch -> edam.data:1033
ensembl,https://identifiers.org/ensembl/ENSG00000148516,0,4,,edam.data:2298 -> skos:exactMatch -> edam.data:1033
ensembl,https://identifiers.org/ensembl/ENSG00000187553,0,4,,edam.data:2298 -> skos:exactMatch -> edam.data:1033
ensembl,https://identifiers.org/ensembl/ENSG00000106804,0,4,,edam.data:2298 -> skos:exactMatch -> edam.data:1033
ensembl,https://identifiers.org/ensembl/ENSG00000234745,0,4,,edam.data:2298 -> skos:exactMatch -> edam.data:1033
ensembl,https://identifiers.org/ensembl/ENSG00000136859,0,4,,edam.data:2298 -> skos:exactMatch -> edam.data:1033
ensembl,https://identifiers.org/ensembl/ENSG00000167207,0,4,,edam.data:2298 -> skos:exactMatch -> edam.data:1033
ensembl,https://identifiers.org/ensembl/ENSG00000261371,0,4,,edam.data:2298 -> skos:exactMatch -> edam.data:1033
ensembl,https://identifiers.org/ensembl/ENSG00000077942,0,4,,edam.data:2298 -> skos:exactMatch -> edam.data:1033
ensembl,https://identifiers.org/ensembl/ENSG00000175206,0,4,,edam.data:2298 -> skos:exactMatch -> edam.data:1033
ensembl,https://identifiers.org/ensembl/ENSG00000163581,0,4,,edam.data:2298 -> skos:exactMatch -> edam.data:1033
ensembl,https://identifiers.org/ensembl/ENSG00000163739,0,4,,edam.data:2298 -> skos:exactMatch -> edam.data:1033
ensembl,https://identifiers.org/ensembl/ENSG00000198077,0,4,,edam.data:2298 -> skos:exactMatch -> edam.data:1033
ensembl,https://identifiers.org/ensembl/ENSG00000197919,0,4,,edam.data:2298 -> skos:exactMatch -> edam.data:1033
ensembl,https://identifiers.org/ensembl/ENSG00000135679,0,4,,edam.data:2298 -> skos:exactMatch -> edam.data:1033
ensembl,https://identifiers.org/ensembl/ENSG00000128617,0,4,,edam.data:2298 -> skos:exactMatch -> edam.data:1033
ensembl,https://identifiers.org/ensembl/ENSG00000079102,0,4,,edam.data:2298 -> skos:exactMatch -> edam.data:1033
ensembl,https://identifiers.org/ensembl/ENSG00000100823,0,4,,edam.data:2298 -> skos:exactMatch -> edam.data:1033
ensembl,https://identifiers.org/ensembl/ENSG00000182481,0,4,,edam.data:2298 -> skos:exactMatch -> edam.data:1033
ensembl,https://identifiers.org/ensembl/ENSG00000113889,0,4,,edam.data:2298 -> skos:exactMatch -> edam.data:1033
ensembl,https://identifiers.org/ensembl/ENSG00000107831,0,4,,edam.data:2298 -> skos:exactMatch -> edam.data:1033
ensembl,https://identifiers.org/ensembl/ENSG00000258597,0,4,,edam.data:2298 -> skos:exactMatch -> edam.data:1033
ensembl,https://identifiers.org/ensembl/ENSG00000106100,0,4,,edam.data:2298 -> skos:exactMatch -> edam.data:1033
ensembl,https://identifiers.org/ensembl/ENSG00000128052,0,4,,edam.data:2298 -> skos:exactMatch -> edam.data:1033
ensembl,https://identifiers.org/ensembl/ENSG00000143365,0,2,,edam.data:2298 -> skos:exactMatch -> edam.data:1033
ensembl,https://identifiers.org/ensembl/ENSG00000198183,0,4,,edam.data:2298 -> skos:exactMatch -> edam.data:1033
ensembl,https://identifiers.org/ensembl/ENSG00000136869,0,4,,edam.data:2298 -> skos:exactMatch -> edam.data:1033
ensembl,https://identifiers.org/ensembl/ENSG00000078295,0,4,,edam.data:2298 -> skos:exactMatch -> edam.data:1033
ensembl,https://identifiers.org/ensembl/ENSG00000104689,0,4,,edam.data:2298 -> skos:exactMatch -> edam.data:1033
ensembl,https://identifiers.org/ensembl/ENSG00000135446,0,4,,edam.data:2298 -> skos:exactMatch -> edam.data:1033
ensembl,https://identifiers.org/ensembl/ENSG00000102683,0,4,,edam.data:2298 -> skos:exactMatch -> edam.data:1033
ensembl,https://identifiers.org/ensembl/ENSG00000136810,0,4,,edam.data:2298 -> skos:exactMatch -> edam.data:1033
