prefix,iri_count,as_subject,as_object,example_iri
uniprot,7850,0,7850,https://identifiers.org/uniprot/Q07869
aop.relationships,2263,2263,2263,https://identifiers.org/aop.relationships/2837
hgnc,1632,1483,1632,https://identifiers.org/hgnc/BCKDHA
aop.events,1557,1557,1557,https://identifiers.org/aop.events/948
ncbigene,1536,0,1536,https://identifiers.org/ncbigene/1387
ensembl,1483,0,1483,https://identifiers.org/ensembl/ENSG00000088298
aop.stressor,730,730,730,https://identifiers.org/aop.stressor/72
aop,565,565,565,https://identifiers.org/aop/315
kegg,466,0,466,https://identifiers.org/kegg.compound/C00505
go,427,427,427,http://purl.obolibrary.org/obo/GO_0004129
hmdb,420,0,420,https://identifiers.org/hmdb/HMDB0014261
chemspider,420,0,420,https://identifiers.org/chemspider/13375217
wikidata,417,0,417,https://identifiers.org/wikidata/Q27264629
pubchem.compound,417,0,417,https://identifiers.org/pubchem.compound/3767
cas,406,406,406,https://identifiers.org/cas/65899-73-2
chembl.compound,344,0,344,https://identifiers.org/chembl.compound/CHEMBL71
drugbank,215,0,215,https://identifiers.org/drugbank/DB00812
ncbitaxon,175,175,175,http://purl.bioontology.org/ontology/NCBITAXON/1211424
pr,172,172,172,http://purl.obolibrary.org/obo/PR_000003392
uberon,118,118,118,http://purl.obolibrary.org/obo/UBERON_0002512
cl,89,89,89,http://purl.obolibrary.org/obo/CL_0002563
chebi,86,86,86,http://purl.obolibrary.org/obo/CHEBI_26214
mp,84,84,84,http://purl.obolibrary.org/obo/MP_0003244
lipidmaps,35,0,35,https://identifiers.org/lipidmaps/LMPK12030005
hp,31,31,31,http://purl.obolibrary.org/obo/HP_0000855
fma,21,21,21,http://purl.obolibrary.org/obo/FMA_67343
vt,13,13,13,http://purl.obolibrary.org/obo/VT_0002090
nbo,8,8,8,http://purl.obolibrary.org/obo/NBO_0000371
mi,4,4,4,http://purl.obolibrary.org/obo/MI_MI:0254
pco,3,3,3,http://purl.obolibrary.org/obo/PCO_0000003
ido,1,1,1,http://purl.obolibrary.org/obo/IDO_0000610
ncit,1,1,1,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25830
rbo,1,1,1,http://purl.obolibrary.org/obo/RBO_00015021
