shape_id,subject_class,subject_uri,property,property_uri,object_class,object_uri,total_entities,participating_entities,occurrence_count,coverage_ratio,coverage_percent,shape_pattern
shape_000000,bio2rdf:apo_vocabulary:Resource,http://bio2rdf.org/apo_vocabulary:Resource,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,owl:Class,http://www.w3.org/2002/07/owl#Class,340,340,340,1.0,100.0,bio2rdf:apo_vocabulary:Resource -> rdf:type -> owl:Class
shape_000008,owl:DeprecatedClass,http://www.w3.org/2002/07/owl#DeprecatedClass,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,rdfs:Resource,http://www.w3.org/2000/01/rdf-schema#Resource,33,33,33,1.0,100.0,owl:DeprecatedClass -> rdf:type -> rdfs:Resource
shape_000006,owl:DeprecatedClass,http://www.w3.org/2002/07/owl#DeprecatedClass,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,owl:Class,http://www.w3.org/2002/07/owl#Class,33,33,33,1.0,100.0,owl:DeprecatedClass -> rdf:type -> owl:Class
shape_000011,owl:DatatypeProperty,http://www.w3.org/2002/07/owl#DatatypeProperty,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,rdfs:Resource,http://www.w3.org/2000/01/rdf-schema#Resource,20,20,20,1.0,100.0,owl:DatatypeProperty -> rdf:type -> rdfs:Resource
shape_000046,bio2rdf:ypo_vocabulary:Resource,http://bio2rdf.org/ypo_vocabulary:Resource,rdfs:seeAlso,http://www.w3.org/2000/01/rdf-schema#seeAlso,bio2rdf:apo_vocabulary:Resource,http://bio2rdf.org/apo_vocabulary:Resource,276,276,276,1.0,100.0,bio2rdf:ypo_vocabulary:Resource -> rdfs:seeAlso -> bio2rdf:apo_vocabulary:Resource
shape_000026,bio2rdf:apo_vocabulary:Resource,http://bio2rdf.org/apo_vocabulary:Resource,rdfs:isDefinedBy,http://www.w3.org/2000/01/rdf-schema#isDefinedBy,owl:Ontology,http://www.w3.org/2002/07/owl#Ontology,340,340,340,1.0,100.0,bio2rdf:apo_vocabulary:Resource -> rdfs:isDefinedBy -> owl:Ontology
shape_000032,owl:DeprecatedClass,http://www.w3.org/2002/07/owl#DeprecatedClass,rdfs:isDefinedBy,http://www.w3.org/2000/01/rdf-schema#isDefinedBy,owl:Ontology,http://www.w3.org/2002/07/owl#Ontology,33,33,33,1.0,100.0,owl:DeprecatedClass -> rdfs:isDefinedBy -> owl:Ontology
shape_000019,owl:ObjectProperty,http://www.w3.org/2002/07/owl#ObjectProperty,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,rdfs:Resource,http://www.w3.org/2000/01/rdf-schema#Resource,3,3,3,1.0,100.0,owl:ObjectProperty -> rdf:type -> rdfs:Resource
shape_000017,owl:Class,http://www.w3.org/2002/07/owl#Class,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,owl:Class,http://www.w3.org/2002/07/owl#Class,341,341,341,1.0,100.0,owl:Class -> rdf:type -> owl:Class
shape_000045,bio2rdf:ypo_vocabulary:Resource,http://bio2rdf.org/ypo_vocabulary:Resource,rdfs:seeAlso,http://www.w3.org/2000/01/rdf-schema#seeAlso,owl:Class,http://www.w3.org/2002/07/owl#Class,276,276,276,1.0,100.0,bio2rdf:ypo_vocabulary:Resource -> rdfs:seeAlso -> owl:Class
shape_000029,owl:Class,http://www.w3.org/2002/07/owl#Class,rdfs:isDefinedBy,http://www.w3.org/2000/01/rdf-schema#isDefinedBy,owl:Ontology,http://www.w3.org/2002/07/owl#Ontology,341,340,340,0.9971,99.71,owl:Class -> rdfs:isDefinedBy -> owl:Ontology
shape_000005,bio2rdf:obo_vocabulary:Resource,http://bio2rdf.org/obo_vocabulary:Resource,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,rdfs:Resource,http://www.w3.org/2000/01/rdf-schema#Resource,19,18,18,0.9474,94.74,bio2rdf:obo_vocabulary:Resource -> rdf:type -> rdfs:Resource
shape_000036,bio2rdf:apo_vocabulary:Resource,http://bio2rdf.org/apo_vocabulary:Resource,rdfs:subClassOf,http://www.w3.org/2000/01/rdf-schema#subClassOf,bio2rdf:apo_vocabulary:Resource,http://bio2rdf.org/apo_vocabulary:Resource,340,303,303,0.8912,89.12,bio2rdf:apo_vocabulary:Resource -> rdfs:subClassOf -> bio2rdf:apo_vocabulary:Resource
shape_000037,bio2rdf:apo_vocabulary:Resource,http://bio2rdf.org/apo_vocabulary:Resource,rdfs:subClassOf,http://www.w3.org/2000/01/rdf-schema#subClassOf,owl:Class,http://www.w3.org/2002/07/owl#Class,340,303,303,0.8912,89.12,bio2rdf:apo_vocabulary:Resource -> rdfs:subClassOf -> owl:Class
shape_000043,owl:Class,http://www.w3.org/2002/07/owl#Class,rdfs:subClassOf,http://www.w3.org/2000/01/rdf-schema#subClassOf,bio2rdf:apo_vocabulary:Resource,http://bio2rdf.org/apo_vocabulary:Resource,341,303,303,0.8886,88.86,owl:Class -> rdfs:subClassOf -> bio2rdf:apo_vocabulary:Resource
shape_000042,owl:Class,http://www.w3.org/2002/07/owl#Class,rdfs:subClassOf,http://www.w3.org/2000/01/rdf-schema#subClassOf,owl:Class,http://www.w3.org/2002/07/owl#Class,341,303,303,0.8886,88.86,owl:Class -> rdfs:subClassOf -> owl:Class
shape_000044,bio2rdf:ypo_vocabulary:Resource,http://bio2rdf.org/ypo_vocabulary:Resource,rdfs:seeAlso,http://www.w3.org/2000/01/rdf-schema#seeAlso,owl:DeprecatedClass,http://www.w3.org/2002/07/owl#DeprecatedClass,276,32,32,0.1159,11.59,bio2rdf:ypo_vocabulary:Resource -> rdfs:seeAlso -> owl:DeprecatedClass
shape_000001,bio2rdf:apo_vocabulary:Resource,http://bio2rdf.org/apo_vocabulary:Resource,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,rdfs:Resource,http://www.w3.org/2000/01/rdf-schema#Resource,340,33,33,0.0971,9.71,bio2rdf:apo_vocabulary:Resource -> rdf:type -> rdfs:Resource
shape_000016,owl:Class,http://www.w3.org/2002/07/owl#Class,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,rdfs:Resource,http://www.w3.org/2000/01/rdf-schema#Resource,341,33,33,0.0968,9.68,owl:Class -> rdf:type -> rdfs:Resource
