shape_id,subject_class,subject_uri,property,property_uri,object_class,object_uri,total_entities,occurrence_count,coverage_ratio,coverage_percent,shape_pattern
shape_000633,sparqlserv:Service,http://www.w3.org/ns/sparql-service-description#Service,sparqlserv:resultFormat,http://www.w3.org/ns/sparql-service-description#resultFormat,Resource,Resource,0,0,0.0,0.0,sparqlserv:Service -> sparqlserv:resultFormat -> Resource
shape_000000,owl:OntologyProperty,http://www.w3.org/2002/07/owl#OntologyProperty,rdfs:range,http://www.w3.org/2000/01/rdf-schema#range,rdfs:Class,http://www.w3.org/2000/01/rdf-schema#Class,0,0,0.0,0.0,owl:OntologyProperty -> rdfs:range -> rdfs:Class
shape_000594,cdao:0000140,http://purl.obolibrary.org/obo/CDAO_0000140,lscr:xrefUniprot,http://purl.org/lscr#xrefUniprot,Resource,Resource,0,0,0.0,0.0,cdao:0000140 -> lscr:xrefUniprot -> Resource
shape_000595,orth:SequenceUnit,http://purl.org/net/orth#SequenceUnit,lscr:xrefUniprot,http://purl.org/lscr#xrefUniprot,Resource,Resource,0,0,0.0,0.0,orth:SequenceUnit -> lscr:xrefUniprot -> Resource
shape_000596,bfo:0000002,http://purl.obolibrary.org/obo/BFO_0000002,lscr:xrefUniprot,http://purl.org/lscr#xrefUniprot,Resource,Resource,0,0,0.0,0.0,bfo:0000002 -> lscr:xrefUniprot -> Resource
shape_000597,orth:GeneTreeNode,http://purl.org/net/orth#GeneTreeNode,lscr:xrefUniprot,http://purl.org/lscr#xrefUniprot,Resource,Resource,0,0,0.0,0.0,orth:GeneTreeNode -> lscr:xrefUniprot -> Resource
shape_000598,orth:Gene,http://purl.org/net/orth#Gene,lscr:xrefUniprot,http://purl.org/lscr#xrefUniprot,Resource,Resource,0,0,0.0,0.0,orth:Gene -> lscr:xrefUniprot -> Resource
shape_000599,bfo:0000001,http://purl.obolibrary.org/obo/BFO_0000001,lscr:xrefUniprot,http://purl.org/lscr#xrefUniprot,Resource,Resource,0,0,0.0,0.0,bfo:0000001 -> lscr:xrefUniprot -> Resource
shape_000600,so:0000704,http://purl.obolibrary.org/obo/SO_0000704,lscr:xrefUniprot,http://purl.org/lscr#xrefUniprot,Resource,Resource,0,0,0.0,0.0,so:0000704 -> lscr:xrefUniprot -> Resource
shape_000601,cdao:0000140,http://purl.obolibrary.org/obo/CDAO_0000140,lscr:xrefNCBIGene,http://purl.org/lscr#xrefNCBIGene,Resource,Resource,0,0,0.0,0.0,cdao:0000140 -> lscr:xrefNCBIGene -> Resource
shape_000579,genex:AnatomicalEntity,http://purl.org/genex#AnatomicalEntity,dcterms:description,http://purl.org/dc/terms/description,Literal,Literal,0,0,0.0,0.0,genex:AnatomicalEntity -> dcterms:description -> Literal
shape_000580,bfo:0000001,http://purl.obolibrary.org/obo/BFO_0000001,dcterms:description,http://purl.org/dc/terms/description,Literal,Literal,0,0,0.0,0.0,bfo:0000001 -> dcterms:description -> Literal
shape_000581,so:0000704,http://purl.obolibrary.org/obo/SO_0000704,dcterms:description,http://purl.org/dc/terms/description,Literal,Literal,0,0,0.0,0.0,so:0000704 -> dcterms:description -> Literal
shape_000582,efo:0000635,http://www.ebi.ac.uk/efo/EFO_0000635,dcterms:description,http://purl.org/dc/terms/description,Literal,Literal,0,0,0.0,0.0,efo:0000635 -> dcterms:description -> Literal
shape_000584,sh:SPARQLExecutable,http://www.w3.org/ns/shacl#SPARQLExecutable,sh:select,http://www.w3.org/ns/shacl#select,Literal,Literal,0,0,0.0,0.0,sh:SPARQLExecutable -> sh:select -> Literal
shape_000585,sh:SPARQLSelectExecutable,http://www.w3.org/ns/shacl#SPARQLSelectExecutable,sh:select,http://www.w3.org/ns/shacl#select,Literal,Literal,0,0,0.0,0.0,sh:SPARQLSelectExecutable -> sh:select -> Literal
shape_000592,owl:Class,http://www.w3.org/2002/07/owl#Class,owl:unionOf,http://www.w3.org/2002/07/owl#unionOf,Resource,Resource,0,0,0.0,0.0,owl:Class -> owl:unionOf -> Resource
shape_000593,owl:Ontology,http://www.w3.org/2002/07/owl#Ontology,owl:priorVersion,http://www.w3.org/2002/07/owl#priorVersion,Resource,Resource,0,0,0.0,0.0,owl:Ontology -> owl:priorVersion -> Resource
shape_000571,bfo:0000002,http://purl.obolibrary.org/obo/BFO_0000002,dcterms:description,http://purl.org/dc/terms/description,Literal,Literal,0,0,0.0,0.0,bfo:0000002 -> dcterms:description -> Literal
shape_000572,rdf:Property,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,dcterms:description,http://purl.org/dc/terms/description,Literal,Literal,0,0,0.0,0.0,rdf:Property -> dcterms:description -> Literal
shape_000573,orth:GeneTreeNode,http://purl.org/net/orth#GeneTreeNode,dcterms:description,http://purl.org/dc/terms/description,Literal,Literal,0,0,0.0,0.0,orth:GeneTreeNode -> dcterms:description -> Literal
shape_000574,owl:Ontology,http://www.w3.org/2002/07/owl#Ontology,dcterms:description,http://purl.org/dc/terms/description,Literal,Literal,0,0,0.0,0.0,owl:Ontology -> dcterms:description -> Literal
shape_000575,orth:Gene,http://purl.org/net/orth#Gene,dcterms:description,http://purl.org/dc/terms/description,Literal,Literal,0,0,0.0,0.0,orth:Gene -> dcterms:description -> Literal
shape_000576,owl:DatatypeProperty,http://www.w3.org/2002/07/owl#DatatypeProperty,dcterms:description,http://purl.org/dc/terms/description,Literal,Literal,0,0,0.0,0.0,owl:DatatypeProperty -> dcterms:description -> Literal
shape_000577,caro:0000000,http://purl.obolibrary.org/obo/CARO_0000000,dcterms:description,http://purl.org/dc/terms/description,Literal,Literal,0,0,0.0,0.0,caro:0000000 -> dcterms:description -> Literal
shape_000578,efo:0000001,http://www.ebi.ac.uk/efo/EFO_0000001,dcterms:description,http://purl.org/dc/terms/description,Literal,Literal,0,0,0.0,0.0,efo:0000001 -> dcterms:description -> Literal
shape_000563,efo:0000399,http://www.ebi.ac.uk/efo/EFO_0000399,dcterms:description,http://purl.org/dc/terms/description,Literal,Literal,0,0,0.0,0.0,efo:0000399 -> dcterms:description -> Literal
shape_000564,cdao:0000140,http://purl.obolibrary.org/obo/CDAO_0000140,dcterms:description,http://purl.org/dc/terms/description,Literal,Literal,0,0,0.0,0.0,cdao:0000140 -> dcterms:description -> Literal
shape_000565,bfo:0000004,http://purl.obolibrary.org/obo/BFO_0000004,dcterms:description,http://purl.org/dc/terms/description,Literal,Literal,0,0,0.0,0.0,bfo:0000004 -> dcterms:description -> Literal
shape_000566,owl:AnnotationProperty,http://www.w3.org/2002/07/owl#AnnotationProperty,dcterms:description,http://purl.org/dc/terms/description,Literal,Literal,0,0,0.0,0.0,owl:AnnotationProperty -> dcterms:description -> Literal
shape_000567,span:ProcessualEntity,http://www.ifomis.org/bfo/1.1/span#ProcessualEntity,dcterms:description,http://purl.org/dc/terms/description,Literal,Literal,0,0,0.0,0.0,span:ProcessualEntity -> dcterms:description -> Literal
shape_000568,orth:SequenceUnit,http://purl.org/net/orth#SequenceUnit,dcterms:description,http://purl.org/dc/terms/description,Literal,Literal,0,0,0.0,0.0,orth:SequenceUnit -> dcterms:description -> Literal
shape_000569,caro:0030000,http://purl.obolibrary.org/obo/CARO_0030000,dcterms:description,http://purl.org/dc/terms/description,Literal,Literal,0,0,0.0,0.0,caro:0030000 -> dcterms:description -> Literal
shape_000570,snap:MaterialEntity,http://www.ifomis.org/bfo/1.1/snap#MaterialEntity,dcterms:description,http://purl.org/dc/terms/description,Literal,Literal,0,0,0.0,0.0,snap:MaterialEntity -> dcterms:description -> Literal
shape_000058,bfo:0000002,http://purl.obolibrary.org/obo/BFO_0000002,genex:isAbsentIn,http://purl.org/genex#isAbsentIn,caro:0000000,http://purl.obolibrary.org/obo/CARO_0000000,0,0,0.0,0.0,bfo:0000002 -> genex:isAbsentIn -> caro:0000000
shape_000059,bfo:0000002,http://purl.obolibrary.org/obo/BFO_0000002,genex:isAbsentIn,http://purl.org/genex#isAbsentIn,efo:0000001,http://www.ebi.ac.uk/efo/EFO_0000001,0,0,0.0,0.0,bfo:0000002 -> genex:isAbsentIn -> efo:0000001
shape_000060,bfo:0000002,http://purl.obolibrary.org/obo/BFO_0000002,genex:isAbsentIn,http://purl.org/genex#isAbsentIn,genex:AnatomicalEntity,http://purl.org/genex#AnatomicalEntity,0,0,0.0,0.0,bfo:0000002 -> genex:isAbsentIn -> genex:AnatomicalEntity
shape_000061,bfo:0000002,http://purl.obolibrary.org/obo/BFO_0000002,genex:isAbsentIn,http://purl.org/genex#isAbsentIn,bfo:0000001,http://purl.obolibrary.org/obo/BFO_0000001,0,0,0.0,0.0,bfo:0000002 -> genex:isAbsentIn -> bfo:0000001
shape_000062,bfo:0000002,http://purl.obolibrary.org/obo/BFO_0000002,genex:isAbsentIn,http://purl.org/genex#isAbsentIn,efo:0000635,http://www.ebi.ac.uk/efo/EFO_0000635,0,0,0.0,0.0,bfo:0000002 -> genex:isAbsentIn -> efo:0000635
shape_000063,bfo:0000002,http://purl.obolibrary.org/obo/BFO_0000002,genex:isAbsentIn,http://purl.org/genex#isAbsentIn,genex:ExpressionCondition,http://purl.org/genex#ExpressionCondition,0,0,0.0,0.0,bfo:0000002 -> genex:isAbsentIn -> genex:ExpressionCondition
shape_000064,orth:GeneTreeNode,http://purl.org/net/orth#GeneTreeNode,genex:isAbsentIn,http://purl.org/genex#isAbsentIn,bfo:0000004,http://purl.obolibrary.org/obo/BFO_0000004,0,0,0.0,0.0,orth:GeneTreeNode -> genex:isAbsentIn -> bfo:0000004
shape_000065,orth:GeneTreeNode,http://purl.org/net/orth#GeneTreeNode,genex:isAbsentIn,http://purl.org/genex#isAbsentIn,caro:0030000,http://purl.obolibrary.org/obo/CARO_0030000,0,0,0.0,0.0,orth:GeneTreeNode -> genex:isAbsentIn -> caro:0030000
shape_000050,orth:SequenceUnit,http://purl.org/net/orth#SequenceUnit,genex:isAbsentIn,http://purl.org/genex#isAbsentIn,genex:AnatomicalEntity,http://purl.org/genex#AnatomicalEntity,0,0,0.0,0.0,orth:SequenceUnit -> genex:isAbsentIn -> genex:AnatomicalEntity
