subject_class,subject_uri,property,property_uri,object_class,object_uri
dcat:Catalog,http://www.w3.org/ns/dcat#Catalog,dcterms:source,http://purl.org/dc/terms/source,dcat:Dataset,http://www.w3.org/ns/dcat#Dataset
dcat:Dataset,http://www.w3.org/ns/dcat#Dataset,dcterms:source,http://purl.org/dc/terms/source,dcat:Dataset,http://www.w3.org/ns/dcat#Dataset
dcat:Dataset,http://www.w3.org/ns/dcat#Dataset,pav:retrievedFrom,http://purl.org/pav/retrievedFrom,dcat:Dataset,http://www.w3.org/ns/dcat#Dataset
rdfs:Class,http://www.w3.org/2000/01/rdf-schema#Class,rdfs:subClassOf,http://www.w3.org/2000/01/rdf-schema#subClassOf,rdfs:Class,http://www.w3.org/2000/01/rdf-schema#Class
schema:WebAPI,https://schema.org/WebAPI,dcat:endpointURL,http://www.w3.org/ns/dcat#endpointURL,schema:WebAPI,https://schema.org/WebAPI
dcat:DataService,http://www.w3.org/ns/dcat#DataService,dcat:endpointURL,http://www.w3.org/ns/dcat#endpointURL,schema:WebAPI,https://schema.org/WebAPI
ncit:C16612,http://purl.obolibrary.org/obo/NCIT_C16612,example:interactionStimulation,https://biodatafuse.org/example/interactionStimulation,ncit:C16612,http://purl.obolibrary.org/obo/NCIT_C16612
ncit:C16612,http://purl.obolibrary.org/obo/NCIT_C16612,wp:Stimulation,http://vocabularies.wikipathways.org/wp#Stimulation,sio:010038,http://semanticscience.org/resource/SIO_010038
ncit:C16612,http://purl.obolibrary.org/obo/NCIT_C16612,wp:Stimulation,http://vocabularies.wikipathways.org/wp#Stimulation,ncit:C17021,http://purl.obolibrary.org/obo/NCIT_C17021
sio:010038,http://semanticscience.org/resource/SIO_010038,wp:Stimulation,http://vocabularies.wikipathways.org/wp#Stimulation,ncit:C16612,http://purl.obolibrary.org/obo/NCIT_C16612
ncit:C17021,http://purl.obolibrary.org/obo/NCIT_C17021,wp:Stimulation,http://vocabularies.wikipathways.org/wp#Stimulation,ncit:C16612,http://purl.obolibrary.org/obo/NCIT_C16612
ncit:C16612,http://purl.obolibrary.org/obo/NCIT_C16612,wp:Stimulation,http://vocabularies.wikipathways.org/wp#Stimulation,ncit:C16612,http://purl.obolibrary.org/obo/NCIT_C16612
ncit:C17021,http://purl.obolibrary.org/obo/NCIT_C17021,wp:Inhibition,http://vocabularies.wikipathways.org/wp#Inhibition,ncit:C16612,http://purl.obolibrary.org/obo/NCIT_C16612
ncit:C16612,http://purl.obolibrary.org/obo/NCIT_C16612,wp:Inhibition,http://vocabularies.wikipathways.org/wp#Inhibition,ncit:C16612,http://purl.obolibrary.org/obo/NCIT_C16612
ncit:C16612,http://purl.obolibrary.org/obo/NCIT_C16612,wp:Inhibition,http://vocabularies.wikipathways.org/wp#Inhibition,ncit:C17021,http://purl.obolibrary.org/obo/NCIT_C17021
sio:010038,http://semanticscience.org/resource/SIO_010038,pav:importedFrom,http://purl.org/pav/importedFrom,dcat:Dataset,http://www.w3.org/ns/dcat#Dataset
iao:0000013,http://purl.obolibrary.org/obo/IAO_0000013,sio:000628,http://semanticscience.org/resource/SIO_000628,ncit:C16612,http://purl.obolibrary.org/obo/NCIT_C16612
iao:0000013,http://purl.obolibrary.org/obo/IAO_0000013,sio:000628,http://semanticscience.org/resource/SIO_000628,ncit:C7057,http://purl.obolibrary.org/obo/NCIT_C7057
sio:000983,http://semanticscience.org/resource/SIO_000983,sio:000628,http://semanticscience.org/resource/SIO_000628,ncit:C7057,http://purl.obolibrary.org/obo/NCIT_C7057
sio:000983,http://semanticscience.org/resource/SIO_000983,sio:000628,http://semanticscience.org/resource/SIO_000628,ncit:C16612,http://purl.obolibrary.org/obo/NCIT_C16612
ncit:C16612,http://purl.obolibrary.org/obo/NCIT_C16612,sio:000068,http://semanticscience.org/resource/SIO_000068,wp:Interaction,https://vocabularies.wikipathways.org/wp#Interaction
ncit:C16612,http://purl.obolibrary.org/obo/NCIT_C16612,sio:000068,http://semanticscience.org/resource/SIO_000068,pw:0000001,http://purl.obolibrary.org/obo/PW_0000001
sio:010038,http://semanticscience.org/resource/SIO_010038,sio:000068,http://semanticscience.org/resource/SIO_000068,wp:Interaction,https://vocabularies.wikipathways.org/wp#Interaction
