shape_id,subject_class,subject_uri,property,property_uri,object_class,object_uri,total_entities,participating_entities,occurrence_count,coverage_ratio,coverage_percent,shape_pattern
shape_001686,ontology:MiscellaneousDocument,https://purl.expasy.org/cellosaurus/rdf/ontology/MiscellaneousDocument,ontology:documentTitle,https://purl.expasy.org/cellosaurus/rdf/ontology/documentTitle,Literal,Literal,13,13,13,1.0,100.0,ontology:MiscellaneousDocument -> ontology:documentTitle -> Literal
shape_001707,sh:SPARQLSelectExecutable,http://www.w3.org/ns/shacl#SPARQLSelectExecutable,schema:target,https://schema.org/target,Resource,Resource,73,73,73,1.0,100.0,sh:SPARQLSelectExecutable -> schema:target -> Resource
shape_001706,sh:SPARQLExecutable,http://www.w3.org/ns/shacl#SPARQLExecutable,schema:target,https://schema.org/target,Resource,Resource,73,73,73,1.0,100.0,sh:SPARQLExecutable -> schema:target -> Resource
shape_001687,ontology:TechnicalDocument,https://purl.expasy.org/cellosaurus/rdf/ontology/TechnicalDocument,ontology:documentSerieTitle,https://purl.expasy.org/cellosaurus/rdf/ontology/documentSerieTitle,Literal,Literal,19,19,19,1.0,100.0,ontology:TechnicalDocument -> ontology:documentSerieTitle -> Literal
shape_001688,fabio:PatentDocument,http://purl.org/spar/fabio/PatentDocument,ontology:publicationDate,https://purl.expasy.org/cellosaurus/rdf/ontology/publicationDate,Literal,Literal,1851,1851,1851,1.0,100.0,fabio:PatentDocument -> ontology:publicationDate -> Literal
shape_001690,ontology:DiscontinuationRecord,https://purl.expasy.org/cellosaurus/rdf/ontology/DiscontinuationRecord,ontology:productId,https://purl.expasy.org/cellosaurus/rdf/ontology/productId,Literal,Literal,13803,13803,13803,1.0,100.0,ontology:DiscontinuationRecord -> ontology:productId -> Literal
shape_001054,sh:SPARQLSelectExecutable,http://www.w3.org/ns/shacl#SPARQLSelectExecutable,rdfs:comment,http://www.w3.org/2000/01/rdf-schema#comment,Literal,Literal,73,73,73,1.0,100.0,sh:SPARQLSelectExecutable -> rdfs:comment -> Literal
shape_001055,ontology:AnecdotalComment,https://purl.expasy.org/cellosaurus/rdf/ontology/AnecdotalComment,rdfs:comment,http://www.w3.org/2000/01/rdf-schema#comment,Literal,Literal,151,151,151,1.0,100.0,ontology:AnecdotalComment -> rdfs:comment -> Literal
shape_001057,ontology:OmicsInfo,https://purl.expasy.org/cellosaurus/rdf/ontology/OmicsInfo,rdfs:comment,http://www.w3.org/2000/01/rdf-schema#comment,Literal,Literal,39491,39491,39491,1.0,100.0,ontology:OmicsInfo -> rdfs:comment -> Literal
shape_001058,ontology:ProblematicCellLineComment,https://purl.expasy.org/cellosaurus/rdf/ontology/ProblematicCellLineComment,rdfs:comment,http://www.w3.org/2000/01/rdf-schema#comment,Literal,Literal,1387,1387,1387,1.0,100.0,ontology:ProblematicCellLineComment -> rdfs:comment -> Literal
shape_001059,schema:Person,https://schema.org/Person,schema:familyName,https://schema.org/familyName,Literal,Literal,198258,198258,198258,1.0,100.0,schema:Person -> schema:familyName -> Literal
