shape_id,subject_class,subject_uri,property,property_uri,object_class,object_uri,total_entities,participating_entities,occurrence_count,coverage_ratio,coverage_percent,shape_pattern
shape_000231,owl:Restriction,http://www.w3.org/2002/07/owl#Restriction,owl:someValuesFrom,http://www.w3.org/2002/07/owl#someValuesFrom,owl:Class,http://www.w3.org/2002/07/owl#Class,93423,93423,93423,1.0,100.0,owl:Restriction -> owl:someValuesFrom -> owl:Class
shape_000181,owl:Axiom,http://www.w3.org/2002/07/owl#Axiom,owl:annotatedSource,http://www.w3.org/2002/07/owl#annotatedSource,owl:Class,http://www.w3.org/2002/07/owl#Class,590906,590906,590906,1.0,100.0,owl:Axiom -> owl:annotatedSource -> owl:Class
shape_000036,sio:011120,http://semanticscience.org/resource/SIO_011120,sio:000011,http://semanticscience.org/resource/SIO_000011,owl:Class,http://www.w3.org/2002/07/owl#Class,191606,189398,189398,0.9885,98.85,sio:011120 -> sio:000011 -> owl:Class
shape_000076,sio:011120,http://semanticscience.org/resource/SIO_011120,resource:is-attribute-of,http://semanticscience.org/resource/is-attribute-of,owl:Class,http://www.w3.org/2002/07/owl#Class,191606,189398,189398,0.9885,98.85,sio:011120 -> resource:is-attribute-of -> owl:Class
shape_000146,owl:Class,http://www.w3.org/2002/07/owl#Class,rdfs:subClassOf,http://www.w3.org/2000/01/rdf-schema#subClassOf,owl:Class,http://www.w3.org/2002/07/owl#Class,220816,202123,202123,0.9153,91.53,owl:Class -> rdfs:subClassOf -> owl:Class
shape_000009,owl:Class,http://www.w3.org/2002/07/owl#Class,sio:000008,http://semanticscience.org/resource/SIO_000008,sio:011120,http://semanticscience.org/resource/SIO_011120,220816,189398,189398,0.8577,85.77,owl:Class -> sio:000008 -> sio:011120
shape_000148,owl:Class,http://www.w3.org/2002/07/owl#Class,rdfs:subClassOf,http://www.w3.org/2000/01/rdf-schema#subClassOf,owl:Restriction,http://www.w3.org/2002/07/owl#Restriction,220816,50891,50891,0.2305,23.05,owl:Class -> rdfs:subClassOf -> owl:Restriction
shape_000246,owl:Class,http://www.w3.org/2002/07/owl#Class,iao:0100001,http://purl.obolibrary.org/obo/IAO_0100001,owl:Class,http://www.w3.org/2002/07/owl#Class,220816,18607,18607,0.0843,8.43,owl:Class -> iao:0100001 -> owl:Class
shape_000176,sio:011120,http://semanticscience.org/resource/SIO_011120,owl:annotatedProperty,http://www.w3.org/2002/07/owl#annotatedProperty,owl:Class,http://www.w3.org/2002/07/owl#Class,191606,0,0,0.0,0.0,sio:011120 -> owl:annotatedProperty -> owl:Class
shape_000174,owl:Restriction,http://www.w3.org/2002/07/owl#Restriction,owl:annotatedProperty,http://www.w3.org/2002/07/owl#annotatedProperty,sio:011120,http://semanticscience.org/resource/SIO_011120,93423,0,0,0.0,0.0,owl:Restriction -> owl:annotatedProperty -> sio:011120
shape_000173,owl:Restriction,http://www.w3.org/2002/07/owl#Restriction,owl:annotatedProperty,http://www.w3.org/2002/07/owl#annotatedProperty,owl:Restriction,http://www.w3.org/2002/07/owl#Restriction,93423,0,0,0.0,0.0,owl:Restriction -> owl:annotatedProperty -> owl:Restriction
shape_000172,owl:Restriction,http://www.w3.org/2002/07/owl#Restriction,owl:annotatedProperty,http://www.w3.org/2002/07/owl#annotatedProperty,owl:NamedIndividual,http://www.w3.org/2002/07/owl#NamedIndividual,93423,0,0,0.0,0.0,owl:Restriction -> owl:annotatedProperty -> owl:NamedIndividual
shape_000171,owl:Restriction,http://www.w3.org/2002/07/owl#Restriction,owl:annotatedProperty,http://www.w3.org/2002/07/owl#annotatedProperty,owl:Class,http://www.w3.org/2002/07/owl#Class,93423,0,0,0.0,0.0,owl:Restriction -> owl:annotatedProperty -> owl:Class
shape_000170,owl:Restriction,http://www.w3.org/2002/07/owl#Restriction,owl:annotatedProperty,http://www.w3.org/2002/07/owl#annotatedProperty,rdf:Property,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,93423,0,0,0.0,0.0,owl:Restriction -> owl:annotatedProperty -> rdf:Property
shape_000169,owl:Class,http://www.w3.org/2002/07/owl#Class,owl:annotatedProperty,http://www.w3.org/2002/07/owl#annotatedProperty,sio:011120,http://semanticscience.org/resource/SIO_011120,220816,0,0,0.0,0.0,owl:Class -> owl:annotatedProperty -> sio:011120
shape_000168,owl:Class,http://www.w3.org/2002/07/owl#Class,owl:annotatedProperty,http://www.w3.org/2002/07/owl#annotatedProperty,owl:Restriction,http://www.w3.org/2002/07/owl#Restriction,220816,0,0,0.0,0.0,owl:Class -> owl:annotatedProperty -> owl:Restriction
shape_000167,owl:Class,http://www.w3.org/2002/07/owl#Class,owl:annotatedProperty,http://www.w3.org/2002/07/owl#annotatedProperty,owl:NamedIndividual,http://www.w3.org/2002/07/owl#NamedIndividual,220816,0,0,0.0,0.0,owl:Class -> owl:annotatedProperty -> owl:NamedIndividual
shape_000166,owl:Class,http://www.w3.org/2002/07/owl#Class,owl:annotatedProperty,http://www.w3.org/2002/07/owl#annotatedProperty,owl:Class,http://www.w3.org/2002/07/owl#Class,220816,0,0,0.0,0.0,owl:Class -> owl:annotatedProperty -> owl:Class
shape_000164,owl:Axiom,http://www.w3.org/2002/07/owl#Axiom,owl:annotatedProperty,http://www.w3.org/2002/07/owl#annotatedProperty,sio:011120,http://semanticscience.org/resource/SIO_011120,590906,0,0,0.0,0.0,owl:Axiom -> owl:annotatedProperty -> sio:011120
shape_000175,sio:011120,http://semanticscience.org/resource/SIO_011120,owl:annotatedProperty,http://www.w3.org/2002/07/owl#annotatedProperty,rdf:Property,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,191606,0,0,0.0,0.0,sio:011120 -> owl:annotatedProperty -> rdf:Property
shape_000177,sio:011120,http://semanticscience.org/resource/SIO_011120,owl:annotatedProperty,http://www.w3.org/2002/07/owl#annotatedProperty,owl:NamedIndividual,http://www.w3.org/2002/07/owl#NamedIndividual,191606,0,0,0.0,0.0,sio:011120 -> owl:annotatedProperty -> owl:NamedIndividual
shape_000178,sio:011120,http://semanticscience.org/resource/SIO_011120,owl:annotatedProperty,http://www.w3.org/2002/07/owl#annotatedProperty,owl:Restriction,http://www.w3.org/2002/07/owl#Restriction,191606,0,0,0.0,0.0,sio:011120 -> owl:annotatedProperty -> owl:Restriction
shape_000179,sio:011120,http://semanticscience.org/resource/SIO_011120,owl:annotatedProperty,http://www.w3.org/2002/07/owl#annotatedProperty,sio:011120,http://semanticscience.org/resource/SIO_011120,191606,0,0,0.0,0.0,sio:011120 -> owl:annotatedProperty -> sio:011120
shape_000180,owl:Axiom,http://www.w3.org/2002/07/owl#Axiom,owl:annotatedSource,http://www.w3.org/2002/07/owl#annotatedSource,rdf:Property,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,590906,0,0,0.0,0.0,owl:Axiom -> owl:annotatedSource -> rdf:Property
shape_000182,owl:Axiom,http://www.w3.org/2002/07/owl#Axiom,owl:annotatedSource,http://www.w3.org/2002/07/owl#annotatedSource,owl:NamedIndividual,http://www.w3.org/2002/07/owl#NamedIndividual,590906,0,0,0.0,0.0,owl:Axiom -> owl:annotatedSource -> owl:NamedIndividual
