shape_id,subject_class,subject_uri,property,property_uri,object_class,object_uri,total_entities,participating_entities,occurrence_count,coverage_ratio,coverage_percent,shape_pattern
shape_000297,bio2rdf:drugbank_vocabulary:Small-molecule,http://bio2rdf.org/drugbank_vocabulary:Small-molecule,bio2rdf:drugbank_vocabulary:group,http://bio2rdf.org/drugbank_vocabulary:group,bio2rdf:drugbank_vocabulary:Group,http://bio2rdf.org/drugbank_vocabulary:Group,7469,7469,7469,1.0,100.0,bio2rdf:drugbank_vocabulary:Small-molecule -> bio2rdf:drugbank_vocabulary:group -> bio2rdf:drugbank_vocabulary:Group
shape_000002,bio2rdf:drugbank_vocabulary:Absorption,http://bio2rdf.org/drugbank_vocabulary:Absorption,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,bio2rdf:drugbank_vocabulary:Resource,http://bio2rdf.org/drugbank_vocabulary:Resource,1178,1178,1178,1.0,100.0,bio2rdf:drugbank_vocabulary:Absorption -> rdf:type -> bio2rdf:drugbank_vocabulary:Resource
shape_000296,bio2rdf:drugbank_vocabulary:Drug,http://bio2rdf.org/drugbank_vocabulary:Drug,bio2rdf:drugbank_vocabulary:group,http://bio2rdf.org/drugbank_vocabulary:group,bio2rdf:drugbank_vocabulary:Group,http://bio2rdf.org/drugbank_vocabulary:Group,7759,7759,7759,1.0,100.0,bio2rdf:drugbank_vocabulary:Drug -> bio2rdf:drugbank_vocabulary:group -> bio2rdf:drugbank_vocabulary:Group
shape_000005,bio2rdf:drugbank_vocabulary:Mechanism-of-action,http://bio2rdf.org/drugbank_vocabulary:Mechanism-of-action,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,owl:Class,http://www.w3.org/2002/07/owl#Class,2462,2462,2462,1.0,100.0,bio2rdf:drugbank_vocabulary:Mechanism-of-action -> rdf:type -> owl:Class
shape_000004,bio2rdf:drugbank_vocabulary:Food-interaction,http://bio2rdf.org/drugbank_vocabulary:Food-interaction,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,owl:Class,http://www.w3.org/2002/07/owl#Class,312,312,312,1.0,100.0,bio2rdf:drugbank_vocabulary:Food-interaction -> rdf:type -> owl:Class
shape_000008,bio2rdf:drugbank_vocabulary:Manufacturer,http://bio2rdf.org/drugbank_vocabulary:Manufacturer,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,bio2rdf:drugbank_vocabulary:Resource,http://bio2rdf.org/drugbank_vocabulary:Resource,310,310,310,1.0,100.0,bio2rdf:drugbank_vocabulary:Manufacturer -> rdf:type -> bio2rdf:drugbank_vocabulary:Resource
shape_000009,bio2rdf:drugbank_vocabulary:Physiological-Charge,http://bio2rdf.org/drugbank_vocabulary:Physiological-Charge,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,bio2rdf:drugbank_vocabulary:Resource,http://bio2rdf.org/drugbank_vocabulary:Resource,6810,6810,6810,1.0,100.0,bio2rdf:drugbank_vocabulary:Physiological-Charge -> rdf:type -> bio2rdf:drugbank_vocabulary:Resource
shape_000006,bio2rdf:drugbank_vocabulary:Mechanism-of-action,http://bio2rdf.org/drugbank_vocabulary:Mechanism-of-action,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,bio2rdf:drugbank_vocabulary:Resource,http://bio2rdf.org/drugbank_vocabulary:Resource,2462,2462,2462,1.0,100.0,bio2rdf:drugbank_vocabulary:Mechanism-of-action -> rdf:type -> bio2rdf:drugbank_vocabulary:Resource
shape_000007,bio2rdf:drugbank_vocabulary:Manufacturer,http://bio2rdf.org/drugbank_vocabulary:Manufacturer,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,owl:Class,http://www.w3.org/2002/07/owl#Class,310,310,310,1.0,100.0,bio2rdf:drugbank_vocabulary:Manufacturer -> rdf:type -> owl:Class
shape_000010,bio2rdf:drugbank_vocabulary:Salt,http://bio2rdf.org/drugbank_vocabulary:Salt,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,owl:Class,http://www.w3.org/2002/07/owl#Class,746,746,746,1.0,100.0,bio2rdf:drugbank_vocabulary:Salt -> rdf:type -> owl:Class
shape_000011,bio2rdf:drugbank_vocabulary:Transporter-Relation,http://bio2rdf.org/drugbank_vocabulary:Transporter-Relation,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,owl:Class,http://www.w3.org/2002/07/owl#Class,1712,1712,1712,1.0,100.0,bio2rdf:drugbank_vocabulary:Transporter-Relation -> rdf:type -> owl:Class
shape_000251,bio2rdf:drugbank_vocabulary:Enzyme-Relation,http://bio2rdf.org/drugbank_vocabulary:Enzyme-Relation,bio2rdf:drugbank_vocabulary:drug,http://bio2rdf.org/drugbank_vocabulary:drug,bio2rdf:drugbank_vocabulary:Drug,http://bio2rdf.org/drugbank_vocabulary:Drug,3358,3358,3358,1.0,100.0,bio2rdf:drugbank_vocabulary:Enzyme-Relation -> bio2rdf:drugbank_vocabulary:drug -> bio2rdf:drugbank_vocabulary:Drug
shape_000259,bio2rdf:drugbank_vocabulary:Enzyme-Relation,http://bio2rdf.org/drugbank_vocabulary:Enzyme-Relation,bio2rdf:drugbank_vocabulary:enzyme,http://bio2rdf.org/drugbank_vocabulary:enzyme,bio2rdf:drugbank_vocabulary:Resource,http://bio2rdf.org/drugbank_vocabulary:Resource,3358,3358,3358,1.0,100.0,bio2rdf:drugbank_vocabulary:Enzyme-Relation -> bio2rdf:drugbank_vocabulary:enzyme -> bio2rdf:drugbank_vocabulary:Resource
shape_000238,bio2rdf:drugbank_vocabulary:Enzyme,http://bio2rdf.org/drugbank_vocabulary:Enzyme,bio2rdf:drugbank_vocabulary:x-uniprot,http://bio2rdf.org/drugbank_vocabulary:x-uniprot,bio2rdf:uniprot_vocabulary:Resource,http://bio2rdf.org/uniprot_vocabulary:Resource,161,161,161,1.0,100.0,bio2rdf:drugbank_vocabulary:Enzyme -> bio2rdf:drugbank_vocabulary:x-uniprot -> bio2rdf:uniprot_vocabulary:Resource
shape_000048,bio2rdf:drugbank_vocabulary:Rotatable-Bond-Count,http://bio2rdf.org/drugbank_vocabulary:Rotatable-Bond-Count,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,owl:Class,http://www.w3.org/2002/07/owl#Class,6810,6810,6810,1.0,100.0,bio2rdf:drugbank_vocabulary:Rotatable-Bond-Count -> rdf:type -> owl:Class
shape_000050,bio2rdf:drugbank_vocabulary:LogP,http://bio2rdf.org/drugbank_vocabulary:LogP,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,bio2rdf:drugbank_vocabulary:Resource,http://bio2rdf.org/drugbank_vocabulary:Resource,14875,14875,14875,1.0,100.0,bio2rdf:drugbank_vocabulary:LogP -> rdf:type -> bio2rdf:drugbank_vocabulary:Resource
shape_000079,bio2rdf:drugbank_vocabulary:Volume-of-distribution,http://bio2rdf.org/drugbank_vocabulary:Volume-of-distribution,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,bio2rdf:drugbank_vocabulary:Resource,http://bio2rdf.org/drugbank_vocabulary:Resource,498,498,498,1.0,100.0,bio2rdf:drugbank_vocabulary:Volume-of-distribution -> rdf:type -> bio2rdf:drugbank_vocabulary:Resource
shape_000068,bio2rdf:drugbank_vocabulary:Source,http://bio2rdf.org/drugbank_vocabulary:Source,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,bio2rdf:drugbank_vocabulary:Resource,http://bio2rdf.org/drugbank_vocabulary:Resource,595,595,595,1.0,100.0,bio2rdf:drugbank_vocabulary:Source -> rdf:type -> bio2rdf:drugbank_vocabulary:Resource
shape_000060,bio2rdf:drugbank_vocabulary:IUPAC-Name,http://bio2rdf.org/drugbank_vocabulary:IUPAC-Name,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,owl:Class,http://www.w3.org/2002/07/owl#Class,6802,6802,6802,1.0,100.0,bio2rdf:drugbank_vocabulary:IUPAC-Name -> rdf:type -> owl:Class
shape_000059,bio2rdf:drugbank_vocabulary:H-Bond-Donor-Count,http://bio2rdf.org/drugbank_vocabulary:H-Bond-Donor-Count,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,bio2rdf:drugbank_vocabulary:Resource,http://bio2rdf.org/drugbank_vocabulary:Resource,6810,6810,6810,1.0,100.0,bio2rdf:drugbank_vocabulary:H-Bond-Donor-Count -> rdf:type -> bio2rdf:drugbank_vocabulary:Resource
shape_000058,bio2rdf:drugbank_vocabulary:Ghose-Filter,http://bio2rdf.org/drugbank_vocabulary:Ghose-Filter,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,owl:Class,http://www.w3.org/2002/07/owl#Class,6810,6810,6810,1.0,100.0,bio2rdf:drugbank_vocabulary:Ghose-Filter -> rdf:type -> owl:Class
shape_000064,bio2rdf:drugbank_vocabulary:Name,http://bio2rdf.org/drugbank_vocabulary:Name,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,owl:Class,http://www.w3.org/2002/07/owl#Class,1551,1551,1551,1.0,100.0,bio2rdf:drugbank_vocabulary:Name -> rdf:type -> owl:Class
shape_000065,bio2rdf:drugbank_vocabulary:Pharmaceutical,http://bio2rdf.org/drugbank_vocabulary:Pharmaceutical,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,bio2rdf:drugbank_vocabulary:Resource,http://bio2rdf.org/drugbank_vocabulary:Resource,11506,11506,11506,1.0,100.0,bio2rdf:drugbank_vocabulary:Pharmaceutical -> rdf:type -> bio2rdf:drugbank_vocabulary:Resource
shape_000066,owl:Class,http://www.w3.org/2002/07/owl#Class,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,rdfs:Resource,http://www.w3.org/2000/01/rdf-schema#Resource,2128,2128,2128,1.0,100.0,owl:Class -> rdf:type -> rdfs:Resource
shape_000063,bio2rdf:drugbank_vocabulary:Name,http://bio2rdf.org/drugbank_vocabulary:Name,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,bio2rdf:drugbank_vocabulary:Resource,http://bio2rdf.org/drugbank_vocabulary:Resource,1551,1551,1551,1.0,100.0,bio2rdf:drugbank_vocabulary:Name -> rdf:type -> bio2rdf:drugbank_vocabulary:Resource
shape_000074,bio2rdf:drugbank_vocabulary:InChI,http://bio2rdf.org/drugbank_vocabulary:InChI,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,owl:Class,http://www.w3.org/2002/07/owl#Class,6810,6810,6810,1.0,100.0,bio2rdf:drugbank_vocabulary:InChI -> rdf:type -> owl:Class
shape_000076,owl:ObjectProperty,http://www.w3.org/2002/07/owl#ObjectProperty,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,rdfs:Resource,http://www.w3.org/2000/01/rdf-schema#Resource,64,64,64,1.0,100.0,owl:ObjectProperty -> rdf:type -> rdfs:Resource
shape_000062,bio2rdf:drugbank_vocabulary:Hydrophobicity,http://bio2rdf.org/drugbank_vocabulary:Hydrophobicity,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,bio2rdf:drugbank_vocabulary:Resource,http://bio2rdf.org/drugbank_vocabulary:Resource,85,85,85,1.0,100.0,bio2rdf:drugbank_vocabulary:Hydrophobicity -> rdf:type -> bio2rdf:drugbank_vocabulary:Resource
shape_000071,bio2rdf:drugbank_vocabulary:Monoisotopic-Weight,http://bio2rdf.org/drugbank_vocabulary:Monoisotopic-Weight,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,owl:Class,http://www.w3.org/2002/07/owl#Class,6870,6870,6870,1.0,100.0,bio2rdf:drugbank_vocabulary:Monoisotopic-Weight -> rdf:type -> owl:Class
shape_000016,bio2rdf:drugbank_vocabulary:International-brand,http://bio2rdf.org/drugbank_vocabulary:International-brand,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,owl:Class,http://www.w3.org/2002/07/owl#Class,1,1,1,1.0,100.0,bio2rdf:drugbank_vocabulary:International-brand -> rdf:type -> owl:Class
shape_000014,bio2rdf:drugbank_vocabulary:Unit,http://bio2rdf.org/drugbank_vocabulary:Unit,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,bio2rdf:drugbank_vocabulary:Resource,http://bio2rdf.org/drugbank_vocabulary:Resource,56,56,56,1.0,100.0,bio2rdf:drugbank_vocabulary:Unit -> rdf:type -> bio2rdf:drugbank_vocabulary:Resource
