shape_id,subject_class,subject_uri,property,property_uri,object_class,object_uri,total_entities,participating_entities,occurrence_count,coverage_ratio,coverage_percent,shape_pattern
shape_000002,bio2rdf:goa_vocabulary:Resource,http://bio2rdf.org/goa_vocabulary:Resource,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,bio2rdf:goa_vocabulary:Resource,http://bio2rdf.org/goa_vocabulary:Resource,2540778,2540757,2540757,1.0,100.0,bio2rdf:goa_vocabulary:Resource -> rdf:type -> bio2rdf:goa_vocabulary:Resource
shape_000005,bio2rdf:goa_vocabulary:Resource,http://bio2rdf.org/goa_vocabulary:Resource,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,owl:Class,http://www.w3.org/2002/07/owl#Class,2540778,2540757,2540757,1.0,100.0,bio2rdf:goa_vocabulary:Resource -> rdf:type -> owl:Class
shape_000006,bio2rdf:goa_vocabulary:GO-Annotation,http://bio2rdf.org/goa_vocabulary:GO-Annotation,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,bio2rdf:goa_vocabulary:Resource,http://bio2rdf.org/goa_vocabulary:Resource,2842379,2842379,2842379,1.0,100.0,bio2rdf:goa_vocabulary:GO-Annotation -> rdf:type -> bio2rdf:goa_vocabulary:Resource
shape_000010,bio2rdf:uniprot_vocabulary:Resource,http://bio2rdf.org/uniprot_vocabulary:Resource,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,bio2rdf:goa_vocabulary:Resource,http://bio2rdf.org/goa_vocabulary:Resource,300881,300881,300881,1.0,100.0,bio2rdf:uniprot_vocabulary:Resource -> rdf:type -> bio2rdf:goa_vocabulary:Resource
shape_000011,bio2rdf:uniprot_vocabulary:Resource,http://bio2rdf.org/uniprot_vocabulary:Resource,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,owl:Class,http://www.w3.org/2002/07/owl#Class,300881,300881,300881,1.0,100.0,bio2rdf:uniprot_vocabulary:Resource -> rdf:type -> owl:Class
shape_000008,bio2rdf:goa_vocabulary:GO-Annotation,http://bio2rdf.org/goa_vocabulary:GO-Annotation,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,owl:Class,http://www.w3.org/2002/07/owl#Class,2842379,2842379,2842379,1.0,100.0,bio2rdf:goa_vocabulary:GO-Annotation -> rdf:type -> owl:Class
shape_000015,bio2rdf:rnacentral_vocabulary:Resource,http://bio2rdf.org/rnacentral_vocabulary:Resource,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,bio2rdf:goa_vocabulary:Resource,http://bio2rdf.org/goa_vocabulary:Resource,245,245,245,1.0,100.0,bio2rdf:rnacentral_vocabulary:Resource -> rdf:type -> bio2rdf:goa_vocabulary:Resource
shape_000022,owl:Class,http://www.w3.org/2002/07/owl#Class,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,rdfs:Resource,http://www.w3.org/2000/01/rdf-schema#Resource,4,4,4,1.0,100.0,owl:Class -> rdf:type -> rdfs:Resource
shape_000026,bio2rdf:intact_vocabulary:Resource,http://bio2rdf.org/intact_vocabulary:Resource,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,owl:Class,http://www.w3.org/2002/07/owl#Class,496,496,496,1.0,100.0,bio2rdf:intact_vocabulary:Resource -> rdf:type -> owl:Class
shape_000028,bio2rdf:intact_vocabulary:Resource,http://bio2rdf.org/intact_vocabulary:Resource,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,bio2rdf:goa_vocabulary:Resource,http://bio2rdf.org/goa_vocabulary:Resource,496,496,496,1.0,100.0,bio2rdf:intact_vocabulary:Resource -> rdf:type -> bio2rdf:goa_vocabulary:Resource
shape_000025,owl:ObjectProperty,http://www.w3.org/2002/07/owl#ObjectProperty,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,rdfs:Resource,http://www.w3.org/2000/01/rdf-schema#Resource,15,15,15,1.0,100.0,owl:ObjectProperty -> rdf:type -> rdfs:Resource
shape_000016,bio2rdf:rnacentral_vocabulary:Resource,http://bio2rdf.org/rnacentral_vocabulary:Resource,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,owl:Class,http://www.w3.org/2002/07/owl#Class,245,245,245,1.0,100.0,bio2rdf:rnacentral_vocabulary:Resource -> rdf:type -> owl:Class
shape_000017,owl:DatatypeProperty,http://www.w3.org/2002/07/owl#DatatypeProperty,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,rdfs:Resource,http://www.w3.org/2000/01/rdf-schema#Resource,7,7,7,1.0,100.0,owl:DatatypeProperty -> rdf:type -> rdfs:Resource
shape_000117,bio2rdf:rnacentral_vocabulary:Resource,http://bio2rdf.org/rnacentral_vocabulary:Resource,bio2rdf:goa_vocabulary:go-annotation,http://bio2rdf.org/goa_vocabulary:go-annotation,bio2rdf:goa_vocabulary:GO-Annotation,http://bio2rdf.org/goa_vocabulary:GO-Annotation,245,245,245,1.0,100.0,bio2rdf:rnacentral_vocabulary:Resource -> bio2rdf:goa_vocabulary:go-annotation -> bio2rdf:goa_vocabulary:GO-Annotation
shape_000065,bio2rdf:goa_vocabulary:Resource,http://bio2rdf.org/goa_vocabulary:Resource,bio2rdf:goa_vocabulary:target,http://bio2rdf.org/goa_vocabulary:target,bio2rdf:goa_vocabulary:GO-Annotation,http://bio2rdf.org/goa_vocabulary:GO-Annotation,2540778,2540757,2540757,1.0,100.0,bio2rdf:goa_vocabulary:Resource -> bio2rdf:goa_vocabulary:target -> bio2rdf:goa_vocabulary:GO-Annotation
shape_000128,bio2rdf:rnacentral_vocabulary:Resource,http://bio2rdf.org/rnacentral_vocabulary:Resource,bio2rdf:goa_vocabulary:x-taxonomy,http://bio2rdf.org/goa_vocabulary:x-taxonomy,bio2rdf:taxonomy_vocabulary:Resource,http://bio2rdf.org/taxonomy_vocabulary:Resource,245,245,245,1.0,100.0,bio2rdf:rnacentral_vocabulary:Resource -> bio2rdf:goa_vocabulary:x-taxonomy -> bio2rdf:taxonomy_vocabulary:Resource
shape_000114,bio2rdf:intact_vocabulary:Resource,http://bio2rdf.org/intact_vocabulary:Resource,bio2rdf:goa_vocabulary:go-annotation,http://bio2rdf.org/goa_vocabulary:go-annotation,bio2rdf:goa_vocabulary:GO-Annotation,http://bio2rdf.org/goa_vocabulary:GO-Annotation,496,496,496,1.0,100.0,bio2rdf:intact_vocabulary:Resource -> bio2rdf:goa_vocabulary:go-annotation -> bio2rdf:goa_vocabulary:GO-Annotation
shape_000109,bio2rdf:goa_vocabulary:Resource,http://bio2rdf.org/goa_vocabulary:Resource,bio2rdf:goa_vocabulary:evidence,http://bio2rdf.org/goa_vocabulary:evidence,bio2rdf:eco_vocabulary:Resource,http://bio2rdf.org/eco_vocabulary:Resource,2540778,2540757,2540757,1.0,100.0,bio2rdf:goa_vocabulary:Resource -> bio2rdf:goa_vocabulary:evidence -> bio2rdf:eco_vocabulary:Resource
shape_000118,bio2rdf:rnacentral_vocabulary:Resource,http://bio2rdf.org/rnacentral_vocabulary:Resource,bio2rdf:goa_vocabulary:go-annotation,http://bio2rdf.org/goa_vocabulary:go-annotation,bio2rdf:goa_vocabulary:Resource,http://bio2rdf.org/goa_vocabulary:Resource,245,245,245,1.0,100.0,bio2rdf:rnacentral_vocabulary:Resource -> bio2rdf:goa_vocabulary:go-annotation -> bio2rdf:goa_vocabulary:Resource
shape_000119,bio2rdf:uniprot_vocabulary:Resource,http://bio2rdf.org/uniprot_vocabulary:Resource,bio2rdf:goa_vocabulary:go-annotation,http://bio2rdf.org/goa_vocabulary:go-annotation,bio2rdf:goa_vocabulary:GO-Annotation,http://bio2rdf.org/goa_vocabulary:GO-Annotation,300881,300881,300881,1.0,100.0,bio2rdf:uniprot_vocabulary:Resource -> bio2rdf:goa_vocabulary:go-annotation -> bio2rdf:goa_vocabulary:GO-Annotation
