shape_id,subject_class,subject_uri,property,property_uri,object_class,object_uri,total_entities,participating_entities,occurrence_count,coverage_ratio,coverage_percent,shape_pattern
shape_000001,bio2rdf:homologene_vocabulary:Homologene-Group,http://bio2rdf.org/homologene_vocabulary:Homologene-Group,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,bio2rdf:homologene_vocabulary:Resource,http://bio2rdf.org/homologene_vocabulary:Resource,44233,44233,44233,1.0,100.0,bio2rdf:homologene_vocabulary:Homologene-Group -> rdf:type -> bio2rdf:homologene_vocabulary:Resource
shape_000002,bio2rdf:homologene_vocabulary:Homologene-Group,http://bio2rdf.org/homologene_vocabulary:Homologene-Group,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,owl:Class,http://www.w3.org/2002/07/owl#Class,44233,44233,44233,1.0,100.0,bio2rdf:homologene_vocabulary:Homologene-Group -> rdf:type -> owl:Class
shape_000014,owl:Class,http://www.w3.org/2002/07/owl#Class,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,rdfs:Resource,http://www.w3.org/2000/01/rdf-schema#Resource,1,1,1,1.0,100.0,owl:Class -> rdf:type -> rdfs:Resource
shape_000005,owl:DatatypeProperty,http://www.w3.org/2002/07/owl#DatatypeProperty,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,rdfs:Resource,http://www.w3.org/2000/01/rdf-schema#Resource,4,4,4,1.0,100.0,owl:DatatypeProperty -> rdf:type -> rdfs:Resource
shape_000017,owl:ObjectProperty,http://www.w3.org/2002/07/owl#ObjectProperty,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,rdfs:Resource,http://www.w3.org/2000/01/rdf-schema#Resource,6,6,6,1.0,100.0,owl:ObjectProperty -> rdf:type -> rdfs:Resource
shape_000051,bio2rdf:homologene_vocabulary:Homologene-Group,http://bio2rdf.org/homologene_vocabulary:Homologene-Group,bio2rdf:homologene_vocabulary:x-refseq,http://bio2rdf.org/homologene_vocabulary:x-refseq,bio2rdf:refseq_vocabulary:Resource,http://bio2rdf.org/refseq_vocabulary:Resource,44233,44233,44233,1.0,100.0,bio2rdf:homologene_vocabulary:Homologene-Group -> bio2rdf:homologene_vocabulary:x-refseq -> bio2rdf:refseq_vocabulary:Resource
shape_000053,bio2rdf:homologene_vocabulary:Homologene-Group,http://bio2rdf.org/homologene_vocabulary:Homologene-Group,bio2rdf:homologene_vocabulary:x-taxid,http://bio2rdf.org/homologene_vocabulary:x-taxid,bio2rdf:taxonomy_vocabulary:Resource,http://bio2rdf.org/taxonomy_vocabulary:Resource,44233,44233,44233,1.0,100.0,bio2rdf:homologene_vocabulary:Homologene-Group -> bio2rdf:homologene_vocabulary:x-taxid -> bio2rdf:taxonomy_vocabulary:Resource
shape_000057,dcterms:Dataset,http://purl.org/dc/terms/Dataset,dcat:distribution,http://www.w3.org/ns/dcat#distribution,dcat:Distribution,http://www.w3.org/ns/dcat#Distribution,2,2,2,1.0,100.0,dcterms:Dataset -> dcat:distribution -> dcat:Distribution
shape_000035,bio2rdf:homologene_vocabulary:Homologene-Group,http://bio2rdf.org/homologene_vocabulary:Homologene-Group,bio2rdf:homologene_vocabulary:x-gi,http://bio2rdf.org/homologene_vocabulary:x-gi,bio2rdf:gi_vocabulary:Resource,http://bio2rdf.org/gi_vocabulary:Resource,44233,44233,44233,1.0,100.0,bio2rdf:homologene_vocabulary:Homologene-Group -> bio2rdf:homologene_vocabulary:x-gi -> bio2rdf:gi_vocabulary:Resource
shape_000037,bio2rdf:homologene_vocabulary:Homologene-Group,http://bio2rdf.org/homologene_vocabulary:Homologene-Group,bio2rdf:homologene_vocabulary:x-ncbigene,http://bio2rdf.org/homologene_vocabulary:x-ncbigene,bio2rdf:ncbigene_vocabulary:Resource,http://bio2rdf.org/ncbigene_vocabulary:Resource,44233,44233,44233,1.0,100.0,bio2rdf:homologene_vocabulary:Homologene-Group -> bio2rdf:homologene_vocabulary:x-ncbigene -> bio2rdf:ncbigene_vocabulary:Resource
shape_000052,bio2rdf:homologene_vocabulary:Resource,http://bio2rdf.org/homologene_vocabulary:Resource,bio2rdf:homologene_vocabulary:x-refseq,http://bio2rdf.org/homologene_vocabulary:x-refseq,bio2rdf:refseq_vocabulary:Resource,http://bio2rdf.org/refseq_vocabulary:Resource,44239,44233,44233,0.9999,99.99,bio2rdf:homologene_vocabulary:Resource -> bio2rdf:homologene_vocabulary:x-refseq -> bio2rdf:refseq_vocabulary:Resource
