shape_id,subject_class,subject_uri,property,property_uri,object_class,object_uri,total_entities,participating_entities,occurrence_count,coverage_ratio,coverage_percent,shape_pattern
shape_000053,sparqlserv:Dataset,http://www.w3.org/ns/sparql-service-description#Dataset,sparqlserv:defaultGraph,http://www.w3.org/ns/sparql-service-description#defaultGraph,sparqlserv:Graph,http://www.w3.org/ns/sparql-service-description#Graph,1,1,1,1.0,100.0,sparqlserv:Dataset -> sparqlserv:defaultGraph -> sparqlserv:Graph
shape_000020,sparqlserv:Service,http://www.w3.org/ns/sparql-service-description#Service,sparqlserv:defaultDataset,http://www.w3.org/ns/sparql-service-description#defaultDataset,sparqlserv:Dataset,http://www.w3.org/ns/sparql-service-description#Dataset,1,1,1,1.0,100.0,sparqlserv:Service -> sparqlserv:defaultDataset -> sparqlserv:Dataset
shape_000172,sparqlserv:Service,http://www.w3.org/ns/sparql-service-description#Service,sparqlserv:extensionFunction,http://www.w3.org/ns/sparql-service-description#extensionFunction,sparqlserv:Function,http://www.w3.org/ns/sparql-service-description#Function,1,1,1,1.0,100.0,sparqlserv:Service -> sparqlserv:extensionFunction -> sparqlserv:Function
shape_000124,sparqlserv:Service,http://www.w3.org/ns/sparql-service-description#Service,sparqlserv:endpoint,http://www.w3.org/ns/sparql-service-description#endpoint,sparqlserv:Service,http://www.w3.org/ns/sparql-service-description#Service,1,1,1,1.0,100.0,sparqlserv:Service -> sparqlserv:endpoint -> sparqlserv:Service
shape_000221,sparqlserv:Service,http://www.w3.org/ns/sparql-service-description#Service,sparqlserv:propertyFeature,http://www.w3.org/ns/sparql-service-description#propertyFeature,sparqlserv:Feature,http://www.w3.org/ns/sparql-service-description#Feature,1,1,1,1.0,100.0,sparqlserv:Service -> sparqlserv:propertyFeature -> sparqlserv:Feature
shape_000327,sparqlserv:Service,http://www.w3.org/ns/sparql-service-description#Service,sparqlserv:availableGraphs,http://www.w3.org/ns/sparql-service-description#availableGraphs,sparqlserv:GraphCollection,http://www.w3.org/ns/sparql-service-description#GraphCollection,1,1,1,1.0,100.0,sparqlserv:Service -> sparqlserv:availableGraphs -> sparqlserv:GraphCollection
shape_000000,sparqlserv:Dataset,http://www.w3.org/ns/sparql-service-description#Dataset,sparqlserv:defaultDataset,http://www.w3.org/ns/sparql-service-description#defaultDataset,sparqlserv:Dataset,http://www.w3.org/ns/sparql-service-description#Dataset,1,0,0,0.0,0.0,sparqlserv:Dataset -> sparqlserv:defaultDataset -> sparqlserv:Dataset
shape_000001,sparqlserv:Dataset,http://www.w3.org/ns/sparql-service-description#Dataset,sparqlserv:defaultDataset,http://www.w3.org/ns/sparql-service-description#defaultDataset,sparqlserv:Feature,http://www.w3.org/ns/sparql-service-description#Feature,1,0,0,0.0,0.0,sparqlserv:Dataset -> sparqlserv:defaultDataset -> sparqlserv:Feature
shape_000007,sparqlserv:Dataset,http://www.w3.org/ns/sparql-service-description#Dataset,sparqlserv:defaultDataset,http://www.w3.org/ns/sparql-service-description#defaultDataset,sparqlserv:GraphCollection,http://www.w3.org/ns/sparql-service-description#GraphCollection,1,0,0,0.0,0.0,sparqlserv:Dataset -> sparqlserv:defaultDataset -> sparqlserv:GraphCollection
shape_000006,sparqlserv:Dataset,http://www.w3.org/ns/sparql-service-description#Dataset,sparqlserv:defaultDataset,http://www.w3.org/ns/sparql-service-description#defaultDataset,owl:Class,http://www.w3.org/2002/07/owl#Class,1,0,0,0.0,0.0,sparqlserv:Dataset -> sparqlserv:defaultDataset -> owl:Class
shape_000012,sparqlserv:Graph,http://www.w3.org/ns/sparql-service-description#Graph,sparqlserv:defaultDataset,http://www.w3.org/ns/sparql-service-description#defaultDataset,sparqlserv:Function,http://www.w3.org/ns/sparql-service-description#Function,38,0,0,0.0,0.0,sparqlserv:Graph -> sparqlserv:defaultDataset -> sparqlserv:Function
shape_000010,sparqlserv:Graph,http://www.w3.org/ns/sparql-service-description#Graph,sparqlserv:defaultDataset,http://www.w3.org/ns/sparql-service-description#defaultDataset,sparqlserv:Dataset,http://www.w3.org/ns/sparql-service-description#Dataset,38,0,0,0.0,0.0,sparqlserv:Graph -> sparqlserv:defaultDataset -> sparqlserv:Dataset
shape_000014,sparqlserv:Graph,http://www.w3.org/ns/sparql-service-description#Graph,sparqlserv:defaultDataset,http://www.w3.org/ns/sparql-service-description#defaultDataset,sparqlserv:Service,http://www.w3.org/ns/sparql-service-description#Service,38,0,0,0.0,0.0,sparqlserv:Graph -> sparqlserv:defaultDataset -> sparqlserv:Service
shape_000015,sparqlserv:Graph,http://www.w3.org/ns/sparql-service-description#Graph,sparqlserv:defaultDataset,http://www.w3.org/ns/sparql-service-description#defaultDataset,rdf:Property,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,38,0,0,0.0,0.0,sparqlserv:Graph -> sparqlserv:defaultDataset -> rdf:Property
shape_000016,sparqlserv:Graph,http://www.w3.org/ns/sparql-service-description#Graph,sparqlserv:defaultDataset,http://www.w3.org/ns/sparql-service-description#defaultDataset,owl:Class,http://www.w3.org/2002/07/owl#Class,38,0,0,0.0,0.0,sparqlserv:Graph -> sparqlserv:defaultDataset -> owl:Class
shape_000011,sparqlserv:Graph,http://www.w3.org/ns/sparql-service-description#Graph,sparqlserv:defaultDataset,http://www.w3.org/ns/sparql-service-description#defaultDataset,sparqlserv:Feature,http://www.w3.org/ns/sparql-service-description#Feature,38,0,0,0.0,0.0,sparqlserv:Graph -> sparqlserv:defaultDataset -> sparqlserv:Feature
shape_000017,sparqlserv:Graph,http://www.w3.org/ns/sparql-service-description#Graph,sparqlserv:defaultDataset,http://www.w3.org/ns/sparql-service-description#defaultDataset,sparqlserv:GraphCollection,http://www.w3.org/ns/sparql-service-description#GraphCollection,38,0,0,0.0,0.0,sparqlserv:Graph -> sparqlserv:defaultDataset -> sparqlserv:GraphCollection
