shape_id,subject_class,subject_uri,property,property_uri,object_class,object_uri,total_entities,participating_entities,occurrence_count,coverage_ratio,coverage_percent,shape_pattern
shape_000001,rdf:Property,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,owl:Class,http://www.w3.org/2002/07/owl#Class,20571,20571,20571,1.0,100.0,rdf:Property -> rdf:type -> owl:Class
shape_000005,owl:Class,http://www.w3.org/2002/07/owl#Class,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,owl:Class,http://www.w3.org/2002/07/owl#Class,6123721,6123721,6123721,1.0,100.0,owl:Class -> rdf:type -> owl:Class
shape_000013,owl:Restriction,http://www.w3.org/2002/07/owl#Restriction,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,owl:Class,http://www.w3.org/2002/07/owl#Class,1885349,1885349,1885349,1.0,100.0,owl:Restriction -> rdf:type -> owl:Class
shape_000009,owl:NamedIndividual,http://www.w3.org/2002/07/owl#NamedIndividual,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,owl:Class,http://www.w3.org/2002/07/owl#Class,1189,1189,1189,1.0,100.0,owl:NamedIndividual -> rdf:type -> owl:Class
shape_000108,owl:Restriction,http://www.w3.org/2002/07/owl#Restriction,owl:onProperty,http://www.w3.org/2002/07/owl#onProperty,rdf:Property,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,1885349,1885349,1885349,1.0,100.0,owl:Restriction -> owl:onProperty -> rdf:Property
shape_000125,owl:Restriction,http://www.w3.org/2002/07/owl#Restriction,owl:someValuesFrom,http://www.w3.org/2002/07/owl#someValuesFrom,owl:Class,http://www.w3.org/2002/07/owl#Class,1885349,1860922,1860922,0.987,98.7,owl:Restriction -> owl:someValuesFrom -> owl:Class
shape_000064,rdf:Property,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,rdfs:subPropertyOf,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,rdf:Property,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,20571,17701,17701,0.8605,86.05,rdf:Property -> rdfs:subPropertyOf -> rdf:Property
shape_000033,rdf:Property,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,rdfs:range,http://www.w3.org/2000/01/rdf-schema#range,owl:Class,http://www.w3.org/2002/07/owl#Class,20571,15072,15072,0.7327,73.27,rdf:Property -> rdfs:range -> owl:Class
shape_000053,owl:Class,http://www.w3.org/2002/07/owl#Class,rdfs:subClassOf,http://www.w3.org/2000/01/rdf-schema#subClassOf,owl:Class,http://www.w3.org/2002/07/owl#Class,6123721,3798143,3798143,0.6202,62.02,owl:Class -> rdfs:subClassOf -> owl:Class
shape_000057,owl:NamedIndividual,http://www.w3.org/2002/07/owl#NamedIndividual,rdfs:subClassOf,http://www.w3.org/2000/01/rdf-schema#subClassOf,owl:Class,http://www.w3.org/2002/07/owl#Class,1189,618,618,0.5198,51.98,owl:NamedIndividual -> rdfs:subClassOf -> owl:Class
shape_000100,owl:Class,http://www.w3.org/2002/07/owl#Class,owl:onProperty,http://www.w3.org/2002/07/owl#onProperty,rdf:Property,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,6123721,1885349,1885349,0.3079,30.79,owl:Class -> owl:onProperty -> rdf:Property
shape_000117,owl:Class,http://www.w3.org/2002/07/owl#Class,owl:someValuesFrom,http://www.w3.org/2002/07/owl#someValuesFrom,owl:Class,http://www.w3.org/2002/07/owl#Class,6123721,1860922,1860922,0.3039,30.39,owl:Class -> owl:someValuesFrom -> owl:Class
shape_000017,rdf:Property,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,rdfs:domain,http://www.w3.org/2000/01/rdf-schema#domain,owl:Class,http://www.w3.org/2002/07/owl#Class,20571,4818,4818,0.2342,23.42,rdf:Property -> rdfs:domain -> owl:Class
shape_000059,owl:NamedIndividual,http://www.w3.org/2002/07/owl#NamedIndividual,rdfs:subClassOf,http://www.w3.org/2000/01/rdf-schema#subClassOf,owl:Restriction,http://www.w3.org/2002/07/owl#Restriction,1189,147,147,0.1236,12.36,owl:NamedIndividual -> rdfs:subClassOf -> owl:Restriction
shape_000058,owl:NamedIndividual,http://www.w3.org/2002/07/owl#NamedIndividual,rdfs:subClassOf,http://www.w3.org/2000/01/rdf-schema#subClassOf,owl:NamedIndividual,http://www.w3.org/2002/07/owl#NamedIndividual,1189,122,122,0.1026,10.26,owl:NamedIndividual -> rdfs:subClassOf -> owl:NamedIndividual
shape_000055,owl:Class,http://www.w3.org/2002/07/owl#Class,rdfs:subClassOf,http://www.w3.org/2000/01/rdf-schema#subClassOf,owl:Restriction,http://www.w3.org/2002/07/owl#Restriction,6123721,518823,518823,0.0847,8.47,owl:Class -> rdfs:subClassOf -> owl:Restriction
shape_000127,owl:Restriction,http://www.w3.org/2002/07/owl#Restriction,owl:someValuesFrom,http://www.w3.org/2002/07/owl#someValuesFrom,owl:Restriction,http://www.w3.org/2002/07/owl#Restriction,1885349,7823,7823,0.0041,0.41,owl:Restriction -> owl:someValuesFrom -> owl:Restriction
shape_000119,owl:Class,http://www.w3.org/2002/07/owl#Class,owl:someValuesFrom,http://www.w3.org/2002/07/owl#someValuesFrom,owl:Restriction,http://www.w3.org/2002/07/owl#Restriction,6123721,7823,7823,0.0013,0.13,owl:Class -> owl:someValuesFrom -> owl:Restriction
shape_000093,owl:Restriction,http://www.w3.org/2002/07/owl#Restriction,owl:allValuesFrom,http://www.w3.org/2002/07/owl#allValuesFrom,owl:Class,http://www.w3.org/2002/07/owl#Class,1885349,1554,1554,0.0008,0.08,owl:Restriction -> owl:allValuesFrom -> owl:Class
shape_000049,rdf:Property,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,rdfs:subClassOf,http://www.w3.org/2000/01/rdf-schema#subClassOf,owl:Class,http://www.w3.org/2002/07/owl#Class,20571,7,7,0.0003,0.03,rdf:Property -> rdfs:subClassOf -> owl:Class
shape_000085,owl:Class,http://www.w3.org/2002/07/owl#Class,owl:allValuesFrom,http://www.w3.org/2002/07/owl#allValuesFrom,owl:Class,http://www.w3.org/2002/07/owl#Class,6123721,1554,1554,0.0003,0.03,owl:Class -> owl:allValuesFrom -> owl:Class
shape_000016,rdf:Property,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,rdfs:domain,http://www.w3.org/2000/01/rdf-schema#domain,rdf:Property,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,20571,4,4,0.0002,0.02,rdf:Property -> rdfs:domain -> rdf:Property
