shape_id,subject_class,subject_uri,property,property_uri,object_class,object_uri,total_entities,participating_entities,occurrence_count,coverage_ratio,coverage_percent,shape_pattern
shape_000295,dcterms:Dataset,http://purl.org/dc/terms/Dataset,dcat:distribution,http://www.w3.org/ns/dcat#distribution,dcat:Distribution,http://www.w3.org/ns/dcat#Distribution,2,2,2,1.0,100.0,dcterms:Dataset -> dcat:distribution -> dcat:Distribution
shape_000030,bio2rdf:kegg_vocabulary:Module,http://bio2rdf.org/kegg_vocabulary:Module,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,owl:Class,http://www.w3.org/2002/07/owl#Class,709,709,709,1.0,100.0,bio2rdf:kegg_vocabulary:Module -> rdf:type -> owl:Class
shape_000027,bio2rdf:kegg_vocabulary:Enzyme,http://bio2rdf.org/kegg_vocabulary:Enzyme,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,bio2rdf:kegg_vocabulary:Resource,http://bio2rdf.org/kegg_vocabulary:Resource,6510,6510,6510,1.0,100.0,bio2rdf:kegg_vocabulary:Enzyme -> rdf:type -> bio2rdf:kegg_vocabulary:Resource
shape_000020,bio2rdf:kegg_vocabulary:Target,http://bio2rdf.org/kegg_vocabulary:Target,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,bio2rdf:kegg_vocabulary:Resource,http://bio2rdf.org/kegg_vocabulary:Resource,6586,6586,6586,1.0,100.0,bio2rdf:kegg_vocabulary:Target -> rdf:type -> bio2rdf:kegg_vocabulary:Resource
shape_000019,bio2rdf:kegg_vocabulary:Target,http://bio2rdf.org/kegg_vocabulary:Target,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,owl:Class,http://www.w3.org/2002/07/owl#Class,6586,6586,6586,1.0,100.0,bio2rdf:kegg_vocabulary:Target -> rdf:type -> owl:Class
shape_000034,bio2rdf:kegg_vocabulary:Metabolism,http://bio2rdf.org/kegg_vocabulary:Metabolism,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,owl:Class,http://www.w3.org/2002/07/owl#Class,1003,1003,1003,1.0,100.0,bio2rdf:kegg_vocabulary:Metabolism -> rdf:type -> owl:Class
shape_000061,bio2rdf:kegg_vocabulary:Ortholog-Group,http://bio2rdf.org/kegg_vocabulary:Ortholog-Group,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,owl:Class,http://www.w3.org/2002/07/owl#Class,33680,33680,33680,1.0,100.0,bio2rdf:kegg_vocabulary:Ortholog-Group -> rdf:type -> owl:Class
shape_000059,bio2rdf:kegg_vocabulary:Interaction,http://bio2rdf.org/kegg_vocabulary:Interaction,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,owl:Class,http://www.w3.org/2002/07/owl#Class,4851,4851,4851,1.0,100.0,bio2rdf:kegg_vocabulary:Interaction -> rdf:type -> owl:Class
shape_000036,bio2rdf:kegg_vocabulary:Rclass,http://bio2rdf.org/kegg_vocabulary:Rclass,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,bio2rdf:kegg_vocabulary:Resource,http://bio2rdf.org/kegg_vocabulary:Resource,2980,2980,2980,1.0,100.0,bio2rdf:kegg_vocabulary:Rclass -> rdf:type -> bio2rdf:kegg_vocabulary:Resource
shape_000050,owl:ObjectProperty,http://www.w3.org/2002/07/owl#ObjectProperty,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,rdfs:Resource,http://www.w3.org/2000/01/rdf-schema#Resource,79,79,79,1.0,100.0,owl:ObjectProperty -> rdf:type -> rdfs:Resource
shape_000049,owl:Class,http://www.w3.org/2002/07/owl#Class,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,rdfs:Resource,http://www.w3.org/2000/01/rdf-schema#Resource,42,42,42,1.0,100.0,owl:Class -> rdf:type -> rdfs:Resource
shape_000046,bio2rdf:kegg_vocabulary:Pathway,http://bio2rdf.org/kegg_vocabulary:Pathway,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,bio2rdf:kegg_vocabulary:Resource,http://bio2rdf.org/kegg_vocabulary:Resource,859,859,859,1.0,100.0,bio2rdf:kegg_vocabulary:Pathway -> rdf:type -> bio2rdf:kegg_vocabulary:Resource
shape_000044,bio2rdf:kegg_vocabulary:Glycan,http://bio2rdf.org/kegg_vocabulary:Glycan,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,bio2rdf:kegg_vocabulary:Resource,http://bio2rdf.org/kegg_vocabulary:Resource,10989,10989,10989,1.0,100.0,bio2rdf:kegg_vocabulary:Glycan -> rdf:type -> bio2rdf:kegg_vocabulary:Resource
shape_000037,bio2rdf:kegg_vocabulary:Rclass,http://bio2rdf.org/kegg_vocabulary:Rclass,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,owl:Class,http://www.w3.org/2002/07/owl#Class,2980,2980,2980,1.0,100.0,bio2rdf:kegg_vocabulary:Rclass -> rdf:type -> owl:Class
shape_000040,bio2rdf:kegg_vocabulary:Reversible-Reaction,http://bio2rdf.org/kegg_vocabulary:Reversible-Reaction,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,owl:Class,http://www.w3.org/2002/07/owl#Class,847,847,847,1.0,100.0,bio2rdf:kegg_vocabulary:Reversible-Reaction -> rdf:type -> owl:Class
