shape_id,subject_class,subject_uri,property,property_uri,object_class,object_uri,total_entities,participating_entities,occurrence_count,coverage_ratio,coverage_percent,shape_pattern
shape_001961,mesh.vocab:CheckTag,http://id.nlm.nih.gov/mesh/vocab#CheckTag,mesh.vocab:preferredConcept,http://id.nlm.nih.gov/mesh/vocab#preferredConcept,mesh.vocab:Concept,http://id.nlm.nih.gov/mesh/vocab#Concept,2,2,2,1.0,100.0,mesh.vocab:CheckTag -> mesh.vocab:preferredConcept -> mesh.vocab:Concept
shape_003018,mesh.vocab:TopicalDescriptor,http://id.nlm.nih.gov/mesh/vocab#TopicalDescriptor,mesh.vocab:treeNumber,http://id.nlm.nih.gov/mesh/vocab#treeNumber,mesh.vocab:TreeNumber,http://id.nlm.nih.gov/mesh/vocab#TreeNumber,30248,30248,30248,1.0,100.0,mesh.vocab:TopicalDescriptor -> mesh.vocab:treeNumber -> mesh.vocab:TreeNumber
shape_002031,mesh.vocab:SCR_Protocol,http://id.nlm.nih.gov/mesh/vocab#SCR_Protocol,mesh.vocab:preferredConcept,http://id.nlm.nih.gov/mesh/vocab#preferredConcept,mesh.vocab:Concept,http://id.nlm.nih.gov/mesh/vocab#Concept,1237,1237,1237,1.0,100.0,mesh.vocab:SCR_Protocol -> mesh.vocab:preferredConcept -> mesh.vocab:Concept
shape_002296,mesh.vocab:PublicationType,http://id.nlm.nih.gov/mesh/vocab#PublicationType,mesh.vocab:preferredTerm,http://id.nlm.nih.gov/mesh/vocab#preferredTerm,mesh.vocab:Term,http://id.nlm.nih.gov/mesh/vocab#Term,189,189,189,1.0,100.0,mesh.vocab:PublicationType -> mesh.vocab:preferredTerm -> mesh.vocab:Term
shape_001991,mesh.vocab:SCR_Disease,http://id.nlm.nih.gov/mesh/vocab#SCR_Disease,mesh.vocab:preferredConcept,http://id.nlm.nih.gov/mesh/vocab#preferredConcept,mesh.vocab:Concept,http://id.nlm.nih.gov/mesh/vocab#Concept,6771,6771,6771,1.0,100.0,mesh.vocab:SCR_Disease -> mesh.vocab:preferredConcept -> mesh.vocab:Concept
shape_002276,mesh.vocab:GeographicalDescriptor,http://id.nlm.nih.gov/mesh/vocab#GeographicalDescriptor,mesh.vocab:preferredTerm,http://id.nlm.nih.gov/mesh/vocab#preferredTerm,mesh.vocab:Term,http://id.nlm.nih.gov/mesh/vocab#Term,401,401,401,1.0,100.0,mesh.vocab:GeographicalDescriptor -> mesh.vocab:preferredTerm -> mesh.vocab:Term
shape_002071,mesh.vocab:SCR_Anatomy,http://id.nlm.nih.gov/mesh/vocab#SCR_Anatomy,mesh.vocab:preferredConcept,http://id.nlm.nih.gov/mesh/vocab#preferredConcept,mesh.vocab:Concept,http://id.nlm.nih.gov/mesh/vocab#Concept,24,24,24,1.0,100.0,mesh.vocab:SCR_Anatomy -> mesh.vocab:preferredConcept -> mesh.vocab:Concept
shape_002938,mesh.vocab:PublicationType,http://id.nlm.nih.gov/mesh/vocab#PublicationType,mesh.vocab:treeNumber,http://id.nlm.nih.gov/mesh/vocab#treeNumber,mesh.vocab:TreeNumber,http://id.nlm.nih.gov/mesh/vocab#TreeNumber,189,189,189,1.0,100.0,mesh.vocab:PublicationType -> mesh.vocab:treeNumber -> mesh.vocab:TreeNumber
shape_002316,mesh.vocab:SCR_Disease,http://id.nlm.nih.gov/mesh/vocab#SCR_Disease,mesh.vocab:preferredTerm,http://id.nlm.nih.gov/mesh/vocab#preferredTerm,mesh.vocab:Term,http://id.nlm.nih.gov/mesh/vocab#Term,6771,6771,6771,1.0,100.0,mesh.vocab:SCR_Disease -> mesh.vocab:preferredTerm -> mesh.vocab:Term
shape_000827,mesh.vocab:DisallowedDescriptorQualifierPair,http://id.nlm.nih.gov/mesh/vocab#DisallowedDescriptorQualifierPair,mesh.vocab:hasDescriptor,http://id.nlm.nih.gov/mesh/vocab#hasDescriptor,mesh.vocab:TopicalDescriptor,http://id.nlm.nih.gov/mesh/vocab#TopicalDescriptor,1041,1041,1041,1.0,100.0,mesh.vocab:DisallowedDescriptorQualifierPair -> mesh.vocab:hasDescriptor -> mesh.vocab:TopicalDescriptor
shape_002001,mesh.vocab:SCR_Chemical,http://id.nlm.nih.gov/mesh/vocab#SCR_Chemical,mesh.vocab:preferredConcept,http://id.nlm.nih.gov/mesh/vocab#preferredConcept,mesh.vocab:Concept,http://id.nlm.nih.gov/mesh/vocab#Concept,250445,250445,250445,1.0,100.0,mesh.vocab:SCR_Chemical -> mesh.vocab:preferredConcept -> mesh.vocab:Concept
shape_000985,mesh.vocab:DisallowedDescriptorQualifierPair,http://id.nlm.nih.gov/mesh/vocab#DisallowedDescriptorQualifierPair,mesh.vocab:hasQualifier,http://id.nlm.nih.gov/mesh/vocab#hasQualifier,mesh.vocab:Qualifier,http://id.nlm.nih.gov/mesh/vocab#Qualifier,1041,1041,1041,1.0,100.0,mesh.vocab:DisallowedDescriptorQualifierPair -> mesh.vocab:hasQualifier -> mesh.vocab:Qualifier
shape_002396,mesh.vocab:SCR_Anatomy,http://id.nlm.nih.gov/mesh/vocab#SCR_Anatomy,mesh.vocab:preferredTerm,http://id.nlm.nih.gov/mesh/vocab#preferredTerm,mesh.vocab:Term,http://id.nlm.nih.gov/mesh/vocab#Term,24,24,24,1.0,100.0,mesh.vocab:SCR_Anatomy -> mesh.vocab:preferredTerm -> mesh.vocab:Term
shape_002021,mesh.vocab:SCR_Population,http://id.nlm.nih.gov/mesh/vocab#SCR_Population,mesh.vocab:preferredConcept,http://id.nlm.nih.gov/mesh/vocab#preferredConcept,mesh.vocab:Concept,http://id.nlm.nih.gov/mesh/vocab#Concept,1764,1764,1764,1.0,100.0,mesh.vocab:SCR_Population -> mesh.vocab:preferredConcept -> mesh.vocab:Concept
shape_002948,mesh.vocab:Qualifier,http://id.nlm.nih.gov/mesh/vocab#Qualifier,mesh.vocab:treeNumber,http://id.nlm.nih.gov/mesh/vocab#treeNumber,mesh.vocab:TreeNumber,http://id.nlm.nih.gov/mesh/vocab#TreeNumber,84,84,84,1.0,100.0,mesh.vocab:Qualifier -> mesh.vocab:treeNumber -> mesh.vocab:TreeNumber
shape_001951,mesh.vocab:GeographicalDescriptor,http://id.nlm.nih.gov/mesh/vocab#GeographicalDescriptor,mesh.vocab:preferredConcept,http://id.nlm.nih.gov/mesh/vocab#preferredConcept,mesh.vocab:Concept,http://id.nlm.nih.gov/mesh/vocab#Concept,401,401,401,1.0,100.0,mesh.vocab:GeographicalDescriptor -> mesh.vocab:preferredConcept -> mesh.vocab:Concept
shape_001971,mesh.vocab:PublicationType,http://id.nlm.nih.gov/mesh/vocab#PublicationType,mesh.vocab:preferredConcept,http://id.nlm.nih.gov/mesh/vocab#preferredConcept,mesh.vocab:Concept,http://id.nlm.nih.gov/mesh/vocab#Concept,189,189,189,1.0,100.0,mesh.vocab:PublicationType -> mesh.vocab:preferredConcept -> mesh.vocab:Concept
shape_002011,mesh.vocab:SCR_Organism,http://id.nlm.nih.gov/mesh/vocab#SCR_Organism,mesh.vocab:preferredConcept,http://id.nlm.nih.gov/mesh/vocab#preferredConcept,mesh.vocab:Concept,http://id.nlm.nih.gov/mesh/vocab#Concept,66571,66571,66571,1.0,100.0,mesh.vocab:SCR_Organism -> mesh.vocab:preferredConcept -> mesh.vocab:Concept
shape_000965,mesh.vocab:AllowedDescriptorQualifierPair,http://id.nlm.nih.gov/mesh/vocab#AllowedDescriptorQualifierPair,mesh.vocab:hasQualifier,http://id.nlm.nih.gov/mesh/vocab#hasQualifier,mesh.vocab:Qualifier,http://id.nlm.nih.gov/mesh/vocab#Qualifier,679888,679888,679888,1.0,100.0,mesh.vocab:AllowedDescriptorQualifierPair -> mesh.vocab:hasQualifier -> mesh.vocab:Qualifier
shape_002346,mesh.vocab:SCR_Population,http://id.nlm.nih.gov/mesh/vocab#SCR_Population,mesh.vocab:preferredTerm,http://id.nlm.nih.gov/mesh/vocab#preferredTerm,mesh.vocab:Term,http://id.nlm.nih.gov/mesh/vocab#Term,1764,1764,1764,1.0,100.0,mesh.vocab:SCR_Population -> mesh.vocab:preferredTerm -> mesh.vocab:Term
