shape_id,subject_class,subject_uri,property,property_uri,object_class,object_uri,total_entities,participating_entities,occurrence_count,coverage_ratio,coverage_percent,shape_pattern
shape_000005,bio2rdf:mesh_vocabulary:Descriptor,http://bio2rdf.org/mesh_vocabulary:Descriptor,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,owl:Class,http://www.w3.org/2002/07/owl#Class,27149,27149,27149,1.0,100.0,bio2rdf:mesh_vocabulary:Descriptor -> rdf:type -> owl:Class
shape_000007,bio2rdf:mesh_vocabulary:Qualifier-Descriptor,http://bio2rdf.org/mesh_vocabulary:Qualifier-Descriptor,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,bio2rdf:mesh_vocabulary:Resource,http://bio2rdf.org/mesh_vocabulary:Resource,83,83,83,1.0,100.0,bio2rdf:mesh_vocabulary:Qualifier-Descriptor -> rdf:type -> bio2rdf:mesh_vocabulary:Resource
shape_000004,bio2rdf:mesh_vocabulary:Descriptor,http://bio2rdf.org/mesh_vocabulary:Descriptor,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,bio2rdf:mesh_vocabulary:Resource,http://bio2rdf.org/mesh_vocabulary:Resource,27149,27149,27149,1.0,100.0,bio2rdf:mesh_vocabulary:Descriptor -> rdf:type -> bio2rdf:mesh_vocabulary:Resource
shape_000018,owl:Class,http://www.w3.org/2002/07/owl#Class,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,rdfs:Resource,http://www.w3.org/2000/01/rdf-schema#Resource,7,7,7,1.0,100.0,owl:Class -> rdf:type -> rdfs:Resource
shape_000012,bio2rdf:mesh_vocabulary:Supplementary-Descriptor,http://bio2rdf.org/mesh_vocabulary:Supplementary-Descriptor,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,bio2rdf:mesh_vocabulary:Resource,http://bio2rdf.org/mesh_vocabulary:Resource,225477,225477,225477,1.0,100.0,bio2rdf:mesh_vocabulary:Supplementary-Descriptor -> rdf:type -> bio2rdf:mesh_vocabulary:Resource
shape_000014,owl:DatatypeProperty,http://www.w3.org/2002/07/owl#DatatypeProperty,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,rdfs:Resource,http://www.w3.org/2000/01/rdf-schema#Resource,50,50,50,1.0,100.0,owl:DatatypeProperty -> rdf:type -> rdfs:Resource
shape_000010,bio2rdf:mesh_vocabulary:Supplementary-Descriptor,http://bio2rdf.org/mesh_vocabulary:Supplementary-Descriptor,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,owl:Class,http://www.w3.org/2002/07/owl#Class,225477,225477,225477,1.0,100.0,bio2rdf:mesh_vocabulary:Supplementary-Descriptor -> rdf:type -> owl:Class
shape_000008,bio2rdf:mesh_vocabulary:Qualifier-Descriptor,http://bio2rdf.org/mesh_vocabulary:Qualifier-Descriptor,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,owl:Class,http://www.w3.org/2002/07/owl#Class,83,83,83,1.0,100.0,bio2rdf:mesh_vocabulary:Qualifier-Descriptor -> rdf:type -> owl:Class
shape_000016,bio2rdf:mesh_vocabulary:Semantic-Type,http://bio2rdf.org/mesh_vocabulary:Semantic-Type,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,owl:Class,http://www.w3.org/2002/07/owl#Class,130,130,130,1.0,100.0,bio2rdf:mesh_vocabulary:Semantic-Type -> rdf:type -> owl:Class
shape_000021,owl:ObjectProperty,http://www.w3.org/2002/07/owl#ObjectProperty,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,rdfs:Resource,http://www.w3.org/2000/01/rdf-schema#Resource,5,5,5,1.0,100.0,owl:ObjectProperty -> rdf:type -> rdfs:Resource
shape_000035,bio2rdf:mesh_vocabulary:Descriptor,http://bio2rdf.org/mesh_vocabulary:Descriptor,bio2rdf:mesh_vocabulary:semantic-type,http://bio2rdf.org/mesh_vocabulary:semantic-type,bio2rdf:mesh_vocabulary:Semantic-Type,http://bio2rdf.org/mesh_vocabulary:Semantic-Type,27149,27149,27149,1.0,100.0,bio2rdf:mesh_vocabulary:Descriptor -> bio2rdf:mesh_vocabulary:semantic-type -> bio2rdf:mesh_vocabulary:Semantic-Type
shape_000034,bio2rdf:mesh_vocabulary:Descriptor,http://bio2rdf.org/mesh_vocabulary:Descriptor,bio2rdf:mesh_vocabulary:semantic-type,http://bio2rdf.org/mesh_vocabulary:semantic-type,bio2rdf:mesh_vocabulary:Resource,http://bio2rdf.org/mesh_vocabulary:Resource,27149,27149,27149,1.0,100.0,bio2rdf:mesh_vocabulary:Descriptor -> bio2rdf:mesh_vocabulary:semantic-type -> bio2rdf:mesh_vocabulary:Resource
shape_000029,bio2rdf:mesh_vocabulary:allowable-topical-qualifier,http://bio2rdf.org/mesh_vocabulary:allowable-topical-qualifier,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,owl:Class,http://www.w3.org/2002/07/owl#Class,83,83,83,1.0,100.0,bio2rdf:mesh_vocabulary:allowable-topical-qualifier -> rdf:type -> owl:Class
shape_000030,bio2rdf:mesh_vocabulary:allowable-topical-qualifier,http://bio2rdf.org/mesh_vocabulary:allowable-topical-qualifier,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,bio2rdf:mesh_vocabulary:Resource,http://bio2rdf.org/mesh_vocabulary:Resource,83,83,83,1.0,100.0,bio2rdf:mesh_vocabulary:allowable-topical-qualifier -> rdf:type -> bio2rdf:mesh_vocabulary:Resource
