shape_id,subject_class,subject_uri,property,property_uri,object_class,object_uri,total_entities,participating_entities,occurrence_count,coverage_ratio,coverage_percent,shape_pattern
shape_000000,schema:MNET,https://rdf.metanetx.org/schema/MNET,schema:gpr,https://rdf.metanetx.org/schema/gpr,schema:GPR,https://rdf.metanetx.org/schema/GPR,231,231,231,1.0,100.0,schema:MNET -> schema:gpr -> schema:GPR
shape_000002,schema:GPR,https://rdf.metanetx.org/schema/GPR,schema:cata,https://rdf.metanetx.org/schema/cata,schema:CATA,https://rdf.metanetx.org/schema/CATA,208224,208224,208224,1.0,100.0,schema:GPR -> schema:cata -> schema:CATA
shape_000003,schema:GPR,https://rdf.metanetx.org/schema/GPR,schema:reac,https://rdf.metanetx.org/schema/reac,schema:REAC,https://rdf.metanetx.org/schema/REAC,208224,208224,208224,1.0,100.0,schema:GPR -> schema:reac -> schema:REAC
shape_000004,schema:PART,https://rdf.metanetx.org/schema/PART,schema:comp,https://rdf.metanetx.org/schema/comp,schema:COMP,https://rdf.metanetx.org/schema/COMP,106904,106904,106904,1.0,100.0,schema:PART -> schema:comp -> schema:COMP
shape_000007,schema:CPLX,https://rdf.metanetx.org/schema/CPLX,schema:subu,https://rdf.metanetx.org/schema/subu,schema:PEPT,https://rdf.metanetx.org/schema/PEPT,98113,98113,98113,1.0,100.0,schema:CPLX -> schema:subu -> schema:PEPT
shape_000009,schema:PART,https://rdf.metanetx.org/schema/PART,schema:chem,https://rdf.metanetx.org/schema/chem,schema:CHEM,https://rdf.metanetx.org/schema/CHEM,106904,106904,106904,1.0,100.0,schema:PART -> schema:chem -> schema:CHEM
shape_000074,schema:MNET,https://rdf.metanetx.org/schema/MNET,schema:canGrow,https://rdf.metanetx.org/schema/canGrow,Literal,Literal,231,231,231,1.0,100.0,schema:MNET -> schema:canGrow -> Literal
shape_000082,schema:PEPT,https://rdf.metanetx.org/schema/PEPT,rdfs:label,http://www.w3.org/2000/01/rdf-schema#label,Literal,Literal,74447,74447,74447,1.0,100.0,schema:PEPT -> rdfs:label -> Literal
shape_000081,schema:CPLX,https://rdf.metanetx.org/schema/CPLX,rdfs:label,http://www.w3.org/2000/01/rdf-schema#label,Literal,Literal,98113,98113,98113,1.0,100.0,schema:CPLX -> rdfs:label -> Literal
shape_000080,schema:MNET,https://rdf.metanetx.org/schema/MNET,rdfs:label,http://www.w3.org/2000/01/rdf-schema#label,Literal,Literal,231,231,231,1.0,100.0,schema:MNET -> rdfs:label -> Literal
shape_000079,schema:CHEM,https://rdf.metanetx.org/schema/CHEM,rdfs:label,http://www.w3.org/2000/01/rdf-schema#label,Literal,Literal,1559455,1559455,1559455,1.0,100.0,schema:CHEM -> rdfs:label -> Literal
shape_000078,schema:COMP,https://rdf.metanetx.org/schema/COMP,rdfs:label,http://www.w3.org/2000/01/rdf-schema#label,Literal,Literal,51,51,51,1.0,100.0,schema:COMP -> rdfs:label -> Literal
shape_000077,schema:CATA,https://rdf.metanetx.org/schema/CATA,rdfs:label,http://www.w3.org/2000/01/rdf-schema#label,Literal,Literal,74450,74450,74450,1.0,100.0,schema:CATA -> rdfs:label -> Literal
shape_000085,schema:FreeRadicalChemEntity,https://rdf.metanetx.org/schema/FreeRadicalChemEntity,rdfs:label,http://www.w3.org/2000/01/rdf-schema#label,Literal,Literal,1296,1296,1296,1.0,100.0,schema:FreeRadicalChemEntity -> rdfs:label -> Literal
shape_000086,schema:ChemXRef,https://rdf.metanetx.org/schema/ChemXRef,rdfs:label,http://www.w3.org/2000/01/rdf-schema#label,Literal,Literal,1756960,1756959,1756959,1.0,100.0,schema:ChemXRef -> rdfs:label -> Literal
shape_000087,schema:RGroupChemEntity,https://rdf.metanetx.org/schema/RGroupChemEntity,rdfs:label,http://www.w3.org/2000/01/rdf-schema#label,Literal,Literal,19203,19203,19203,1.0,100.0,schema:RGroupChemEntity -> rdfs:label -> Literal
shape_000050,schema:COMP,https://rdf.metanetx.org/schema/COMP,rdfs:comment,http://www.w3.org/2000/01/rdf-schema#comment,Literal,Literal,51,51,51,1.0,100.0,schema:COMP -> rdfs:comment -> Literal
shape_000046,schema:MNET,https://rdf.metanetx.org/schema/MNET,schema:organism,https://rdf.metanetx.org/schema/organism,Literal,Literal,231,231,231,1.0,100.0,schema:MNET -> schema:organism -> Literal
shape_000051,schema:PEPT,https://rdf.metanetx.org/schema/PEPT,rdfs:comment,http://www.w3.org/2000/01/rdf-schema#comment,Literal,Literal,74447,74447,74447,1.0,100.0,schema:PEPT -> rdfs:comment -> Literal
shape_000054,schema:StereoIncompleteChemEntity,https://rdf.metanetx.org/schema/StereoIncompleteChemEntity,rdfs:comment,http://www.w3.org/2000/01/rdf-schema#comment,Literal,Literal,489451,489451,489451,1.0,100.0,schema:StereoIncompleteChemEntity -> rdfs:comment -> Literal
shape_000053,schema:FreeRadicalChemEntity,https://rdf.metanetx.org/schema/FreeRadicalChemEntity,rdfs:comment,http://www.w3.org/2000/01/rdf-schema#comment,Literal,Literal,1296,1296,1296,1.0,100.0,schema:FreeRadicalChemEntity -> rdfs:comment -> Literal
shape_000057,schema:ChemXRef,https://rdf.metanetx.org/schema/ChemXRef,rdfs:comment,http://www.w3.org/2000/01/rdf-schema#comment,Literal,Literal,1756960,1756959,1756959,1.0,100.0,schema:ChemXRef -> rdfs:comment -> Literal
shape_000060,schema:MNET,https://rdf.metanetx.org/schema/MNET,schema:specCount,https://rdf.metanetx.org/schema/specCount,Literal,Literal,231,231,231,1.0,100.0,schema:MNET -> schema:specCount -> Literal
shape_000056,schema:ChemEntity,https://rdf.metanetx.org/schema/ChemEntity,rdfs:comment,http://www.w3.org/2000/01/rdf-schema#comment,Literal,Literal,1628902,1628901,1628901,1.0,100.0,schema:ChemEntity -> rdfs:comment -> Literal
shape_000049,schema:GPR,https://rdf.metanetx.org/schema/GPR,rdfs:comment,http://www.w3.org/2000/01/rdf-schema#comment,Literal,Literal,208224,208224,208224,1.0,100.0,schema:GPR -> rdfs:comment -> Literal
shape_000052,schema:StereoDefinedChemEntity,https://rdf.metanetx.org/schema/StereoDefinedChemEntity,rdfs:comment,http://www.w3.org/2000/01/rdf-schema#comment,Literal,Literal,1139451,1139450,1139450,1.0,100.0,schema:StereoDefinedChemEntity -> rdfs:comment -> Literal
shape_000055,schema:RGroupChemEntity,https://rdf.metanetx.org/schema/RGroupChemEntity,rdfs:comment,http://www.w3.org/2000/01/rdf-schema#comment,Literal,Literal,19203,19203,19203,1.0,100.0,schema:RGroupChemEntity -> rdfs:comment -> Literal
shape_000037,schema:StereoIncompleteChemEntity,https://rdf.metanetx.org/schema/StereoIncompleteChemEntity,schema:elemFormula,https://rdf.metanetx.org/schema/elemFormula,schema:ElemFormula,https://rdf.metanetx.org/schema/ElemFormula,489451,489451,489451,1.0,100.0,schema:StereoIncompleteChemEntity -> schema:elemFormula -> schema:ElemFormula
shape_000035,schema:ChemEntity,https://rdf.metanetx.org/schema/ChemEntity,schema:elemFormula,https://rdf.metanetx.org/schema/elemFormula,schema:ElemFormula,https://rdf.metanetx.org/schema/ElemFormula,1628902,1628830,1628830,1.0,100.0,schema:ChemEntity -> schema:elemFormula -> schema:ElemFormula
shape_000092,schema:CATA,https://rdf.metanetx.org/schema/CATA,schema:dir,https://rdf.metanetx.org/schema/dir,Literal,Literal,74450,74450,74450,1.0,100.0,schema:CATA -> schema:dir -> Literal
shape_000090,prov:Person,http://www.w3.org/ns/prov#Person,rdfs:label,http://www.w3.org/2000/01/rdf-schema#label,Literal,Literal,2,2,2,1.0,100.0,prov:Person -> rdfs:label -> Literal
shape_000083,schema:StereoDefinedChemEntity,https://rdf.metanetx.org/schema/StereoDefinedChemEntity,rdfs:label,http://www.w3.org/2000/01/rdf-schema#label,Literal,Literal,1139451,1139450,1139450,1.0,100.0,schema:StereoDefinedChemEntity -> rdfs:label -> Literal
shape_000088,schema:ChemEntity,https://rdf.metanetx.org/schema/ChemEntity,rdfs:label,http://www.w3.org/2000/01/rdf-schema#label,Literal,Literal,1628902,1628901,1628901,1.0,100.0,schema:ChemEntity -> rdfs:label -> Literal
shape_000089,foaf:Person,http://xmlns.com/foaf/0.1/Person,rdfs:label,http://www.w3.org/2000/01/rdf-schema#label,Literal,Literal,2,2,2,1.0,100.0,foaf:Person -> rdfs:label -> Literal
shape_000084,schema:StereoIncompleteChemEntity,https://rdf.metanetx.org/schema/StereoIncompleteChemEntity,rdfs:label,http://www.w3.org/2000/01/rdf-schema#label,Literal,Literal,489451,489451,489451,1.0,100.0,schema:StereoIncompleteChemEntity -> rdfs:label -> Literal
shape_000062,schema:MNET,https://rdf.metanetx.org/schema/MNET,schema:lineage,https://rdf.metanetx.org/schema/lineage,Literal,Literal,231,231,231,1.0,100.0,schema:MNET -> schema:lineage -> Literal
shape_000075,schema:REAC,https://rdf.metanetx.org/schema/REAC,rdfs:label,http://www.w3.org/2000/01/rdf-schema#label,Literal,Literal,200719,200719,200719,1.0,100.0,schema:REAC -> rdfs:label -> Literal
shape_000071,schema:MNET,https://rdf.metanetx.org/schema/MNET,schema:compCount,https://rdf.metanetx.org/schema/compCount,Literal,Literal,231,231,231,1.0,100.0,schema:MNET -> schema:compCount -> Literal
shape_000076,schema:GPR,https://rdf.metanetx.org/schema/GPR,rdfs:label,http://www.w3.org/2000/01/rdf-schema#label,Literal,Literal,208224,208224,208224,1.0,100.0,schema:GPR -> rdfs:label -> Literal
shape_000068,schema:REAC,https://rdf.metanetx.org/schema/REAC,schema:reacInMNXref,https://rdf.metanetx.org/schema/reacInMNXref,Literal,Literal,200719,200719,200719,1.0,100.0,schema:REAC -> schema:reacInMNXref -> Literal
shape_000065,schema:PART,https://rdf.metanetx.org/schema/PART,schema:coef,https://rdf.metanetx.org/schema/coef,Literal,Literal,106904,106904,106904,1.0,100.0,schema:PART -> schema:coef -> Literal
shape_000064,schema:PART,https://rdf.metanetx.org/schema/PART,schema:coef,https://rdf.metanetx.org/schema/coef,Literal,Literal,106904,106904,106904,1.0,100.0,schema:PART -> schema:coef -> Literal
shape_000063,schema:PART,https://rdf.metanetx.org/schema/PART,schema:coef,https://rdf.metanetx.org/schema/coef,Literal,Literal,106904,106904,106904,1.0,100.0,schema:PART -> schema:coef -> Literal
shape_000061,schema:MNET,https://rdf.metanetx.org/schema/MNET,schema:default_UB,https://rdf.metanetx.org/schema/default_UB,Literal,Literal,231,231,231,1.0,100.0,schema:MNET -> schema:default_UB -> Literal
shape_000148,schema:ChemEntity,https://rdf.metanetx.org/schema/ChemEntity,schema:mnxInChI,https://rdf.metanetx.org/schema/mnxInChI,Literal,Literal,1628902,1628902,1628902,1.0,100.0,schema:ChemEntity -> schema:mnxInChI -> Literal
shape_000138,schema:ChemEntity,https://rdf.metanetx.org/schema/ChemEntity,schema:stdFormula,https://rdf.metanetx.org/schema/stdFormula,Literal,Literal,1628902,1628830,1628830,1.0,100.0,schema:ChemEntity -> schema:stdFormula -> Literal
shape_000139,schema:StereoIncompleteChemEntity,https://rdf.metanetx.org/schema/StereoIncompleteChemEntity,schema:stdFormula,https://rdf.metanetx.org/schema/stdFormula,Literal,Literal,489451,489451,489451,1.0,100.0,schema:StereoIncompleteChemEntity -> schema:stdFormula -> Literal
shape_000118,schema:ChemEntity,https://rdf.metanetx.org/schema/ChemEntity,schema:stdGlobalCharge,https://rdf.metanetx.org/schema/stdGlobalCharge,Literal,Literal,1628902,1628830,1628830,1.0,100.0,schema:ChemEntity -> schema:stdGlobalCharge -> Literal
shape_000116,schema:StereoIncompleteChemEntity,https://rdf.metanetx.org/schema/StereoIncompleteChemEntity,schema:stdGlobalCharge,https://rdf.metanetx.org/schema/stdGlobalCharge,Literal,Literal,489451,489451,489451,1.0,100.0,schema:StereoIncompleteChemEntity -> schema:stdGlobalCharge -> Literal
shape_000112,schema:StereoIncompleteChemEntity,https://rdf.metanetx.org/schema/StereoIncompleteChemEntity,schema:mnxSMILES,https://rdf.metanetx.org/schema/mnxSMILES,Literal,Literal,489451,489451,489451,1.0,100.0,schema:StereoIncompleteChemEntity -> schema:mnxSMILES -> Literal
shape_000199,schema:MNET,https://rdf.metanetx.org/schema/MNET,schema:taxid,https://rdf.metanetx.org/schema/taxid,Resource,Resource,231,231,231,1.0,100.0,schema:MNET -> schema:taxid -> Resource
shape_000219,prov:Person,http://www.w3.org/ns/prov#Person,schema:affiliation,https://schema.org/affiliation,Resource,Resource,2,2,2,1.0,100.0,prov:Person -> schema:affiliation -> Resource
shape_000220,foaf:Person,http://xmlns.com/foaf/0.1/Person,schema:affiliation,https://schema.org/affiliation,Resource,Resource,2,2,2,1.0,100.0,foaf:Person -> schema:affiliation -> Resource
shape_000217,prov:Person,http://www.w3.org/ns/prov#Person,schema:email,https://schema.org/email,Resource,Resource,2,2,2,1.0,100.0,prov:Person -> schema:email -> Resource
shape_000218,foaf:Person,http://xmlns.com/foaf/0.1/Person,schema:email,https://schema.org/email,Resource,Resource,2,2,2,1.0,100.0,foaf:Person -> schema:email -> Resource
shape_000178,schema:ChemXRef,https://rdf.metanetx.org/schema/ChemXRef,schema:srcName,https://rdf.metanetx.org/schema/srcName,Literal,Literal,1756960,1756959,1756959,1.0,100.0,schema:ChemXRef -> schema:srcName -> Literal
shape_000177,schema:FreeRadicalChemEntity,https://rdf.metanetx.org/schema/FreeRadicalChemEntity,schema:srcName,https://rdf.metanetx.org/schema/srcName,Literal,Literal,1296,1296,1296,1.0,100.0,schema:FreeRadicalChemEntity -> schema:srcName -> Literal
shape_000176,schema:StereoIncompleteChemEntity,https://rdf.metanetx.org/schema/StereoIncompleteChemEntity,schema:srcName,https://rdf.metanetx.org/schema/srcName,Literal,Literal,489451,489451,489451,1.0,100.0,schema:StereoIncompleteChemEntity -> schema:srcName -> Literal
shape_000175,schema:ChemEntity,https://rdf.metanetx.org/schema/ChemEntity,schema:srcName,https://rdf.metanetx.org/schema/srcName,Literal,Literal,1628902,1628902,1628902,1.0,100.0,schema:ChemEntity -> schema:srcName -> Literal
shape_000174,schema:RGroupChemEntity,https://rdf.metanetx.org/schema/RGroupChemEntity,schema:srcName,https://rdf.metanetx.org/schema/srcName,Literal,Literal,19203,19203,19203,1.0,100.0,schema:RGroupChemEntity -> schema:srcName -> Literal
shape_000173,schema:StereoDefinedChemEntity,https://rdf.metanetx.org/schema/StereoDefinedChemEntity,schema:srcName,https://rdf.metanetx.org/schema/srcName,Literal,Literal,1139451,1139451,1139451,1.0,100.0,schema:StereoDefinedChemEntity -> schema:srcName -> Literal
shape_000160,schema:ElemFormula,https://rdf.metanetx.org/schema/ElemFormula,schema:atomElem,https://rdf.metanetx.org/schema/atomElem,Literal,Literal,1280,1280,1280,1.0,100.0,schema:ElemFormula -> schema:atomElem -> Literal
