shape_id,subject_class,subject_uri,property,property_uri,object_class,object_uri,total_entities,participating_entities,occurrence_count,coverage_ratio,coverage_percent,shape_pattern
shape_000000,bio2rdf:ndc_vocabulary:Labeller,http://bio2rdf.org/ndc_vocabulary:Labeller,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,owl:Class,http://www.w3.org/2002/07/owl#Class,6552,6552,6552,1.0,100.0,bio2rdf:ndc_vocabulary:Labeller -> rdf:type -> owl:Class
shape_000001,bio2rdf:ndc_vocabulary:Labeller,http://bio2rdf.org/ndc_vocabulary:Labeller,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,bio2rdf:ndc_vocabulary:Resource,http://bio2rdf.org/ndc_vocabulary:Resource,6552,6552,6552,1.0,100.0,bio2rdf:ndc_vocabulary:Labeller -> rdf:type -> bio2rdf:ndc_vocabulary:Resource
shape_000005,bio2rdf:ndc_vocabulary:Unit,http://bio2rdf.org/ndc_vocabulary:Unit,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,owl:Class,http://www.w3.org/2002/07/owl#Class,1801,1801,1801,1.0,100.0,bio2rdf:ndc_vocabulary:Unit -> rdf:type -> owl:Class
shape_000004,bio2rdf:ndc_vocabulary:Unit,http://bio2rdf.org/ndc_vocabulary:Unit,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,bio2rdf:ndc_vocabulary:Resource,http://bio2rdf.org/ndc_vocabulary:Resource,1801,1801,1801,1.0,100.0,bio2rdf:ndc_vocabulary:Unit -> rdf:type -> bio2rdf:ndc_vocabulary:Resource
shape_000008,bio2rdf:ndc_vocabulary:Package,http://bio2rdf.org/ndc_vocabulary:Package,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,owl:Class,http://www.w3.org/2002/07/owl#Class,176931,176931,176931,1.0,100.0,bio2rdf:ndc_vocabulary:Package -> rdf:type -> owl:Class
shape_000007,bio2rdf:ndc_vocabulary:Package,http://bio2rdf.org/ndc_vocabulary:Package,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,bio2rdf:ndc_vocabulary:Resource,http://bio2rdf.org/ndc_vocabulary:Resource,176931,176931,176931,1.0,100.0,bio2rdf:ndc_vocabulary:Package -> rdf:type -> bio2rdf:ndc_vocabulary:Resource
shape_000012,bio2rdf:ndc_vocabulary:Pharmacological-Class,http://bio2rdf.org/ndc_vocabulary:Pharmacological-Class,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,bio2rdf:ndc_vocabulary:Resource,http://bio2rdf.org/ndc_vocabulary:Resource,1069,1069,1069,1.0,100.0,bio2rdf:ndc_vocabulary:Pharmacological-Class -> rdf:type -> bio2rdf:ndc_vocabulary:Resource
shape_000011,bio2rdf:ndc_vocabulary:Dosage-Form,http://bio2rdf.org/ndc_vocabulary:Dosage-Form,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,owl:Class,http://www.w3.org/2002/07/owl#Class,105,105,105,1.0,100.0,bio2rdf:ndc_vocabulary:Dosage-Form -> rdf:type -> owl:Class
shape_000009,bio2rdf:ndc_vocabulary:Dosage-Form,http://bio2rdf.org/ndc_vocabulary:Dosage-Form,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,bio2rdf:ndc_vocabulary:Resource,http://bio2rdf.org/ndc_vocabulary:Resource,105,105,105,1.0,100.0,bio2rdf:ndc_vocabulary:Dosage-Form -> rdf:type -> bio2rdf:ndc_vocabulary:Resource
shape_000026,owl:Class,http://www.w3.org/2002/07/owl#Class,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,rdfs:Resource,http://www.w3.org/2000/01/rdf-schema#Resource,11,11,11,1.0,100.0,owl:Class -> rdf:type -> rdfs:Resource
shape_000022,bio2rdf:ndc_vocabulary:Substance,http://bio2rdf.org/ndc_vocabulary:Substance,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,owl:Class,http://www.w3.org/2002/07/owl#Class,44086,44086,44086,1.0,100.0,bio2rdf:ndc_vocabulary:Substance -> rdf:type -> owl:Class
shape_000024,bio2rdf:ndc_vocabulary:Substance,http://bio2rdf.org/ndc_vocabulary:Substance,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,bio2rdf:ndc_vocabulary:Resource,http://bio2rdf.org/ndc_vocabulary:Resource,44086,44086,44086,1.0,100.0,bio2rdf:ndc_vocabulary:Substance -> rdf:type -> bio2rdf:ndc_vocabulary:Resource
