shape_id,subject_class,subject_uri,property,property_uri,object_class,object_uri,total_entities,occurrence_count,coverage_ratio,coverage_percent,shape_pattern
shape_000000,owl:OntologyProperty,http://www.w3.org/2002/07/owl#OntologyProperty,rdfs:range,http://www.w3.org/2000/01/rdf-schema#range,rdfs:Class,http://www.w3.org/2000/01/rdf-schema#Class,0,0,0.0,0.0,owl:OntologyProperty -> rdfs:range -> rdfs:Class
shape_000001,rdf:Property,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,rdfs:range,http://www.w3.org/2000/01/rdf-schema#range,owl:Class,http://www.w3.org/2002/07/owl#Class,0,0,0.0,0.0,rdf:Property -> rdfs:range -> owl:Class
shape_000002,rdf:Property,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,rdfs:range,http://www.w3.org/2000/01/rdf-schema#range,rdfs:Class,http://www.w3.org/2000/01/rdf-schema#Class,0,0,0.0,0.0,rdf:Property -> rdfs:range -> rdfs:Class
shape_000003,owl:ObjectProperty,http://www.w3.org/2002/07/owl#ObjectProperty,rdfs:range,http://www.w3.org/2000/01/rdf-schema#range,owl:Class,http://www.w3.org/2002/07/owl#Class,0,0,0.0,0.0,owl:ObjectProperty -> rdfs:range -> owl:Class
shape_000004,owl:AnnotationProperty,http://www.w3.org/2002/07/owl#AnnotationProperty,rdfs:range,http://www.w3.org/2000/01/rdf-schema#range,owl:Class,http://www.w3.org/2002/07/owl#Class,0,0,0.0,0.0,owl:AnnotationProperty -> rdfs:range -> owl:Class
shape_000005,owl:SymmetricProperty,http://www.w3.org/2002/07/owl#SymmetricProperty,rdfs:range,http://www.w3.org/2000/01/rdf-schema#range,owl:Class,http://www.w3.org/2002/07/owl#Class,0,0,0.0,0.0,owl:SymmetricProperty -> rdfs:range -> owl:Class
shape_000006,owl:DatatypeProperty,http://www.w3.org/2002/07/owl#DatatypeProperty,rdfs:range,http://www.w3.org/2000/01/rdf-schema#range,Resource,Resource,0,0,0.0,0.0,owl:DatatypeProperty -> rdfs:range -> Resource
shape_000007,owl:OntologyProperty,http://www.w3.org/2002/07/owl#OntologyProperty,rdfs:domain,http://www.w3.org/2000/01/rdf-schema#domain,rdfs:Class,http://www.w3.org/2000/01/rdf-schema#Class,0,0,0.0,0.0,owl:OntologyProperty -> rdfs:domain -> rdfs:Class
shape_000008,rdf:Property,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,rdfs:domain,http://www.w3.org/2000/01/rdf-schema#domain,owl:Class,http://www.w3.org/2002/07/owl#Class,0,0,0.0,0.0,rdf:Property -> rdfs:domain -> owl:Class
shape_000009,rdf:Property,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,rdfs:domain,http://www.w3.org/2000/01/rdf-schema#domain,rdfs:Class,http://www.w3.org/2000/01/rdf-schema#Class,0,0,0.0,0.0,rdf:Property -> rdfs:domain -> rdfs:Class
shape_000010,owl:ObjectProperty,http://www.w3.org/2002/07/owl#ObjectProperty,rdfs:domain,http://www.w3.org/2000/01/rdf-schema#domain,owl:Class,http://www.w3.org/2002/07/owl#Class,0,0,0.0,0.0,owl:ObjectProperty -> rdfs:domain -> owl:Class
shape_000011,owl:AnnotationProperty,http://www.w3.org/2002/07/owl#AnnotationProperty,rdfs:domain,http://www.w3.org/2000/01/rdf-schema#domain,owl:Class,http://www.w3.org/2002/07/owl#Class,0,0,0.0,0.0,owl:AnnotationProperty -> rdfs:domain -> owl:Class
shape_000012,owl:FunctionalProperty,http://www.w3.org/2002/07/owl#FunctionalProperty,rdfs:domain,http://www.w3.org/2000/01/rdf-schema#domain,owl:Class,http://www.w3.org/2002/07/owl#Class,0,0,0.0,0.0,owl:FunctionalProperty -> rdfs:domain -> owl:Class
shape_000013,owl:DatatypeProperty,http://www.w3.org/2002/07/owl#DatatypeProperty,rdfs:domain,http://www.w3.org/2000/01/rdf-schema#domain,owl:Class,http://www.w3.org/2002/07/owl#Class,0,0,0.0,0.0,owl:DatatypeProperty -> rdfs:domain -> owl:Class
shape_000014,owl:SymmetricProperty,http://www.w3.org/2002/07/owl#SymmetricProperty,rdfs:domain,http://www.w3.org/2000/01/rdf-schema#domain,owl:Class,http://www.w3.org/2002/07/owl#Class,0,0,0.0,0.0,owl:SymmetricProperty -> rdfs:domain -> owl:Class
shape_000015,owl:Class,http://www.w3.org/2002/07/owl#Class,owl:complementOf,http://www.w3.org/2002/07/owl#complementOf,owl:Class,http://www.w3.org/2002/07/owl#Class,0,0,0.0,0.0,owl:Class -> owl:complementOf -> owl:Class
shape_000016,rdfs:Class,http://www.w3.org/2000/01/rdf-schema#Class,rdfs:subClassOf,http://www.w3.org/2000/01/rdf-schema#subClassOf,rdfs:Class,http://www.w3.org/2000/01/rdf-schema#Class,0,0,0.0,0.0,rdfs:Class -> rdfs:subClassOf -> rdfs:Class
shape_000017,owl:Class,http://www.w3.org/2002/07/owl#Class,rdfs:subClassOf,http://www.w3.org/2000/01/rdf-schema#subClassOf,owl:Class,http://www.w3.org/2002/07/owl#Class,0,0,0.0,0.0,owl:Class -> rdfs:subClassOf -> owl:Class
