shape_id,subject_class,subject_uri,property,property_uri,object_class,object_uri,total_entities,participating_entities,occurrence_count,coverage_ratio,coverage_percent,shape_pattern
shape_000034,owl:Class,http://www.w3.org/2002/07/owl#Class,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,rdfs:Resource,http://www.w3.org/2000/01/rdf-schema#Resource,9,9,9,1.0,100.0,owl:Class -> rdf:type -> rdfs:Resource
shape_000284,dcterms:Dataset,http://purl.org/dc/terms/Dataset,dcat:distribution,http://www.w3.org/ns/dcat#distribution,dcat:Distribution,http://www.w3.org/ns/dcat#Distribution,2,2,2,1.0,100.0,dcterms:Dataset -> dcat:distribution -> dcat:Distribution
shape_000033,owl:ObjectProperty,http://www.w3.org/2002/07/owl#ObjectProperty,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,rdfs:Resource,http://www.w3.org/2000/01/rdf-schema#Resource,38,38,38,1.0,100.0,owl:ObjectProperty -> rdf:type -> rdfs:Resource
shape_000032,bio2rdf:omim_vocabulary:Characteristic,http://bio2rdf.org/omim_vocabulary:Characteristic,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,owl:Class,http://www.w3.org/2002/07/owl#Class,48318,48318,48318,1.0,100.0,bio2rdf:omim_vocabulary:Characteristic -> rdf:type -> owl:Class
shape_000229,bio2rdf:omim_vocabulary:Gene-phenotype,http://bio2rdf.org/omim_vocabulary:Gene-phenotype,bio2rdf:omim_vocabulary:x-uniprot,http://bio2rdf.org/omim_vocabulary:x-uniprot,bio2rdf:uniprot_vocabulary:Resource,http://bio2rdf.org/uniprot_vocabulary:Resource,86,86,86,1.0,100.0,bio2rdf:omim_vocabulary:Gene-phenotype -> bio2rdf:omim_vocabulary:x-uniprot -> bio2rdf:uniprot_vocabulary:Resource
shape_000047,bio2rdf:omim_vocabulary:Allelic-Variant,http://bio2rdf.org/omim_vocabulary:Allelic-Variant,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,owl:Class,http://www.w3.org/2002/07/owl#Class,24452,24452,24452,1.0,100.0,bio2rdf:omim_vocabulary:Allelic-Variant -> rdf:type -> owl:Class
shape_000048,bio2rdf:omim_vocabulary:Allelic-Variant,http://bio2rdf.org/omim_vocabulary:Allelic-Variant,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,bio2rdf:omim_vocabulary:Resource,http://bio2rdf.org/omim_vocabulary:Resource,24452,24452,24452,1.0,100.0,bio2rdf:omim_vocabulary:Allelic-Variant -> rdf:type -> bio2rdf:omim_vocabulary:Resource
shape_000152,bio2rdf:omim_vocabulary:Gene-phenotype,http://bio2rdf.org/omim_vocabulary:Gene-phenotype,bio2rdf:omim_vocabulary:x-ensembl,http://bio2rdf.org/omim_vocabulary:x-ensembl,bio2rdf:ensembl_vocabulary:Resource,http://bio2rdf.org/ensembl_vocabulary:Resource,86,86,86,1.0,100.0,bio2rdf:omim_vocabulary:Gene-phenotype -> bio2rdf:omim_vocabulary:x-ensembl -> bio2rdf:ensembl_vocabulary:Resource
shape_000210,bio2rdf:omim_vocabulary:Gene-phenotype,http://bio2rdf.org/omim_vocabulary:Gene-phenotype,bio2rdf:omim_vocabulary:x-symbol,http://bio2rdf.org/omim_vocabulary:x-symbol,bio2rdf:hgnc.symbol_vocabulary:Resource,http://bio2rdf.org/hgnc.symbol_vocabulary:Resource,86,86,86,1.0,100.0,bio2rdf:omim_vocabulary:Gene-phenotype -> bio2rdf:omim_vocabulary:x-symbol -> bio2rdf:hgnc.symbol_vocabulary:Resource
shape_000043,bio2rdf:omim_vocabulary:Entity,http://bio2rdf.org/omim_vocabulary:Entity,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,bio2rdf:omim_vocabulary:Resource,http://bio2rdf.org/omim_vocabulary:Resource,145,145,145,1.0,100.0,bio2rdf:omim_vocabulary:Entity -> rdf:type -> bio2rdf:omim_vocabulary:Resource
shape_000046,bio2rdf:omim_vocabulary:Phenotype,http://bio2rdf.org/omim_vocabulary:Phenotype,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,bio2rdf:omim_vocabulary:Resource,http://bio2rdf.org/omim_vocabulary:Resource,6173,6173,6173,1.0,100.0,bio2rdf:omim_vocabulary:Phenotype -> rdf:type -> bio2rdf:omim_vocabulary:Resource
shape_000044,bio2rdf:omim_vocabulary:Phenotype,http://bio2rdf.org/omim_vocabulary:Phenotype,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,owl:Class,http://www.w3.org/2002/07/owl#Class,6173,6173,6173,1.0,100.0,bio2rdf:omim_vocabulary:Phenotype -> rdf:type -> owl:Class
shape_000093,bio2rdf:omim_vocabulary:Characteristic,http://bio2rdf.org/omim_vocabulary:Characteristic,bio2rdf:omim_vocabulary:characteristic-of,http://bio2rdf.org/omim_vocabulary:characteristic-of,bio2rdf:omim_vocabulary:Entity,http://bio2rdf.org/omim_vocabulary:Entity,48318,48318,48318,1.0,100.0,bio2rdf:omim_vocabulary:Characteristic -> bio2rdf:omim_vocabulary:characteristic-of -> bio2rdf:omim_vocabulary:Entity
shape_000092,bio2rdf:omim_vocabulary:Characteristic,http://bio2rdf.org/omim_vocabulary:Characteristic,bio2rdf:omim_vocabulary:characteristic-of,http://bio2rdf.org/omim_vocabulary:characteristic-of,bio2rdf:omim_vocabulary:Resource,http://bio2rdf.org/omim_vocabulary:Resource,48318,48318,48318,1.0,100.0,bio2rdf:omim_vocabulary:Characteristic -> bio2rdf:omim_vocabulary:characteristic-of -> bio2rdf:omim_vocabulary:Resource
shape_000096,bio2rdf:omim_vocabulary:Clinical-Synopsis,http://bio2rdf.org/omim_vocabulary:Clinical-Synopsis,bio2rdf:omim_vocabulary:feature,http://bio2rdf.org/omim_vocabulary:feature,bio2rdf:omim_vocabulary:Characteristic,http://bio2rdf.org/omim_vocabulary:Characteristic,6072,6072,6072,1.0,100.0,bio2rdf:omim_vocabulary:Clinical-Synopsis -> bio2rdf:omim_vocabulary:feature -> bio2rdf:omim_vocabulary:Characteristic
