shape_id,subject_class,subject_uri,property,property_uri,object_class,object_uri,total_entities,occurrence_count,coverage_ratio,coverage_percent,shape_pattern
shape_000299,ncbitaxon:363265,http://purl.uniprot.org/taxonomy/363265,ro:0002162,http://purl.obolibrary.org/obo/RO_0002162,purl:Species,http://purl.orthodb.org/Species,0,0,0.0,0.0,ncbitaxon:363265 -> ro:0002162 -> purl:Species
shape_000000,purl:Gene,http://purl.orthodb.org/Gene,uniprot.core:organism,http://purl.uniprot.org/core/organism,ncbitaxon:626939,http://purl.uniprot.org/taxonomy/626939,0,0,0.0,0.0,purl:Gene -> uniprot.core:organism -> ncbitaxon:626939
shape_000001,purl:Gene,http://purl.orthodb.org/Gene,uniprot.core:organism,http://purl.uniprot.org/core/organism,ncbitaxon:2017485,http://purl.uniprot.org/taxonomy/2017485,0,0,0.0,0.0,purl:Gene -> uniprot.core:organism -> ncbitaxon:2017485
shape_000002,purl:Gene,http://purl.orthodb.org/Gene,uniprot.core:organism,http://purl.uniprot.org/core/organism,ncbitaxon:215580,http://purl.uniprot.org/taxonomy/215580,0,0,0.0,0.0,purl:Gene -> uniprot.core:organism -> ncbitaxon:215580
shape_000003,purl:Gene,http://purl.orthodb.org/Gene,uniprot.core:organism,http://purl.uniprot.org/core/organism,ncbitaxon:29483,http://purl.uniprot.org/taxonomy/29483,0,0,0.0,0.0,purl:Gene -> uniprot.core:organism -> ncbitaxon:29483
shape_000004,purl:Gene,http://purl.orthodb.org/Gene,uniprot.core:organism,http://purl.uniprot.org/core/organism,ncbitaxon:1761904,http://purl.uniprot.org/taxonomy/1761904,0,0,0.0,0.0,purl:Gene -> uniprot.core:organism -> ncbitaxon:1761904
shape_000005,purl:Gene,http://purl.orthodb.org/Gene,uniprot.core:organism,http://purl.uniprot.org/core/organism,ncbitaxon:1936995,http://purl.uniprot.org/taxonomy/1936995,0,0,0.0,0.0,purl:Gene -> uniprot.core:organism -> ncbitaxon:1936995
shape_000006,purl:Gene,http://purl.orthodb.org/Gene,uniprot.core:organism,http://purl.uniprot.org/core/organism,ncbitaxon:1464038,http://purl.uniprot.org/taxonomy/1464038,0,0,0.0,0.0,purl:Gene -> uniprot.core:organism -> ncbitaxon:1464038
shape_000007,purl:Gene,http://purl.orthodb.org/Gene,uniprot.core:organism,http://purl.uniprot.org/core/organism,ncbitaxon:1408287,http://purl.uniprot.org/taxonomy/1408287,0,0,0.0,0.0,purl:Gene -> uniprot.core:organism -> ncbitaxon:1408287
shape_000008,purl:Gene,http://purl.orthodb.org/Gene,uniprot.core:organism,http://purl.uniprot.org/core/organism,ncbitaxon:1922712,http://purl.uniprot.org/taxonomy/1922712,0,0,0.0,0.0,purl:Gene -> uniprot.core:organism -> ncbitaxon:1922712
shape_000009,purl:Gene,http://purl.orthodb.org/Gene,uniprot.core:organism,http://purl.uniprot.org/core/organism,ncbitaxon:1936269,http://purl.uniprot.org/taxonomy/1936269,0,0,0.0,0.0,purl:Gene -> uniprot.core:organism -> ncbitaxon:1936269
shape_000010,purl:Gene,http://purl.orthodb.org/Gene,uniprot.core:organism,http://purl.uniprot.org/core/organism,ncbitaxon:2033517,http://purl.uniprot.org/taxonomy/2033517,0,0,0.0,0.0,purl:Gene -> uniprot.core:organism -> ncbitaxon:2033517
shape_000283,ncbitaxon:57482,http://purl.uniprot.org/taxonomy/57482,ro:0002162,http://purl.obolibrary.org/obo/RO_0002162,purl:Species,http://purl.orthodb.org/Species,0,0,0.0,0.0,ncbitaxon:57482 -> ro:0002162 -> purl:Species
shape_000282,ncbitaxon:226178,http://purl.uniprot.org/taxonomy/226178,ro:0002162,http://purl.obolibrary.org/obo/RO_0002162,purl:Species,http://purl.orthodb.org/Species,0,0,0.0,0.0,ncbitaxon:226178 -> ro:0002162 -> purl:Species
shape_000281,ncbitaxon:573172,http://purl.uniprot.org/taxonomy/573172,ro:0002162,http://purl.obolibrary.org/obo/RO_0002162,purl:Species,http://purl.orthodb.org/Species,0,0,0.0,0.0,ncbitaxon:573172 -> ro:0002162 -> purl:Species
shape_000280,ncbitaxon:487706,http://purl.uniprot.org/taxonomy/487706,ro:0002162,http://purl.obolibrary.org/obo/RO_0002162,purl:Species,http://purl.orthodb.org/Species,0,0,0.0,0.0,ncbitaxon:487706 -> ro:0002162 -> purl:Species
shape_000279,ncbitaxon:51663,http://purl.uniprot.org/taxonomy/51663,ro:0002162,http://purl.obolibrary.org/obo/RO_0002162,purl:Species,http://purl.orthodb.org/Species,0,0,0.0,0.0,ncbitaxon:51663 -> ro:0002162 -> purl:Species
shape_000278,ncbitaxon:421010,http://purl.uniprot.org/taxonomy/421010,ro:0002162,http://purl.obolibrary.org/obo/RO_0002162,purl:Species,http://purl.orthodb.org/Species,0,0,0.0,0.0,ncbitaxon:421010 -> ro:0002162 -> purl:Species
shape_000277,ncbitaxon:46619,http://purl.uniprot.org/taxonomy/46619,ro:0002162,http://purl.obolibrary.org/obo/RO_0002162,purl:Species,http://purl.orthodb.org/Species,0,0,0.0,0.0,ncbitaxon:46619 -> ro:0002162 -> purl:Species
