shape_id,subject_class,subject_uri,property,property_uri,object_class,object_uri,total_entities,occurrence_count,coverage_ratio,coverage_percent,shape_pattern
shape_000299,pdbxv50owl:audit_authorCategory,http://rdf.wwpdb.org/schema/pdbx-v50.owl#audit_authorCategory,pdbxv50owl:has_audit_author,http://rdf.wwpdb.org/schema/pdbx-v50.owl#has_audit_author,pdbxv50owl:audit_author,http://rdf.wwpdb.org/schema/pdbx-v50.owl#audit_author,0,0,0.0,0.0,pdbxv50owl:audit_authorCategory -> pdbxv50owl:has_audit_author -> pdbxv50owl:audit_author
shape_000000,pdbxvalida:datablock,http://rdf.wwpdb.org/schema/pdbx-validation-v4.owl#datablock,pdbxvalida:has_pdbx_nmr_restraint_summaryCategory,http://rdf.wwpdb.org/schema/pdbx-validation-v4.owl#has_pdbx_nmr_restraint_summaryCategory,pdbxvalida:pdbx_nmr_restraint_summaryCategory,http://rdf.wwpdb.org/schema/pdbx-validation-v4.owl#pdbx_nmr_restraint_summaryCategory,0,0,0.0,0.0,pdbxvalida:datablock -> pdbxvalida:has_pdbx_nmr_restraint_summaryCategory -> pdbxvalida:pdbx_nmr_restraint_summaryCategory
shape_000001,pdbxv50owl:database_PDB_matrixCategory,http://rdf.wwpdb.org/schema/pdbx-v50.owl#database_PDB_matrixCategory,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,owl:Class,http://www.w3.org/2002/07/owl#Class,0,0,0.0,0.0,pdbxv50owl:database_PDB_matrixCategory -> rdf:type -> owl:Class
shape_000002,pdbxv50owl:pdbx_poly_seq_scheme,http://rdf.wwpdb.org/schema/pdbx-v50.owl#pdbx_poly_seq_scheme,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,owl:Class,http://www.w3.org/2002/07/owl#Class,0,0,0.0,0.0,pdbxv50owl:pdbx_poly_seq_scheme -> rdf:type -> owl:Class
shape_000003,pdbxv50owl:pdbx_struct_oper_list,http://rdf.wwpdb.org/schema/pdbx-v50.owl#pdbx_struct_oper_list,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,owl:Class,http://www.w3.org/2002/07/owl#Class,0,0,0.0,0.0,pdbxv50owl:pdbx_struct_oper_list -> rdf:type -> owl:Class
shape_000004,pdbxv50owl:pdbx_nmr_exptl_sample,http://rdf.wwpdb.org/schema/pdbx-v50.owl#pdbx_nmr_exptl_sample,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,owl:Class,http://www.w3.org/2002/07/owl#Class,0,0,0.0,0.0,pdbxv50owl:pdbx_nmr_exptl_sample -> rdf:type -> owl:Class
shape_000005,pdbxv50owl:pdbx_database_related,http://rdf.wwpdb.org/schema/pdbx-v50.owl#pdbx_database_related,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,owl:Class,http://www.w3.org/2002/07/owl#Class,0,0,0.0,0.0,pdbxv50owl:pdbx_database_related -> rdf:type -> owl:Class
shape_000006,pdbxv50owl:struct_mon_prot_cisCategory,http://rdf.wwpdb.org/schema/pdbx-v50.owl#struct_mon_prot_cisCategory,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,owl:Class,http://www.w3.org/2002/07/owl#Class,0,0,0.0,0.0,pdbxv50owl:struct_mon_prot_cisCategory -> rdf:type -> owl:Class
shape_000007,pdbxv50owl:entity_name_com,http://rdf.wwpdb.org/schema/pdbx-v50.owl#entity_name_com,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,owl:Class,http://www.w3.org/2002/07/owl#Class,0,0,0.0,0.0,pdbxv50owl:entity_name_com -> rdf:type -> owl:Class
shape_000008,pdbxv50owl:pdbx_SG_projectCategory,http://rdf.wwpdb.org/schema/pdbx-v50.owl#pdbx_SG_projectCategory,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,owl:Class,http://www.w3.org/2002/07/owl#Class,0,0,0.0,0.0,pdbxv50owl:pdbx_SG_projectCategory -> rdf:type -> owl:Class
shape_000009,pdbxv50owl:em_sample_supportCategory,http://rdf.wwpdb.org/schema/pdbx-v50.owl#em_sample_supportCategory,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,owl:Class,http://www.w3.org/2002/07/owl#Class,0,0,0.0,0.0,pdbxv50owl:em_sample_supportCategory -> rdf:type -> owl:Class
shape_000010,pdbxv50owl:em_entity_assembly_naturalsource,http://rdf.wwpdb.org/schema/pdbx-v50.owl#em_entity_assembly_naturalsource,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,owl:Class,http://www.w3.org/2002/07/owl#Class,0,0,0.0,0.0,pdbxv50owl:em_entity_assembly_naturalsource -> rdf:type -> owl:Class
shape_000283,pdbxv50owl:phasing_MIR_der_shell,http://rdf.wwpdb.org/schema/pdbx-v50.owl#phasing_MIR_der_shell,pdbxv50owl:reference_to_phasing_MIR_der,http://rdf.wwpdb.org/schema/pdbx-v50.owl#reference_to_phasing_MIR_der,pdbxv50owl:phasing_MIR_der,http://rdf.wwpdb.org/schema/pdbx-v50.owl#phasing_MIR_der,0,0,0.0,0.0,pdbxv50owl:phasing_MIR_der_shell -> pdbxv50owl:reference_to_phasing_MIR_der -> pdbxv50owl:phasing_MIR_der
shape_000282,pdbxvalida:datablock,http://rdf.wwpdb.org/schema/pdbx-validation-v4.owl#datablock,pdbxvalida:has_pdbx_dcc_mon_geometryCategory,http://rdf.wwpdb.org/schema/pdbx-validation-v4.owl#has_pdbx_dcc_mon_geometryCategory,pdbxvalida:pdbx_dcc_mon_geometryCategory,http://rdf.wwpdb.org/schema/pdbx-validation-v4.owl#pdbx_dcc_mon_geometryCategory,0,0,0.0,0.0,pdbxvalida:datablock -> pdbxvalida:has_pdbx_dcc_mon_geometryCategory -> pdbxvalida:pdbx_dcc_mon_geometryCategory
shape_000281,pdbxv50owl:datablock,http://rdf.wwpdb.org/schema/pdbx-v50.owl#datablock,pdbxv50owl:has_pdbx_reference_entity_listCategory,http://rdf.wwpdb.org/schema/pdbx-v50.owl#has_pdbx_reference_entity_listCategory,pdbxv50owl:pdbx_reference_entity_listCategory,http://rdf.wwpdb.org/schema/pdbx-v50.owl#pdbx_reference_entity_listCategory,0,0,0.0,0.0,pdbxv50owl:datablock -> pdbxv50owl:has_pdbx_reference_entity_listCategory -> pdbxv50owl:pdbx_reference_entity_listCategory
shape_000280,pdbxv50owl:em_2d_crystal_entityCategory,http://rdf.wwpdb.org/schema/pdbx-v50.owl#em_2d_crystal_entityCategory,pdbxv50owl:has_em_2d_crystal_entity,http://rdf.wwpdb.org/schema/pdbx-v50.owl#has_em_2d_crystal_entity,pdbxv50owl:em_2d_crystal_entity,http://rdf.wwpdb.org/schema/pdbx-v50.owl#em_2d_crystal_entity,0,0,0.0,0.0,pdbxv50owl:em_2d_crystal_entityCategory -> pdbxv50owl:has_em_2d_crystal_entity -> pdbxv50owl:em_2d_crystal_entity
shape_000279,pdbxv50owl:database_PDB_tvectCategory,http://rdf.wwpdb.org/schema/pdbx-v50.owl#database_PDB_tvectCategory,pdbxv50owl:has_database_PDB_tvect,http://rdf.wwpdb.org/schema/pdbx-v50.owl#has_database_PDB_tvect,pdbxv50owl:database_PDB_tvect,http://rdf.wwpdb.org/schema/pdbx-v50.owl#database_PDB_tvect,0,0,0.0,0.0,pdbxv50owl:database_PDB_tvectCategory -> pdbxv50owl:has_database_PDB_tvect -> pdbxv50owl:database_PDB_tvect
shape_000278,pdbxv50owl:datablock,http://rdf.wwpdb.org/schema/pdbx-v50.owl#datablock,pdbxv50owl:has_struct_confCategory,http://rdf.wwpdb.org/schema/pdbx-v50.owl#has_struct_confCategory,pdbxv50owl:struct_confCategory,http://rdf.wwpdb.org/schema/pdbx-v50.owl#struct_confCategory,0,0,0.0,0.0,pdbxv50owl:datablock -> pdbxv50owl:has_struct_confCategory -> pdbxv50owl:struct_confCategory
shape_000277,pdbxv50owl:datablock,http://rdf.wwpdb.org/schema/pdbx-v50.owl#datablock,pdbxv50owl:has_em_sample_supportCategory,http://rdf.wwpdb.org/schema/pdbx-v50.owl#has_em_sample_supportCategory,pdbxv50owl:em_sample_supportCategory,http://rdf.wwpdb.org/schema/pdbx-v50.owl#em_sample_supportCategory,0,0,0.0,0.0,pdbxv50owl:datablock -> pdbxv50owl:has_em_sample_supportCategory -> pdbxv50owl:em_sample_supportCategory
shape_000276,pdbxv50owl:pdbx_phasing_MAD_set_shellCategory,http://rdf.wwpdb.org/schema/pdbx-v50.owl#pdbx_phasing_MAD_set_shellCategory,pdbxv50owl:has_pdbx_phasing_MAD_set_shell,http://rdf.wwpdb.org/schema/pdbx-v50.owl#has_pdbx_phasing_MAD_set_shell,pdbxv50owl:pdbx_phasing_MAD_set_shell,http://rdf.wwpdb.org/schema/pdbx-v50.owl#pdbx_phasing_MAD_set_shell,0,0,0.0,0.0,pdbxv50owl:pdbx_phasing_MAD_set_shellCategory -> pdbxv50owl:has_pdbx_phasing_MAD_set_shell -> pdbxv50owl:pdbx_phasing_MAD_set_shell
shape_000275,pdbxv50owl:pdbx_chem_comp_featureCategory,http://rdf.wwpdb.org/schema/pdbx-v50.owl#pdbx_chem_comp_featureCategory,pdbxv50owl:has_pdbx_chem_comp_feature,http://rdf.wwpdb.org/schema/pdbx-v50.owl#has_pdbx_chem_comp_feature,pdbxv50owl:pdbx_chem_comp_feature,http://rdf.wwpdb.org/schema/pdbx-v50.owl#pdbx_chem_comp_feature,0,0,0.0,0.0,pdbxv50owl:pdbx_chem_comp_featureCategory -> pdbxv50owl:has_pdbx_chem_comp_feature -> pdbxv50owl:pdbx_chem_comp_feature
shape_000274,pdbxv50owl:datablock,http://rdf.wwpdb.org/schema/pdbx-v50.owl#datablock,pdbxv50owl:has_chem_comp_atomCategory,http://rdf.wwpdb.org/schema/pdbx-v50.owl#has_chem_comp_atomCategory,pdbxv50owl:chem_comp_atomCategory,http://rdf.wwpdb.org/schema/pdbx-v50.owl#chem_comp_atomCategory,0,0,0.0,0.0,pdbxv50owl:datablock -> pdbxv50owl:has_chem_comp_atomCategory -> pdbxv50owl:chem_comp_atomCategory
shape_000273,pdbxv50owl:pdbx_database_relatedCategory,http://rdf.wwpdb.org/schema/pdbx-v50.owl#pdbx_database_relatedCategory,pdbxv50owl:has_pdbx_database_related,http://rdf.wwpdb.org/schema/pdbx-v50.owl#has_pdbx_database_related,pdbxv50owl:pdbx_database_related,http://rdf.wwpdb.org/schema/pdbx-v50.owl#pdbx_database_related,0,0,0.0,0.0,pdbxv50owl:pdbx_database_relatedCategory -> pdbxv50owl:has_pdbx_database_related -> pdbxv50owl:pdbx_database_related
shape_000272,pdbxv50owl:pdbx_distant_solvent_atomsCategory,http://rdf.wwpdb.org/schema/pdbx-v50.owl#pdbx_distant_solvent_atomsCategory,pdbxv50owl:has_pdbx_distant_solvent_atoms,http://rdf.wwpdb.org/schema/pdbx-v50.owl#has_pdbx_distant_solvent_atoms,pdbxv50owl:pdbx_distant_solvent_atoms,http://rdf.wwpdb.org/schema/pdbx-v50.owl#pdbx_distant_solvent_atoms,0,0,0.0,0.0,pdbxv50owl:pdbx_distant_solvent_atomsCategory -> pdbxv50owl:has_pdbx_distant_solvent_atoms -> pdbxv50owl:pdbx_distant_solvent_atoms
shape_000271,pdbxv50owl:pdbx_reference_molecule_list,http://rdf.wwpdb.org/schema/pdbx-v50.owl#pdbx_reference_molecule_list,pdbxv50owl:link_to_prd,http://rdf.wwpdb.org/schema/pdbx-v50.owl#link_to_prd,pdbxv50owl:datablock,http://rdf.wwpdb.org/schema/pdbx-v50.owl#datablock,0,0,0.0,0.0,pdbxv50owl:pdbx_reference_molecule_list -> pdbxv50owl:link_to_prd -> pdbxv50owl:datablock
