prefix,iri,as_subject,as_object,subject_pattern,object_pattern
inchikey,https://identifiers.org/inchikey/AEYXZGCDWDUIKX-OFFAAIFBSA-K,20,26,wp:Metabolite -> dcterms:isPartOf -> wp:Pathway,wp:DirectedInteraction -> wp:source -> wp:DataNode
inchikey,https://identifiers.org/inchikey/DUEINKIQNGZKPL-KEGXSBDUSA-N,24,30,wp:Metabolite -> rdfs:seeAlso -> wp:Metabolite,wp:Metabolite -> rdfs:seeAlso -> wp:Metabolite
inchikey,https://identifiers.org/inchikey/ZZBWSNKBZKPGAK-UHFFFAOYSA-N,28,32,wp:Metabolite -> rdfs:seeAlso -> wp:Metabolite,wp:Metabolite -> rdfs:seeAlso -> wp:Metabolite
inchikey,https://identifiers.org/inchikey/CZFNXFXZXWDYMZ-UHFFFAOYSA-L,20,26,wp:Metabolite -> dcterms:isPartOf -> wp:Pathway,wp:DirectedInteraction -> wp:source -> wp:DataNode
inchikey,https://identifiers.org/inchikey/ZHQJVZLJDXWFFX-UHFFFAOYSA-N,24,30,wp:Metabolite -> rdfs:seeAlso -> wp:Metabolite,wp:Metabolite -> rdfs:seeAlso -> wp:Metabolite
inchikey,https://identifiers.org/inchikey/DNJIEGIFACGWOD-UHFFFAOYSA-N,20,14,wp:Metabolite -> rdfs:seeAlso -> wp:Metabolite,wp:DataNode -> dc:identifier -> wp:Metabolite
inchikey,https://identifiers.org/inchikey/CJXMVKYNVIGQBS-OWOJBTEDSA-N,24,30,wp:Metabolite -> rdfs:seeAlso -> wp:Metabolite,wp:Metabolite -> rdfs:seeAlso -> wp:Metabolite
inchikey,https://identifiers.org/inchikey/VMMKGHQPQIEGSQ-UHFFFAOYSA-L,16,16,wp:DataNode -> dc:identifier -> wp:Metabolite,wp:DataNode -> dc:identifier -> wp:Metabolite
inchikey,https://identifiers.org/inchikey/AUAPFMDMEQONFY-BSQFLWIKSA-L,20,24,wp:Metabolite -> dcterms:isPartOf -> wp:Pathway,wp:DirectedInteraction -> wp:source -> wp:DataNode
inchikey,https://identifiers.org/inchikey/GMVJAWSHKWFNPN-HXZZEOLJSA-M,16,16,wp:DataNode -> dc:identifier -> wp:Metabolite,wp:DirectedInteraction -> wp:target -> wp:DataNode
inchikey,https://identifiers.org/inchikey/RGZSQWQPBWRIAQ-CABCVRRESA-N,24,24,wp:Metabolite -> rdfs:seeAlso -> wp:Metabolite,wp:Metabolite -> rdfs:seeAlso -> wp:Metabolite
inchikey,https://identifiers.org/inchikey/KMPWYEUPVWOPIM-YNRGSOABSA-O,16,16,wp:DataNode -> dc:identifier -> wp:Metabolite,wp:DirectedInteraction -> wp:target -> wp:DataNode
inchikey,https://identifiers.org/inchikey/FQANCGQCBCUSMI-JZMIEXBBSA-K,20,26,wp:Metabolite -> dcterms:isPartOf -> wp:Pathway,wp:DirectedInteraction -> wp:source -> wp:DataNode
inchikey,https://identifiers.org/inchikey/ZCCQXWKOMFKYNA-ILETWAPCSA-N,16,22,wp:DataNode -> dc:identifier -> wp:Metabolite,wp:DirectedInteraction -> wp:source -> wp:DataNode
inchikey,https://identifiers.org/inchikey/FUTHBNRZCFKVQZ-YUMQZZPRSA-M,16,22,wp:DataNode -> dc:identifier -> wp:Metabolite,wp:DirectedInteraction -> wp:source -> wp:DataNode
inchikey,https://identifiers.org/inchikey/LEOHDQKUMQKLMP-YHOUDPESSA-N,20,18,wp:Metabolite -> dcterms:isPartOf -> wp:Pathway,wp:DirectedInteraction -> wp:target -> wp:DataNode
inchikey,https://identifiers.org/inchikey/IQDXAJNQKSIPGB-HQSZAHFGSA-N,24,30,wp:Metabolite -> rdfs:seeAlso -> wp:Metabolite,wp:Metabolite -> rdfs:seeAlso -> wp:Metabolite
inchikey,https://identifiers.org/inchikey/MAAWASALXHTIIA-UHFFFAOYSA-O,16,22,wp:DataNode -> dc:identifier -> wp:Metabolite,wp:DirectedInteraction -> wp:source -> wp:DataNode
inchikey,https://identifiers.org/inchikey/OMSJCIOTCFHSIT-KNUOEEMSSA-N,28,26,wp:Metabolite -> rdfs:seeAlso -> wp:Metabolite,wp:Metabolite -> rdfs:seeAlso -> wp:Metabolite
inchikey,https://identifiers.org/inchikey/UCJWADAPVIQJLU-LURJTMIESA-M,20,26,wp:Metabolite -> dcterms:isPartOf -> wp:Pathway,wp:DirectedInteraction -> wp:source -> wp:DataNode
inchikey,https://identifiers.org/inchikey/QADUDNMSWUFMGZ-ROGIYNEGSA-J,20,20,wp:Metabolite -> dcterms:isPartOf -> wp:Pathway,wp:Conversion -> wp:participants -> wp:Metabolite
inchikey,https://identifiers.org/inchikey/PMKQSEYPLQIEAY-YWNRKNDBSA-L,20,18,wp:Metabolite -> dcterms:isPartOf -> wp:Pathway,wp:DirectedInteraction -> wp:target -> wp:DataNode
inchikey,https://identifiers.org/inchikey/WSKGRAGZAQRSED-NRRUETGQSA-N,16,22,wp:DataNode -> dc:identifier -> wp:Metabolite,wp:DirectedInteraction -> wp:source -> wp:DataNode
inchikey,https://identifiers.org/inchikey/GWYFCOCPABKNJV-UHFFFAOYSA-M,20,20,wp:Metabolite -> dcterms:isPartOf -> wp:Pathway,wp:DirectedInteraction -> wp:source -> wp:DataNode
inchikey,https://identifiers.org/inchikey/PTROMSLVPFEIQJ-QPYOYMCKSA-J,20,26,wp:Metabolite -> dcterms:isPartOf -> wp:Pathway,wp:DirectedInteraction -> wp:source -> wp:DataNode
inchikey,https://identifiers.org/inchikey/FKRCODPIKNYEAC-UHFFFAOYSA-N,24,24,wp:Metabolite -> rdfs:seeAlso -> wp:Metabolite,wp:Metabolite -> rdfs:seeAlso -> wp:Metabolite
inchikey,https://identifiers.org/inchikey/USGUVNUTPWXWBA-JRIXXDKMSA-O,16,16,wp:DataNode -> dc:identifier -> wp:Metabolite,wp:DataNode -> dc:identifier -> wp:Metabolite
inchikey,https://identifiers.org/inchikey/BUTHMSUEBYPMKJ-UHFFFAOYSA-L,20,20,wp:Metabolite -> dcterms:isPartOf -> wp:Pathway,wp:Conversion -> wp:participants -> wp:Metabolite
inchikey,https://identifiers.org/inchikey/RKWHWFONKJEUEF-WVXKDWSHSA-N,24,30,wp:Metabolite -> rdfs:seeAlso -> wp:Metabolite,wp:Metabolite -> rdfs:seeAlso -> wp:Metabolite
inchikey,https://identifiers.org/inchikey/XXHSUYNZCSBPBG-GZIDCZEMSA-N,28,32,wp:Metabolite -> rdfs:seeAlso -> wp:Metabolite,wp:Metabolite -> rdfs:seeAlso -> wp:Metabolite
inchikey,https://identifiers.org/inchikey/JHYXBPPMXZIHKG-ZDUSSCGKSA-N,16,22,wp:DataNode -> dc:identifier -> wp:Metabolite,wp:DirectedInteraction -> wp:source -> wp:DataNode
inchikey,https://identifiers.org/inchikey/CMKFQVZJOWHHDV-NQZBTDCJSA-O,20,20,wp:Metabolite -> dcterms:isPartOf -> wp:Pathway,wp:Conversion -> wp:participants -> wp:Metabolite
inchikey,https://identifiers.org/inchikey/RSYUFYQTACJFML-UKRRQHHQSA-N,24,24,wp:Metabolite -> rdfs:seeAlso -> wp:Metabolite,wp:Metabolite -> rdfs:seeAlso -> wp:Metabolite
inchikey,https://identifiers.org/inchikey/WQZGKKKJIJFFOK-PQMKYFCFSA-N,24,24,wp:Metabolite -> rdfs:seeAlso -> wp:Metabolite,wp:Metabolite -> rdfs:seeAlso -> wp:Metabolite
inchikey,https://identifiers.org/inchikey/PKYFHKIYHBRTPI-UHFFFAOYSA-L,20,26,wp:Metabolite -> dcterms:isPartOf -> wp:Pathway,wp:DirectedInteraction -> wp:source -> wp:DataNode
inchikey,https://identifiers.org/inchikey/FLTRYYPYDXSVMK-UHFFFAOYSA-M,20,18,wp:Metabolite -> dcterms:isPartOf -> wp:Pathway,wp:DirectedInteraction -> wp:target -> wp:DataNode
inchikey,https://identifiers.org/inchikey/MOYAFQVGZZPNRA-UHFFFAOYSA-N,28,26,wp:Metabolite -> rdfs:seeAlso -> wp:Metabolite,wp:Metabolite -> rdfs:seeAlso -> wp:Metabolite
inchikey,https://identifiers.org/inchikey/PJOHRMFBCONSHW-VVMSOZENSA-L,20,24,wp:Metabolite -> dcterms:isPartOf -> wp:Pathway,wp:DirectedInteraction -> wp:source -> wp:DataNode
inchikey,https://identifiers.org/inchikey/MNWRXDQYFZSZMN-GKBWTKQCSA-M,20,24,wp:Metabolite -> dcterms:isPartOf -> wp:Pathway,wp:DirectedInteraction -> wp:source -> wp:DataNode
inchikey,https://identifiers.org/inchikey/SFSJZXMDTNDWIX-YFKPBYRVSA-N,24,30,wp:Metabolite -> rdfs:seeAlso -> wp:Metabolite,wp:Metabolite -> rdfs:seeAlso -> wp:Metabolite
inchikey,https://identifiers.org/inchikey/HAVWRBANWNTOJX-UHFFFAOYSA-N,28,26,wp:Metabolite -> rdfs:seeAlso -> wp:Metabolite,wp:Metabolite -> rdfs:seeAlso -> wp:Metabolite
