shape_id,subject_class,subject_uri,property,property_uri,object_class,object_uri,total_entities,participating_entities,occurrence_count,coverage_ratio,coverage_percent,shape_pattern
shape_000267,vocab:BiosyntheticGeneCluster,https://plantmetwiki.bioinformatics.nl/vocab/BiosyntheticGeneCluster,ro:has_part,http://purl.obolibrary.org/obo/RO_has_part,wp:GeneProduct,http://vocabularies.wikipathways.org/wp#GeneProduct,158,158,158,1.0,100.0,vocab:BiosyntheticGeneCluster -> ro:has_part -> wp:GeneProduct
shape_000266,gpml:Interaction,http://vocabularies.wikipathways.org/gpml#Interaction,gpml:hasPoint,http://vocabularies.wikipathways.org/gpml#hasPoint,gpml:Point,http://vocabularies.wikipathways.org/gpml#Point,55486,55486,55486,1.0,100.0,gpml:Interaction -> gpml:hasPoint -> gpml:Point
shape_000198,wp:Inhibition,http://vocabularies.wikipathways.org/wp#Inhibition,wp:isAbout,http://vocabularies.wikipathways.org/wp#isAbout,gpml:Interaction,http://vocabularies.wikipathways.org/gpml#Interaction,3486,3486,3486,1.0,100.0,wp:Inhibition -> wp:isAbout -> gpml:Interaction
shape_000197,wp:Complex,http://vocabularies.wikipathways.org/wp#Complex,wp:isAbout,http://vocabularies.wikipathways.org/wp#isAbout,gpml:Group,http://vocabularies.wikipathways.org/gpml#Group,59,59,59,1.0,100.0,wp:Complex -> wp:isAbout -> gpml:Group
shape_000203,wp:Protein,http://vocabularies.wikipathways.org/wp#Protein,wp:isAbout,http://vocabularies.wikipathways.org/wp#isAbout,gpml:DataNode,http://vocabularies.wikipathways.org/gpml#DataNode,3744,3744,3744,1.0,100.0,wp:Protein -> wp:isAbout -> gpml:DataNode
shape_000196,wp:Metabolite,http://vocabularies.wikipathways.org/wp#Metabolite,wp:isAbout,http://vocabularies.wikipathways.org/wp#isAbout,gpml:DataNode,http://vocabularies.wikipathways.org/gpml#DataNode,4576,4576,4576,1.0,100.0,wp:Metabolite -> wp:isAbout -> gpml:DataNode
shape_000199,wp:ComplexBinding,http://vocabularies.wikipathways.org/wp#ComplexBinding,wp:isAbout,http://vocabularies.wikipathways.org/wp#isAbout,gpml:Group,http://vocabularies.wikipathways.org/gpml#Group,59,59,59,1.0,100.0,wp:ComplexBinding -> wp:isAbout -> gpml:Group
shape_000090,wp:Catalysis,http://vocabularies.wikipathways.org/wp#Catalysis,wp:participants,http://vocabularies.wikipathways.org/wp#participants,wp:Interaction,http://vocabularies.wikipathways.org/wp#Interaction,13257,13257,13257,1.0,100.0,wp:Catalysis -> wp:participants -> wp:Interaction
shape_000093,wp:Binding,http://vocabularies.wikipathways.org/wp#Binding,wp:participants,http://vocabularies.wikipathways.org/wp#participants,wp:Protein,http://vocabularies.wikipathways.org/wp#Protein,59,59,59,1.0,100.0,wp:Binding -> wp:participants -> wp:Protein
shape_000097,wp:TranscriptionTranslation,http://vocabularies.wikipathways.org/wp#TranscriptionTranslation,wp:participants,http://vocabularies.wikipathways.org/wp#participants,wp:Protein,http://vocabularies.wikipathways.org/wp#Protein,8200,8200,8200,1.0,100.0,wp:TranscriptionTranslation -> wp:participants -> wp:Protein
shape_000094,wp:Catalysis,http://vocabularies.wikipathways.org/wp#Catalysis,wp:participants,http://vocabularies.wikipathways.org/wp#participants,wp:Conversion,http://vocabularies.wikipathways.org/wp#Conversion,13257,13257,13257,1.0,100.0,wp:Catalysis -> wp:participants -> wp:Conversion
shape_000083,wp:Binding,http://vocabularies.wikipathways.org/wp#Binding,dcterms:isPartOf,http://purl.org/dc/terms/isPartOf,skos:Collection,http://www.w3.org/2004/02/skos/core#Collection,59,59,59,1.0,100.0,wp:Binding -> dcterms:isPartOf -> skos:Collection
shape_000038,wp:Inhibition,http://vocabularies.wikipathways.org/wp#Inhibition,dcterms:isPartOf,http://purl.org/dc/terms/isPartOf,wp:Pathway,http://vocabularies.wikipathways.org/wp#Pathway,3486,3486,3486,1.0,100.0,wp:Inhibition -> dcterms:isPartOf -> wp:Pathway
shape_000056,wp:Catalysis,http://vocabularies.wikipathways.org/wp#Catalysis,dcterms:isPartOf,http://purl.org/dc/terms/isPartOf,wp:Pathway,http://vocabularies.wikipathways.org/wp#Pathway,13257,13257,13257,1.0,100.0,wp:Catalysis -> dcterms:isPartOf -> wp:Pathway
shape_000047,wp:DirectedInteraction,http://vocabularies.wikipathways.org/wp#DirectedInteraction,dcterms:isPartOf,http://purl.org/dc/terms/isPartOf,wp:Pathway,http://vocabularies.wikipathways.org/wp#Pathway,45713,45713,45713,1.0,100.0,wp:DirectedInteraction -> dcterms:isPartOf -> wp:Pathway
shape_000034,wp:Protein,http://vocabularies.wikipathways.org/wp#Protein,dcterms:isPartOf,http://purl.org/dc/terms/isPartOf,skos:Collection,http://www.w3.org/2004/02/skos/core#Collection,3744,3744,3744,1.0,100.0,wp:Protein -> dcterms:isPartOf -> skos:Collection
shape_000048,wp:DataNode,http://vocabularies.wikipathways.org/wp#DataNode,dcterms:isPartOf,http://purl.org/dc/terms/isPartOf,skos:Collection,http://www.w3.org/2004/02/skos/core#Collection,11101,11101,11101,1.0,100.0,wp:DataNode -> dcterms:isPartOf -> skos:Collection
shape_000063,gpml:Point,http://vocabularies.wikipathways.org/gpml#Point,dcterms:isPartOf,http://purl.org/dc/terms/isPartOf,gpml:Interaction,http://vocabularies.wikipathways.org/gpml#Interaction,110972,110972,110972,1.0,100.0,gpml:Point -> dcterms:isPartOf -> gpml:Interaction
shape_000065,wp:DataNode,http://vocabularies.wikipathways.org/wp#DataNode,dcterms:isPartOf,http://purl.org/dc/terms/isPartOf,wp:Pathway,http://vocabularies.wikipathways.org/wp#Pathway,11101,11101,11101,1.0,100.0,wp:DataNode -> dcterms:isPartOf -> wp:Pathway
shape_000201,skos:Collection,http://www.w3.org/2004/02/skos/core#Collection,wp:isAbout,http://vocabularies.wikipathways.org/wp#isAbout,skos:Collection,http://www.w3.org/2004/02/skos/core#Collection,2463,2463,2463,1.0,100.0,skos:Collection -> wp:isAbout -> skos:Collection
