shape_id,subject_class,subject_uri,property,property_uri,object_class,object_uri,total_entities,participating_entities,occurrence_count,coverage_ratio,coverage_percent,shape_pattern
shape_000000,vocabulary:Anatomy,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Anatomy,cito:isDiscussedBy,http://purl.org/spar/cito/isDiscussedBy,mesh.vocab:TopicalDescriptor,http://id.nlm.nih.gov/mesh/vocab#TopicalDescriptor,739,0,0,0.0,0.0,vocabulary:Anatomy -> cito:isDiscussedBy -> mesh.vocab:TopicalDescriptor
shape_000001,vocabulary:Anatomy,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Anatomy,cito:isDiscussedBy,http://purl.org/spar/cito/isDiscussedBy,patent:Publication,http://data.epo.org/linked-data/def/patent/Publication,739,0,0,0.0,0.0,vocabulary:Anatomy -> cito:isDiscussedBy -> patent:Publication
shape_000002,vocabulary:Anatomy,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Anatomy,cito:isDiscussedBy,http://purl.org/spar/cito/isDiscussedBy,owl:Class,http://www.w3.org/2002/07/owl#Class,739,0,0,0.0,0.0,vocabulary:Anatomy -> cito:isDiscussedBy -> owl:Class
shape_000003,vocabulary:Anatomy,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Anatomy,cito:isDiscussedBy,http://purl.org/spar/cito/isDiscussedBy,vocabulary:Patent,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Patent,739,0,0,0.0,0.0,vocabulary:Anatomy -> cito:isDiscussedBy -> vocabulary:Patent
shape_000004,sio:001262,http://semanticscience.org/resource/SIO_001262,cito:isDiscussedBy,http://purl.org/spar/cito/isDiscussedBy,mesh.vocab:TopicalDescriptor,http://id.nlm.nih.gov/mesh/vocab#TopicalDescriptor,739,0,0,0.0,0.0,sio:001262 -> cito:isDiscussedBy -> mesh.vocab:TopicalDescriptor
shape_000005,sio:001262,http://semanticscience.org/resource/SIO_001262,cito:isDiscussedBy,http://purl.org/spar/cito/isDiscussedBy,patent:Publication,http://data.epo.org/linked-data/def/patent/Publication,739,0,0,0.0,0.0,sio:001262 -> cito:isDiscussedBy -> patent:Publication
shape_000006,sio:001262,http://semanticscience.org/resource/SIO_001262,cito:isDiscussedBy,http://purl.org/spar/cito/isDiscussedBy,owl:Class,http://www.w3.org/2002/07/owl#Class,739,0,0,0.0,0.0,sio:001262 -> cito:isDiscussedBy -> owl:Class
shape_000007,sio:001262,http://semanticscience.org/resource/SIO_001262,cito:isDiscussedBy,http://purl.org/spar/cito/isDiscussedBy,vocabulary:Patent,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Patent,739,0,0,0.0,0.0,sio:001262 -> cito:isDiscussedBy -> vocabulary:Patent
shape_000008,vocabulary:Anatomy,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Anatomy,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,mesh.vocab:TopicalDescriptor,http://id.nlm.nih.gov/mesh/vocab#TopicalDescriptor,739,0,0,0.0,0.0,vocabulary:Anatomy -> rdf:type -> mesh.vocab:TopicalDescriptor
shape_000009,vocabulary:Anatomy,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Anatomy,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,patent:Publication,http://data.epo.org/linked-data/def/patent/Publication,739,0,0,0.0,0.0,vocabulary:Anatomy -> rdf:type -> patent:Publication
shape_000010,vocabulary:Anatomy,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Anatomy,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,owl:Class,http://www.w3.org/2002/07/owl#Class,739,0,0,0.0,0.0,vocabulary:Anatomy -> rdf:type -> owl:Class
shape_000011,vocabulary:Anatomy,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Anatomy,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,vocabulary:Patent,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Patent,739,0,0,0.0,0.0,vocabulary:Anatomy -> rdf:type -> vocabulary:Patent
shape_000012,sio:001262,http://semanticscience.org/resource/SIO_001262,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,mesh.vocab:TopicalDescriptor,http://id.nlm.nih.gov/mesh/vocab#TopicalDescriptor,739,0,0,0.0,0.0,sio:001262 -> rdf:type -> mesh.vocab:TopicalDescriptor
shape_000013,sio:001262,http://semanticscience.org/resource/SIO_001262,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,patent:Publication,http://data.epo.org/linked-data/def/patent/Publication,739,0,0,0.0,0.0,sio:001262 -> rdf:type -> patent:Publication
shape_000014,sio:001262,http://semanticscience.org/resource/SIO_001262,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,owl:Class,http://www.w3.org/2002/07/owl#Class,739,0,0,0.0,0.0,sio:001262 -> rdf:type -> owl:Class
shape_000015,sio:001262,http://semanticscience.org/resource/SIO_001262,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,vocabulary:Patent,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Patent,739,0,0,0.0,0.0,sio:001262 -> rdf:type -> vocabulary:Patent
shape_000016,vocabulary:Anatomy,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Anatomy,rdfs:seeAlso,http://www.w3.org/2000/01/rdf-schema#seeAlso,mesh.vocab:TopicalDescriptor,http://id.nlm.nih.gov/mesh/vocab#TopicalDescriptor,739,0,0,0.0,0.0,vocabulary:Anatomy -> rdfs:seeAlso -> mesh.vocab:TopicalDescriptor
shape_000017,vocabulary:Anatomy,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Anatomy,rdfs:seeAlso,http://www.w3.org/2000/01/rdf-schema#seeAlso,patent:Publication,http://data.epo.org/linked-data/def/patent/Publication,739,0,0,0.0,0.0,vocabulary:Anatomy -> rdfs:seeAlso -> patent:Publication
shape_000018,vocabulary:Anatomy,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Anatomy,rdfs:seeAlso,http://www.w3.org/2000/01/rdf-schema#seeAlso,owl:Class,http://www.w3.org/2002/07/owl#Class,739,0,0,0.0,0.0,vocabulary:Anatomy -> rdfs:seeAlso -> owl:Class
shape_000019,vocabulary:Anatomy,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Anatomy,rdfs:seeAlso,http://www.w3.org/2000/01/rdf-schema#seeAlso,vocabulary:Patent,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Patent,739,0,0,0.0,0.0,vocabulary:Anatomy -> rdfs:seeAlso -> vocabulary:Patent
shape_000020,sio:001262,http://semanticscience.org/resource/SIO_001262,rdfs:seeAlso,http://www.w3.org/2000/01/rdf-schema#seeAlso,mesh.vocab:TopicalDescriptor,http://id.nlm.nih.gov/mesh/vocab#TopicalDescriptor,739,0,0,0.0,0.0,sio:001262 -> rdfs:seeAlso -> mesh.vocab:TopicalDescriptor
shape_000021,sio:001262,http://semanticscience.org/resource/SIO_001262,rdfs:seeAlso,http://www.w3.org/2000/01/rdf-schema#seeAlso,patent:Publication,http://data.epo.org/linked-data/def/patent/Publication,739,0,0,0.0,0.0,sio:001262 -> rdfs:seeAlso -> patent:Publication
shape_000022,sio:001262,http://semanticscience.org/resource/SIO_001262,rdfs:seeAlso,http://www.w3.org/2000/01/rdf-schema#seeAlso,owl:Class,http://www.w3.org/2002/07/owl#Class,739,0,0,0.0,0.0,sio:001262 -> rdfs:seeAlso -> owl:Class
shape_000023,sio:001262,http://semanticscience.org/resource/SIO_001262,rdfs:seeAlso,http://www.w3.org/2000/01/rdf-schema#seeAlso,vocabulary:Patent,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Patent,739,0,0,0.0,0.0,sio:001262 -> rdfs:seeAlso -> vocabulary:Patent
