shape_id,subject_class,subject_uri,property,property_uri,object_class,object_uri,total_entities,participating_entities,occurrence_count,coverage_ratio,coverage_percent,shape_pattern
shape_000066,sio:000136,http://semanticscience.org/resource/SIO_000136,sio:000011,http://semanticscience.org/resource/SIO_000011,bao:0000015,http://www.bioassayontology.org/bao#BAO_0000015,1768608,1768608,1768608,1.0,100.0,sio:000136 -> sio:000011 -> bao:0000015
shape_000072,sio:000136,http://semanticscience.org/resource/SIO_000136,sio:000011,http://semanticscience.org/resource/SIO_000011,vocabulary:BioAssay,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#BioAssay,1768608,1768608,1768608,1.0,100.0,sio:000136 -> sio:000011 -> vocabulary:BioAssay
shape_000088,sio:001041,http://semanticscience.org/resource/SIO_001041,sio:000011,http://semanticscience.org/resource/SIO_000011,bao:0000015,http://www.bioassayontology.org/bao#BAO_0000015,10524,10524,10524,1.0,100.0,sio:001041 -> sio:000011 -> bao:0000015
shape_000094,sio:001041,http://semanticscience.org/resource/SIO_001041,sio:000011,http://semanticscience.org/resource/SIO_000011,vocabulary:BioAssay,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#BioAssay,10524,10524,10524,1.0,100.0,sio:001041 -> sio:000011 -> vocabulary:BioAssay
shape_000099,sio:001167,http://semanticscience.org/resource/SIO_001167,sio:000011,http://semanticscience.org/resource/SIO_000011,bao:0000015,http://www.bioassayontology.org/bao#BAO_0000015,1767348,1767348,1767348,1.0,100.0,sio:001167 -> sio:000011 -> bao:0000015
shape_000105,sio:001167,http://semanticscience.org/resource/SIO_001167,sio:000011,http://semanticscience.org/resource/SIO_000011,vocabulary:BioAssay,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#BioAssay,1767348,1767348,1767348,1.0,100.0,sio:001167 -> sio:000011 -> vocabulary:BioAssay
shape_000286,sio:000136,http://semanticscience.org/resource/SIO_000136,resource:is-attribute-of,http://semanticscience.org/resource/is-attribute-of,bao:0000015,http://www.bioassayontology.org/bao#BAO_0000015,1768608,1768608,1768608,1.0,100.0,sio:000136 -> resource:is-attribute-of -> bao:0000015
shape_000292,sio:000136,http://semanticscience.org/resource/SIO_000136,resource:is-attribute-of,http://semanticscience.org/resource/is-attribute-of,vocabulary:BioAssay,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#BioAssay,1768608,1768608,1768608,1.0,100.0,sio:000136 -> resource:is-attribute-of -> vocabulary:BioAssay
shape_000325,sio:001167,http://semanticscience.org/resource/SIO_001167,resource:is-attribute-of,http://semanticscience.org/resource/is-attribute-of,vocabulary:BioAssay,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#BioAssay,1767348,1767348,1767348,1.0,100.0,sio:001167 -> resource:is-attribute-of -> vocabulary:BioAssay
shape_000319,sio:001167,http://semanticscience.org/resource/SIO_001167,resource:is-attribute-of,http://semanticscience.org/resource/is-attribute-of,bao:0000015,http://www.bioassayontology.org/bao#BAO_0000015,1767348,1767348,1767348,1.0,100.0,sio:001167 -> resource:is-attribute-of -> bao:0000015
shape_000314,sio:001041,http://semanticscience.org/resource/SIO_001041,resource:is-attribute-of,http://semanticscience.org/resource/is-attribute-of,vocabulary:BioAssay,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#BioAssay,10524,10524,10524,1.0,100.0,sio:001041 -> resource:is-attribute-of -> vocabulary:BioAssay
shape_000308,sio:001041,http://semanticscience.org/resource/SIO_001041,resource:is-attribute-of,http://semanticscience.org/resource/is-attribute-of,bao:0000015,http://www.bioassayontology.org/bao#BAO_0000015,10524,10524,10524,1.0,100.0,sio:001041 -> resource:is-attribute-of -> bao:0000015
shape_000024,vocabulary:BioAssay,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#BioAssay,sio:000008,http://semanticscience.org/resource/SIO_000008,sio:000136,http://semanticscience.org/resource/SIO_000136,1768874,1768608,1768608,0.9998,99.98,vocabulary:BioAssay -> sio:000008 -> sio:000136
shape_000002,bao:0000015,http://www.bioassayontology.org/bao#BAO_0000015,sio:000008,http://semanticscience.org/resource/SIO_000008,sio:000136,http://semanticscience.org/resource/SIO_000136,1768874,1768608,1768608,0.9998,99.98,bao:0000015 -> sio:000008 -> sio:000136
shape_000032,vocabulary:BioAssay,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#BioAssay,sio:000008,http://semanticscience.org/resource/SIO_000008,sio:001167,http://semanticscience.org/resource/SIO_001167,1768874,1767348,1767348,0.9991,99.91,vocabulary:BioAssay -> sio:000008 -> sio:001167
shape_000010,bao:0000015,http://www.bioassayontology.org/bao#BAO_0000015,sio:000008,http://semanticscience.org/resource/SIO_000008,sio:001167,http://semanticscience.org/resource/SIO_001167,1768874,1767348,1767348,0.9991,99.91,bao:0000015 -> sio:000008 -> sio:001167
shape_000031,vocabulary:BioAssay,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#BioAssay,sio:000008,http://semanticscience.org/resource/SIO_000008,sio:001041,http://semanticscience.org/resource/SIO_001041,1768874,10524,10524,0.0059,0.59,vocabulary:BioAssay -> sio:000008 -> sio:001041
