shape_id,subject_class,subject_uri,property,property_uri,object_class,object_uri,total_entities,participating_entities,occurrence_count,coverage_ratio,coverage_percent,shape_pattern
shape_000000,vocabulary:Cell,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Cell,cito:isDiscussedBy,http://purl.org/spar/cito/isDiscussedBy,mesh.vocab:TopicalDescriptor,http://id.nlm.nih.gov/mesh/vocab#TopicalDescriptor,2010,0,0,0.0,0.0,vocabulary:Cell -> cito:isDiscussedBy -> mesh.vocab:TopicalDescriptor
shape_000001,vocabulary:Cell,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Cell,cito:isDiscussedBy,http://purl.org/spar/cito/isDiscussedBy,chembl:CellLine,http://rdf.ebi.ac.uk/terms/chembl#CellLine,2010,0,0,0.0,0.0,vocabulary:Cell -> cito:isDiscussedBy -> chembl:CellLine
shape_000002,vocabulary:Cell,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Cell,cito:isDiscussedBy,http://purl.org/spar/cito/isDiscussedBy,owl:Class,http://www.w3.org/2002/07/owl#Class,2010,0,0,0.0,0.0,vocabulary:Cell -> cito:isDiscussedBy -> owl:Class
shape_000003,vocabulary:Cell,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Cell,cito:isDiscussedBy,http://purl.org/spar/cito/isDiscussedBy,vocabulary:Anatomy,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Anatomy,2010,0,0,0.0,0.0,vocabulary:Cell -> cito:isDiscussedBy -> vocabulary:Anatomy
shape_000004,vocabulary:Cell,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Cell,cito:isDiscussedBy,http://purl.org/spar/cito/isDiscussedBy,vocabulary:Reference,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Reference,2010,0,0,0.0,0.0,vocabulary:Cell -> cito:isDiscussedBy -> vocabulary:Reference
shape_000005,vocabulary:Cell,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Cell,cito:isDiscussedBy,http://purl.org/spar/cito/isDiscussedBy,vocabulary:Taxonomy,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Taxonomy,2010,0,0,0.0,0.0,vocabulary:Cell -> cito:isDiscussedBy -> vocabulary:Taxonomy
shape_000006,vocabulary:Cell,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Cell,cito:isDiscussedBy,http://purl.org/spar/cito/isDiscussedBy,sio:001262,http://semanticscience.org/resource/SIO_001262,2010,0,0,0.0,0.0,vocabulary:Cell -> cito:isDiscussedBy -> sio:001262
shape_000007,vocabulary:Cell,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Cell,cito:isDiscussedBy,http://purl.org/spar/cito/isDiscussedBy,sio:010000,http://semanticscience.org/resource/SIO_010000,2010,0,0,0.0,0.0,vocabulary:Cell -> cito:isDiscussedBy -> sio:010000
shape_000008,sio:010054,http://semanticscience.org/resource/SIO_010054,cito:isDiscussedBy,http://purl.org/spar/cito/isDiscussedBy,mesh.vocab:TopicalDescriptor,http://id.nlm.nih.gov/mesh/vocab#TopicalDescriptor,2010,0,0,0.0,0.0,sio:010054 -> cito:isDiscussedBy -> mesh.vocab:TopicalDescriptor
shape_000009,sio:010054,http://semanticscience.org/resource/SIO_010054,cito:isDiscussedBy,http://purl.org/spar/cito/isDiscussedBy,chembl:CellLine,http://rdf.ebi.ac.uk/terms/chembl#CellLine,2010,0,0,0.0,0.0,sio:010054 -> cito:isDiscussedBy -> chembl:CellLine
