shape_id,subject_class,subject_uri,property,property_uri,object_class,object_uri,total_entities,participating_entities,occurrence_count,coverage_ratio,coverage_percent,shape_pattern
shape_000299,vocabulary:Cooccurrence,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Cooccurrence,rdf:object,http://www.w3.org/1999/02/22-rdf-syntax-ns#object,ncit:C526,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C526,60145650,0,0,0.0,0.0,vocabulary:Cooccurrence -> rdf:object -> ncit:C526
shape_000000,vocabulary:Cooccurrence,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Cooccurrence,rdf:object,http://www.w3.org/1999/02/22-rdf-syntax-ns#object,chebi:7,http://purl.obolibrary.org/obo/CHEBI_7,60145650,0,0,0.0,0.0,vocabulary:Cooccurrence -> rdf:object -> chebi:7
shape_000001,vocabulary:Cooccurrence,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Cooccurrence,rdf:object,http://www.w3.org/1999/02/22-rdf-syntax-ns#object,chebi:8,http://purl.obolibrary.org/obo/CHEBI_8,60145650,0,0,0.0,0.0,vocabulary:Cooccurrence -> rdf:object -> chebi:8
shape_000002,vocabulary:Cooccurrence,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Cooccurrence,rdf:object,http://www.w3.org/1999/02/22-rdf-syntax-ns#object,chebi:9,http://purl.obolibrary.org/obo/CHEBI_9,60145650,0,0,0.0,0.0,vocabulary:Cooccurrence -> rdf:object -> chebi:9
shape_000003,vocabulary:Cooccurrence,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Cooccurrence,rdf:object,http://www.w3.org/1999/02/22-rdf-syntax-ns#object,chebi:10,http://purl.obolibrary.org/obo/CHEBI_10,60145650,0,0,0.0,0.0,vocabulary:Cooccurrence -> rdf:object -> chebi:10
shape_000004,vocabulary:Cooccurrence,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Cooccurrence,rdf:object,http://www.w3.org/1999/02/22-rdf-syntax-ns#object,chebi:11,http://purl.obolibrary.org/obo/CHEBI_11,60145650,0,0,0.0,0.0,vocabulary:Cooccurrence -> rdf:object -> chebi:11
shape_000005,vocabulary:Cooccurrence,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Cooccurrence,rdf:object,http://www.w3.org/1999/02/22-rdf-syntax-ns#object,chebi:17,http://purl.obolibrary.org/obo/CHEBI_17,60145650,0,0,0.0,0.0,vocabulary:Cooccurrence -> rdf:object -> chebi:17
shape_000006,vocabulary:Cooccurrence,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Cooccurrence,rdf:object,http://www.w3.org/1999/02/22-rdf-syntax-ns#object,chebi:19,http://purl.obolibrary.org/obo/CHEBI_19,60145650,0,0,0.0,0.0,vocabulary:Cooccurrence -> rdf:object -> chebi:19
shape_000007,vocabulary:Cooccurrence,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Cooccurrence,rdf:object,http://www.w3.org/1999/02/22-rdf-syntax-ns#object,chebi:20,http://purl.obolibrary.org/obo/CHEBI_20,60145650,0,0,0.0,0.0,vocabulary:Cooccurrence -> rdf:object -> chebi:20
shape_000008,vocabulary:Cooccurrence,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Cooccurrence,rdf:object,http://www.w3.org/1999/02/22-rdf-syntax-ns#object,chebi:23,http://purl.obolibrary.org/obo/CHEBI_23,60145650,0,0,0.0,0.0,vocabulary:Cooccurrence -> rdf:object -> chebi:23
