shape_id,subject_class,subject_uri,property,property_uri,object_class,object_uri,total_entities,participating_entities,occurrence_count,coverage_ratio,coverage_percent,shape_pattern
shape_000000,vocabulary:Disease,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Disease,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,mesh.vocab:SCR_Disease,http://id.nlm.nih.gov/mesh/vocab#SCR_Disease,11721,0,0,0.0,0.0,vocabulary:Disease -> rdf:type -> mesh.vocab:SCR_Disease
shape_000001,vocabulary:Disease,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Disease,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,mesh.vocab:TopicalDescriptor,http://id.nlm.nih.gov/mesh/vocab#TopicalDescriptor,11721,0,0,0.0,0.0,vocabulary:Disease -> rdf:type -> mesh.vocab:TopicalDescriptor
shape_000002,vocabulary:Disease,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Disease,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,owl:Class,http://www.w3.org/2002/07/owl#Class,11721,0,0,0.0,0.0,vocabulary:Disease -> rdf:type -> owl:Class
shape_000003,sio:010299,http://semanticscience.org/resource/SIO_010299,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,mesh.vocab:SCR_Disease,http://id.nlm.nih.gov/mesh/vocab#SCR_Disease,11721,0,0,0.0,0.0,sio:010299 -> rdf:type -> mesh.vocab:SCR_Disease
shape_000004,sio:010299,http://semanticscience.org/resource/SIO_010299,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,mesh.vocab:TopicalDescriptor,http://id.nlm.nih.gov/mesh/vocab#TopicalDescriptor,11721,0,0,0.0,0.0,sio:010299 -> rdf:type -> mesh.vocab:TopicalDescriptor
shape_000005,sio:010299,http://semanticscience.org/resource/SIO_010299,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,owl:Class,http://www.w3.org/2002/07/owl#Class,11721,0,0,0.0,0.0,sio:010299 -> rdf:type -> owl:Class
shape_000006,vocabulary:Disease,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Disease,skos:closeMatch,http://www.w3.org/2004/02/skos/core#closeMatch,mesh.vocab:SCR_Disease,http://id.nlm.nih.gov/mesh/vocab#SCR_Disease,11721,0,0,0.0,0.0,vocabulary:Disease -> skos:closeMatch -> mesh.vocab:SCR_Disease
shape_000007,vocabulary:Disease,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Disease,skos:closeMatch,http://www.w3.org/2004/02/skos/core#closeMatch,mesh.vocab:TopicalDescriptor,http://id.nlm.nih.gov/mesh/vocab#TopicalDescriptor,11721,0,0,0.0,0.0,vocabulary:Disease -> skos:closeMatch -> mesh.vocab:TopicalDescriptor
shape_000008,vocabulary:Disease,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Disease,skos:closeMatch,http://www.w3.org/2004/02/skos/core#closeMatch,owl:Class,http://www.w3.org/2002/07/owl#Class,11721,0,0,0.0,0.0,vocabulary:Disease -> skos:closeMatch -> owl:Class
shape_000009,sio:010299,http://semanticscience.org/resource/SIO_010299,skos:closeMatch,http://www.w3.org/2004/02/skos/core#closeMatch,mesh.vocab:SCR_Disease,http://id.nlm.nih.gov/mesh/vocab#SCR_Disease,11721,0,0,0.0,0.0,sio:010299 -> skos:closeMatch -> mesh.vocab:SCR_Disease
shape_000010,sio:010299,http://semanticscience.org/resource/SIO_010299,skos:closeMatch,http://www.w3.org/2004/02/skos/core#closeMatch,mesh.vocab:TopicalDescriptor,http://id.nlm.nih.gov/mesh/vocab#TopicalDescriptor,11721,0,0,0.0,0.0,sio:010299 -> skos:closeMatch -> mesh.vocab:TopicalDescriptor
shape_000011,sio:010299,http://semanticscience.org/resource/SIO_010299,skos:closeMatch,http://www.w3.org/2004/02/skos/core#closeMatch,owl:Class,http://www.w3.org/2002/07/owl#Class,11721,0,0,0.0,0.0,sio:010299 -> skos:closeMatch -> owl:Class
