shape_id,subject_class,subject_uri,property,property_uri,object_class,object_uri,total_entities,participating_entities,occurrence_count,coverage_ratio,coverage_percent,shape_pattern
shape_000647,sio:010035,http://semanticscience.org/resource/SIO_010035,bao:0002870,http://www.bioassayontology.org/bao#BAO_0002870,sio:001383,http://semanticscience.org/resource/SIO_001383,202908,166218,166218,0.8192,81.92,sio:010035 -> bao:0002870 -> sio:001383
shape_000646,sio:010035,http://semanticscience.org/resource/SIO_010035,bao:0002870,http://www.bioassayontology.org/bao#BAO_0002870,vocabulary:GeneSymbol,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#GeneSymbol,202908,166218,166218,0.8192,81.92,sio:010035 -> bao:0002870 -> vocabulary:GeneSymbol
shape_000595,biopaxleve:Gene,http://www.biopax.org/release/biopax-level3.owl#Gene,bao:0002870,http://www.bioassayontology.org/bao#BAO_0002870,sio:001383,http://semanticscience.org/resource/SIO_001383,202908,166218,166218,0.8192,81.92,biopaxleve:Gene -> bao:0002870 -> sio:001383
shape_000594,biopaxleve:Gene,http://www.biopax.org/release/biopax-level3.owl#Gene,bao:0002870,http://www.bioassayontology.org/bao#BAO_0002870,vocabulary:GeneSymbol,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#GeneSymbol,202908,166218,166218,0.8192,81.92,biopaxleve:Gene -> bao:0002870 -> vocabulary:GeneSymbol
shape_000608,vocabulary:Gene,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Gene,bao:0002870,http://www.bioassayontology.org/bao#BAO_0002870,sio:001383,http://semanticscience.org/resource/SIO_001383,202908,166218,166218,0.8192,81.92,vocabulary:Gene -> bao:0002870 -> sio:001383
shape_000607,vocabulary:Gene,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Gene,bao:0002870,http://www.bioassayontology.org/bao#BAO_0002870,vocabulary:GeneSymbol,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#GeneSymbol,202908,166218,166218,0.8192,81.92,vocabulary:Gene -> bao:0002870 -> vocabulary:GeneSymbol
shape_000467,biopaxleve:Gene,http://www.biopax.org/release/biopax-level3.owl#Gene,sio:000558,http://semanticscience.org/resource/SIO_000558,sio:010035,http://semanticscience.org/resource/SIO_010035,202908,17304,17304,0.0853,8.53,biopaxleve:Gene -> sio:000558 -> sio:010035
shape_000519,sio:010035,http://semanticscience.org/resource/SIO_010035,sio:000558,http://semanticscience.org/resource/SIO_000558,sio:010035,http://semanticscience.org/resource/SIO_010035,202908,17304,17304,0.0853,8.53,sio:010035 -> sio:000558 -> sio:010035
shape_000512,sio:010035,http://semanticscience.org/resource/SIO_010035,sio:000558,http://semanticscience.org/resource/SIO_000558,vocabulary:Gene,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Gene,202908,17304,17304,0.0853,8.53,sio:010035 -> sio:000558 -> vocabulary:Gene
shape_000471,vocabulary:Gene,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Gene,sio:000558,http://semanticscience.org/resource/SIO_000558,biopaxleve:Gene,http://www.biopax.org/release/biopax-level3.owl#Gene,202908,17304,17304,0.0853,8.53,vocabulary:Gene -> sio:000558 -> biopaxleve:Gene
shape_000473,vocabulary:Gene,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Gene,sio:000558,http://semanticscience.org/resource/SIO_000558,vocabulary:Gene,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Gene,202908,17304,17304,0.0853,8.53,vocabulary:Gene -> sio:000558 -> vocabulary:Gene
shape_000460,biopaxleve:Gene,http://www.biopax.org/release/biopax-level3.owl#Gene,sio:000558,http://semanticscience.org/resource/SIO_000558,vocabulary:Gene,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Gene,202908,17304,17304,0.0853,8.53,biopaxleve:Gene -> sio:000558 -> vocabulary:Gene
shape_000458,biopaxleve:Gene,http://www.biopax.org/release/biopax-level3.owl#Gene,sio:000558,http://semanticscience.org/resource/SIO_000558,biopaxleve:Gene,http://www.biopax.org/release/biopax-level3.owl#Gene,202908,17304,17304,0.0853,8.53,biopaxleve:Gene -> sio:000558 -> biopaxleve:Gene
shape_000480,vocabulary:Gene,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Gene,sio:000558,http://semanticscience.org/resource/SIO_000558,sio:010035,http://semanticscience.org/resource/SIO_010035,202908,17304,17304,0.0853,8.53,vocabulary:Gene -> sio:000558 -> sio:010035
shape_000510,sio:010035,http://semanticscience.org/resource/SIO_010035,sio:000558,http://semanticscience.org/resource/SIO_000558,biopaxleve:Gene,http://www.biopax.org/release/biopax-level3.owl#Gene,202908,17304,17304,0.0853,8.53,sio:010035 -> sio:000558 -> biopaxleve:Gene
shape_000427,vocabulary:GeneSymbol,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#GeneSymbol,rdfs:seeAlso,http://www.w3.org/2000/01/rdf-schema#seeAlso,sio:010000,http://semanticscience.org/resource/SIO_010000,84528,0,0,0.0,0.0,vocabulary:GeneSymbol -> rdfs:seeAlso -> sio:010000
shape_000428,vocabulary:GeneSymbol,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#GeneSymbol,rdfs:seeAlso,http://www.w3.org/2000/01/rdf-schema#seeAlso,sio:010035,http://semanticscience.org/resource/SIO_010035,84528,0,0,0.0,0.0,vocabulary:GeneSymbol -> rdfs:seeAlso -> sio:010035
shape_000430,sio:001383,http://semanticscience.org/resource/SIO_001383,rdfs:seeAlso,http://www.w3.org/2000/01/rdf-schema#seeAlso,mesh.vocab:TopicalDescriptor,http://id.nlm.nih.gov/mesh/vocab#TopicalDescriptor,84528,0,0,0.0,0.0,sio:001383 -> rdfs:seeAlso -> mesh.vocab:TopicalDescriptor
shape_000429,sio:001383,http://semanticscience.org/resource/SIO_001383,rdfs:seeAlso,http://www.w3.org/2000/01/rdf-schema#seeAlso,mesh.vocab:CheckTag,http://id.nlm.nih.gov/mesh/vocab#CheckTag,84528,0,0,0.0,0.0,sio:001383 -> rdfs:seeAlso -> mesh.vocab:CheckTag
