shape_id,subject_class,subject_uri,property,property_uri,object_class,object_uri,total_entities,participating_entities,occurrence_count,coverage_ratio,coverage_percent,shape_pattern
shape_000000,frapo:Grant,http://purl.org/cerif/frapo/Grant,frapo:hasFundingAgency,http://purl.org/cerif/frapo/hasFundingAgency,frapo:FundingAgency,http://purl.org/cerif/frapo/FundingAgency,1716322,0,0,0.0,0.0,frapo:Grant -> frapo:hasFundingAgency -> frapo:FundingAgency
shape_000001,frapo:Grant,http://purl.org/cerif/frapo/Grant,frapo:hasFundingAgency,http://purl.org/cerif/frapo/hasFundingAgency,owl:Class,http://www.w3.org/2002/07/owl#Class,1716322,0,0,0.0,0.0,frapo:Grant -> frapo:hasFundingAgency -> owl:Class
shape_000002,frapo:Grant,http://purl.org/cerif/frapo/Grant,frapo:hasFundingAgency,http://purl.org/cerif/frapo/hasFundingAgency,vcard:Organization,http://www.w3.org/2006/vcard/ns#Organization,1716322,0,0,0.0,0.0,frapo:Grant -> frapo:hasFundingAgency -> vcard:Organization
shape_000003,frapo:Grant,http://purl.org/cerif/frapo/Grant,frapo:hasFundingAgency,http://purl.org/cerif/frapo/hasFundingAgency,vocabulary:Organization,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Organization,1716322,0,0,0.0,0.0,frapo:Grant -> frapo:hasFundingAgency -> vocabulary:Organization
shape_000004,vocabulary:Grant,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Grant,frapo:hasFundingAgency,http://purl.org/cerif/frapo/hasFundingAgency,frapo:FundingAgency,http://purl.org/cerif/frapo/FundingAgency,1716322,0,0,0.0,0.0,vocabulary:Grant -> frapo:hasFundingAgency -> frapo:FundingAgency
shape_000005,vocabulary:Grant,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Grant,frapo:hasFundingAgency,http://purl.org/cerif/frapo/hasFundingAgency,owl:Class,http://www.w3.org/2002/07/owl#Class,1716322,0,0,0.0,0.0,vocabulary:Grant -> frapo:hasFundingAgency -> owl:Class
shape_000006,vocabulary:Grant,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Grant,frapo:hasFundingAgency,http://purl.org/cerif/frapo/hasFundingAgency,vcard:Organization,http://www.w3.org/2006/vcard/ns#Organization,1716322,0,0,0.0,0.0,vocabulary:Grant -> frapo:hasFundingAgency -> vcard:Organization
shape_000007,vocabulary:Grant,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Grant,frapo:hasFundingAgency,http://purl.org/cerif/frapo/hasFundingAgency,vocabulary:Organization,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Organization,1716322,0,0,0.0,0.0,vocabulary:Grant -> frapo:hasFundingAgency -> vocabulary:Organization
shape_000008,frapo:Grant,http://purl.org/cerif/frapo/Grant,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,frapo:FundingAgency,http://purl.org/cerif/frapo/FundingAgency,1716322,0,0,0.0,0.0,frapo:Grant -> rdf:type -> frapo:FundingAgency
shape_000009,frapo:Grant,http://purl.org/cerif/frapo/Grant,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,owl:Class,http://www.w3.org/2002/07/owl#Class,1716322,0,0,0.0,0.0,frapo:Grant -> rdf:type -> owl:Class
shape_000010,frapo:Grant,http://purl.org/cerif/frapo/Grant,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,vcard:Organization,http://www.w3.org/2006/vcard/ns#Organization,1716322,0,0,0.0,0.0,frapo:Grant -> rdf:type -> vcard:Organization
shape_000011,frapo:Grant,http://purl.org/cerif/frapo/Grant,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,vocabulary:Organization,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Organization,1716322,0,0,0.0,0.0,frapo:Grant -> rdf:type -> vocabulary:Organization
shape_000012,vocabulary:Grant,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Grant,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,frapo:FundingAgency,http://purl.org/cerif/frapo/FundingAgency,1716322,0,0,0.0,0.0,vocabulary:Grant -> rdf:type -> frapo:FundingAgency
shape_000013,vocabulary:Grant,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Grant,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,owl:Class,http://www.w3.org/2002/07/owl#Class,1716322,0,0,0.0,0.0,vocabulary:Grant -> rdf:type -> owl:Class
shape_000014,vocabulary:Grant,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Grant,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,vcard:Organization,http://www.w3.org/2006/vcard/ns#Organization,1716322,0,0,0.0,0.0,vocabulary:Grant -> rdf:type -> vcard:Organization
shape_000015,vocabulary:Grant,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Grant,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,vocabulary:Organization,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Organization,1716322,0,0,0.0,0.0,vocabulary:Grant -> rdf:type -> vocabulary:Organization
