shape_id,subject_class,subject_uri,property,property_uri,object_class,object_uri,total_entities,participating_entities,occurrence_count,coverage_ratio,coverage_percent,shape_pattern
shape_000299,cheminf:000399,http://semanticscience.org/resource/CHEMINF_000399,resource:is-attribute-of,http://semanticscience.org/resource/is-attribute-of,ncit:C478,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C478,121854862,0,0,0.0,0.0,cheminf:000399 -> resource:is-attribute-of -> ncit:C478
shape_000000,cheminf:000399,http://semanticscience.org/resource/CHEMINF_000399,resource:is-attribute-of,http://semanticscience.org/resource/is-attribute-of,chebi:7,http://purl.obolibrary.org/obo/CHEBI_7,121854862,0,0,0.0,0.0,cheminf:000399 -> resource:is-attribute-of -> chebi:7
shape_000001,cheminf:000399,http://semanticscience.org/resource/CHEMINF_000399,resource:is-attribute-of,http://semanticscience.org/resource/is-attribute-of,chebi:8,http://purl.obolibrary.org/obo/CHEBI_8,121854862,0,0,0.0,0.0,cheminf:000399 -> resource:is-attribute-of -> chebi:8
shape_000002,cheminf:000399,http://semanticscience.org/resource/CHEMINF_000399,resource:is-attribute-of,http://semanticscience.org/resource/is-attribute-of,chebi:9,http://purl.obolibrary.org/obo/CHEBI_9,121854862,0,0,0.0,0.0,cheminf:000399 -> resource:is-attribute-of -> chebi:9
shape_000003,cheminf:000399,http://semanticscience.org/resource/CHEMINF_000399,resource:is-attribute-of,http://semanticscience.org/resource/is-attribute-of,chebi:10,http://purl.obolibrary.org/obo/CHEBI_10,121854862,0,0,0.0,0.0,cheminf:000399 -> resource:is-attribute-of -> chebi:10
shape_000004,cheminf:000399,http://semanticscience.org/resource/CHEMINF_000399,resource:is-attribute-of,http://semanticscience.org/resource/is-attribute-of,chebi:11,http://purl.obolibrary.org/obo/CHEBI_11,121854862,0,0,0.0,0.0,cheminf:000399 -> resource:is-attribute-of -> chebi:11
shape_000005,cheminf:000399,http://semanticscience.org/resource/CHEMINF_000399,resource:is-attribute-of,http://semanticscience.org/resource/is-attribute-of,chebi:17,http://purl.obolibrary.org/obo/CHEBI_17,121854862,0,0,0.0,0.0,cheminf:000399 -> resource:is-attribute-of -> chebi:17
shape_000006,cheminf:000399,http://semanticscience.org/resource/CHEMINF_000399,resource:is-attribute-of,http://semanticscience.org/resource/is-attribute-of,chebi:19,http://purl.obolibrary.org/obo/CHEBI_19,121854862,0,0,0.0,0.0,cheminf:000399 -> resource:is-attribute-of -> chebi:19
shape_000007,cheminf:000399,http://semanticscience.org/resource/CHEMINF_000399,resource:is-attribute-of,http://semanticscience.org/resource/is-attribute-of,chebi:20,http://purl.obolibrary.org/obo/CHEBI_20,121854862,0,0,0.0,0.0,cheminf:000399 -> resource:is-attribute-of -> chebi:20
shape_000008,cheminf:000399,http://semanticscience.org/resource/CHEMINF_000399,resource:is-attribute-of,http://semanticscience.org/resource/is-attribute-of,chebi:22,http://purl.obolibrary.org/obo/CHEBI_22,121854862,0,0,0.0,0.0,cheminf:000399 -> resource:is-attribute-of -> chebi:22
shape_000009,cheminf:000399,http://semanticscience.org/resource/CHEMINF_000399,resource:is-attribute-of,http://semanticscience.org/resource/is-attribute-of,chebi:23,http://purl.obolibrary.org/obo/CHEBI_23,121854862,0,0,0.0,0.0,cheminf:000399 -> resource:is-attribute-of -> chebi:23
shape_000010,cheminf:000399,http://semanticscience.org/resource/CHEMINF_000399,resource:is-attribute-of,http://semanticscience.org/resource/is-attribute-of,chebi:24,http://purl.obolibrary.org/obo/CHEBI_24,121854862,0,0,0.0,0.0,cheminf:000399 -> resource:is-attribute-of -> chebi:24
shape_000283,cheminf:000399,http://semanticscience.org/resource/CHEMINF_000399,resource:is-attribute-of,http://semanticscience.org/resource/is-attribute-of,ncit:C455,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C455,121854862,0,0,0.0,0.0,cheminf:000399 -> resource:is-attribute-of -> ncit:C455
shape_000282,cheminf:000399,http://semanticscience.org/resource/CHEMINF_000399,resource:is-attribute-of,http://semanticscience.org/resource/is-attribute-of,ncit:C454,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C454,121854862,0,0,0.0,0.0,cheminf:000399 -> resource:is-attribute-of -> ncit:C454
shape_000281,cheminf:000399,http://semanticscience.org/resource/CHEMINF_000399,resource:is-attribute-of,http://semanticscience.org/resource/is-attribute-of,chebi:453,http://purl.obolibrary.org/obo/CHEBI_453,121854862,0,0,0.0,0.0,cheminf:000399 -> resource:is-attribute-of -> chebi:453
shape_000280,cheminf:000399,http://semanticscience.org/resource/CHEMINF_000399,resource:is-attribute-of,http://semanticscience.org/resource/is-attribute-of,chebi:448,http://purl.obolibrary.org/obo/CHEBI_448,121854862,0,0,0.0,0.0,cheminf:000399 -> resource:is-attribute-of -> chebi:448
shape_000279,cheminf:000399,http://semanticscience.org/resource/CHEMINF_000399,resource:is-attribute-of,http://semanticscience.org/resource/is-attribute-of,ncit:C447,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C447,121854862,0,0,0.0,0.0,cheminf:000399 -> resource:is-attribute-of -> ncit:C447
