shape_id,subject_class,subject_uri,property,property_uri,object_class,object_uri,total_entities,participating_entities,occurrence_count,coverage_ratio,coverage_percent,shape_pattern
shape_000299,cheminf:000399,http://semanticscience.org/resource/CHEMINF_000399,resource:is-attribute-of,http://semanticscience.org/resource/is-attribute-of,chebi:479,http://purl.obolibrary.org/obo/CHEBI_479,122943365,0,0,0.0,0.0,cheminf:000399 -> resource:is-attribute-of -> chebi:479
shape_000000,cheminf:000399,http://semanticscience.org/resource/CHEMINF_000399,resource:is-attribute-of,http://semanticscience.org/resource/is-attribute-of,chebi:7,http://purl.obolibrary.org/obo/CHEBI_7,122943365,0,0,0.0,0.0,cheminf:000399 -> resource:is-attribute-of -> chebi:7
shape_000001,cheminf:000399,http://semanticscience.org/resource/CHEMINF_000399,resource:is-attribute-of,http://semanticscience.org/resource/is-attribute-of,chebi:8,http://purl.obolibrary.org/obo/CHEBI_8,122943365,0,0,0.0,0.0,cheminf:000399 -> resource:is-attribute-of -> chebi:8
shape_000002,cheminf:000399,http://semanticscience.org/resource/CHEMINF_000399,resource:is-attribute-of,http://semanticscience.org/resource/is-attribute-of,chebi:9,http://purl.obolibrary.org/obo/CHEBI_9,122943365,0,0,0.0,0.0,cheminf:000399 -> resource:is-attribute-of -> chebi:9
shape_000003,cheminf:000399,http://semanticscience.org/resource/CHEMINF_000399,resource:is-attribute-of,http://semanticscience.org/resource/is-attribute-of,chebi:10,http://purl.obolibrary.org/obo/CHEBI_10,122943365,0,0,0.0,0.0,cheminf:000399 -> resource:is-attribute-of -> chebi:10
shape_000004,cheminf:000399,http://semanticscience.org/resource/CHEMINF_000399,resource:is-attribute-of,http://semanticscience.org/resource/is-attribute-of,chebi:11,http://purl.obolibrary.org/obo/CHEBI_11,122943365,0,0,0.0,0.0,cheminf:000399 -> resource:is-attribute-of -> chebi:11
shape_000005,cheminf:000399,http://semanticscience.org/resource/CHEMINF_000399,resource:is-attribute-of,http://semanticscience.org/resource/is-attribute-of,chebi:17,http://purl.obolibrary.org/obo/CHEBI_17,122943365,0,0,0.0,0.0,cheminf:000399 -> resource:is-attribute-of -> chebi:17
shape_000006,cheminf:000399,http://semanticscience.org/resource/CHEMINF_000399,resource:is-attribute-of,http://semanticscience.org/resource/is-attribute-of,chebi:19,http://purl.obolibrary.org/obo/CHEBI_19,122943365,0,0,0.0,0.0,cheminf:000399 -> resource:is-attribute-of -> chebi:19
shape_000007,cheminf:000399,http://semanticscience.org/resource/CHEMINF_000399,resource:is-attribute-of,http://semanticscience.org/resource/is-attribute-of,chebi:20,http://purl.obolibrary.org/obo/CHEBI_20,122943365,0,0,0.0,0.0,cheminf:000399 -> resource:is-attribute-of -> chebi:20
shape_000008,cheminf:000399,http://semanticscience.org/resource/CHEMINF_000399,resource:is-attribute-of,http://semanticscience.org/resource/is-attribute-of,chebi:22,http://purl.obolibrary.org/obo/CHEBI_22,122943365,0,0,0.0,0.0,cheminf:000399 -> resource:is-attribute-of -> chebi:22
shape_000009,cheminf:000399,http://semanticscience.org/resource/CHEMINF_000399,resource:is-attribute-of,http://semanticscience.org/resource/is-attribute-of,chebi:23,http://purl.obolibrary.org/obo/CHEBI_23,122943365,0,0,0.0,0.0,cheminf:000399 -> resource:is-attribute-of -> chebi:23
shape_000010,cheminf:000399,http://semanticscience.org/resource/CHEMINF_000399,resource:is-attribute-of,http://semanticscience.org/resource/is-attribute-of,chebi:24,http://purl.obolibrary.org/obo/CHEBI_24,122943365,0,0,0.0,0.0,cheminf:000399 -> resource:is-attribute-of -> chebi:24
shape_000260,cheminf:000399,http://semanticscience.org/resource/CHEMINF_000399,resource:is-attribute-of,http://semanticscience.org/resource/is-attribute-of,ncit:C423,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C423,122943365,0,0,0.0,0.0,cheminf:000399 -> resource:is-attribute-of -> ncit:C423
shape_000261,cheminf:000399,http://semanticscience.org/resource/CHEMINF_000399,resource:is-attribute-of,http://semanticscience.org/resource/is-attribute-of,ncit:C424,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C424,122943365,0,0,0.0,0.0,cheminf:000399 -> resource:is-attribute-of -> ncit:C424
shape_000262,cheminf:000399,http://semanticscience.org/resource/CHEMINF_000399,resource:is-attribute-of,http://semanticscience.org/resource/is-attribute-of,ncit:C425,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C425,122943365,0,0,0.0,0.0,cheminf:000399 -> resource:is-attribute-of -> ncit:C425
shape_000263,cheminf:000399,http://semanticscience.org/resource/CHEMINF_000399,resource:is-attribute-of,http://semanticscience.org/resource/is-attribute-of,ncit:C428,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C428,122943365,0,0,0.0,0.0,cheminf:000399 -> resource:is-attribute-of -> ncit:C428
shape_000264,cheminf:000399,http://semanticscience.org/resource/CHEMINF_000399,resource:is-attribute-of,http://semanticscience.org/resource/is-attribute-of,ncit:C429,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C429,122943365,0,0,0.0,0.0,cheminf:000399 -> resource:is-attribute-of -> ncit:C429
shape_000265,cheminf:000399,http://semanticscience.org/resource/CHEMINF_000399,resource:is-attribute-of,http://semanticscience.org/resource/is-attribute-of,ncit:C430,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C430,122943365,0,0,0.0,0.0,cheminf:000399 -> resource:is-attribute-of -> ncit:C430
shape_000266,cheminf:000399,http://semanticscience.org/resource/CHEMINF_000399,resource:is-attribute-of,http://semanticscience.org/resource/is-attribute-of,chebi:431,http://purl.obolibrary.org/obo/CHEBI_431,122943365,0,0,0.0,0.0,cheminf:000399 -> resource:is-attribute-of -> chebi:431
shape_000267,cheminf:000399,http://semanticscience.org/resource/CHEMINF_000399,resource:is-attribute-of,http://semanticscience.org/resource/is-attribute-of,ncit:C431,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C431,122943365,0,0,0.0,0.0,cheminf:000399 -> resource:is-attribute-of -> ncit:C431
shape_000252,cheminf:000399,http://semanticscience.org/resource/CHEMINF_000399,resource:is-attribute-of,http://semanticscience.org/resource/is-attribute-of,ncit:C416,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C416,122943365,0,0,0.0,0.0,cheminf:000399 -> resource:is-attribute-of -> ncit:C416
shape_000253,cheminf:000399,http://semanticscience.org/resource/CHEMINF_000399,resource:is-attribute-of,http://semanticscience.org/resource/is-attribute-of,ncit:C417,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C417,122943365,0,0,0.0,0.0,cheminf:000399 -> resource:is-attribute-of -> ncit:C417
shape_000254,cheminf:000399,http://semanticscience.org/resource/CHEMINF_000399,resource:is-attribute-of,http://semanticscience.org/resource/is-attribute-of,ncit:C418,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C418,122943365,0,0,0.0,0.0,cheminf:000399 -> resource:is-attribute-of -> ncit:C418
shape_000255,cheminf:000399,http://semanticscience.org/resource/CHEMINF_000399,resource:is-attribute-of,http://semanticscience.org/resource/is-attribute-of,ncit:C419,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C419,122943365,0,0,0.0,0.0,cheminf:000399 -> resource:is-attribute-of -> ncit:C419
