shape_id,subject_class,subject_uri,property,property_uri,object_class,object_uri,total_entities,participating_entities,occurrence_count,coverage_ratio,coverage_percent,shape_pattern
shape_001048,vocabulary:MeasureGroup,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#MeasureGroup,obi:0000299,http://purl.obolibrary.org/obo/OBI_0000299,pr:Q8K4Z6,http://purl.obolibrary.org/obo/PR_Q8K4Z6,1939584,0,0,0.0,0.0,vocabulary:MeasureGroup -> obi:0000299 -> pr:Q8K4Z6
shape_001049,vocabulary:MeasureGroup,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#MeasureGroup,obi:0000299,http://purl.obolibrary.org/obo/OBI_0000299,pr:Q8N5B7,http://purl.obolibrary.org/obo/PR_Q8N5B7,1939584,0,0,0.0,0.0,vocabulary:MeasureGroup -> obi:0000299 -> pr:Q8N5B7
shape_001050,vocabulary:MeasureGroup,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#MeasureGroup,obi:0000299,http://purl.obolibrary.org/obo/OBI_0000299,pr:Q8NB12,http://purl.obolibrary.org/obo/PR_Q8NB12,1939584,0,0,0.0,0.0,vocabulary:MeasureGroup -> obi:0000299 -> pr:Q8NB12
shape_001051,vocabulary:MeasureGroup,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#MeasureGroup,obi:0000299,http://purl.obolibrary.org/obo/OBI_0000299,pr:Q8NDH3,http://purl.obolibrary.org/obo/PR_Q8NDH3,1939584,0,0,0.0,0.0,vocabulary:MeasureGroup -> obi:0000299 -> pr:Q8NDH3
shape_001052,vocabulary:MeasureGroup,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#MeasureGroup,obi:0000299,http://purl.obolibrary.org/obo/OBI_0000299,pr:Q8R0V5,http://purl.obolibrary.org/obo/PR_Q8R0V5,1939584,0,0,0.0,0.0,vocabulary:MeasureGroup -> obi:0000299 -> pr:Q8R0V5
shape_001053,vocabulary:MeasureGroup,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#MeasureGroup,obi:0000299,http://purl.obolibrary.org/obo/OBI_0000299,pr:Q8R493,http://purl.obolibrary.org/obo/PR_Q8R493,1939584,0,0,0.0,0.0,vocabulary:MeasureGroup -> obi:0000299 -> pr:Q8R493
shape_001054,vocabulary:MeasureGroup,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#MeasureGroup,obi:0000299,http://purl.obolibrary.org/obo/OBI_0000299,pr:Q8VZS8,http://purl.obolibrary.org/obo/PR_Q8VZS8,1939584,0,0,0.0,0.0,vocabulary:MeasureGroup -> obi:0000299 -> pr:Q8VZS8
shape_001055,vocabulary:MeasureGroup,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#MeasureGroup,obi:0000299,http://purl.obolibrary.org/obo/OBI_0000299,pr:Q92600,http://purl.obolibrary.org/obo/PR_Q92600,1939584,0,0,0.0,0.0,vocabulary:MeasureGroup -> obi:0000299 -> pr:Q92600
shape_001040,vocabulary:MeasureGroup,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#MeasureGroup,obi:0000299,http://purl.obolibrary.org/obo/OBI_0000299,pr:Q6NYC1,http://purl.obolibrary.org/obo/PR_Q6NYC1,1939584,0,0,0.0,0.0,vocabulary:MeasureGroup -> obi:0000299 -> pr:Q6NYC1
shape_001041,vocabulary:MeasureGroup,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#MeasureGroup,obi:0000299,http://purl.obolibrary.org/obo/OBI_0000299,pr:Q6Y7W6,http://purl.obolibrary.org/obo/PR_Q6Y7W6,1939584,0,0,0.0,0.0,vocabulary:MeasureGroup -> obi:0000299 -> pr:Q6Y7W6
