shape_id,subject_class,subject_uri,property,property_uri,object_class,object_uri,total_entities,participating_entities,occurrence_count,coverage_ratio,coverage_percent,shape_pattern,error
shape_000000,patent:Publication,http://data.epo.org/linked-data/def/patent/Publication,patent:applicantVC,http://data.epo.org/linked-data/def/patent/applicantVC,patent:Publication,http://data.epo.org/linked-data/def/patent/Publication,90600027,0.0,0,0.0,0.0,patent:Publication -> patent:applicantVC -> patent:Publication,
shape_000001,patent:Publication,http://data.epo.org/linked-data/def/patent/Publication,patent:applicantVC,http://data.epo.org/linked-data/def/patent/applicantVC,owl:Class,http://www.w3.org/2002/07/owl#Class,90600027,0.0,0,0.0,0.0,patent:Publication -> patent:applicantVC -> owl:Class,
shape_000002,patent:Publication,http://data.epo.org/linked-data/def/patent/Publication,patent:applicantVC,http://data.epo.org/linked-data/def/patent/applicantVC,vocabulary:Patent,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Patent,90600027,0.0,0,0.0,0.0,patent:Publication -> patent:applicantVC -> vocabulary:Patent,
shape_000003,patent:Publication,http://data.epo.org/linked-data/def/patent/Publication,patent:applicantVC,http://data.epo.org/linked-data/def/patent/applicantVC,vocabulary:PatentAssignee,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#PatentAssignee,90600027,,0,0.0,0.0,patent:Publication -> patent:applicantVC -> vocabulary:PatentAssignee,"Query failed after 3 attempts: HTTPSConnectionPool(host='idsm.elixir-czech.cz', port=443): Read timed out. (read timeout=60.0)"
shape_000004,patent:Publication,http://data.epo.org/linked-data/def/patent/Publication,patent:applicantVC,http://data.epo.org/linked-data/def/patent/applicantVC,vocabulary:PatentInventor,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#PatentInventor,90600027,0.0,0,0.0,0.0,patent:Publication -> patent:applicantVC -> vocabulary:PatentInventor,
shape_000005,vocabulary:Patent,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Patent,patent:applicantVC,http://data.epo.org/linked-data/def/patent/applicantVC,patent:Publication,http://data.epo.org/linked-data/def/patent/Publication,90600027,0.0,0,0.0,0.0,vocabulary:Patent -> patent:applicantVC -> patent:Publication,
shape_000006,vocabulary:Patent,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Patent,patent:applicantVC,http://data.epo.org/linked-data/def/patent/applicantVC,owl:Class,http://www.w3.org/2002/07/owl#Class,90600027,0.0,0,0.0,0.0,vocabulary:Patent -> patent:applicantVC -> owl:Class,
shape_000007,vocabulary:Patent,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Patent,patent:applicantVC,http://data.epo.org/linked-data/def/patent/applicantVC,vocabulary:Patent,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Patent,90600027,0.0,0,0.0,0.0,vocabulary:Patent -> patent:applicantVC -> vocabulary:Patent,
shape_000008,vocabulary:Patent,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Patent,patent:applicantVC,http://data.epo.org/linked-data/def/patent/applicantVC,vocabulary:PatentAssignee,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#PatentAssignee,90600027,,0,0.0,0.0,vocabulary:Patent -> patent:applicantVC -> vocabulary:PatentAssignee,"Query failed after 3 attempts: HTTPSConnectionPool(host='idsm.elixir-czech.cz', port=443): Read timed out. (read timeout=60.0)"
shape_000009,vocabulary:Patent,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Patent,patent:applicantVC,http://data.epo.org/linked-data/def/patent/applicantVC,vocabulary:PatentInventor,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#PatentInventor,90600027,0.0,0,0.0,0.0,vocabulary:Patent -> patent:applicantVC -> vocabulary:PatentInventor,
shape_000010,patent:Publication,http://data.epo.org/linked-data/def/patent/Publication,patent:inventorVC,http://data.epo.org/linked-data/def/patent/inventorVC,patent:Publication,http://data.epo.org/linked-data/def/patent/Publication,90600027,0.0,0,0.0,0.0,patent:Publication -> patent:inventorVC -> patent:Publication,
shape_000011,patent:Publication,http://data.epo.org/linked-data/def/patent/Publication,patent:inventorVC,http://data.epo.org/linked-data/def/patent/inventorVC,owl:Class,http://www.w3.org/2002/07/owl#Class,90600027,0.0,0,0.0,0.0,patent:Publication -> patent:inventorVC -> owl:Class,
shape_000012,patent:Publication,http://data.epo.org/linked-data/def/patent/Publication,patent:inventorVC,http://data.epo.org/linked-data/def/patent/inventorVC,vocabulary:Patent,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Patent,90600027,0.0,0,0.0,0.0,patent:Publication -> patent:inventorVC -> vocabulary:Patent,
shape_000013,patent:Publication,http://data.epo.org/linked-data/def/patent/Publication,patent:inventorVC,http://data.epo.org/linked-data/def/patent/inventorVC,vocabulary:PatentAssignee,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#PatentAssignee,90600027,0.0,0,0.0,0.0,patent:Publication -> patent:inventorVC -> vocabulary:PatentAssignee,
shape_000014,patent:Publication,http://data.epo.org/linked-data/def/patent/Publication,patent:inventorVC,http://data.epo.org/linked-data/def/patent/inventorVC,vocabulary:PatentInventor,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#PatentInventor,90600027,,0,0.0,0.0,patent:Publication -> patent:inventorVC -> vocabulary:PatentInventor,"Query failed after 3 attempts: HTTPSConnectionPool(host='idsm.elixir-czech.cz', port=443): Read timed out. (read timeout=60.0)"
shape_000015,vocabulary:Patent,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Patent,patent:inventorVC,http://data.epo.org/linked-data/def/patent/inventorVC,patent:Publication,http://data.epo.org/linked-data/def/patent/Publication,90600027,0.0,0,0.0,0.0,vocabulary:Patent -> patent:inventorVC -> patent:Publication,
shape_000016,vocabulary:Patent,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Patent,patent:inventorVC,http://data.epo.org/linked-data/def/patent/inventorVC,owl:Class,http://www.w3.org/2002/07/owl#Class,90600027,0.0,0,0.0,0.0,vocabulary:Patent -> patent:inventorVC -> owl:Class,
shape_000017,vocabulary:Patent,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Patent,patent:inventorVC,http://data.epo.org/linked-data/def/patent/inventorVC,vocabulary:Patent,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Patent,90600027,0.0,0,0.0,0.0,vocabulary:Patent -> patent:inventorVC -> vocabulary:Patent,
shape_000018,vocabulary:Patent,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Patent,patent:inventorVC,http://data.epo.org/linked-data/def/patent/inventorVC,vocabulary:PatentAssignee,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#PatentAssignee,90600027,0.0,0,0.0,0.0,vocabulary:Patent -> patent:inventorVC -> vocabulary:PatentAssignee,
shape_000019,vocabulary:Patent,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Patent,patent:inventorVC,http://data.epo.org/linked-data/def/patent/inventorVC,vocabulary:PatentInventor,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#PatentInventor,90600027,,0,0.0,0.0,vocabulary:Patent -> patent:inventorVC -> vocabulary:PatentInventor,"Query failed after 3 attempts: HTTPSConnectionPool(host='idsm.elixir-czech.cz', port=443): Read timed out. (read timeout=60.0)"
shape_000020,patent:Publication,http://data.epo.org/linked-data/def/patent/Publication,cito:isCitedBy,http://purl.org/spar/cito/isCitedBy,patent:Publication,http://data.epo.org/linked-data/def/patent/Publication,90600027,,0,0.0,0.0,patent:Publication -> cito:isCitedBy -> patent:Publication,"Query failed after 3 attempts: HTTPSConnectionPool(host='idsm.elixir-czech.cz', port=443): Read timed out. (read timeout=60.0)"
shape_000021,patent:Publication,http://data.epo.org/linked-data/def/patent/Publication,cito:isCitedBy,http://purl.org/spar/cito/isCitedBy,owl:Class,http://www.w3.org/2002/07/owl#Class,90600027,0.0,0,0.0,0.0,patent:Publication -> cito:isCitedBy -> owl:Class,
shape_000022,patent:Publication,http://data.epo.org/linked-data/def/patent/Publication,cito:isCitedBy,http://purl.org/spar/cito/isCitedBy,vocabulary:Patent,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Patent,90600027,,0,0.0,0.0,patent:Publication -> cito:isCitedBy -> vocabulary:Patent,"Query failed after 3 attempts: HTTPSConnectionPool(host='idsm.elixir-czech.cz', port=443): Read timed out. (read timeout=60.0)"
shape_000023,patent:Publication,http://data.epo.org/linked-data/def/patent/Publication,cito:isCitedBy,http://purl.org/spar/cito/isCitedBy,vocabulary:PatentAssignee,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#PatentAssignee,90600027,0.0,0,0.0,0.0,patent:Publication -> cito:isCitedBy -> vocabulary:PatentAssignee,
