shape_id,subject_class,subject_uri,property,property_uri,object_class,object_uri,total_entities,participating_entities,occurrence_count,coverage_ratio,coverage_percent,shape_pattern
shape_000898,vocabulary:Pathway,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Pathway,biopaxleve:pathwayComponent,http://www.biopax.org/release/biopax-level3.owl#pathwayComponent,biopaxleve:Pathway,http://www.biopax.org/release/biopax-level3.owl#Pathway,85909,3267,3267,0.038,3.8,vocabulary:Pathway -> biopaxleve:pathwayComponent -> biopaxleve:Pathway
shape_000705,vocabulary:Pathway,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Pathway,biopaxleve:pathwayComponent,http://www.biopax.org/release/biopax-level3.owl#pathwayComponent,vocabulary:Pathway,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Pathway,85909,3267,3267,0.038,3.8,vocabulary:Pathway -> biopaxleve:pathwayComponent -> vocabulary:Pathway
shape_001005,biopaxleve:Pathway,http://www.biopax.org/release/biopax-level3.owl#Pathway,biopaxleve:pathwayComponent,http://www.biopax.org/release/biopax-level3.owl#pathwayComponent,vocabulary:Pathway,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Pathway,85909,3267,3267,0.038,3.8,biopaxleve:Pathway -> biopaxleve:pathwayComponent -> vocabulary:Pathway
shape_001198,biopaxleve:Pathway,http://www.biopax.org/release/biopax-level3.owl#Pathway,biopaxleve:pathwayComponent,http://www.biopax.org/release/biopax-level3.owl#pathwayComponent,biopaxleve:Pathway,http://www.biopax.org/release/biopax-level3.owl#Pathway,85909,3267,3267,0.038,3.8,biopaxleve:Pathway -> biopaxleve:pathwayComponent -> biopaxleve:Pathway
shape_001207,vocabulary:Pathway,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Pathway,ro:0000057,http://purl.obolibrary.org/obo/RO_0000057,chebi:57375,http://purl.obolibrary.org/obo/CHEBI_57375,85909,0,0,0.0,0.0,vocabulary:Pathway -> ro:0000057 -> chebi:57375
shape_001206,vocabulary:Pathway,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Pathway,ro:0000057,http://purl.obolibrary.org/obo/RO_0000057,pr:O04196,http://purl.obolibrary.org/obo/PR_O04196,85909,0,0,0.0,0.0,vocabulary:Pathway -> ro:0000057 -> pr:O04196
shape_001205,vocabulary:Pathway,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Pathway,ro:0000057,http://purl.obolibrary.org/obo/RO_0000057,pr:000005161,http://purl.obolibrary.org/obo/PR_000005161,85909,0,0,0.0,0.0,vocabulary:Pathway -> ro:0000057 -> pr:000005161
shape_001204,vocabulary:Pathway,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Pathway,ro:0000057,http://purl.obolibrary.org/obo/RO_0000057,chebi:89392,http://purl.obolibrary.org/obo/CHEBI_89392,85909,0,0,0.0,0.0,vocabulary:Pathway -> ro:0000057 -> chebi:89392
shape_001203,vocabulary:Pathway,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Pathway,ro:0000057,http://purl.obolibrary.org/obo/RO_0000057,pr:Q15910,http://purl.obolibrary.org/obo/PR_Q15910,85909,0,0,0.0,0.0,vocabulary:Pathway -> ro:0000057 -> pr:Q15910
shape_001202,vocabulary:Pathway,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Pathway,ro:0000057,http://purl.obolibrary.org/obo/RO_0000057,pr:Q9NXH9,http://purl.obolibrary.org/obo/PR_Q9NXH9,85909,0,0,0.0,0.0,vocabulary:Pathway -> ro:0000057 -> pr:Q9NXH9
shape_001201,vocabulary:Pathway,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Pathway,ro:0000057,http://purl.obolibrary.org/obo/RO_0000057,pr:000011574,http://purl.obolibrary.org/obo/PR_000011574,85909,0,0,0.0,0.0,vocabulary:Pathway -> ro:0000057 -> pr:000011574
shape_001200,vocabulary:Pathway,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Pathway,ro:0000057,http://purl.obolibrary.org/obo/RO_0000057,snomedct:13784005,http://purl.bioontology.org/ontology/SNOMEDCT/13784005,85909,0,0,0.0,0.0,vocabulary:Pathway -> ro:0000057 -> snomedct:13784005
shape_001199,biopaxleve:Pathway,http://www.biopax.org/release/biopax-level3.owl#Pathway,biopaxleve:pathwayComponent,http://www.biopax.org/release/biopax-level3.owl#pathwayComponent,pr:P54257,http://purl.obolibrary.org/obo/PR_P54257,85909,0,0,0.0,0.0,biopaxleve:Pathway -> biopaxleve:pathwayComponent -> pr:P54257
shape_001197,biopaxleve:Pathway,http://www.biopax.org/release/biopax-level3.owl#Pathway,biopaxleve:pathwayComponent,http://www.biopax.org/release/biopax-level3.owl#pathwayComponent,pr:Q86VF5,http://purl.obolibrary.org/obo/PR_Q86VF5,85909,0,0,0.0,0.0,biopaxleve:Pathway -> biopaxleve:pathwayComponent -> pr:Q86VF5
shape_001196,biopaxleve:Pathway,http://www.biopax.org/release/biopax-level3.owl#Pathway,biopaxleve:pathwayComponent,http://www.biopax.org/release/biopax-level3.owl#pathwayComponent,pr:000022123,http://purl.obolibrary.org/obo/PR_000022123,85909,0,0,0.0,0.0,biopaxleve:Pathway -> biopaxleve:pathwayComponent -> pr:000022123
shape_001195,biopaxleve:Pathway,http://www.biopax.org/release/biopax-level3.owl#Pathway,biopaxleve:pathwayComponent,http://www.biopax.org/release/biopax-level3.owl#pathwayComponent,ndfrt:N00179671,http://purl.bioontology.org/ontology/NDFRT/N00179671,85909,0,0,0.0,0.0,biopaxleve:Pathway -> biopaxleve:pathwayComponent -> ndfrt:N00179671
shape_001208,vocabulary:Pathway,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Pathway,ro:0000057,http://purl.obolibrary.org/obo/RO_0000057,snomedct:57845006,http://purl.bioontology.org/ontology/SNOMEDCT/57845006,85909,0,0,0.0,0.0,vocabulary:Pathway -> ro:0000057 -> snomedct:57845006
shape_001193,biopaxleve:Pathway,http://www.biopax.org/release/biopax-level3.owl#Pathway,biopaxleve:pathwayComponent,http://www.biopax.org/release/biopax-level3.owl#pathwayComponent,pr:000006143,http://purl.obolibrary.org/obo/PR_000006143,85909,0,0,0.0,0.0,biopaxleve:Pathway -> biopaxleve:pathwayComponent -> pr:000006143
shape_001192,biopaxleve:Pathway,http://www.biopax.org/release/biopax-level3.owl#Pathway,biopaxleve:pathwayComponent,http://www.biopax.org/release/biopax-level3.owl#pathwayComponent,pr:000016058,http://purl.obolibrary.org/obo/PR_000016058,85909,0,0,0.0,0.0,biopaxleve:Pathway -> biopaxleve:pathwayComponent -> pr:000016058
shape_001191,biopaxleve:Pathway,http://www.biopax.org/release/biopax-level3.owl#Pathway,biopaxleve:pathwayComponent,http://www.biopax.org/release/biopax-level3.owl#pathwayComponent,pr:Q9LXX5,http://purl.obolibrary.org/obo/PR_Q9LXX5,85909,0,0,0.0,0.0,biopaxleve:Pathway -> biopaxleve:pathwayComponent -> pr:Q9LXX5
shape_001190,biopaxleve:Pathway,http://www.biopax.org/release/biopax-level3.owl#Pathway,biopaxleve:pathwayComponent,http://www.biopax.org/release/biopax-level3.owl#pathwayComponent,chebi:18131,http://purl.obolibrary.org/obo/CHEBI_18131,85909,0,0,0.0,0.0,biopaxleve:Pathway -> biopaxleve:pathwayComponent -> chebi:18131
shape_001189,biopaxleve:Pathway,http://www.biopax.org/release/biopax-level3.owl#Pathway,biopaxleve:pathwayComponent,http://www.biopax.org/release/biopax-level3.owl#pathwayComponent,pr:P22265,http://purl.obolibrary.org/obo/PR_P22265,85909,0,0,0.0,0.0,biopaxleve:Pathway -> biopaxleve:pathwayComponent -> pr:P22265
shape_001188,biopaxleve:Pathway,http://www.biopax.org/release/biopax-level3.owl#Pathway,biopaxleve:pathwayComponent,http://www.biopax.org/release/biopax-level3.owl#pathwayComponent,chebi:2676,http://purl.obolibrary.org/obo/CHEBI_2676,85909,0,0,0.0,0.0,biopaxleve:Pathway -> biopaxleve:pathwayComponent -> chebi:2676
shape_001187,biopaxleve:Pathway,http://www.biopax.org/release/biopax-level3.owl#Pathway,biopaxleve:pathwayComponent,http://www.biopax.org/release/biopax-level3.owl#pathwayComponent,pr:000010367,http://purl.obolibrary.org/obo/PR_000010367,85909,0,0,0.0,0.0,biopaxleve:Pathway -> biopaxleve:pathwayComponent -> pr:000010367
shape_001186,biopaxleve:Pathway,http://www.biopax.org/release/biopax-level3.owl#Pathway,biopaxleve:pathwayComponent,http://www.biopax.org/release/biopax-level3.owl#pathwayComponent,pr:P11926,http://purl.obolibrary.org/obo/PR_P11926,85909,0,0,0.0,0.0,biopaxleve:Pathway -> biopaxleve:pathwayComponent -> pr:P11926
shape_001185,biopaxleve:Pathway,http://www.biopax.org/release/biopax-level3.owl#Pathway,biopaxleve:pathwayComponent,http://www.biopax.org/release/biopax-level3.owl#pathwayComponent,snomedct:19232009,http://purl.bioontology.org/ontology/SNOMEDCT/19232009,85909,0,0,0.0,0.0,biopaxleve:Pathway -> biopaxleve:pathwayComponent -> snomedct:19232009
shape_001184,biopaxleve:Pathway,http://www.biopax.org/release/biopax-level3.owl#Pathway,biopaxleve:pathwayComponent,http://www.biopax.org/release/biopax-level3.owl#pathwayComponent,pr:P37180,http://purl.obolibrary.org/obo/PR_P37180,85909,0,0,0.0,0.0,biopaxleve:Pathway -> biopaxleve:pathwayComponent -> pr:P37180
shape_001183,biopaxleve:Pathway,http://www.biopax.org/release/biopax-level3.owl#Pathway,biopaxleve:pathwayComponent,http://www.biopax.org/release/biopax-level3.owl#pathwayComponent,chebi:17432,http://purl.obolibrary.org/obo/CHEBI_17432,85909,0,0,0.0,0.0,biopaxleve:Pathway -> biopaxleve:pathwayComponent -> chebi:17432
shape_001182,biopaxleve:Pathway,http://www.biopax.org/release/biopax-level3.owl#Pathway,biopaxleve:pathwayComponent,http://www.biopax.org/release/biopax-level3.owl#pathwayComponent,pr:O75937,http://purl.obolibrary.org/obo/PR_O75937,85909,0,0,0.0,0.0,biopaxleve:Pathway -> biopaxleve:pathwayComponent -> pr:O75937
shape_001194,biopaxleve:Pathway,http://www.biopax.org/release/biopax-level3.owl#Pathway,biopaxleve:pathwayComponent,http://www.biopax.org/release/biopax-level3.owl#pathwayComponent,pr:000023335,http://purl.obolibrary.org/obo/PR_000023335,85909,0,0,0.0,0.0,biopaxleve:Pathway -> biopaxleve:pathwayComponent -> pr:000023335
shape_001235,vocabulary:Pathway,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Pathway,ro:0000057,http://purl.obolibrary.org/obo/RO_0000057,pr:Q16653,http://purl.obolibrary.org/obo/PR_Q16653,85909,0,0,0.0,0.0,vocabulary:Pathway -> ro:0000057 -> pr:Q16653
shape_001234,vocabulary:Pathway,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Pathway,ro:0000057,http://purl.obolibrary.org/obo/RO_0000057,pr:000008564,http://purl.obolibrary.org/obo/PR_000008564,85909,0,0,0.0,0.0,vocabulary:Pathway -> ro:0000057 -> pr:000008564
shape_001233,vocabulary:Pathway,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Pathway,ro:0000057,http://purl.obolibrary.org/obo/RO_0000057,ncit:C66188,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C66188,85909,0,0,0.0,0.0,vocabulary:Pathway -> ro:0000057 -> ncit:C66188
shape_001232,vocabulary:Pathway,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Pathway,ro:0000057,http://purl.obolibrary.org/obo/RO_0000057,chebi:30830,http://purl.obolibrary.org/obo/CHEBI_30830,85909,0,0,0.0,0.0,vocabulary:Pathway -> ro:0000057 -> chebi:30830
shape_001231,vocabulary:Pathway,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Pathway,ro:0000057,http://purl.obolibrary.org/obo/RO_0000057,pr:Q6IEE7,http://purl.obolibrary.org/obo/PR_Q6IEE7,85909,0,0,0.0,0.0,vocabulary:Pathway -> ro:0000057 -> pr:Q6IEE7
shape_001230,vocabulary:Pathway,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Pathway,ro:0000057,http://purl.obolibrary.org/obo/RO_0000057,pr:Q53FT3,http://purl.obolibrary.org/obo/PR_Q53FT3,85909,0,0,0.0,0.0,vocabulary:Pathway -> ro:0000057 -> pr:Q53FT3
shape_001229,vocabulary:Pathway,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Pathway,ro:0000057,http://purl.obolibrary.org/obo/RO_0000057,chebi:165349,http://purl.obolibrary.org/obo/CHEBI_165349,85909,0,0,0.0,0.0,vocabulary:Pathway -> ro:0000057 -> chebi:165349
shape_001228,vocabulary:Pathway,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Pathway,ro:0000057,http://purl.obolibrary.org/obo/RO_0000057,pr:Q5VV67,http://purl.obolibrary.org/obo/PR_Q5VV67,85909,0,0,0.0,0.0,vocabulary:Pathway -> ro:0000057 -> pr:Q5VV67
shape_001227,vocabulary:Pathway,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Pathway,ro:0000057,http://purl.obolibrary.org/obo/RO_0000057,pr:000023113,http://purl.obolibrary.org/obo/PR_000023113,85909,0,0,0.0,0.0,vocabulary:Pathway -> ro:0000057 -> pr:000023113
shape_001226,vocabulary:Pathway,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Pathway,ro:0000057,http://purl.obolibrary.org/obo/RO_0000057,chebi:142886,http://purl.obolibrary.org/obo/CHEBI_142886,85909,0,0,0.0,0.0,vocabulary:Pathway -> ro:0000057 -> chebi:142886
shape_001225,vocabulary:Pathway,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Pathway,ro:0000057,http://purl.obolibrary.org/obo/RO_0000057,pr:000001388,http://purl.obolibrary.org/obo/PR_000001388,85909,0,0,0.0,0.0,vocabulary:Pathway -> ro:0000057 -> pr:000001388
shape_001224,vocabulary:Pathway,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Pathway,ro:0000057,http://purl.obolibrary.org/obo/RO_0000057,pr:P06454,http://purl.obolibrary.org/obo/PR_P06454,85909,0,0,0.0,0.0,vocabulary:Pathway -> ro:0000057 -> pr:P06454
shape_001223,vocabulary:Pathway,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Pathway,ro:0000057,http://purl.obolibrary.org/obo/RO_0000057,chebi:170999,http://purl.obolibrary.org/obo/CHEBI_170999,85909,0,0,0.0,0.0,vocabulary:Pathway -> ro:0000057 -> chebi:170999
shape_001209,vocabulary:Pathway,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Pathway,ro:0000057,http://purl.obolibrary.org/obo/RO_0000057,pr:000009130,http://purl.obolibrary.org/obo/PR_000009130,85909,0,0,0.0,0.0,vocabulary:Pathway -> ro:0000057 -> pr:000009130
shape_001221,vocabulary:Pathway,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Pathway,ro:0000057,http://purl.obolibrary.org/obo/RO_0000057,ncit:C372,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C372,85909,0,0,0.0,0.0,vocabulary:Pathway -> ro:0000057 -> ncit:C372
shape_001220,vocabulary:Pathway,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Pathway,ro:0000057,http://purl.obolibrary.org/obo/RO_0000057,pr:Q9BYC5,http://purl.obolibrary.org/obo/PR_Q9BYC5,85909,0,0,0.0,0.0,vocabulary:Pathway -> ro:0000057 -> pr:Q9BYC5
shape_001219,vocabulary:Pathway,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Pathway,ro:0000057,http://purl.obolibrary.org/obo/RO_0000057,pr:P19419,http://purl.obolibrary.org/obo/PR_P19419,85909,0,0,0.0,0.0,vocabulary:Pathway -> ro:0000057 -> pr:P19419
shape_001218,vocabulary:Pathway,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Pathway,ro:0000057,http://purl.obolibrary.org/obo/RO_0000057,pr:P53757,http://purl.obolibrary.org/obo/PR_P53757,85909,0,0,0.0,0.0,vocabulary:Pathway -> ro:0000057 -> pr:P53757
shape_001217,vocabulary:Pathway,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Pathway,ro:0000057,http://purl.obolibrary.org/obo/RO_0000057,chebi:176511,http://purl.obolibrary.org/obo/CHEBI_176511,85909,0,0,0.0,0.0,vocabulary:Pathway -> ro:0000057 -> chebi:176511
shape_001216,vocabulary:Pathway,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Pathway,ro:0000057,http://purl.obolibrary.org/obo/RO_0000057,pr:Q93841,http://purl.obolibrary.org/obo/PR_Q93841,85909,0,0,0.0,0.0,vocabulary:Pathway -> ro:0000057 -> pr:Q93841
shape_001215,vocabulary:Pathway,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Pathway,ro:0000057,http://purl.obolibrary.org/obo/RO_0000057,chebi:62377,http://purl.obolibrary.org/obo/CHEBI_62377,85909,0,0,0.0,0.0,vocabulary:Pathway -> ro:0000057 -> chebi:62377
shape_001214,vocabulary:Pathway,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Pathway,ro:0000057,http://purl.obolibrary.org/obo/RO_0000057,snomedct:101895006,http://purl.bioontology.org/ontology/SNOMEDCT/101895006,85909,0,0,0.0,0.0,vocabulary:Pathway -> ro:0000057 -> snomedct:101895006
shape_001213,vocabulary:Pathway,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Pathway,ro:0000057,http://purl.obolibrary.org/obo/RO_0000057,pr:000022191,http://purl.obolibrary.org/obo/PR_000022191,85909,0,0,0.0,0.0,vocabulary:Pathway -> ro:0000057 -> pr:000022191
shape_001212,vocabulary:Pathway,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Pathway,ro:0000057,http://purl.obolibrary.org/obo/RO_0000057,snomedct:102654008,http://purl.bioontology.org/ontology/SNOMEDCT/102654008,85909,0,0,0.0,0.0,vocabulary:Pathway -> ro:0000057 -> snomedct:102654008
shape_001211,vocabulary:Pathway,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Pathway,ro:0000057,http://purl.obolibrary.org/obo/RO_0000057,pr:Q9JHE3,http://purl.obolibrary.org/obo/PR_Q9JHE3,85909,0,0,0.0,0.0,vocabulary:Pathway -> ro:0000057 -> pr:Q9JHE3
shape_001210,vocabulary:Pathway,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Pathway,ro:0000057,http://purl.obolibrary.org/obo/RO_0000057,pr:000022266,http://purl.obolibrary.org/obo/PR_000022266,85909,0,0,0.0,0.0,vocabulary:Pathway -> ro:0000057 -> pr:000022266
shape_001181,biopaxleve:Pathway,http://www.biopax.org/release/biopax-level3.owl#Pathway,biopaxleve:pathwayComponent,http://www.biopax.org/release/biopax-level3.owl#pathwayComponent,snomedct:60760000,http://purl.bioontology.org/ontology/SNOMEDCT/60760000,85909,0,0,0.0,0.0,biopaxleve:Pathway -> biopaxleve:pathwayComponent -> snomedct:60760000
shape_001222,vocabulary:Pathway,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Pathway,ro:0000057,http://purl.obolibrary.org/obo/RO_0000057,pr:000001007,http://purl.obolibrary.org/obo/PR_000001007,85909,0,0,0.0,0.0,vocabulary:Pathway -> ro:0000057 -> pr:000001007
shape_001152,biopaxleve:Pathway,http://www.biopax.org/release/biopax-level3.owl#Pathway,biopaxleve:pathwayComponent,http://www.biopax.org/release/biopax-level3.owl#pathwayComponent,pr:000022574,http://purl.obolibrary.org/obo/PR_000022574,85909,0,0,0.0,0.0,biopaxleve:Pathway -> biopaxleve:pathwayComponent -> pr:000022574
shape_001151,biopaxleve:Pathway,http://www.biopax.org/release/biopax-level3.owl#Pathway,biopaxleve:pathwayComponent,http://www.biopax.org/release/biopax-level3.owl#pathwayComponent,snomedct:34217006,http://purl.bioontology.org/ontology/SNOMEDCT/34217006,85909,0,0,0.0,0.0,biopaxleve:Pathway -> biopaxleve:pathwayComponent -> snomedct:34217006
shape_001150,biopaxleve:Pathway,http://www.biopax.org/release/biopax-level3.owl#Pathway,biopaxleve:pathwayComponent,http://www.biopax.org/release/biopax-level3.owl#pathwayComponent,chebi:78026,http://purl.obolibrary.org/obo/CHEBI_78026,85909,0,0,0.0,0.0,biopaxleve:Pathway -> biopaxleve:pathwayComponent -> chebi:78026
shape_001149,biopaxleve:Pathway,http://www.biopax.org/release/biopax-level3.owl#Pathway,biopaxleve:pathwayComponent,http://www.biopax.org/release/biopax-level3.owl#pathwayComponent,chebi:16482,http://purl.obolibrary.org/obo/CHEBI_16482,85909,0,0,0.0,0.0,biopaxleve:Pathway -> biopaxleve:pathwayComponent -> chebi:16482
shape_001148,biopaxleve:Pathway,http://www.biopax.org/release/biopax-level3.owl#Pathway,biopaxleve:pathwayComponent,http://www.biopax.org/release/biopax-level3.owl#pathwayComponent,pr:000015265,http://purl.obolibrary.org/obo/PR_000015265,85909,0,0,0.0,0.0,biopaxleve:Pathway -> biopaxleve:pathwayComponent -> pr:000015265
