shape_id,subject_class,subject_uri,property,property_uri,object_class,object_uri,total_entities,participating_entities,occurrence_count,coverage_ratio,coverage_percent,shape_pattern
shape_000299,vocabulary:Reference,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Reference,vocabulary:discussesAsDerivedByTextMining,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#discussesAsDerivedByTextMining,snomedct:710809001,http://purl.bioontology.org/ontology/SNOMEDCT/710809001,42399032,0,0,0.0,0.0,vocabulary:Reference -> vocabulary:discussesAsDerivedByTextMining -> snomedct:710809001
shape_000000,vocabulary:Reference,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Reference,vocabulary:discussesAsDerivedByTextMining,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#discussesAsDerivedByTextMining,chebi:23,http://purl.obolibrary.org/obo/CHEBI_23,42399032,0,0,0.0,0.0,vocabulary:Reference -> vocabulary:discussesAsDerivedByTextMining -> chebi:23
shape_000001,vocabulary:Reference,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Reference,vocabulary:discussesAsDerivedByTextMining,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#discussesAsDerivedByTextMining,chebi:89,http://purl.obolibrary.org/obo/CHEBI_89,42399032,0,0,0.0,0.0,vocabulary:Reference -> vocabulary:discussesAsDerivedByTextMining -> chebi:89
shape_000002,vocabulary:Reference,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Reference,vocabulary:discussesAsDerivedByTextMining,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#discussesAsDerivedByTextMining,ncit:C297,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C297,42399032,0,0,0.0,0.0,vocabulary:Reference -> vocabulary:discussesAsDerivedByTextMining -> ncit:C297
shape_000003,vocabulary:Reference,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Reference,vocabulary:discussesAsDerivedByTextMining,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#discussesAsDerivedByTextMining,ncit:C372,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C372,42399032,0,0,0.0,0.0,vocabulary:Reference -> vocabulary:discussesAsDerivedByTextMining -> ncit:C372
shape_000004,vocabulary:Reference,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Reference,vocabulary:discussesAsDerivedByTextMining,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#discussesAsDerivedByTextMining,ncit:C628,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C628,42399032,0,0,0.0,0.0,vocabulary:Reference -> vocabulary:discussesAsDerivedByTextMining -> ncit:C628
shape_000005,vocabulary:Reference,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Reference,vocabulary:discussesAsDerivedByTextMining,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#discussesAsDerivedByTextMining,chebi:857,http://purl.obolibrary.org/obo/CHEBI_857,42399032,0,0,0.0,0.0,vocabulary:Reference -> vocabulary:discussesAsDerivedByTextMining -> chebi:857
shape_000006,vocabulary:Reference,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Reference,vocabulary:discussesAsDerivedByTextMining,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#discussesAsDerivedByTextMining,ncit:C977,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C977,42399032,0,0,0.0,0.0,vocabulary:Reference -> vocabulary:discussesAsDerivedByTextMining -> ncit:C977
shape_000007,vocabulary:Reference,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Reference,vocabulary:discussesAsDerivedByTextMining,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#discussesAsDerivedByTextMining,chebi:1098,http://purl.obolibrary.org/obo/CHEBI_1098,42399032,0,0,0.0,0.0,vocabulary:Reference -> vocabulary:discussesAsDerivedByTextMining -> chebi:1098
shape_000008,vocabulary:Reference,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Reference,vocabulary:discussesAsDerivedByTextMining,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#discussesAsDerivedByTextMining,ncit:C1197,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C1197,42399032,0,0,0.0,0.0,vocabulary:Reference -> vocabulary:discussesAsDerivedByTextMining -> ncit:C1197
shape_000009,vocabulary:Reference,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Reference,vocabulary:discussesAsDerivedByTextMining,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#discussesAsDerivedByTextMining,chebi:1307,http://purl.obolibrary.org/obo/CHEBI_1307,42399032,0,0,0.0,0.0,vocabulary:Reference -> vocabulary:discussesAsDerivedByTextMining -> chebi:1307
shape_000010,vocabulary:Reference,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Reference,vocabulary:discussesAsDerivedByTextMining,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#discussesAsDerivedByTextMining,ncit:C1315,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C1315,42399032,0,0,0.0,0.0,vocabulary:Reference -> vocabulary:discussesAsDerivedByTextMining -> ncit:C1315
