shape_id,subject_class,subject_uri,property,property_uri,object_class,object_uri,total_entities,participating_entities,occurrence_count,coverage_ratio,coverage_percent,shape_pattern
shape_000000,dcterms:Dataset,http://purl.org/dc/terms/Dataset,dcterms:subject,http://purl.org/dc/terms/subject,owl:Class,http://www.w3.org/2002/07/owl#Class,1080,0,0,0.0,0.0,dcterms:Dataset -> dcterms:subject -> owl:Class
shape_000001,dcterms:Dataset,http://purl.org/dc/terms/Dataset,dcterms:subject,http://purl.org/dc/terms/subject,skos:Concept,http://www.w3.org/2004/02/skos/core#Concept,1080,0,0,0.0,0.0,dcterms:Dataset -> dcterms:subject -> skos:Concept
shape_000002,dcterms:Dataset,http://purl.org/dc/terms/Dataset,dcterms:subject,http://purl.org/dc/terms/subject,vocabulary:Concept,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Concept,1080,0,0,0.0,0.0,dcterms:Dataset -> dcterms:subject -> vocabulary:Concept
shape_000003,vocabulary:Source,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Source,dcterms:subject,http://purl.org/dc/terms/subject,owl:Class,http://www.w3.org/2002/07/owl#Class,1080,0,0,0.0,0.0,vocabulary:Source -> dcterms:subject -> owl:Class
shape_000004,vocabulary:Source,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Source,dcterms:subject,http://purl.org/dc/terms/subject,skos:Concept,http://www.w3.org/2004/02/skos/core#Concept,1080,0,0,0.0,0.0,vocabulary:Source -> dcterms:subject -> skos:Concept
shape_000005,vocabulary:Source,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Source,dcterms:subject,http://purl.org/dc/terms/subject,vocabulary:Concept,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Concept,1080,0,0,0.0,0.0,vocabulary:Source -> dcterms:subject -> vocabulary:Concept
shape_000006,dcterms:Dataset,http://purl.org/dc/terms/Dataset,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,owl:Class,http://www.w3.org/2002/07/owl#Class,1080,0,0,0.0,0.0,dcterms:Dataset -> rdf:type -> owl:Class
shape_000007,dcterms:Dataset,http://purl.org/dc/terms/Dataset,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,skos:Concept,http://www.w3.org/2004/02/skos/core#Concept,1080,0,0,0.0,0.0,dcterms:Dataset -> rdf:type -> skos:Concept
shape_000008,dcterms:Dataset,http://purl.org/dc/terms/Dataset,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,vocabulary:Concept,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Concept,1080,0,0,0.0,0.0,dcterms:Dataset -> rdf:type -> vocabulary:Concept
shape_000009,vocabulary:Source,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Source,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,owl:Class,http://www.w3.org/2002/07/owl#Class,1080,0,0,0.0,0.0,vocabulary:Source -> rdf:type -> owl:Class
shape_000010,vocabulary:Source,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Source,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,skos:Concept,http://www.w3.org/2004/02/skos/core#Concept,1080,0,0,0.0,0.0,vocabulary:Source -> rdf:type -> skos:Concept
shape_000011,vocabulary:Source,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Source,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,vocabulary:Concept,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Concept,1080,0,0,0.0,0.0,vocabulary:Source -> rdf:type -> vocabulary:Concept
