shape_id,subject_class,subject_uri,property,property_uri,object_class,object_uri,total_entities,participating_entities,occurrence_count,coverage_ratio,coverage_percent,shape_pattern
shape_000299,chebi:391960,http://purl.obolibrary.org/obo/CHEBI_391960,cito:isDiscussedBy,http://purl.org/spar/cito/isDiscussedBy,vocabulary:Reference,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Reference,108,0,0,0.0,0.0,chebi:391960 -> cito:isDiscussedBy -> vocabulary:Reference
shape_000000,chebi:168,http://purl.obolibrary.org/obo/CHEBI_168,cito:isDiscussedBy,http://purl.org/spar/cito/isDiscussedBy,vocabulary:Reference,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Reference,61,0,0,0.0,0.0,chebi:168 -> cito:isDiscussedBy -> vocabulary:Reference
shape_000001,chebi:1445,http://purl.obolibrary.org/obo/CHEBI_1445,cito:isDiscussedBy,http://purl.org/spar/cito/isDiscussedBy,vocabulary:Reference,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Reference,46,0,0,0.0,0.0,chebi:1445 -> cito:isDiscussedBy -> vocabulary:Reference
shape_000002,chebi:2120,http://purl.obolibrary.org/obo/CHEBI_2120,cito:isDiscussedBy,http://purl.org/spar/cito/isDiscussedBy,vocabulary:Reference,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Reference,90,0,0,0.0,0.0,chebi:2120 -> cito:isDiscussedBy -> vocabulary:Reference
shape_000003,chebi:2670,http://purl.obolibrary.org/obo/CHEBI_2670,cito:isDiscussedBy,http://purl.org/spar/cito/isDiscussedBy,vocabulary:Reference,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Reference,46,0,0,0.0,0.0,chebi:2670 -> cito:isDiscussedBy -> vocabulary:Reference
shape_000004,chebi:2952,http://purl.obolibrary.org/obo/CHEBI_2952,cito:isDiscussedBy,http://purl.org/spar/cito/isDiscussedBy,vocabulary:Reference,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Reference,43,0,0,0.0,0.0,chebi:2952 -> cito:isDiscussedBy -> vocabulary:Reference
shape_000005,chebi:3084,http://purl.obolibrary.org/obo/CHEBI_3084,cito:isDiscussedBy,http://purl.org/spar/cito/isDiscussedBy,vocabulary:Reference,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Reference,131,0,0,0.0,0.0,chebi:3084 -> cito:isDiscussedBy -> vocabulary:Reference
shape_000006,chebi:3495,http://purl.obolibrary.org/obo/CHEBI_3495,cito:isDiscussedBy,http://purl.org/spar/cito/isDiscussedBy,vocabulary:Reference,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Reference,140,0,0,0.0,0.0,chebi:3495 -> cito:isDiscussedBy -> vocabulary:Reference
shape_000007,chebi:3654,http://purl.obolibrary.org/obo/CHEBI_3654,cito:isDiscussedBy,http://purl.org/spar/cito/isDiscussedBy,vocabulary:Reference,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Reference,260,0,0,0.0,0.0,chebi:3654 -> cito:isDiscussedBy -> vocabulary:Reference
shape_000008,chebi:4779,http://purl.obolibrary.org/obo/CHEBI_4779,cito:isDiscussedBy,http://purl.org/spar/cito/isDiscussedBy,vocabulary:Reference,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Reference,129,0,0,0.0,0.0,chebi:4779 -> cito:isDiscussedBy -> vocabulary:Reference
shape_000009,chebi:4893,http://purl.obolibrary.org/obo/CHEBI_4893,cito:isDiscussedBy,http://purl.org/spar/cito/isDiscussedBy,vocabulary:Reference,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Reference,254,0,0,0.0,0.0,chebi:4893 -> cito:isDiscussedBy -> vocabulary:Reference
shape_000010,chebi:6070,http://purl.obolibrary.org/obo/CHEBI_6070,cito:isDiscussedBy,http://purl.org/spar/cito/isDiscussedBy,vocabulary:Reference,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Reference,66,0,0,0.0,0.0,chebi:6070 -> cito:isDiscussedBy -> vocabulary:Reference
shape_000283,chebi:214208,http://purl.obolibrary.org/obo/CHEBI_214208,cito:isDiscussedBy,http://purl.org/spar/cito/isDiscussedBy,vocabulary:Reference,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Reference,34,0,0,0.0,0.0,chebi:214208 -> cito:isDiscussedBy -> vocabulary:Reference
