shape_id,subject_class,subject_uri,property,property_uri,object_class,object_uri,total_entities,participating_entities,occurrence_count,coverage_ratio,coverage_percent,shape_pattern
shape_000000,vocabulary:Taxonomy,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Taxonomy,cito:isDiscussedBy,http://purl.org/spar/cito/isDiscussedBy,mesh.vocab:Concept,http://id.nlm.nih.gov/mesh/vocab#Concept,329726,0,0,0.0,0.0,vocabulary:Taxonomy -> cito:isDiscussedBy -> mesh.vocab:Concept
shape_000001,vocabulary:Taxonomy,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Taxonomy,cito:isDiscussedBy,http://purl.org/spar/cito/isDiscussedBy,mesh.vocab:SCR_Organism,http://id.nlm.nih.gov/mesh/vocab#SCR_Organism,329726,0,0,0.0,0.0,vocabulary:Taxonomy -> cito:isDiscussedBy -> mesh.vocab:SCR_Organism
shape_000002,vocabulary:Taxonomy,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Taxonomy,cito:isDiscussedBy,http://purl.org/spar/cito/isDiscussedBy,mesh.vocab:TopicalDescriptor,http://id.nlm.nih.gov/mesh/vocab#TopicalDescriptor,329726,0,0,0.0,0.0,vocabulary:Taxonomy -> cito:isDiscussedBy -> mesh.vocab:TopicalDescriptor
shape_000003,vocabulary:Taxonomy,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Taxonomy,cito:isDiscussedBy,http://purl.org/spar/cito/isDiscussedBy,patent:Publication,http://data.epo.org/linked-data/def/patent/Publication,329726,0,0,0.0,0.0,vocabulary:Taxonomy -> cito:isDiscussedBy -> patent:Publication
shape_000004,vocabulary:Taxonomy,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Taxonomy,cito:isDiscussedBy,http://purl.org/spar/cito/isDiscussedBy,owl:Class,http://www.w3.org/2002/07/owl#Class,329726,0,0,0.0,0.0,vocabulary:Taxonomy -> cito:isDiscussedBy -> owl:Class
shape_000005,vocabulary:Taxonomy,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Taxonomy,cito:isDiscussedBy,http://purl.org/spar/cito/isDiscussedBy,vocabulary:Patent,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Patent,329726,0,0,0.0,0.0,vocabulary:Taxonomy -> cito:isDiscussedBy -> vocabulary:Patent
shape_000006,vocabulary:Taxonomy,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Taxonomy,cito:isDiscussedBy,http://purl.org/spar/cito/isDiscussedBy,vocabulary:Reference,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Reference,329726,0,0,0.0,0.0,vocabulary:Taxonomy -> cito:isDiscussedBy -> vocabulary:Reference
shape_000007,sio:010000,http://semanticscience.org/resource/SIO_010000,cito:isDiscussedBy,http://purl.org/spar/cito/isDiscussedBy,mesh.vocab:Concept,http://id.nlm.nih.gov/mesh/vocab#Concept,329726,0,0,0.0,0.0,sio:010000 -> cito:isDiscussedBy -> mesh.vocab:Concept
shape_000008,sio:010000,http://semanticscience.org/resource/SIO_010000,cito:isDiscussedBy,http://purl.org/spar/cito/isDiscussedBy,mesh.vocab:SCR_Organism,http://id.nlm.nih.gov/mesh/vocab#SCR_Organism,329726,0,0,0.0,0.0,sio:010000 -> cito:isDiscussedBy -> mesh.vocab:SCR_Organism
shape_000009,sio:010000,http://semanticscience.org/resource/SIO_010000,cito:isDiscussedBy,http://purl.org/spar/cito/isDiscussedBy,mesh.vocab:TopicalDescriptor,http://id.nlm.nih.gov/mesh/vocab#TopicalDescriptor,329726,0,0,0.0,0.0,sio:010000 -> cito:isDiscussedBy -> mesh.vocab:TopicalDescriptor
