shape_id,subject_class,subject_uri,property,property_uri,object_class,object_uri,total_entities,participating_entities,occurrence_count,coverage_ratio,coverage_percent,shape_pattern
shape_000001,so:0000830,http://bio2rdf.org/so:0000830,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,owl:Class,http://www.w3.org/2002/07/owl#Class,1280,1280,1280,1.0,100.0,so:0000830 -> rdf:type -> owl:Class
shape_000002,bio2rdf:sgd_vocabulary:Protein,http://bio2rdf.org/sgd_vocabulary:Protein,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,owl:Class,http://www.w3.org/2002/07/owl#Class,18303,18303,18303,1.0,100.0,bio2rdf:sgd_vocabulary:Protein -> rdf:type -> owl:Class
shape_000003,so:0000188,http://bio2rdf.org/so:0000188,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,owl:Class,http://www.w3.org/2002/07/owl#Class,377,377,377,1.0,100.0,so:0000188 -> rdf:type -> owl:Class
shape_000005,bio2rdf:goa_vocabulary:GO-Annotation,http://bio2rdf.org/goa_vocabulary:GO-Annotation,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,owl:Class,http://www.w3.org/2002/07/owl#Class,94948,94948,94948,1.0,100.0,bio2rdf:goa_vocabulary:GO-Annotation -> rdf:type -> owl:Class
shape_000009,bio2rdf:sgd_vocabulary:AspartateCount,http://bio2rdf.org/sgd_vocabulary:AspartateCount,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,bio2rdf:sgd_vocabulary:Resource,http://bio2rdf.org/sgd_vocabulary:Resource,6594,6594,6594,1.0,100.0,bio2rdf:sgd_vocabulary:AspartateCount -> rdf:type -> bio2rdf:sgd_vocabulary:Resource
shape_000008,bio2rdf:sgd_vocabulary:AromaticityScore,http://bio2rdf.org/sgd_vocabulary:AromaticityScore,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,bio2rdf:sgd_vocabulary:Resource,http://bio2rdf.org/sgd_vocabulary:Resource,6594,6594,6594,1.0,100.0,bio2rdf:sgd_vocabulary:AromaticityScore -> rdf:type -> bio2rdf:sgd_vocabulary:Resource
shape_000007,bio2rdf:sgd_vocabulary:AromaticityScore,http://bio2rdf.org/sgd_vocabulary:AromaticityScore,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,owl:Class,http://www.w3.org/2002/07/owl#Class,6594,6594,6594,1.0,100.0,bio2rdf:sgd_vocabulary:AromaticityScore -> rdf:type -> owl:Class
shape_000013,bio2rdf:sgd_vocabulary:LeucineCount,http://bio2rdf.org/sgd_vocabulary:LeucineCount,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,owl:Class,http://www.w3.org/2002/07/owl#Class,6594,6594,6594,1.0,100.0,bio2rdf:sgd_vocabulary:LeucineCount -> rdf:type -> owl:Class
shape_000012,bio2rdf:sgd_vocabulary:GlycineCount,http://bio2rdf.org/sgd_vocabulary:GlycineCount,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,bio2rdf:sgd_vocabulary:Resource,http://bio2rdf.org/sgd_vocabulary:Resource,6594,6594,6594,1.0,100.0,bio2rdf:sgd_vocabulary:GlycineCount -> rdf:type -> bio2rdf:sgd_vocabulary:Resource
shape_000014,bio2rdf:sgd_vocabulary:Reaction,http://bio2rdf.org/sgd_vocabulary:Reaction,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,owl:Class,http://www.w3.org/2002/07/owl#Class,444,444,444,1.0,100.0,bio2rdf:sgd_vocabulary:Reaction -> rdf:type -> owl:Class
shape_000011,bio2rdf:sgd_vocabulary:GlycineCount,http://bio2rdf.org/sgd_vocabulary:GlycineCount,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,owl:Class,http://www.w3.org/2002/07/owl#Class,6594,6594,6594,1.0,100.0,bio2rdf:sgd_vocabulary:GlycineCount -> rdf:type -> owl:Class
