shape_id,subject_class,subject_uri,property,property_uri,object_class,object_uri,total_entities,occurrence_count,coverage_ratio,coverage_percent,shape_pattern
shape_000564,skos:Concept,http://www.w3.org/2004/02/skos/core#Concept,skos:exactMatch,http://www.w3.org/2004/02/skos/core#exactMatch,Resource,Resource,0,0,0.0,0.0,skos:Concept -> skos:exactMatch -> Resource
shape_000000,fabio:LectureNotes,http://purl.org/spar/fabio/LectureNotes,dcterms:isReferencedBy,http://purl.org/dc/terms/isReferencedBy,ontology:CitingSource,https://purl.expasy.org/sibils/rdf/ontology/CitingSource,0,0,0.0,0.0,fabio:LectureNotes -> dcterms:isReferencedBy -> ontology:CitingSource
shape_000001,fabio:Letter,http://purl.org/spar/fabio/Letter,dcterms:isReferencedBy,http://purl.org/dc/terms/isReferencedBy,ontology:CitingSource,https://purl.expasy.org/sibils/rdf/ontology/CitingSource,0,0,0.0,0.0,fabio:Letter -> dcterms:isReferencedBy -> ontology:CitingSource
shape_000002,fabio:BriefReport,http://purl.org/spar/fabio/BriefReport,dcterms:isReferencedBy,http://purl.org/dc/terms/isReferencedBy,ontology:CitingSource,https://purl.expasy.org/sibils/rdf/ontology/CitingSource,0,0,0.0,0.0,fabio:BriefReport -> dcterms:isReferencedBy -> ontology:CitingSource
shape_000003,fabio:NewsItem,http://purl.org/spar/fabio/NewsItem,dcterms:isReferencedBy,http://purl.org/dc/terms/isReferencedBy,owl:NamedIndividual,http://www.w3.org/2002/07/owl#NamedIndividual,0,0,0.0,0.0,fabio:NewsItem -> dcterms:isReferencedBy -> owl:NamedIndividual
shape_000548,fabio:BriefReport,http://purl.org/spar/fabio/BriefReport,ontology:seeAlsoAnnotated,https://purl.expasy.org/sibils/rdf/ontology/seeAlsoAnnotated,Resource,Resource,0,0,0.0,0.0,fabio:BriefReport -> ontology:seeAlsoAnnotated -> Resource
shape_000547,fabio:Abstract,http://purl.org/spar/fabio/Abstract,ontology:seeAlsoAnnotated,https://purl.expasy.org/sibils/rdf/ontology/seeAlsoAnnotated,Resource,Resource,0,0,0.0,0.0,fabio:Abstract -> ontology:seeAlsoAnnotated -> Resource
shape_000546,fabio:Comment,http://purl.org/spar/fabio/Comment,ontology:seeAlsoAnnotated,https://purl.expasy.org/sibils/rdf/ontology/seeAlsoAnnotated,Resource,Resource,0,0,0.0,0.0,fabio:Comment -> ontology:seeAlsoAnnotated -> Resource
shape_000545,fabio:RapidCommunication,http://purl.org/spar/fabio/RapidCommunication,ontology:seeAlsoAnnotated,https://purl.expasy.org/sibils/rdf/ontology/seeAlsoAnnotated,Resource,Resource,0,0,0.0,0.0,fabio:RapidCommunication -> ontology:seeAlsoAnnotated -> Resource
shape_000544,fabio:ReportDocument,http://purl.org/spar/fabio/ReportDocument,ontology:seeAlsoAnnotated,https://purl.expasy.org/sibils/rdf/ontology/seeAlsoAnnotated,Resource,Resource,0,0,0.0,0.0,fabio:ReportDocument -> ontology:seeAlsoAnnotated -> Resource
shape_000543,fabio:Editorial,http://purl.org/spar/fabio/Editorial,ontology:seeAlsoAnnotated,https://purl.expasy.org/sibils/rdf/ontology/seeAlsoAnnotated,Resource,Resource,0,0,0.0,0.0,fabio:Editorial -> ontology:seeAlsoAnnotated -> Resource
shape_000542,fabio:Letter,http://purl.org/spar/fabio/Letter,ontology:seeAlsoAnnotated,https://purl.expasy.org/sibils/rdf/ontology/seeAlsoAnnotated,Resource,Resource,0,0,0.0,0.0,fabio:Letter -> ontology:seeAlsoAnnotated -> Resource
shape_000541,fabio:JournalArticle,http://purl.org/spar/fabio/JournalArticle,ontology:seeAlsoAnnotated,https://purl.expasy.org/sibils/rdf/ontology/seeAlsoAnnotated,Resource,Resource,0,0,0.0,0.0,fabio:JournalArticle -> ontology:seeAlsoAnnotated -> Resource
shape_000540,fabio:Expression,http://purl.org/spar/fabio/Expression,ontology:seeAlsoAnnotated,https://purl.expasy.org/sibils/rdf/ontology/seeAlsoAnnotated,Resource,Resource,0,0,0.0,0.0,fabio:Expression -> ontology:seeAlsoAnnotated -> Resource
shape_000539,fabio:Addendum,http://purl.org/spar/fabio/Addendum,ontology:seeAlsoAnnotated,https://purl.expasy.org/sibils/rdf/ontology/seeAlsoAnnotated,Resource,Resource,0,0,0.0,0.0,fabio:Addendum -> ontology:seeAlsoAnnotated -> Resource
shape_000538,fabio:LectureNotes,http://purl.org/spar/fabio/LectureNotes,ontology:seeAlsoAnnotated,https://purl.expasy.org/sibils/rdf/ontology/seeAlsoAnnotated,Resource,Resource,0,0,0.0,0.0,fabio:LectureNotes -> ontology:seeAlsoAnnotated -> Resource
shape_000537,fabio:NewsItem,http://purl.org/spar/fabio/NewsItem,ontology:seeAlsoAnnotated,https://purl.expasy.org/sibils/rdf/ontology/seeAlsoAnnotated,Resource,Resource,0,0,0.0,0.0,fabio:NewsItem -> ontology:seeAlsoAnnotated -> Resource
shape_000536,skos:Concept,http://www.w3.org/2004/02/skos/core#Concept,rdfs:seeAlso,http://www.w3.org/2000/01/rdf-schema#seeAlso,Resource,Resource,0,0,0.0,0.0,skos:Concept -> rdfs:seeAlso -> Resource
shape_000535,fabio:Article,http://purl.org/spar/fabio/Article,rdfs:seeAlso,http://www.w3.org/2000/01/rdf-schema#seeAlso,Resource,Resource,0,0,0.0,0.0,fabio:Article -> rdfs:seeAlso -> Resource
shape_000534,fabio:ReviewArticle,http://purl.org/spar/fabio/ReviewArticle,rdfs:seeAlso,http://www.w3.org/2000/01/rdf-schema#seeAlso,Resource,Resource,0,0,0.0,0.0,fabio:ReviewArticle -> rdfs:seeAlso -> Resource
shape_000533,ontology:SibilsConceptScheme,https://purl.expasy.org/sibils/rdf/ontology/SibilsConceptScheme,rdfs:seeAlso,http://www.w3.org/2000/01/rdf-schema#seeAlso,Resource,Resource,0,0,0.0,0.0,ontology:SibilsConceptScheme -> rdfs:seeAlso -> Resource
shape_000036,owl:OntologyProperty,http://www.w3.org/2002/07/owl#OntologyProperty,rdfs:domain,http://www.w3.org/2000/01/rdf-schema#domain,rdfs:Class,http://www.w3.org/2000/01/rdf-schema#Class,0,0,0.0,0.0,owl:OntologyProperty -> rdfs:domain -> rdfs:Class
shape_000035,rdf:Property,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,rdfs:domain,http://www.w3.org/2000/01/rdf-schema#domain,owl:Class,http://www.w3.org/2002/07/owl#Class,0,0,0.0,0.0,rdf:Property -> rdfs:domain -> owl:Class
shape_000034,rdf:Property,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,rdfs:domain,http://www.w3.org/2000/01/rdf-schema#domain,rdfs:Class,http://www.w3.org/2000/01/rdf-schema#Class,0,0,0.0,0.0,rdf:Property -> rdfs:domain -> rdfs:Class
shape_000033,owl:DatatypeProperty,http://www.w3.org/2002/07/owl#DatatypeProperty,rdfs:range,http://www.w3.org/2000/01/rdf-schema#range,Resource,Resource,0,0,0.0,0.0,owl:DatatypeProperty -> rdfs:range -> Resource
