shape_id,subject_class,subject_uri,property,property_uri,object_class,object_uri,total_entities,participating_entities,occurrence_count,coverage_ratio,coverage_percent,shape_pattern
shape_000008,bio2rdf:sider_vocabulary:Drug-Indication-Association,http://bio2rdf.org/sider_vocabulary:Drug-Indication-Association,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,owl:Class,http://www.w3.org/2002/07/owl#Class,14734,14734,14734,1.0,100.0,bio2rdf:sider_vocabulary:Drug-Indication-Association -> rdf:type -> owl:Class
shape_000006,bio2rdf:sider_vocabulary:Drug-Indication-Association,http://bio2rdf.org/sider_vocabulary:Drug-Indication-Association,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,bio2rdf:sider_vocabulary:Resource,http://bio2rdf.org/sider_vocabulary:Resource,14734,14734,14734,1.0,100.0,bio2rdf:sider_vocabulary:Drug-Indication-Association -> rdf:type -> bio2rdf:sider_vocabulary:Resource
shape_000003,bio2rdf:sider_vocabulary:Resource,http://bio2rdf.org/sider_vocabulary:Resource,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,owl:Class,http://www.w3.org/2002/07/owl#Class,154805,154798,154798,1.0,100.0,bio2rdf:sider_vocabulary:Resource -> rdf:type -> owl:Class
shape_000028,bio2rdf:sider_vocabulary:Side-Effect,http://bio2rdf.org/sider_vocabulary:Side-Effect,bio2rdf:sider_vocabulary:stitch-stereo,http://bio2rdf.org/sider_vocabulary:stitch-stereo,bio2rdf:stitch_vocabulary:Resource,http://bio2rdf.org/stitch_vocabulary:Resource,140064,140064,140064,1.0,100.0,bio2rdf:sider_vocabulary:Side-Effect -> bio2rdf:sider_vocabulary:stitch-stereo -> bio2rdf:stitch_vocabulary:Resource
shape_000038,dcterms:Dataset,http://purl.org/dc/terms/Dataset,dcat:distribution,http://www.w3.org/ns/dcat#distribution,dcat:Distribution,http://www.w3.org/ns/dcat#Distribution,2,2,2,1.0,100.0,dcterms:Dataset -> dcat:distribution -> dcat:Distribution
shape_000026,bio2rdf:meddra_vocabulary:Resource,http://bio2rdf.org/meddra_vocabulary:Resource,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,rdfs:Resource,http://www.w3.org/2000/01/rdf-schema#Resource,2724,2724,2724,1.0,100.0,bio2rdf:meddra_vocabulary:Resource -> rdf:type -> rdfs:Resource
shape_000021,bio2rdf:umls_vocabulary:Resource,http://bio2rdf.org/umls_vocabulary:Resource,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,rdfs:Resource,http://www.w3.org/2000/01/rdf-schema#Resource,5880,5880,5880,1.0,100.0,bio2rdf:umls_vocabulary:Resource -> rdf:type -> rdfs:Resource
shape_000019,owl:ObjectProperty,http://www.w3.org/2002/07/owl#ObjectProperty,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,rdfs:Resource,http://www.w3.org/2000/01/rdf-schema#Resource,7,7,7,1.0,100.0,owl:ObjectProperty -> rdf:type -> rdfs:Resource
shape_000016,bio2rdf:sider_vocabulary:Side-Effect,http://bio2rdf.org/sider_vocabulary:Side-Effect,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,owl:Class,http://www.w3.org/2002/07/owl#Class,140064,140064,140064,1.0,100.0,bio2rdf:sider_vocabulary:Side-Effect -> rdf:type -> owl:Class
shape_000012,owl:Class,http://www.w3.org/2002/07/owl#Class,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,rdfs:Resource,http://www.w3.org/2000/01/rdf-schema#Resource,8606,8606,8606,1.0,100.0,owl:Class -> rdf:type -> rdfs:Resource
shape_000011,owl:DatatypeProperty,http://www.w3.org/2002/07/owl#DatatypeProperty,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,rdfs:Resource,http://www.w3.org/2000/01/rdf-schema#Resource,4,4,4,1.0,100.0,owl:DatatypeProperty -> rdf:type -> rdfs:Resource
shape_000047,bio2rdf:sider_vocabulary:Drug-Indication-Association,http://bio2rdf.org/sider_vocabulary:Drug-Indication-Association,bio2rdf:sider_vocabulary:indication,http://bio2rdf.org/sider_vocabulary:indication,bio2rdf:meddra_vocabulary:Resource,http://bio2rdf.org/meddra_vocabulary:Resource,14734,14734,14734,1.0,100.0,bio2rdf:sider_vocabulary:Drug-Indication-Association -> bio2rdf:sider_vocabulary:indication -> bio2rdf:meddra_vocabulary:Resource
shape_000046,bio2rdf:sider_vocabulary:Side-Effect,http://bio2rdf.org/sider_vocabulary:Side-Effect,bio2rdf:sider_vocabulary:stitch-flat,http://bio2rdf.org/sider_vocabulary:stitch-flat,bio2rdf:stitch_vocabulary:Resource,http://bio2rdf.org/stitch_vocabulary:Resource,140064,140064,140064,1.0,100.0,bio2rdf:sider_vocabulary:Side-Effect -> bio2rdf:sider_vocabulary:stitch-flat -> bio2rdf:stitch_vocabulary:Resource
