shape_id,subject_class,subject_uri,property,property_uri,object_class,object_uri,total_entities,participating_entities,occurrence_count,coverage_ratio,coverage_percent,shape_pattern
shape_000000,bio2rdf:taxonomy_vocabulary:Rank,http://bio2rdf.org/taxonomy_vocabulary:Rank,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,owl:Class,http://www.w3.org/2002/07/owl#Class,29,29,29,1.0,100.0,bio2rdf:taxonomy_vocabulary:Rank -> rdf:type -> owl:Class
shape_000002,bio2rdf:taxonomy_vocabulary:Rank,http://bio2rdf.org/taxonomy_vocabulary:Rank,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,bio2rdf:taxonomy_vocabulary:Resource,http://bio2rdf.org/taxonomy_vocabulary:Resource,29,29,29,1.0,100.0,bio2rdf:taxonomy_vocabulary:Rank -> rdf:type -> bio2rdf:taxonomy_vocabulary:Resource
shape_000006,bio2rdf:taxonomy_vocabulary:Division,http://bio2rdf.org/taxonomy_vocabulary:Division,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,owl:Class,http://www.w3.org/2002/07/owl#Class,12,12,12,1.0,100.0,bio2rdf:taxonomy_vocabulary:Division -> rdf:type -> owl:Class
shape_000005,owl:DatatypeProperty,http://www.w3.org/2002/07/owl#DatatypeProperty,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,rdfs:Resource,http://www.w3.org/2000/01/rdf-schema#Resource,29,29,29,1.0,100.0,owl:DatatypeProperty -> rdf:type -> rdfs:Resource
shape_000010,bio2rdf:taxonomy_vocabulary:Genetic-Code,http://bio2rdf.org/taxonomy_vocabulary:Genetic-Code,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,bio2rdf:taxonomy_vocabulary:Resource,http://bio2rdf.org/taxonomy_vocabulary:Resource,20,20,20,1.0,100.0,bio2rdf:taxonomy_vocabulary:Genetic-Code -> rdf:type -> bio2rdf:taxonomy_vocabulary:Resource
shape_000019,bio2rdf:taxonomy_vocabulary:Embl-code,http://bio2rdf.org/taxonomy_vocabulary:Embl-code,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,bio2rdf:taxonomy_vocabulary:Resource,http://bio2rdf.org/taxonomy_vocabulary:Resource,677,677,677,1.0,100.0,bio2rdf:taxonomy_vocabulary:Embl-code -> rdf:type -> bio2rdf:taxonomy_vocabulary:Resource
shape_000007,bio2rdf:taxonomy_vocabulary:Division,http://bio2rdf.org/taxonomy_vocabulary:Division,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,bio2rdf:taxonomy_vocabulary:Resource,http://bio2rdf.org/taxonomy_vocabulary:Resource,12,12,12,1.0,100.0,bio2rdf:taxonomy_vocabulary:Division -> rdf:type -> bio2rdf:taxonomy_vocabulary:Resource
shape_000009,bio2rdf:taxonomy_vocabulary:Genetic-Code,http://bio2rdf.org/taxonomy_vocabulary:Genetic-Code,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,owl:Class,http://www.w3.org/2002/07/owl#Class,20,20,20,1.0,100.0,bio2rdf:taxonomy_vocabulary:Genetic-Code -> rdf:type -> owl:Class
shape_000015,owl:ObjectProperty,http://www.w3.org/2002/07/owl#ObjectProperty,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,rdfs:Resource,http://www.w3.org/2000/01/rdf-schema#Resource,7,7,7,1.0,100.0,owl:ObjectProperty -> rdf:type -> rdfs:Resource
shape_000012,owl:Class,http://www.w3.org/2002/07/owl#Class,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,rdfs:Resource,http://www.w3.org/2000/01/rdf-schema#Resource,1323912,1323912,1323912,1.0,100.0,owl:Class -> rdf:type -> rdfs:Resource
shape_000052,owl:Class,http://www.w3.org/2002/07/owl#Class,bio2rdf:taxonomy_vocabulary:genetic-code-id,http://bio2rdf.org/taxonomy_vocabulary:genetic-code-id,bio2rdf:taxonomy_vocabulary:Genetic-Code,http://bio2rdf.org/taxonomy_vocabulary:Genetic-Code,1323912,1323908,1323908,1.0,100.0,owl:Class -> bio2rdf:taxonomy_vocabulary:genetic-code-id -> bio2rdf:taxonomy_vocabulary:Genetic-Code
shape_000056,owl:Class,http://www.w3.org/2002/07/owl#Class,bio2rdf:taxonomy_vocabulary:mitochondrial-genetic-code-id,http://bio2rdf.org/taxonomy_vocabulary:mitochondrial-genetic-code-id,bio2rdf:taxonomy_vocabulary:Genetic-Code,http://bio2rdf.org/taxonomy_vocabulary:Genetic-Code,1323912,1323908,1323908,1.0,100.0,owl:Class -> bio2rdf:taxonomy_vocabulary:mitochondrial-genetic-code-id -> bio2rdf:taxonomy_vocabulary:Genetic-Code
shape_000049,owl:Class,http://www.w3.org/2002/07/owl#Class,bio2rdf:taxonomy_vocabulary:division-id,http://bio2rdf.org/taxonomy_vocabulary:division-id,bio2rdf:taxonomy_vocabulary:Division,http://bio2rdf.org/taxonomy_vocabulary:Division,1323912,1323908,1323908,1.0,100.0,owl:Class -> bio2rdf:taxonomy_vocabulary:division-id -> bio2rdf:taxonomy_vocabulary:Division
shape_000030,owl:Class,http://www.w3.org/2002/07/owl#Class,bio2rdf:taxonomy_vocabulary:embl-code,http://bio2rdf.org/taxonomy_vocabulary:embl-code,bio2rdf:taxonomy_vocabulary:Embl-code,http://bio2rdf.org/taxonomy_vocabulary:Embl-code,1323912,1323908,1323908,1.0,100.0,owl:Class -> bio2rdf:taxonomy_vocabulary:embl-code -> bio2rdf:taxonomy_vocabulary:Embl-code
shape_000034,owl:Class,http://www.w3.org/2002/07/owl#Class,bio2rdf:taxonomy_vocabulary:rank,http://bio2rdf.org/taxonomy_vocabulary:rank,bio2rdf:taxonomy_vocabulary:Rank,http://bio2rdf.org/taxonomy_vocabulary:Rank,1323912,1323908,1323908,1.0,100.0,owl:Class -> bio2rdf:taxonomy_vocabulary:rank -> bio2rdf:taxonomy_vocabulary:Rank
shape_000035,owl:Class,http://www.w3.org/2002/07/owl#Class,bio2rdf:taxonomy_vocabulary:rank,http://bio2rdf.org/taxonomy_vocabulary:rank,bio2rdf:taxonomy_vocabulary:Resource,http://bio2rdf.org/taxonomy_vocabulary:Resource,1323912,1323908,1323908,1.0,100.0,owl:Class -> bio2rdf:taxonomy_vocabulary:rank -> bio2rdf:taxonomy_vocabulary:Resource
shape_000031,owl:Class,http://www.w3.org/2002/07/owl#Class,bio2rdf:taxonomy_vocabulary:embl-code,http://bio2rdf.org/taxonomy_vocabulary:embl-code,bio2rdf:taxonomy_vocabulary:Resource,http://bio2rdf.org/taxonomy_vocabulary:Resource,1323912,1323908,1323908,1.0,100.0,owl:Class -> bio2rdf:taxonomy_vocabulary:embl-code -> bio2rdf:taxonomy_vocabulary:Resource
shape_000026,owl:Class,http://www.w3.org/2002/07/owl#Class,rdfs:subClassOf,http://www.w3.org/2000/01/rdf-schema#subClassOf,owl:Class,http://www.w3.org/2002/07/owl#Class,1323912,1323908,1323908,1.0,100.0,owl:Class -> rdfs:subClassOf -> owl:Class
shape_000027,owl:Class,http://www.w3.org/2002/07/owl#Class,rdfs:subClassOf,http://www.w3.org/2000/01/rdf-schema#subClassOf,bio2rdf:taxonomy_vocabulary:Resource,http://bio2rdf.org/taxonomy_vocabulary:Resource,1323912,1323908,1323908,1.0,100.0,owl:Class -> rdfs:subClassOf -> bio2rdf:taxonomy_vocabulary:Resource
shape_000020,bio2rdf:taxonomy_vocabulary:Embl-code,http://bio2rdf.org/taxonomy_vocabulary:Embl-code,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,owl:Class,http://www.w3.org/2002/07/owl#Class,677,677,677,1.0,100.0,bio2rdf:taxonomy_vocabulary:Embl-code -> rdf:type -> owl:Class
shape_000048,owl:Class,http://www.w3.org/2002/07/owl#Class,bio2rdf:taxonomy_vocabulary:division-id,http://bio2rdf.org/taxonomy_vocabulary:division-id,bio2rdf:taxonomy_vocabulary:Resource,http://bio2rdf.org/taxonomy_vocabulary:Resource,1323912,1323908,1323908,1.0,100.0,owl:Class -> bio2rdf:taxonomy_vocabulary:division-id -> bio2rdf:taxonomy_vocabulary:Resource
shape_000053,owl:Class,http://www.w3.org/2002/07/owl#Class,bio2rdf:taxonomy_vocabulary:genetic-code-id,http://bio2rdf.org/taxonomy_vocabulary:genetic-code-id,bio2rdf:taxonomy_vocabulary:Resource,http://bio2rdf.org/taxonomy_vocabulary:Resource,1323912,1323908,1323908,1.0,100.0,owl:Class -> bio2rdf:taxonomy_vocabulary:genetic-code-id -> bio2rdf:taxonomy_vocabulary:Resource
shape_000054,dcterms:Dataset,http://purl.org/dc/terms/Dataset,dcat:distribution,http://www.w3.org/ns/dcat#distribution,dcat:Distribution,http://www.w3.org/ns/dcat#Distribution,1,1,1,1.0,100.0,dcterms:Dataset -> dcat:distribution -> dcat:Distribution
shape_000055,owl:Class,http://www.w3.org/2002/07/owl#Class,bio2rdf:taxonomy_vocabulary:mitochondrial-genetic-code-id,http://bio2rdf.org/taxonomy_vocabulary:mitochondrial-genetic-code-id,bio2rdf:taxonomy_vocabulary:Resource,http://bio2rdf.org/taxonomy_vocabulary:Resource,1323912,1323908,1323908,1.0,100.0,owl:Class -> bio2rdf:taxonomy_vocabulary:mitochondrial-genetic-code-id -> bio2rdf:taxonomy_vocabulary:Resource
