shape_id,subject_class,subject_uri,property,property_uri,object_class,object_uri,total_entities,participating_entities,occurrence_count,coverage_ratio,coverage_percent,shape_pattern
shape_000027,wp:GeneProduct,http://vocabularies.wikipathways.org/wp#GeneProduct,dcterms:isPartOf,http://purl.org/dc/terms/isPartOf,skos:Collection,http://www.w3.org/2004/02/skos/core#Collection,38512,38512,38512,1.0,100.0,wp:GeneProduct -> dcterms:isPartOf -> skos:Collection
shape_000028,wp:Inhibition,http://vocabularies.wikipathways.org/wp#Inhibition,dcterms:isPartOf,http://purl.org/dc/terms/isPartOf,skos:Collection,http://www.w3.org/2004/02/skos/core#Collection,3275,3275,3275,1.0,100.0,wp:Inhibition -> dcterms:isPartOf -> skos:Collection
shape_000250,wp:Complex,http://vocabularies.wikipathways.org/wp#Complex,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,owl:Class,http://www.w3.org/2002/07/owl#Class,3887,3887,3887,1.0,100.0,wp:Complex -> rdf:type -> owl:Class
shape_000084,wp:DirectedInteraction,http://vocabularies.wikipathways.org/wp#DirectedInteraction,dcterms:isPartOf,http://purl.org/dc/terms/isPartOf,skos:Collection,http://www.w3.org/2004/02/skos/core#Collection,40580,40580,40580,1.0,100.0,wp:DirectedInteraction -> dcterms:isPartOf -> skos:Collection
shape_000083,wp:ComplexBinding,http://vocabularies.wikipathways.org/wp#ComplexBinding,dcterms:isPartOf,http://purl.org/dc/terms/isPartOf,skos:Collection,http://www.w3.org/2004/02/skos/core#Collection,3607,3607,3607,1.0,100.0,wp:ComplexBinding -> dcterms:isPartOf -> skos:Collection
shape_000081,wp:Binding,http://vocabularies.wikipathways.org/wp#Binding,dcterms:isPartOf,http://purl.org/dc/terms/isPartOf,skos:Collection,http://www.w3.org/2004/02/skos/core#Collection,5722,5722,5722,1.0,100.0,wp:Binding -> dcterms:isPartOf -> skos:Collection
shape_000065,wp:Catalysis,http://vocabularies.wikipathways.org/wp#Catalysis,dcterms:isPartOf,http://purl.org/dc/terms/isPartOf,skos:Collection,http://www.w3.org/2004/02/skos/core#Collection,4960,4960,4960,1.0,100.0,wp:Catalysis -> dcterms:isPartOf -> skos:Collection
shape_000232,wp:Metabolite,http://vocabularies.wikipathways.org/wp#Metabolite,dc:identifier,http://purl.org/dc/elements/1.1/identifier,wp:DataNode,http://vocabularies.wikipathways.org/wp#DataNode,6888,6888,6888,1.0,100.0,wp:Metabolite -> dc:identifier -> wp:DataNode
shape_000239,skos:Collection,http://www.w3.org/2004/02/skos/core#Collection,foaf:img,http://xmlns.com/foaf/0.1/img,foaf:Image,http://xmlns.com/foaf/0.1/Image,2077,2077,2077,1.0,100.0,skos:Collection -> foaf:img -> foaf:Image
shape_000234,wp:GeneProduct,http://vocabularies.wikipathways.org/wp#GeneProduct,dc:identifier,http://purl.org/dc/elements/1.1/identifier,wp:DataNode,http://vocabularies.wikipathways.org/wp#DataNode,38512,38512,38512,1.0,100.0,wp:GeneProduct -> dc:identifier -> wp:DataNode
shape_000242,gpml:Point,http://vocabularies.wikipathways.org/gpml#Point,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,owl:Class,http://www.w3.org/2002/07/owl#Class,260760,260760,260760,1.0,100.0,gpml:Point -> rdf:type -> owl:Class
shape_000241,gpml:Anchor,http://vocabularies.wikipathways.org/gpml#Anchor,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,owl:Class,http://www.w3.org/2002/07/owl#Class,16404,16404,16404,1.0,100.0,gpml:Anchor -> rdf:type -> owl:Class
shape_000230,wp:Metabolite,http://vocabularies.wikipathways.org/wp#Metabolite,dc:identifier,http://purl.org/dc/elements/1.1/identifier,wp:Metabolite,http://vocabularies.wikipathways.org/wp#Metabolite,6888,6888,6888,1.0,100.0,wp:Metabolite -> dc:identifier -> wp:Metabolite
shape_000043,wp:Rna,http://vocabularies.wikipathways.org/wp#Rna,dcterms:isPartOf,http://purl.org/dc/terms/isPartOf,wp:Pathway,http://vocabularies.wikipathways.org/wp#Pathway,1294,1294,1294,1.0,100.0,wp:Rna -> dcterms:isPartOf -> wp:Pathway
shape_000243,wp:ComplexBinding,http://vocabularies.wikipathways.org/wp#ComplexBinding,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,owl:Class,http://www.w3.org/2002/07/owl#Class,3607,3607,3607,1.0,100.0,wp:ComplexBinding -> rdf:type -> owl:Class
shape_000244,wp:DirectedInteraction,http://vocabularies.wikipathways.org/wp#DirectedInteraction,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,owl:Class,http://www.w3.org/2002/07/owl#Class,40580,40580,40580,1.0,100.0,wp:DirectedInteraction -> rdf:type -> owl:Class
shape_000245,wp:Inhibition,http://vocabularies.wikipathways.org/wp#Inhibition,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,owl:Class,http://www.w3.org/2002/07/owl#Class,3275,3275,3275,1.0,100.0,wp:Inhibition -> rdf:type -> owl:Class
shape_000246,gpml:Label,http://vocabularies.wikipathways.org/gpml#Label,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,owl:Class,http://www.w3.org/2002/07/owl#Class,34461,34461,34461,1.0,100.0,gpml:Label -> rdf:type -> owl:Class
shape_000247,wp:DataNode,http://vocabularies.wikipathways.org/wp#DataNode,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,owl:Class,http://www.w3.org/2002/07/owl#Class,55768,55768,55768,1.0,100.0,wp:DataNode -> rdf:type -> owl:Class
shape_000248,wp:Protein,http://vocabularies.wikipathways.org/wp#Protein,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,owl:Class,http://www.w3.org/2002/07/owl#Class,7379,7379,7379,1.0,100.0,wp:Protein -> rdf:type -> owl:Class
shape_000249,gpml:InfoBox,http://vocabularies.wikipathways.org/gpml#InfoBox,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,owl:Class,http://www.w3.org/2002/07/owl#Class,2077,2077,2077,1.0,100.0,gpml:InfoBox -> rdf:type -> owl:Class
shape_000151,wp:DirectedInteraction,http://vocabularies.wikipathways.org/wp#DirectedInteraction,wp:participants,http://vocabularies.wikipathways.org/wp#participants,wp:DataNode,http://vocabularies.wikipathways.org/wp#DataNode,40580,40580,40580,1.0,100.0,wp:DirectedInteraction -> wp:participants -> wp:DataNode
shape_000285,owl:DatatypeProperty,http://www.w3.org/2002/07/owl#DatatypeProperty,skos:inScheme,http://www.w3.org/2004/02/skos/core#inScheme,skos:ConceptScheme,http://www.w3.org/2004/02/skos/core#ConceptScheme,56,56,56,1.0,100.0,owl:DatatypeProperty -> skos:inScheme -> skos:ConceptScheme
shape_000223,wp:Protein,http://vocabularies.wikipathways.org/wp#Protein,dc:identifier,http://purl.org/dc/elements/1.1/identifier,wp:DataNode,http://vocabularies.wikipathways.org/wp#DataNode,7379,7379,7379,1.0,100.0,wp:Protein -> dc:identifier -> wp:DataNode
shape_000082,wp:ComplexBinding,http://vocabularies.wikipathways.org/wp#ComplexBinding,dcterms:isPartOf,http://purl.org/dc/terms/isPartOf,wp:Pathway,http://vocabularies.wikipathways.org/wp#Pathway,3607,3607,3607,1.0,100.0,wp:ComplexBinding -> dcterms:isPartOf -> wp:Pathway
shape_000226,wp:Rna,http://vocabularies.wikipathways.org/wp#Rna,dc:identifier,http://purl.org/dc/elements/1.1/identifier,wp:Rna,http://vocabularies.wikipathways.org/wp#Rna,1294,1294,1294,1.0,100.0,wp:Rna -> dc:identifier -> wp:Rna
shape_000079,wp:Conversion,http://vocabularies.wikipathways.org/wp#Conversion,dcterms:isPartOf,http://purl.org/dc/terms/isPartOf,wp:Pathway,http://vocabularies.wikipathways.org/wp#Pathway,6746,6746,6746,1.0,100.0,wp:Conversion -> dcterms:isPartOf -> wp:Pathway
shape_000209,wp:Conversion,http://vocabularies.wikipathways.org/wp#Conversion,wp:source,http://vocabularies.wikipathways.org/wp#source,wp:DataNode,http://vocabularies.wikipathways.org/wp#DataNode,6746,6746,6746,1.0,100.0,wp:Conversion -> wp:source -> wp:DataNode
shape_000211,wp:DirectedInteraction,http://vocabularies.wikipathways.org/wp#DirectedInteraction,wp:source,http://vocabularies.wikipathways.org/wp#source,wp:DataNode,http://vocabularies.wikipathways.org/wp#DataNode,40580,40580,40580,1.0,100.0,wp:DirectedInteraction -> wp:source -> wp:DataNode
