shape_id,subject_class,subject_uri,property,property_uri,object_class,object_uri,total_entities,participating_entities,occurrence_count,coverage_ratio,coverage_percent,shape_pattern
shape_000248,skos:Collection,http://www.w3.org/2004/02/skos/core#Collection,foaf:img,http://xmlns.com/foaf/0.1/img,foaf:Image,http://xmlns.com/foaf/0.1/Image,2079,2079,2079,1.0,100.0,skos:Collection -> foaf:img -> foaf:Image
shape_000202,wp:Protein,http://vocabularies.wikipathways.org/wp#Protein,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,owl:Class,http://www.w3.org/2002/07/owl#Class,7311,7311,7311,1.0,100.0,wp:Protein -> rdf:type -> owl:Class
shape_000056,wp:DirectedInteraction,http://vocabularies.wikipathways.org/wp#DirectedInteraction,wp:source,http://vocabularies.wikipathways.org/wp#source,wp:DataNode,http://vocabularies.wikipathways.org/wp#DataNode,39933,39933,39933,1.0,100.0,wp:DirectedInteraction -> wp:source -> wp:DataNode
shape_000058,wp:Stimulation,http://vocabularies.wikipathways.org/wp#Stimulation,wp:source,http://vocabularies.wikipathways.org/wp#source,wp:DataNode,http://vocabularies.wikipathways.org/wp#DataNode,2995,2995,2995,1.0,100.0,wp:Stimulation -> wp:source -> wp:DataNode
shape_000203,wp:Complex,http://vocabularies.wikipathways.org/wp#Complex,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,owl:Class,http://www.w3.org/2002/07/owl#Class,3843,3843,3843,1.0,100.0,wp:Complex -> rdf:type -> owl:Class
shape_000197,wp:ComplexBinding,http://vocabularies.wikipathways.org/wp#ComplexBinding,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,owl:Class,http://www.w3.org/2002/07/owl#Class,3562,3562,3562,1.0,100.0,wp:ComplexBinding -> rdf:type -> owl:Class
shape_000198,wp:DirectedInteraction,http://vocabularies.wikipathways.org/wp#DirectedInteraction,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,owl:Class,http://www.w3.org/2002/07/owl#Class,39933,39933,39933,1.0,100.0,wp:DirectedInteraction -> rdf:type -> owl:Class
shape_000199,wp:DataNode,http://vocabularies.wikipathways.org/wp#DataNode,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,owl:Class,http://www.w3.org/2002/07/owl#Class,55429,55429,55429,1.0,100.0,wp:DataNode -> rdf:type -> owl:Class
shape_000200,gpml:Label,http://vocabularies.wikipathways.org/gpml#Label,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,owl:Class,http://www.w3.org/2002/07/owl#Class,34377,34377,34377,1.0,100.0,gpml:Label -> rdf:type -> owl:Class
shape_000201,wp:Inhibition,http://vocabularies.wikipathways.org/wp#Inhibition,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,owl:Class,http://www.w3.org/2002/07/owl#Class,3230,3230,3230,1.0,100.0,wp:Inhibition -> rdf:type -> owl:Class
shape_000195,gpml:Anchor,http://vocabularies.wikipathways.org/gpml#Anchor,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,owl:Class,http://www.w3.org/2002/07/owl#Class,16130,16130,16130,1.0,100.0,gpml:Anchor -> rdf:type -> owl:Class
