subject_class,subject_uri,property,property_uri,object_class,object_uri
QuadMapFormat,http://www.openlinksw.com/schemas/virtrdf#QuadMapFormat,qmfSuperFormats,http://www.openlinksw.com/schemas/virtrdf#qmfSuperFormats,array-of-QuadMapFormat,http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapFormat
QuadMapFormat,http://www.openlinksw.com/schemas/virtrdf#QuadMapFormat,inheritFrom,http://www.openlinksw.com/schemas/virtrdf#inheritFrom,QuadMapFormat,http://www.openlinksw.com/schemas/virtrdf#QuadMapFormat
QuadMapFormat,http://www.openlinksw.com/schemas/virtrdf#QuadMapFormat,qmfSubFormatForRefs,http://www.openlinksw.com/schemas/virtrdf#qmfSubFormatForRefs,QuadMapFormat,http://www.openlinksw.com/schemas/virtrdf#QuadMapFormat
QuadStorage,http://www.openlinksw.com/schemas/virtrdf#QuadStorage,qsUserMaps,http://www.openlinksw.com/schemas/virtrdf#qsUserMaps,array-of-QuadMap,http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMap
QuadStorage,http://www.openlinksw.com/schemas/virtrdf#QuadStorage,qsDefaultMap,http://www.openlinksw.com/schemas/virtrdf#qsDefaultMap,QuadMap,http://www.openlinksw.com/schemas/virtrdf#QuadMap
QuadMap,http://www.openlinksw.com/schemas/virtrdf#QuadMap,qmGraphMap,http://www.openlinksw.com/schemas/virtrdf#qmGraphMap,QuadMapValue,http://www.openlinksw.com/schemas/virtrdf#QuadMapValue
QuadMap,http://www.openlinksw.com/schemas/virtrdf#QuadMap,qmSubjectMap,http://www.openlinksw.com/schemas/virtrdf#qmSubjectMap,QuadMapValue,http://www.openlinksw.com/schemas/virtrdf#QuadMapValue
QuadMap,http://www.openlinksw.com/schemas/virtrdf#QuadMap,qmPredicateMap,http://www.openlinksw.com/schemas/virtrdf#qmPredicateMap,QuadMapValue,http://www.openlinksw.com/schemas/virtrdf#QuadMapValue
QuadMap,http://www.openlinksw.com/schemas/virtrdf#QuadMap,qmObjectMap,http://www.openlinksw.com/schemas/virtrdf#qmObjectMap,QuadMapValue,http://www.openlinksw.com/schemas/virtrdf#QuadMapValue
array-of-QuadMapFormat,http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapFormat,rdf:_1,http://www.w3.org/1999/02/22-rdf-syntax-ns#_1,QuadMapFormat,http://www.openlinksw.com/schemas/virtrdf#QuadMapFormat
array-of-QuadMapATable,http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapATable,rdf:_1,http://www.w3.org/1999/02/22-rdf-syntax-ns#_1,QuadMapATable,http://www.openlinksw.com/schemas/virtrdf#QuadMapATable
array-of-QuadMapColumn,http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapColumn,rdf:_1,http://www.w3.org/1999/02/22-rdf-syntax-ns#_1,QuadMapColumn,http://www.openlinksw.com/schemas/virtrdf#QuadMapColumn
array-of-QuadMapFormat,http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapFormat,rdf:_2,http://www.w3.org/1999/02/22-rdf-syntax-ns#_2,QuadMapFormat,http://www.openlinksw.com/schemas/virtrdf#QuadMapFormat
array-of-QuadMapFormat,http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapFormat,rdf:_3,http://www.w3.org/1999/02/22-rdf-syntax-ns#_3,QuadMapFormat,http://www.openlinksw.com/schemas/virtrdf#QuadMapFormat
