subject_class,subject_uri,property,property_uri,object_class,object_uri
KeyEvent,http://aopkb.org/aop_ontology#KeyEvent,pato:0001241,http://purl.obolibrary.org/obo/PATO_0001241,go:0008150,http://purl.obolibrary.org/obo/GO_0008150
KeyEvent,http://aopkb.org/aop_ontology#KeyEvent,pato:0001241,http://purl.obolibrary.org/obo/PATO_0001241,pato:0001241,http://purl.obolibrary.org/obo/PATO_0001241
KeyEvent,http://aopkb.org/aop_ontology#KeyEvent,pato:0001241,http://purl.obolibrary.org/obo/PATO_0001241,OrganContext,http://aopkb.org/aop_ontology#OrganContext
KeyEvent,http://aopkb.org/aop_ontology#KeyEvent,pato:0001241,http://purl.obolibrary.org/obo/PATO_0001241,CellTypeContext,http://aopkb.org/aop_ontology#CellTypeContext
edam.data:2298,http://edamontology.org/data_2298,skos:exactMatch,http://www.w3.org/2004/02/skos/core#exactMatch,edam.data:1027,http://edamontology.org/data_1027
edam.data:2298,http://edamontology.org/data_2298,skos:exactMatch,http://www.w3.org/2004/02/skos/core#exactMatch,edam.data:2291,http://edamontology.org/data_2291
edam.data:2298,http://edamontology.org/data_2298,skos:exactMatch,http://www.w3.org/2004/02/skos/core#exactMatch,edam.data:1025,http://edamontology.org/data_1025
edam.data:2298,http://edamontology.org/data_2298,skos:exactMatch,http://www.w3.org/2004/02/skos/core#exactMatch,edam.data:1033,http://edamontology.org/data_1033
pato:0001241,http://purl.obolibrary.org/obo/PATO_0001241,skos:exactMatch,http://www.w3.org/2004/02/skos/core#exactMatch,edam.data:1027,http://edamontology.org/data_1027
pato:0001241,http://purl.obolibrary.org/obo/PATO_0001241,skos:exactMatch,http://www.w3.org/2004/02/skos/core#exactMatch,edam.data:2291,http://edamontology.org/data_2291
pato:0001241,http://purl.obolibrary.org/obo/PATO_0001241,skos:exactMatch,http://www.w3.org/2004/02/skos/core#exactMatch,edam.data:2298,http://edamontology.org/data_2298
pato:0001241,http://purl.obolibrary.org/obo/PATO_0001241,skos:exactMatch,http://www.w3.org/2004/02/skos/core#exactMatch,edam.data:1025,http://edamontology.org/data_1025
cheminf:000446,http://semanticscience.org/resource/CHEMINF_000446,skos:exactMatch,http://www.w3.org/2004/02/skos/core#exactMatch,cheminf:000406,http://semanticscience.org/resource/CHEMINF_000406
cheminf:000446,http://semanticscience.org/resource/CHEMINF_000446,skos:exactMatch,http://www.w3.org/2004/02/skos/core#exactMatch,cheminf:000412,http://semanticscience.org/resource/CHEMINF_000412
cheminf:000446,http://semanticscience.org/resource/CHEMINF_000446,skos:exactMatch,http://www.w3.org/2004/02/skos/core#exactMatch,cheminf:000408,http://semanticscience.org/resource/CHEMINF_000408
cheminf:000446,http://semanticscience.org/resource/CHEMINF_000446,skos:exactMatch,http://www.w3.org/2004/02/skos/core#exactMatch,cheminf:000409,http://semanticscience.org/resource/CHEMINF_000409
cheminf:000446,http://semanticscience.org/resource/CHEMINF_000446,skos:exactMatch,http://www.w3.org/2004/02/skos/core#exactMatch,cheminf:000405,http://semanticscience.org/resource/CHEMINF_000405
cheminf:000446,http://semanticscience.org/resource/CHEMINF_000446,skos:exactMatch,http://www.w3.org/2004/02/skos/core#exactMatch,cheminf:000407,http://semanticscience.org/resource/CHEMINF_000407
cheminf:000446,http://semanticscience.org/resource/CHEMINF_000446,skos:exactMatch,http://www.w3.org/2004/02/skos/core#exactMatch,cheminf:000140,http://semanticscience.org/resource/CHEMINF_000140
cheminf:000446,http://semanticscience.org/resource/CHEMINF_000446,skos:exactMatch,http://www.w3.org/2004/02/skos/core#exactMatch,cheminf:000564,http://semanticscience.org/resource/CHEMINF_000564
cheminf:000446,http://semanticscience.org/resource/CHEMINF_000446,skos:exactMatch,http://www.w3.org/2004/02/skos/core#exactMatch,cheminf:000567,http://semanticscience.org/resource/CHEMINF_000567
cheminf:000000,http://semanticscience.org/resource/CHEMINF_000000,skos:exactMatch,http://www.w3.org/2004/02/skos/core#exactMatch,cheminf:000406,http://semanticscience.org/resource/CHEMINF_000406
cheminf:000000,http://semanticscience.org/resource/CHEMINF_000000,skos:exactMatch,http://www.w3.org/2004/02/skos/core#exactMatch,cheminf:000405,http://semanticscience.org/resource/CHEMINF_000405
cheminf:000000,http://semanticscience.org/resource/CHEMINF_000000,skos:exactMatch,http://www.w3.org/2004/02/skos/core#exactMatch,cheminf:000407,http://semanticscience.org/resource/CHEMINF_000407
cheminf:000000,http://semanticscience.org/resource/CHEMINF_000000,skos:exactMatch,http://www.w3.org/2004/02/skos/core#exactMatch,cheminf:000140,http://semanticscience.org/resource/CHEMINF_000140
cheminf:000000,http://semanticscience.org/resource/CHEMINF_000000,skos:exactMatch,http://www.w3.org/2004/02/skos/core#exactMatch,cheminf:000412,http://semanticscience.org/resource/CHEMINF_000412
cheminf:000000,http://semanticscience.org/resource/CHEMINF_000000,skos:exactMatch,http://www.w3.org/2004/02/skos/core#exactMatch,cheminf:000408,http://semanticscience.org/resource/CHEMINF_000408
cheminf:000000,http://semanticscience.org/resource/CHEMINF_000000,skos:exactMatch,http://www.w3.org/2004/02/skos/core#exactMatch,cheminf:000409,http://semanticscience.org/resource/CHEMINF_000409
cheminf:000000,http://semanticscience.org/resource/CHEMINF_000000,skos:exactMatch,http://www.w3.org/2004/02/skos/core#exactMatch,cheminf:000564,http://semanticscience.org/resource/CHEMINF_000564
cheminf:000000,http://semanticscience.org/resource/CHEMINF_000000,skos:exactMatch,http://www.w3.org/2004/02/skos/core#exactMatch,cheminf:000567,http://semanticscience.org/resource/CHEMINF_000567
edam.data:1025,http://edamontology.org/data_1025,skos:exactMatch,http://www.w3.org/2004/02/skos/core#exactMatch,edam.data:2291,http://edamontology.org/data_2291
edam.data:1025,http://edamontology.org/data_1025,skos:exactMatch,http://www.w3.org/2004/02/skos/core#exactMatch,edam.data:1025,http://edamontology.org/data_1025
edam.data:1025,http://edamontology.org/data_1025,skos:exactMatch,http://www.w3.org/2004/02/skos/core#exactMatch,edam.data:1033,http://edamontology.org/data_1033
edam.data:1025,http://edamontology.org/data_1025,skos:exactMatch,http://www.w3.org/2004/02/skos/core#exactMatch,edam.data:1027,http://edamontology.org/data_1027
pato:0001241,http://purl.obolibrary.org/obo/PATO_0001241,dc:identifier,http://purl.org/dc/elements/1.1/identifier,go:0008150,http://purl.obolibrary.org/obo/GO_0008150
pato:0001241,http://purl.obolibrary.org/obo/PATO_0001241,dc:identifier,http://purl.org/dc/elements/1.1/identifier,pato:0001241,http://purl.obolibrary.org/obo/PATO_0001241
pato:0001241,http://purl.obolibrary.org/obo/PATO_0001241,dc:identifier,http://purl.org/dc/elements/1.1/identifier,OrganContext,http://aopkb.org/aop_ontology#OrganContext
pato:0001241,http://purl.obolibrary.org/obo/PATO_0001241,dc:identifier,http://purl.org/dc/elements/1.1/identifier,CellTypeContext,http://aopkb.org/aop_ontology#CellTypeContext
KeyEvent,http://aopkb.org/aop_ontology#KeyEvent,dc:identifier,http://purl.org/dc/elements/1.1/identifier,KeyEvent,http://aopkb.org/aop_ontology#KeyEvent
ncit:C54571,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C54571,dc:identifier,http://purl.org/dc/elements/1.1/identifier,ncit:C54571,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C54571
CellTypeContext,http://aopkb.org/aop_ontology#CellTypeContext,dc:identifier,http://purl.org/dc/elements/1.1/identifier,OrganContext,http://aopkb.org/aop_ontology#OrganContext
CellTypeContext,http://aopkb.org/aop_ontology#CellTypeContext,dc:identifier,http://purl.org/dc/elements/1.1/identifier,CellTypeContext,http://aopkb.org/aop_ontology#CellTypeContext
CellTypeContext,http://aopkb.org/aop_ontology#CellTypeContext,dc:identifier,http://purl.org/dc/elements/1.1/identifier,pato:0001241,http://purl.obolibrary.org/obo/PATO_0001241
cheminf:000446,http://semanticscience.org/resource/CHEMINF_000446,dc:identifier,http://purl.org/dc/elements/1.1/identifier,cheminf:000446,http://semanticscience.org/resource/CHEMINF_000446
