shape_id,subject_class,subject_uri,property,property_uri,object_class,object_uri,total_entities,participating_entities,occurrence_count,coverage_ratio,coverage_percent,shape_pattern
shape_000011,Metabolite,http://vocabularies.wikipathways.org/wp#Metabolite,dc:identifier,http://purl.org/dc/elements/1.1/identifier,Metabolite,http://vocabularies.wikipathways.org/wp#Metabolite,6858,6858,6858,1.0,100.0,Metabolite -> dc:identifier -> Metabolite
shape_000298,skos:Collection,http://www.w3.org/2004/02/skos/core#Collection,foaf:img,http://xmlns.com/foaf/0.1/img,foaf:Image,http://xmlns.com/foaf/0.1/Image,2059,2059,2059,1.0,100.0,skos:Collection -> foaf:img -> foaf:Image
shape_000009,Metabolite,http://vocabularies.wikipathways.org/wp#Metabolite,dc:identifier,http://purl.org/dc/elements/1.1/identifier,DataNode,http://vocabularies.wikipathways.org/wp#DataNode,6858,6858,6858,1.0,100.0,Metabolite -> dc:identifier -> DataNode
shape_000028,Protein,http://vocabularies.wikipathways.org/wp#Protein,dcterms:isPartOf,http://purl.org/dc/terms/isPartOf,skos:Collection,http://www.w3.org/2004/02/skos/core#Collection,7352,7352,7352,1.0,100.0,Protein -> dcterms:isPartOf -> skos:Collection
shape_000031,GeneProduct,http://vocabularies.wikipathways.org/wp#GeneProduct,dcterms:isPartOf,http://purl.org/dc/terms/isPartOf,Pathway,http://vocabularies.wikipathways.org/wp#Pathway,38401,38401,38401,1.0,100.0,GeneProduct -> dcterms:isPartOf -> Pathway
shape_000231,Translocation,http://vocabularies.wikipathways.org/wp#Translocation,target,http://vocabularies.wikipathways.org/wp#target,Metabolite,http://vocabularies.wikipathways.org/wp#Metabolite,2,2,2,1.0,100.0,Translocation -> target -> Metabolite
shape_000066,Interaction,http://vocabularies.wikipathways.org/wp#Interaction,dcterms:isPartOf,http://purl.org/dc/terms/isPartOf,Pathway,http://vocabularies.wikipathways.org/wp#Pathway,62539,62539,62539,1.0,100.0,Interaction -> dcterms:isPartOf -> Pathway
shape_000294,owl:Restriction,http://www.w3.org/2002/07/owl#Restriction,owl:onProperty,http://www.w3.org/2002/07/owl#onProperty,owl:ObjectProperty,http://www.w3.org/2002/07/owl#ObjectProperty,136,136,136,1.0,100.0,owl:Restriction -> owl:onProperty -> owl:ObjectProperty
shape_000285,gpml:Interaction,http://vocabularies.wikipathways.org/gpml#Interaction,gpml:hasPoint,http://vocabularies.wikipathways.org/gpml#hasPoint,gpml:Point,http://vocabularies.wikipathways.org/gpml#Point,115543,115543,115543,1.0,100.0,gpml:Interaction -> gpml:hasPoint -> gpml:Point
shape_000286,gpml:GraphicalLine,http://vocabularies.wikipathways.org/gpml#GraphicalLine,gpml:hasPoint,http://vocabularies.wikipathways.org/gpml#hasPoint,gpml:Point,http://vocabularies.wikipathways.org/gpml#Point,8154,8154,8154,1.0,100.0,gpml:GraphicalLine -> gpml:hasPoint -> gpml:Point
shape_000153,Binding,http://vocabularies.wikipathways.org/wp#Binding,participants,http://vocabularies.wikipathways.org/wp#participants,DataNode,http://vocabularies.wikipathways.org/wp#DataNode,5643,5643,5643,1.0,100.0,Binding -> participants -> DataNode
shape_000176,Conversion,http://vocabularies.wikipathways.org/wp#Conversion,participants,http://vocabularies.wikipathways.org/wp#participants,DataNode,http://vocabularies.wikipathways.org/wp#DataNode,6663,6663,6663,1.0,100.0,Conversion -> participants -> DataNode
shape_000179,TranscriptionTranslation,http://vocabularies.wikipathways.org/wp#TranscriptionTranslation,participants,http://vocabularies.wikipathways.org/wp#participants,DataNode,http://vocabularies.wikipathways.org/wp#DataNode,1069,1069,1069,1.0,100.0,TranscriptionTranslation -> participants -> DataNode
shape_000158,ComplexBinding,http://vocabularies.wikipathways.org/wp#ComplexBinding,participants,http://vocabularies.wikipathways.org/wp#participants,Complex,http://vocabularies.wikipathways.org/wp#Complex,3600,3600,3600,1.0,100.0,ComplexBinding -> participants -> Complex
shape_000047,Metabolite,http://vocabularies.wikipathways.org/wp#Metabolite,dcterms:isPartOf,http://purl.org/dc/terms/isPartOf,skos:Collection,http://www.w3.org/2004/02/skos/core#Collection,6858,6858,6858,1.0,100.0,Metabolite -> dcterms:isPartOf -> skos:Collection
shape_000194,DirectedInteraction,http://vocabularies.wikipathways.org/wp#DirectedInteraction,source,http://vocabularies.wikipathways.org/wp#source,DataNode,http://vocabularies.wikipathways.org/wp#DataNode,40222,40222,40222,1.0,100.0,DirectedInteraction -> source -> DataNode
shape_000182,Translocation,http://vocabularies.wikipathways.org/wp#Translocation,participants,http://vocabularies.wikipathways.org/wp#participants,Metabolite,http://vocabularies.wikipathways.org/wp#Metabolite,2,2,2,1.0,100.0,Translocation -> participants -> Metabolite
shape_000071,Inhibition,http://vocabularies.wikipathways.org/wp#Inhibition,dcterms:isPartOf,http://purl.org/dc/terms/isPartOf,skos:Collection,http://www.w3.org/2004/02/skos/core#Collection,3242,3242,3242,1.0,100.0,Inhibition -> dcterms:isPartOf -> skos:Collection
shape_000072,DirectedInteraction,http://vocabularies.wikipathways.org/wp#DirectedInteraction,dcterms:isPartOf,http://purl.org/dc/terms/isPartOf,skos:Collection,http://www.w3.org/2004/02/skos/core#Collection,40222,40222,40222,1.0,100.0,DirectedInteraction -> dcterms:isPartOf -> skos:Collection
shape_000206,Conversion,http://vocabularies.wikipathways.org/wp#Conversion,source,http://vocabularies.wikipathways.org/wp#source,DataNode,http://vocabularies.wikipathways.org/wp#DataNode,6663,6663,6663,1.0,100.0,Conversion -> source -> DataNode
shape_000207,Translocation,http://vocabularies.wikipathways.org/wp#Translocation,source,http://vocabularies.wikipathways.org/wp#source,Metabolite,http://vocabularies.wikipathways.org/wp#Metabolite,2,2,2,1.0,100.0,Translocation -> source -> Metabolite
shape_000198,Inhibition,http://vocabularies.wikipathways.org/wp#Inhibition,source,http://vocabularies.wikipathways.org/wp#source,DataNode,http://vocabularies.wikipathways.org/wp#DataNode,3242,3242,3242,1.0,100.0,Inhibition -> source -> DataNode
shape_000036,Rna,http://vocabularies.wikipathways.org/wp#Rna,dcterms:isPartOf,http://purl.org/dc/terms/isPartOf,skos:Collection,http://www.w3.org/2004/02/skos/core#Collection,1292,1292,1292,1.0,100.0,Rna -> dcterms:isPartOf -> skos:Collection
shape_000015,Binding,http://vocabularies.wikipathways.org/wp#Binding,dcterms:isPartOf,http://purl.org/dc/terms/isPartOf,skos:Collection,http://www.w3.org/2004/02/skos/core#Collection,5643,5643,5643,1.0,100.0,Binding -> dcterms:isPartOf -> skos:Collection
shape_000016,ComplexBinding,http://vocabularies.wikipathways.org/wp#ComplexBinding,dcterms:isPartOf,http://purl.org/dc/terms/isPartOf,Pathway,http://vocabularies.wikipathways.org/wp#Pathway,3600,3600,3600,1.0,100.0,ComplexBinding -> dcterms:isPartOf -> Pathway
shape_000017,ComplexBinding,http://vocabularies.wikipathways.org/wp#ComplexBinding,dcterms:isPartOf,http://purl.org/dc/terms/isPartOf,skos:Collection,http://www.w3.org/2004/02/skos/core#Collection,3600,3600,3600,1.0,100.0,ComplexBinding -> dcterms:isPartOf -> skos:Collection
shape_000256,Catalysis,http://vocabularies.wikipathways.org/wp#Catalysis,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,owl:Class,http://www.w3.org/2002/07/owl#Class,4897,4897,4897,1.0,100.0,Catalysis -> rdf:type -> owl:Class
shape_000257,Inhibition,http://vocabularies.wikipathways.org/wp#Inhibition,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,owl:Class,http://www.w3.org/2002/07/owl#Class,3242,3242,3242,1.0,100.0,Inhibition -> rdf:type -> owl:Class
shape_000258,gpml:shape,http://vocabularies.wikipathways.org/gpml#shape,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,owl:DatatypeProperty,http://www.w3.org/2002/07/owl#DatatypeProperty,23747,23747,23747,1.0,100.0,gpml:shape -> rdf:type -> owl:DatatypeProperty
shape_000259,gpml:Anchor,http://vocabularies.wikipathways.org/gpml#Anchor,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,owl:Class,http://www.w3.org/2002/07/owl#Class,16324,16324,16324,1.0,100.0,gpml:Anchor -> rdf:type -> owl:Class
shape_000260,gpml:Interaction,http://vocabularies.wikipathways.org/gpml#Interaction,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,owl:Class,http://www.w3.org/2002/07/owl#Class,115543,115543,115543,1.0,100.0,gpml:Interaction -> rdf:type -> owl:Class
