subject_class,subject_uri,property,property_uri,object_class,object_uri
KeyEvent,http://aopkb.org/aop_ontology#KeyEvent,PATO_0001241,http://purl.obolibrary.org/obo/PATO_0001241,GO_0008150,http://purl.obolibrary.org/obo/GO_0008150
KeyEvent,http://aopkb.org/aop_ontology#KeyEvent,PATO_0001241,http://purl.obolibrary.org/obo/PATO_0001241,PATO_0001241,http://purl.obolibrary.org/obo/PATO_0001241
KeyEvent,http://aopkb.org/aop_ontology#KeyEvent,PATO_0001241,http://purl.obolibrary.org/obo/PATO_0001241,Literal,http://www.w3.org/2000/01/rdf-schema#Literal
KeyEvent,http://aopkb.org/aop_ontology#KeyEvent,PATO_0001241,http://purl.obolibrary.org/obo/PATO_0001241,OrganContext,http://aopkb.org/aop_ontology#OrganContext
KeyEvent,http://aopkb.org/aop_ontology#KeyEvent,PATO_0001241,http://purl.obolibrary.org/obo/PATO_0001241,CellTypeContext,http://aopkb.org/aop_ontology#CellTypeContext
AdverseOutcomePathway,http://aopkb.org/aop_ontology#AdverseOutcomePathway,created,http://purl.org/dc/terms/created,Literal,http://www.w3.org/2000/01/rdf-schema#Literal
KeyEventRelationship,http://aopkb.org/aop_ontology#KeyEventRelationship,created,http://purl.org/dc/terms/created,Literal,http://www.w3.org/2000/01/rdf-schema#Literal
C54571,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C54571,created,http://purl.org/dc/terms/created,Literal,http://www.w3.org/2000/01/rdf-schema#Literal
KeyEventRelationship,http://aopkb.org/aop_ontology#KeyEventRelationship,modified,http://purl.org/dc/terms/modified,Literal,http://www.w3.org/2000/01/rdf-schema#Literal
AdverseOutcomePathway,http://aopkb.org/aop_ontology#AdverseOutcomePathway,modified,http://purl.org/dc/terms/modified,Literal,http://www.w3.org/2000/01/rdf-schema#Literal
C54571,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C54571,modified,http://purl.org/dc/terms/modified,Literal,http://www.w3.org/2000/01/rdf-schema#Literal
AdverseOutcomePathway,http://aopkb.org/aop_ontology#AdverseOutcomePathway,label,http://www.w3.org/2000/01/rdf-schema#label,Literal,http://www.w3.org/2000/01/rdf-schema#Literal
KeyEvent,http://aopkb.org/aop_ontology#KeyEvent,label,http://www.w3.org/2000/01/rdf-schema#label,Literal,http://www.w3.org/2000/01/rdf-schema#Literal
KeyEventRelationship,http://aopkb.org/aop_ontology#KeyEventRelationship,label,http://www.w3.org/2000/01/rdf-schema#label,Literal,http://www.w3.org/2000/01/rdf-schema#Literal
C54571,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C54571,label,http://www.w3.org/2000/01/rdf-schema#label,Literal,http://www.w3.org/2000/01/rdf-schema#Literal
data_2298,http://edamontology.org/data_2298,exactMatch,http://www.w3.org/2004/02/skos/core#exactMatch,data_1027,http://edamontology.org/data_1027
data_2298,http://edamontology.org/data_2298,exactMatch,http://www.w3.org/2004/02/skos/core#exactMatch,data_2291,http://edamontology.org/data_2291
data_2298,http://edamontology.org/data_2298,exactMatch,http://www.w3.org/2004/02/skos/core#exactMatch,data_1025,http://edamontology.org/data_1025
data_2298,http://edamontology.org/data_2298,exactMatch,http://www.w3.org/2004/02/skos/core#exactMatch,data_1033,http://edamontology.org/data_1033
PATO_0001241,http://purl.obolibrary.org/obo/PATO_0001241,exactMatch,http://www.w3.org/2004/02/skos/core#exactMatch,data_1027,http://edamontology.org/data_1027
PATO_0001241,http://purl.obolibrary.org/obo/PATO_0001241,exactMatch,http://www.w3.org/2004/02/skos/core#exactMatch,data_2291,http://edamontology.org/data_2291
PATO_0001241,http://purl.obolibrary.org/obo/PATO_0001241,exactMatch,http://www.w3.org/2004/02/skos/core#exactMatch,data_2298,http://edamontology.org/data_2298
PATO_0001241,http://purl.obolibrary.org/obo/PATO_0001241,exactMatch,http://www.w3.org/2004/02/skos/core#exactMatch,data_1025,http://edamontology.org/data_1025
CHEMINF_000446,http://semanticscience.org/resource/CHEMINF_000446,exactMatch,http://www.w3.org/2004/02/skos/core#exactMatch,CHEMINF_000406,http://semanticscience.org/resource/CHEMINF_000406
CHEMINF_000446,http://semanticscience.org/resource/CHEMINF_000446,exactMatch,http://www.w3.org/2004/02/skos/core#exactMatch,CHEMINF_000412,http://semanticscience.org/resource/CHEMINF_000412
CHEMINF_000446,http://semanticscience.org/resource/CHEMINF_000446,exactMatch,http://www.w3.org/2004/02/skos/core#exactMatch,CHEMINF_000408,http://semanticscience.org/resource/CHEMINF_000408
CHEMINF_000446,http://semanticscience.org/resource/CHEMINF_000446,exactMatch,http://www.w3.org/2004/02/skos/core#exactMatch,CHEMINF_000409,http://semanticscience.org/resource/CHEMINF_000409
CHEMINF_000446,http://semanticscience.org/resource/CHEMINF_000446,exactMatch,http://www.w3.org/2004/02/skos/core#exactMatch,CHEMINF_000405,http://semanticscience.org/resource/CHEMINF_000405
CHEMINF_000446,http://semanticscience.org/resource/CHEMINF_000446,exactMatch,http://www.w3.org/2004/02/skos/core#exactMatch,CHEMINF_000407,http://semanticscience.org/resource/CHEMINF_000407
CHEMINF_000446,http://semanticscience.org/resource/CHEMINF_000446,exactMatch,http://www.w3.org/2004/02/skos/core#exactMatch,CHEMINF_000140,http://semanticscience.org/resource/CHEMINF_000140
CHEMINF_000446,http://semanticscience.org/resource/CHEMINF_000446,exactMatch,http://www.w3.org/2004/02/skos/core#exactMatch,CHEMINF_000564,http://semanticscience.org/resource/CHEMINF_000564
CHEMINF_000446,http://semanticscience.org/resource/CHEMINF_000446,exactMatch,http://www.w3.org/2004/02/skos/core#exactMatch,CHEMINF_000567,http://semanticscience.org/resource/CHEMINF_000567
CHEMINF_000000,http://semanticscience.org/resource/CHEMINF_000000,exactMatch,http://www.w3.org/2004/02/skos/core#exactMatch,CHEMINF_000406,http://semanticscience.org/resource/CHEMINF_000406
CHEMINF_000000,http://semanticscience.org/resource/CHEMINF_000000,exactMatch,http://www.w3.org/2004/02/skos/core#exactMatch,CHEMINF_000405,http://semanticscience.org/resource/CHEMINF_000405
CHEMINF_000000,http://semanticscience.org/resource/CHEMINF_000000,exactMatch,http://www.w3.org/2004/02/skos/core#exactMatch,CHEMINF_000407,http://semanticscience.org/resource/CHEMINF_000407
CHEMINF_000000,http://semanticscience.org/resource/CHEMINF_000000,exactMatch,http://www.w3.org/2004/02/skos/core#exactMatch,CHEMINF_000140,http://semanticscience.org/resource/CHEMINF_000140
CHEMINF_000000,http://semanticscience.org/resource/CHEMINF_000000,exactMatch,http://www.w3.org/2004/02/skos/core#exactMatch,CHEMINF_000412,http://semanticscience.org/resource/CHEMINF_000412
CHEMINF_000000,http://semanticscience.org/resource/CHEMINF_000000,exactMatch,http://www.w3.org/2004/02/skos/core#exactMatch,CHEMINF_000408,http://semanticscience.org/resource/CHEMINF_000408
CHEMINF_000000,http://semanticscience.org/resource/CHEMINF_000000,exactMatch,http://www.w3.org/2004/02/skos/core#exactMatch,CHEMINF_000409,http://semanticscience.org/resource/CHEMINF_000409
CHEMINF_000000,http://semanticscience.org/resource/CHEMINF_000000,exactMatch,http://www.w3.org/2004/02/skos/core#exactMatch,CHEMINF_000564,http://semanticscience.org/resource/CHEMINF_000564
CHEMINF_000000,http://semanticscience.org/resource/CHEMINF_000000,exactMatch,http://www.w3.org/2004/02/skos/core#exactMatch,CHEMINF_000567,http://semanticscience.org/resource/CHEMINF_000567
data_1025,http://edamontology.org/data_1025,exactMatch,http://www.w3.org/2004/02/skos/core#exactMatch,data_1027,http://edamontology.org/data_1027
data_1025,http://edamontology.org/data_1025,exactMatch,http://www.w3.org/2004/02/skos/core#exactMatch,data_2291,http://edamontology.org/data_2291
data_1025,http://edamontology.org/data_1025,exactMatch,http://www.w3.org/2004/02/skos/core#exactMatch,data_1025,http://edamontology.org/data_1025
data_1025,http://edamontology.org/data_1025,exactMatch,http://www.w3.org/2004/02/skos/core#exactMatch,data_1033,http://edamontology.org/data_1033
PATO_0001241,http://purl.obolibrary.org/obo/PATO_0001241,identifier,http://purl.org/dc/elements/1.1/identifier,GO_0008150,http://purl.obolibrary.org/obo/GO_0008150
