subject_class,subject_uri,property,property_uri,object_class,object_uri
Class,http://www.w3.org/2002/07/owl#Class,hasRelatedSynonym,http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym,Literal,http://www.w3.org/2000/01/rdf-schema#Literal
Class,http://www.w3.org/2002/07/owl#Class,type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Resource,http://www.w3.org/2000/01/rdf-schema#Resource
SIO_011120,http://semanticscience.org/resource/SIO_011120,type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Resource,http://www.w3.org/2000/01/rdf-schema#Resource
Axiom,http://www.w3.org/2002/07/owl#Axiom,type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Resource,http://www.w3.org/2000/01/rdf-schema#Resource
Restriction,http://www.w3.org/2002/07/owl#Restriction,type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Resource,http://www.w3.org/2000/01/rdf-schema#Resource
SIO_011120,http://semanticscience.org/resource/SIO_011120,has-value,http://semanticscience.org/resource/has-value,Literal,http://www.w3.org/2000/01/rdf-schema#Literal
Class,http://www.w3.org/2002/07/owl#Class,hasDbXref,http://www.geneontology.org/formats/oboInOwl#hasDbXref,Literal,http://www.w3.org/2000/01/rdf-schema#Literal
Axiom,http://www.w3.org/2002/07/owl#Axiom,hasDbXref,http://www.geneontology.org/formats/oboInOwl#hasDbXref,Literal,http://www.w3.org/2000/01/rdf-schema#Literal
Class,http://www.w3.org/2002/07/owl#Class,label,http://www.w3.org/2000/01/rdf-schema#label,Literal,http://www.w3.org/2000/01/rdf-schema#Literal
Class,http://www.w3.org/2002/07/owl#Class,monoisotopicmass,http://purl.obolibrary.org/obo/chebi/monoisotopicmass,Literal,http://www.w3.org/2000/01/rdf-schema#Literal
Class,http://www.w3.org/2002/07/owl#Class,hasAlternativeId,http://www.geneontology.org/formats/oboInOwl#hasAlternativeId,Literal,http://www.w3.org/2000/01/rdf-schema#Literal
Axiom,http://www.w3.org/2002/07/owl#Axiom,source,http://www.geneontology.org/formats/oboInOwl#source,Literal,http://www.w3.org/2000/01/rdf-schema#Literal
Class,http://www.w3.org/2002/07/owl#Class,inchi,http://purl.obolibrary.org/obo/chebi/inchi,Literal,http://www.w3.org/2000/01/rdf-schema#Literal
Axiom,http://www.w3.org/2002/07/owl#Axiom,annotatedTarget,http://www.w3.org/2002/07/owl#annotatedTarget,Literal,http://www.w3.org/2000/01/rdf-schema#Literal
Class,http://www.w3.org/2002/07/owl#Class,IAO_0100001,http://purl.obolibrary.org/obo/IAO_0100001,Class,http://www.w3.org/2002/07/owl#Class
Axiom,http://www.w3.org/2002/07/owl#Axiom,annotatedSource,http://www.w3.org/2002/07/owl#annotatedSource,Class,http://www.w3.org/2002/07/owl#Class
SIO_011120,http://semanticscience.org/resource/SIO_011120,SIO_000011,http://semanticscience.org/resource/SIO_000011,Resource,http://www.w3.org/2000/01/rdf-schema#Resource
SIO_011120,http://semanticscience.org/resource/SIO_011120,SIO_000011,http://semanticscience.org/resource/SIO_000011,Class,http://www.w3.org/2002/07/owl#Class
Class,http://www.w3.org/2002/07/owl#Class,hasExactSynonym,http://www.geneontology.org/formats/oboInOwl#hasExactSynonym,Literal,http://www.w3.org/2000/01/rdf-schema#Literal
Class,http://www.w3.org/2002/07/owl#Class,deprecated,http://www.w3.org/2002/07/owl#deprecated,Literal,http://www.w3.org/2000/01/rdf-schema#Literal
Class,http://www.w3.org/2002/07/owl#Class,hasOBONamespace,http://www.geneontology.org/formats/oboInOwl#hasOBONamespace,Literal,http://www.w3.org/2000/01/rdf-schema#Literal
Class,http://www.w3.org/2002/07/owl#Class,smiles,http://purl.obolibrary.org/obo/chebi/smiles,Literal,http://www.w3.org/2000/01/rdf-schema#Literal
Class,http://www.w3.org/2002/07/owl#Class,subClassOf,http://www.w3.org/2000/01/rdf-schema#subClassOf,Restriction,http://www.w3.org/2002/07/owl#Restriction
Class,http://www.w3.org/2002/07/owl#Class,subClassOf,http://www.w3.org/2000/01/rdf-schema#subClassOf,Class,http://www.w3.org/2002/07/owl#Class
Class,http://www.w3.org/2002/07/owl#Class,mass,http://purl.obolibrary.org/obo/chebi/mass,Literal,http://www.w3.org/2000/01/rdf-schema#Literal
Axiom,http://www.w3.org/2002/07/owl#Axiom,annotatedProperty,http://www.w3.org/2002/07/owl#annotatedProperty,Resource,http://www.w3.org/2000/01/rdf-schema#Resource
Class,http://www.w3.org/2002/07/owl#Class,charge,http://purl.obolibrary.org/obo/chebi/charge,Literal,http://www.w3.org/2000/01/rdf-schema#Literal
Class,http://www.w3.org/2002/07/owl#Class,formula,http://purl.obolibrary.org/obo/chebi/formula,Literal,http://www.w3.org/2000/01/rdf-schema#Literal
Class,http://www.w3.org/2002/07/owl#Class,inchikey,http://purl.obolibrary.org/obo/chebi/inchikey,Literal,http://www.w3.org/2000/01/rdf-schema#Literal
Restriction,http://www.w3.org/2002/07/owl#Restriction,onProperty,http://www.w3.org/2002/07/owl#onProperty,Resource,http://www.w3.org/2000/01/rdf-schema#Resource
Class,http://www.w3.org/2002/07/owl#Class,IAO_0000231,http://purl.obolibrary.org/obo/IAO_0000231,Resource,http://www.w3.org/2000/01/rdf-schema#Resource
Class,http://www.w3.org/2002/07/owl#Class,IAO_0000115,http://purl.obolibrary.org/obo/IAO_0000115,Literal,http://www.w3.org/2000/01/rdf-schema#Literal
Class,http://www.w3.org/2002/07/owl#Class,SIO_000008,http://semanticscience.org/resource/SIO_000008,SIO_011120,http://semanticscience.org/resource/SIO_011120
Class,http://www.w3.org/2002/07/owl#Class,id,http://www.geneontology.org/formats/oboInOwl#id,Literal,http://www.w3.org/2000/01/rdf-schema#Literal
