subject_class,subject_uri,property,property_uri,object_class,object_uri
Book,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Book,date,http://purl.org/dc/terms/date,Literal,http://www.w3.org/2000/01/rdf-schema#Literal
Book,http://purl.org/spar/fabio/Book,date,http://purl.org/dc/terms/date,Literal,http://www.w3.org/2000/01/rdf-schema#Literal
Book,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Book,creator,http://purl.org/dc/terms/creator,Resource,http://www.w3.org/2000/01/rdf-schema#Resource
Book,http://purl.org/spar/fabio/Book,creator,http://purl.org/dc/terms/creator,Resource,http://www.w3.org/2000/01/rdf-schema#Resource
Book,http://purl.org/spar/fabio/Book,isbn,http://prismstandard.org/namespaces/basic/3.0/isbn,Literal,http://www.w3.org/2000/01/rdf-schema#Literal
Book,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Book,isbn,http://prismstandard.org/namespaces/basic/3.0/isbn,Literal,http://www.w3.org/2000/01/rdf-schema#Literal
Book,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Book,type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Resource,http://www.w3.org/2000/01/rdf-schema#Resource
Book,http://purl.org/spar/fabio/Book,type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Resource,http://www.w3.org/2000/01/rdf-schema#Resource
Book,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Book,subtitle,http://prismstandard.org/namespaces/basic/3.0/subtitle,Literal,http://www.w3.org/2000/01/rdf-schema#Literal
Book,http://purl.org/spar/fabio/Book,subtitle,http://prismstandard.org/namespaces/basic/3.0/subtitle,Literal,http://www.w3.org/2000/01/rdf-schema#Literal
Book,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Book,location,http://prismstandard.org/namespaces/basic/3.0/location,Literal,http://www.w3.org/2000/01/rdf-schema#Literal
Book,http://purl.org/spar/fabio/Book,location,http://prismstandard.org/namespaces/basic/3.0/location,Literal,http://www.w3.org/2000/01/rdf-schema#Literal
Book,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Book,title,http://purl.org/dc/terms/title,Literal,http://www.w3.org/2000/01/rdf-schema#Literal
Book,http://purl.org/spar/fabio/Book,title,http://purl.org/dc/terms/title,Literal,http://www.w3.org/2000/01/rdf-schema#Literal
Book,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Book,exactMatch,http://www.w3.org/2004/02/skos/core#exactMatch,Resource,http://www.w3.org/2000/01/rdf-schema#Resource
Book,http://purl.org/spar/fabio/Book,exactMatch,http://www.w3.org/2004/02/skos/core#exactMatch,Resource,http://www.w3.org/2000/01/rdf-schema#Resource
Book,http://purl.org/spar/fabio/Book,publisher,http://purl.org/dc/terms/publisher,Literal,http://www.w3.org/2000/01/rdf-schema#Literal
Book,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Book,publisher,http://purl.org/dc/terms/publisher,Literal,http://www.w3.org/2000/01/rdf-schema#Literal
