subject_class,subject_uri,property,property_uri,object_class,object_uri
Cell,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Cell,BFO_0000050,http://purl.obolibrary.org/obo/BFO_0000050,Literal,http://www.w3.org/2000/01/rdf-schema#Literal
SIO_010054,http://semanticscience.org/resource/SIO_010054,BFO_0000050,http://purl.obolibrary.org/obo/BFO_0000050,Literal,http://www.w3.org/2000/01/rdf-schema#Literal
Cell,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Cell,type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Resource,http://www.w3.org/2000/01/rdf-schema#Resource
SIO_010054,http://semanticscience.org/resource/SIO_010054,type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Resource,http://www.w3.org/2000/01/rdf-schema#Resource
SIO_010054,http://semanticscience.org/resource/SIO_010054,isDiscussedBy,http://purl.org/spar/cito/isDiscussedBy,Resource,http://www.w3.org/2000/01/rdf-schema#Resource
Cell,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Cell,isDiscussedBy,http://purl.org/spar/cito/isDiscussedBy,Resource,http://www.w3.org/2000/01/rdf-schema#Resource
SIO_010054,http://semanticscience.org/resource/SIO_010054,RO_0001000,http://purl.obolibrary.org/obo/RO_0001000,Resource,http://www.w3.org/2000/01/rdf-schema#Resource
Cell,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Cell,RO_0001000,http://purl.obolibrary.org/obo/RO_0001000,Resource,http://www.w3.org/2000/01/rdf-schema#Resource
SIO_010054,http://semanticscience.org/resource/SIO_010054,prefLabel,http://www.w3.org/2004/02/skos/core#prefLabel,Literal,http://www.w3.org/2000/01/rdf-schema#Literal
Cell,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Cell,prefLabel,http://www.w3.org/2004/02/skos/core#prefLabel,Literal,http://www.w3.org/2000/01/rdf-schema#Literal
SIO_010054,http://semanticscience.org/resource/SIO_010054,seeAlso,http://www.w3.org/2000/01/rdf-schema#seeAlso,Resource,http://www.w3.org/2000/01/rdf-schema#Resource
Cell,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Cell,seeAlso,http://www.w3.org/2000/01/rdf-schema#seeAlso,Resource,http://www.w3.org/2000/01/rdf-schema#Resource
Cell,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Cell,altLabel,http://www.w3.org/2004/02/skos/core#altLabel,Literal,http://www.w3.org/2000/01/rdf-schema#Literal
SIO_010054,http://semanticscience.org/resource/SIO_010054,altLabel,http://www.w3.org/2004/02/skos/core#altLabel,Literal,http://www.w3.org/2000/01/rdf-schema#Literal
SIO_010054,http://semanticscience.org/resource/SIO_010054,organism,http://purl.uniprot.org/core/organism,Resource,http://www.w3.org/2000/01/rdf-schema#Resource
Cell,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Cell,organism,http://purl.uniprot.org/core/organism,Resource,http://www.w3.org/2000/01/rdf-schema#Resource
