subject_class,subject_uri,property,property_uri,object_class,object_uri
Concept,http://www.w3.org/2004/02/skos/core#Concept,inScheme,http://www.w3.org/2004/02/skos/core#inScheme,ConceptScheme,http://www.w3.org/2004/02/skos/core#ConceptScheme
Concept,http://www.w3.org/2004/02/skos/core#Concept,inScheme,http://www.w3.org/2004/02/skos/core#inScheme,Concept,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Concept
Concept,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Concept,inScheme,http://www.w3.org/2004/02/skos/core#inScheme,ConceptScheme,http://www.w3.org/2004/02/skos/core#ConceptScheme
Concept,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Concept,inScheme,http://www.w3.org/2004/02/skos/core#inScheme,Concept,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Concept
ConceptScheme,http://www.w3.org/2004/02/skos/core#ConceptScheme,importedFrom,http://purl.org/pav/importedFrom,Resource,http://www.w3.org/2000/01/rdf-schema#Resource
Concept,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Concept,importedFrom,http://purl.org/pav/importedFrom,Resource,http://www.w3.org/2000/01/rdf-schema#Resource
Concept,http://www.w3.org/2004/02/skos/core#Concept,importedFrom,http://purl.org/pav/importedFrom,Resource,http://www.w3.org/2000/01/rdf-schema#Resource
ConceptScheme,http://www.w3.org/2004/02/skos/core#ConceptScheme,prefLabel,http://www.w3.org/2004/02/skos/core#prefLabel,Literal,http://www.w3.org/2000/01/rdf-schema#Literal
Concept,http://www.w3.org/2004/02/skos/core#Concept,prefLabel,http://www.w3.org/2004/02/skos/core#prefLabel,Literal,http://www.w3.org/2000/01/rdf-schema#Literal
Concept,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Concept,prefLabel,http://www.w3.org/2004/02/skos/core#prefLabel,Literal,http://www.w3.org/2000/01/rdf-schema#Literal
Concept,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Concept,broader,http://www.w3.org/2004/02/skos/core#broader,Concept,http://www.w3.org/2004/02/skos/core#Concept
Concept,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Concept,broader,http://www.w3.org/2004/02/skos/core#broader,Concept,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Concept
Concept,http://www.w3.org/2004/02/skos/core#Concept,broader,http://www.w3.org/2004/02/skos/core#broader,Concept,http://www.w3.org/2004/02/skos/core#Concept
Concept,http://www.w3.org/2004/02/skos/core#Concept,broader,http://www.w3.org/2004/02/skos/core#broader,Concept,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Concept
Concept,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Concept,type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Resource,http://www.w3.org/2000/01/rdf-schema#Resource
Concept,http://www.w3.org/2004/02/skos/core#Concept,type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Resource,http://www.w3.org/2000/01/rdf-schema#Resource
ConceptScheme,http://www.w3.org/2004/02/skos/core#ConceptScheme,type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Resource,http://www.w3.org/2000/01/rdf-schema#Resource
