subject_class,subject_uri,property,property_uri,object_class,object_uri
SIO_001257,http://semanticscience.org/resource/SIO_001257,subject,http://www.w3.org/1999/02/22-rdf-syntax-ns#subject,Resource,http://www.w3.org/2000/01/rdf-schema#Resource
SIO_000993,http://semanticscience.org/resource/SIO_000993,subject,http://www.w3.org/1999/02/22-rdf-syntax-ns#subject,Resource,http://www.w3.org/2000/01/rdf-schema#Resource
SIO_001436,http://semanticscience.org/resource/SIO_001436,subject,http://www.w3.org/1999/02/22-rdf-syntax-ns#subject,Resource,http://www.w3.org/2000/01/rdf-schema#Resource
SIO_001435,http://semanticscience.org/resource/SIO_001435,subject,http://www.w3.org/1999/02/22-rdf-syntax-ns#subject,Resource,http://www.w3.org/2000/01/rdf-schema#Resource
SIO_000983,http://semanticscience.org/resource/SIO_000983,subject,http://www.w3.org/1999/02/22-rdf-syntax-ns#subject,Resource,http://www.w3.org/2000/01/rdf-schema#Resource
SIO_001437,http://semanticscience.org/resource/SIO_001437,subject,http://www.w3.org/1999/02/22-rdf-syntax-ns#subject,Resource,http://www.w3.org/2000/01/rdf-schema#Resource
Cooccurrence,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Cooccurrence,subject,http://www.w3.org/1999/02/22-rdf-syntax-ns#subject,Resource,http://www.w3.org/2000/01/rdf-schema#Resource
SIO_001437,http://semanticscience.org/resource/SIO_001437,type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Resource,http://www.w3.org/2000/01/rdf-schema#Resource
SIO_001257,http://semanticscience.org/resource/SIO_001257,type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Resource,http://www.w3.org/2000/01/rdf-schema#Resource
Cooccurrence,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Cooccurrence,type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Resource,http://www.w3.org/2000/01/rdf-schema#Resource
SIO_001435,http://semanticscience.org/resource/SIO_001435,type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Resource,http://www.w3.org/2000/01/rdf-schema#Resource
